月	maandenlang	月	maandenlang	N	ADJ
日	dag	日	dag	PROPN	N;MASC+FEM;SG
日	dagje	日	dag	PROPN	N;NEUT;SG
和	en	和	en	ADP	CONJ
小	asteroïden	小	asteroïd	PART	N;PL
小	asteroïde	小	asteroïde	PART	N;MASC+FEM;SG
大	big	大	big	PART	N;MASC+FEM;SG
大	groot	大	groot	PART	ADJ
大	grote	大	groot	PART	ADJ
德	tak	德	tak	PROPN	N;MASC+FEM;SG
重	zwaar	重	zwaar	N	ADJ
重	zware	重	zwaar	N	ADJ
重	heftig	重	heftig	N	ADJ
重	zwaarder	重	zwaarder	N	ADJ;CMPR
重	zwaardere	重	zwaarder	N	ADJ;CMPR
一	one	一	oon	NUM	
一	een	一	een	NUM	DET;INDF
一	eén	一	eén	NUM	N;MASC+FEM;SG
定	oriëntatie	定	oriëntatie	V	N;MASC+FEM;SG
定	oriëntering	定	oriëntering	V	N;MASC+FEM;SG
但	maar	但	maar	ADV	CONJ
拉	pull	拉	pull		N;MASC+FEM;SG
拉	trek	拉	trek		V;SG;PRS;FIN
拉	trekken	拉	trekken		V;NFIN
後	na	後	na	ADV	ADP
後	after	後	after	ADV	
克	gram	克	gram	PROPN	N;MASC+FEM;SG
新	nieuw	新	nieuw	PART	ADJ
新	nieuwe	新	nieuw	PART	ADJ
州	staat	州	staan	N	V;SG;PRS;FIN
研究	studie	研究	studie	V	N;MASC+FEM;SG
研究	studies	研究	studie	V	N;PL
研究	onderzoek	研究	onderzoek	V	N;NEUT;SG
研究	research	研究	research	V	N;MASC+FEM;SG
日本	japan	日本	japan	PROPN	PROPN;NEUT;SG
三	three	三	three	NUM	
前	voordat	前	voordat	N	CONJ
前	vóór	前	voor	N	ADP
家	thuis	家	thuis	N	ADV
多	more	多	more		
多	meer	多	veel		PRO
使用	gebruik	使用	gebruik	V	N;NEUT;SG
使用	gebruik	使用	gebruik	V	N;NEUT;SG
基	kei	基	kei	V	N;MASC+FEM;SG
王	konings	王	koning	PROPN	N;SG
王	king	王	kingen	PROPN	N;MASC+FEM;SG
王	koning	王	koning	PROPN	N;MASC+FEM;SG
王	wang	王	wang	PROPN	N;MASC+FEM;SG
林	lam	林	lam	PROPN	N;NEUT;SG
林	lin	林	lin	PROPN	N;MASC+FEM;SG
李	lee	李	lee	PROPN	N;MASC+FEM;SG
一	one	一	oon	NUM	
一	een	一	een	NUM	DET;INDF
一	eén	一	eén	NUM	N;MASC+FEM;SG
西	westelijk	西	westelijk	N	ADJ
省	woiwodschap	省	woiwodschap	N	ADJ
二	two	二	two	NUM	
小	kleine	小	klein	PART	ADJ
小	klein	小	klein	PART	ADJ
小	smal	小	smal	PART	ADJ
小	kleine	小	klein	PART	ADJ
小	weinig	小	weinig	PART	PRO
小	little	小	little	PART	
小	klein	小	klein	PART	ADJ
小	piepklein	小	piepklein	PART	ADJ
小	tiny	小	tiny	PART	N;MASC+FEM;SG
相似	vergelijkbaar	相似	vergelijkbaar	V	ADJ
相似	vergelijkbare	相似	vergelijkbaar	V	ADJ
相似	soortgelijk	相似	soortgelijk	V	ADJ
相似	soortgelijke	相似	soortgelijk	V	ADJ
相似	gelijkaardig	相似	gelijkaardig	V	ADJ
相似	gelijkenis	相似	gelijkenis	V	N;MASC+FEM;SG
相似	gelijkenissen	相似	gelijkenis	V	N;PL
相似	gelijkenis	相似	gelijkenis	V	N;MASC+FEM;SG
人口	demografisch	人口	demografisch	N	ADJ
人口	demografische	人口	demografisch	N	ADJ
四	four	四	four	NUM	
道	dao	道	dao	PROPN	N;MASC+FEM;SG
