die	на	die	на	DET;DEF	ADP;ACC
van	прізвище	van	прізвище		N;INAN;NOM;NEUT;SG
van	від	van	від		ADP;GEN
het	got	het	got	V;PRS	
het	має	het	мати	V;PRS	V;IPFV;IND;SG;3;PRS;FIN
wat	що	wat	що	PRO	PRO;INAN;NOM;NEUT;SG
wat	яка	wat	який	PRO	DET;NOM;FEM;SG
wat	чим	wat	що	PRO	PRO;INAN;INS;NEUT;SG
wat	той	wat	той	PRO	DET;NOM;MASC;SG
word	стануть	word	стати	V;PRS	V;PFV;IND;PL;3;FUT;FIN
word	стати	word	стати	V;PRS	V;PFV;NFIN
word	стають	word	ставати	V;PRS	V;IPFV;IND;PL;3;PRS;FIN
was	був	is	бути	V;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
was	була	is	бути	V;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN
was	було	is	бути	V;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN
was	були	is	бути	V;PST;FIN	V;IPFV;IND;PL;PST;FIN
nie	not	nie	not	PART	
dit	цей	dit	цей	PRO;NOM;SG;3	DET;NOM;MASC;SG
dit	ця	dit	цей	PRO;NOM;SG;3	DET;NOM;FEM;SG
deur	вивіз	deur	вивіз	ADP	N;INAN;NOM;MASC;SG
deur	двері	deur	двері	ADP	N;INAN;NOM
tot	доки	tot	доки	ADP	ADV
tot	till	tot	till	ADP	
tot	поки	tot	поки	ADP	ADV
dat	той	dat	той	CONJ	DET;NOM;MASC;SG
hulle	їх	hulle	вони	PRO;PL;3	PRO;ACC;PL;3
hulle	їм	hulle	вони	PRO;PL;3	PRO;DAT;PL;3
hulle	комплектів	hulle	комплект	PRO;PL;3	N;INAN;GEN;MASC;PL
suid	південна	suid	південний		ADJ;NOM;FEM;SG
suid	південь	suid	південь		N;INAN;NOM;MASC;SG
suid	південний	suid	південний		ADJ;NOM;MASC;SG
uit	назовні	uit	назовні	ADP	ADV
uit	вийшов	uit	вийти	ADP	V;PFV;MASC;IND;SG;PST;FIN
uit	out	uit	out	ADP	
eerste	перше	eerste	перше	ADJ;NOM	ADV
kan	можна	kan	можна	V;PRS	ADV
ander	інший	ander	інший	PRO	DET;NOM;MASC;SG
ander	інша	ander	інший	PRO	DET;NOM;FEM;SG
ander	інші	ander	інший	PRO	DET;NOM;PL
ander	інше	ander	інший	PRO	DET;NOM;NEUT;SG
ander	інших	ander	інший	PRO	DET;GEN;PL
