категория	kategorien	категория	kategorien	N;INDF;FEM;SG	N;NOM;FEM;PL
като	mögen	като	mögen	CONJ	V;FIN
като	gefällt	като	gefallen	CONJ	V;IND;SG;3;PRS;FIN
като	wie	като	wie	CONJ	ADP
като	like	като	like	CONJ	PROPN;NOM;SG
година	baujahr	година	baujahr	N;INDF;FEM;SG	
година	jahre	година	jahren	N;INDF;FEM;SG	ADV
след	danach	след	danach	ADP	ADV
след	after	след	aft	ADP	PROPN;NOM;SG
след	nachher	след	nachher	ADP	ADV
след	nachdem	след	nachdem	ADP	CONJ
български	bulgarischen	български	bulgarisch	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;PL
български	bulgarische	български	bulgarisch	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
българия	bulgarien	българия	bulgarien	PROPN;INDF;FEM;SG	PROPN;NOM;SG
част	teilweise	част	teilweise	N;INDF;FEM;SG	ADV
част	teil	част	teil	N;INDF;FEM;SG	ADV
години	jahren	година	jahren	N;INDF;FEM;PL	ADJ
години	jahre	година	jahren	N;INDF;FEM;PL	ADV
време	zeit	време	zeit	N;INDF;NEUT;SG	ADJ
време	uhrzeit	време	uhrzeit	N;INDF;NEUT;SG	ADJ
време	zeiten	време	zeiten	N;INDF;NEUT;SG	V;NFIN
време	zeitraum	време	zeitraum	N;INDF;NEUT;SG	ADV
време	zeitpunkt	време	zeitpunkt	N;INDF;NEUT;SG	ADJ
която	welches	който	welch	PRO;NOM;FEM;SG	PRO;NOM;NEUT;SG
която	welcher	който	welch	PRO;NOM;FEM;SG	PRO;NOM;MASC;SG
която	welche	който	welch	PRO;NOM;FEM;SG	PRO;NOM;SG
която	welchen	който	welch	PRO;NOM;FEM;SG	PRO;NOM;SG
което	welches	който	welch	PRO;NOM;NEUT;SG	PRO;NOM;NEUT;SG
което	welcher	който	welch	PRO;NOM;NEUT;SG	PRO;NOM;MASC;SG
което	welche	който	welch	PRO;NOM;NEUT;SG	PRO;NOM;SG
което	welchen	който	welch	PRO;NOM;NEUT;SG	PRO;NOM;SG
външни	externe	външен	extern	ADJ;INDF;PL	
външни	außenhandel	външен	außenhandel	ADJ;INDF;PL	
външни	außen	външен	außen	ADJ;INDF;PL	ADV
препратки	verweise	препратка	verweisen	N;INDF;FEM;PL	
препратки	referenzen	препратка	referenzen	N;INDF;FEM;PL	V;NFIN
град	stadt	град	staden	N;INDF;MASC;SG	
град	ortschaft	град	ortschaft	N;INDF;MASC;SG	ADJ
град	stadt	град	staden	N;INDF;MASC;SG	
много	very	много	very	ADV;INDF;PL	
много	viele	много	viel	ADV;INDF;PL	ADJ;NOM;INDF;PL
много	vieles	много	viel	ADV;INDF;PL	PRO;NOM;INDF;NEUT;SG
много	zahlreiche	много	zahlreich	ADV;INDF;PL	ADJ;NOM;FEM;PL
много	vielen	много	viel	ADV;INDF;PL	ADJ;ACC;INDF;MASC;PL
век	jahrhundert	век	jahrhundert	N;INDF;MASC;SG	ADJ
век	century	век	century	N;INDF;MASC;SG	PROPN
век	jahrhunderts	век	jahrhundert	N;INDF;MASC;SG	ADV
село	feriendorf	село	feriendorf	N;INDF;NEUT;SG	
село	ortschaft	село	ortschaft	N;INDF;NEUT;SG	ADJ
един	einen	един	ein	NUM;INDF;MASC;SG	PRO;ACC;INDF;MASC;SG
един	eins	един	ein	NUM;INDF;MASC;SG	
един	einer	един	ein	NUM;INDF;MASC;SG	PRO;NOM;INDF;MASC;SG
един	eine	един	ein	NUM;INDF;MASC;SG	DET;NOM;INDF;FEM;SG
един	ein	един	ein	NUM;INDF;MASC;SG	ADV
между	dazwischen	между	dazwischen	ADP	ADV
около	rund	около	rund	ADP	ADV
около	herum	около	herum	ADP	ADV
софия	sofia	софия	sofia	PROPN;INDF;FEM;SG	PROPN;SG
софия	sophia	софия	sophia	PROPN;INDF;FEM;SG	PROPN;NOM;FEM;SG
други	sonstiges	друг	sonstig	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
други	anderes	друг	ander	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
други	sonstiges	друг	sonstig	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
още	still	още	still	ADV	ADJ
още	weiteres	още	weit	ADV	ADJ;NOM;NEUT;SG
още	weitere	още	weit	ADV	ADJ;NOM;FEM;PL
само	einzige	само	einzig	ADV	ADJ;NOM;FEM;PL
само	einzig	само	einzig	ADV	ADJ
само	einzigen	само	einzig	ADV	ADJ;NOM;PL
само	just	само	just	ADV	PROPN;NOM;SG
област	region	област	Region	N;INDF;FEM;SG	
област	gebiet	област	gebieten	N;INDF;FEM;SG	ADJ
област	oblast	област	oblast	N;INDF;FEM;SG	PROPN;NOM;SG
област	district	област	district	N;INDF;FEM;SG	PROPN
област	bezirk	област	bezirk	N;INDF;FEM;SG	PROPN
област	stadtteil	област	stadtteil	N;INDF;FEM;SG	ADJ
област	distrikt	област	distrikt	N;INDF;FEM;SG	ADJ
област	gebiet	област	gebieten	N;INDF;FEM;SG	ADJ
област	bereich	област	bereich	N;INDF;FEM;SG	ADV
под	under	под	under	ADP	
община	stadtverwaltung	община	stadtverwaltung	N;INDF;FEM;SG	PROPN
място	stelle	място	stellen	N;INDF;NEUT;SG	V;IND;SG;3;PRS;FIN
място	platz	място	platz	N;INDF;NEUT;SG	ADV
място	lage	място	lagen	N;INDF;NEUT;SG	ADJ
място	standort	място	standoren	N;INDF;NEUT;SG	ADV
когато	wenn	когато	wenn	ADV	CONJ
когато	wann	когато	wann	ADV	ADV
вид	type	вид	type	N;INDF;MASC;SG	
вид	typ	вид	typ	N;INDF;MASC;SG	
вид	tippen	вид	tippen	N;INDF;MASC;SG	V;NFIN
вид	tierarten	вид	tierarten	N;INDF;MASC;SG	V;NFIN
вид	arten	вид	arten	N;INDF;MASC;SG	N;PL
вид	tierart	вид	tierart	N;INDF;MASC;SG	ADJ
вид	spezies	вид	spezies	N;INDF;MASC;SG	
вид	gattung	вид	gattung	N;INDF;MASC;SG	ADJ
една	edna	един	edna	NUM;INDF;FEM;SG	PROPN;NOM;FEM;SG
една	einen	един	ein	NUM;INDF;FEM;SG	PRO;ACC;INDF;MASC;SG
една	eins	един	ein	NUM;INDF;FEM;SG	
една	einer	един	ein	NUM;INDF;FEM;SG	PRO;NOM;INDF;MASC;SG
една	eine	един	ein	NUM;INDF;FEM;SG	DET;NOM;INDF;FEM;SG
една	ein	един	ein	NUM;INDF;FEM;SG	ADV
всички	alle	всеки	alle	PRO;NOM;PL	PRO;NOM;INDF;PL
всички	alles	всеки	alle	PRO;NOM;PL	PRO;NOM;INDF;NEUT;SG
всички	all	всеки	all	PRO;NOM;PL	ADV
всички	jeder	всеки	jed	PRO;NOM;PL	PRO;NOM;INDF;MASC;SG
всички	alle	всеки	alle	PRO;NOM;PL	PRO;NOM;INDF;PL
всички	jedem	всеки	jed	PRO;NOM;PL	PRO;DAT;INDF;MASC;SG
всички	jedermann	всеки	jedermann	PRO;NOM;PL	ADV
семейство	familien	семейство	familien	N;INDF;NEUT;SG	V;IND;PL;3;FIN
македония	mazedonien	македония	mazedonien	PROPN;INDF;FEM;SG	PROPN
сащ	usa	сащ	usa	PROPN;INDF;MASC;PL	PROPN;NOM;MASC;PL
над	vorbei	над	vorbei	ADP	ADV
над	oben	над	oben	ADP	ADV
над	oberhalb	над	oberhalb	ADP	ADV
него	er	аз	er	PRO;ACC;MASC;SG;3	PRO;NOM;MASC;SG;3
него	ihm	аз	er	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
срещу	versus	срещу	versus	ADP	
срещу	dagegen	срещу	dagegen	ADP	ADV
тези	diesen	този	dies	DET;PL	PRO;ACC;MASC;SG
тези	diese	този	dies	DET;PL	PRO;NOM;FEM;SG
души	seelen	души	seelen	N;INDF	
души	seele	души	seelen	N;INDF	
мини	mini	мина	mini	N;INDF;FEM;PL	
мини	minigolf	мина	minigolf	N;INDF;FEM;PL	
мини	bergbau	мина	bergbau	N;INDF;FEM;PL	
мини	bergwerk	мина	bergwerk	N;INDF;FEM;PL	N;NOM;NEUT;SG
мини	gruben	мина	graben	N;INDF;FEM;PL	V;FIN
мини	bergwerke	мина	bergwerken	N;INDF;FEM;PL	
мини	minnie	мина	minnie	N;INDF;FEM;PL	PROPN;NOM;FEM;SG
намира	funde	намирам-(се)	fund	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;PL
късно	late	късно	late	ADV	PROPN
късно	späte	късно	spät	ADV	
късно	spät	късно	spät	ADV	ADJ
май	mai	май	mai	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
май	kann	май	können	PROPN;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
май	may	май	maylen	PROPN;INDF;MASC;SG	PROPN
май	möge	май	mögen	PROPN;INDF;MASC;SG	V;SBJV;SG;3;PRS;FIN
май	darf	май	dürfen	PROPN;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
път	pfad	път	pfad	N;INDF;MASC;SG	
път	weg	път	weg	N;INDF;MASC;SG	ADV
път	path	път	path	N;INDF;MASC;SG	
път	streckenführung	път	streckenführung	N;INDF;MASC;SG	ADJ
път	route	път	rouen	N;INDF;MASC;SG	PROPN;NOM;SG
път	anfahrt	път	anfahren	N;INDF;MASC;SG	PROPN
път	strasse	път	straß	N;INDF;MASC;SG	
път	straßenverkehr	път	straßenverkehr	N;INDF;MASC;SG	ADJ
път	straße	път	straß	N;INDF;MASC;SG	ADJ
отбор	mannschaft	отбор	mannschaft	N;INDF;MASC;SG	ADJ
няколко	paar	няколко	paar	PRO;INDF	ADV
няколко	wenige	няколко	wenig	PRO;INDF	ADJ;NOM;INDF;PL
няколко	wenigen	няколко	wenig	PRO;INDF	ADJ;ACC;INDF;PL
август	august	август	augusten	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
август	august	август	augusten	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
август	aug	август	augen	N;INDF;MASC;SG	
роден	born	родя-(се)	born	V;PFV;INDF;MASC;SG;V.PTCP;PASS	
беседа	konversation	бесед	konversation	N;INDF;FEM;SG	ADJ
беседа	unterhaltungen	бесед	unterhaltung	N;INDF;FEM;SG	V;NFIN
септември	september	септември	september	N;INDF;MASC;SG	PROPN;SG
преди	zuvor	преди	zuvor	ADP	ADV
преди	davor	преди	davor	ADP	ADV
преди	vorher	преди	vorher	ADP	ADV
преди	bevor	преди	bevor	ADP	CONJ
името	namen	име	name	N;DEF;NEUT;SG	
името	bezeichnung	име	Bezeichnung	N;DEF;NEUT;SG	ADJ
името	vorname	име	vornam	N;DEF;NEUT;SG	
група	band	група	binden	N;INDF;FEM;SG	
група	konzern	група	konzern	N;INDF;FEM;SG	
група	gruppen	група	grappen	N;INDF;FEM;SG	N;NOM;FEM;PL
език	zungen	език	zung	N;INDF;MASC;SG	
език	tongue	език	tongue	N;INDF;MASC;SG	PROPN;NOM;SG
език	zunge	език	zung	N;INDF;MASC;SG	
език	amtssprache	език	amtssprechen	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
език	sprachen	език	sprechen	N;INDF;MASC;SG	V;FIN
юли	juli	юли	juli	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
юли	july	юли	july	N;INDF;MASC;SG	
някои	einigen	някой	einige	PRO;NOM;PL	PRO;ACC;INDF;PL
тях	ihnen	аз	sie	PRO;ACC;PL;3	PRO;DAT;PL;3
река	river	река	river	N;INDF;FEM;SG	PROPN;NOM;SG
река	flusses	река	fluß	N;INDF;FEM;SG	ADV
река	fluß	река	flaß	N;INDF;FEM;SG	
януари	jänner	януари	jann	N;INDF;MASC;SG	
януари	januar	януари	januar	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
януари	january	януари	january	N;INDF;MASC;SG	
юни	juni	юни	juni	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
юни	june	юни	jun	N;INDF;MASC;SG	PROPN
две	zweit	два	zweit	NUM;INDF;FEM;PL	
две	beiden	два	beide	NUM;INDF;FEM;PL	PRO;NOM;INDF;PL
две	two	два	two	NUM;INDF;FEM;PL	PROPN;SG
октомври	oktober	октомври	oktober	N;INDF;MASC;SG	PROPN;NOM;SG
октомври	october	октомври	october	N;INDF;MASC;SG	PROPN
октомври	oktober	октомври	oktober	N;INDF;MASC;SG	PROPN;NOM;SG
октомври	okt	октомври	okt	N;INDF;MASC;SG	
име	namen	име	name	N;INDF;NEUT;SG	
