przez	דרך	przez	דרך	ADP	
jego	שלו	on	של	PRO;GEN;MASC;SG;3	
jego	שלו	on	של	PRO;GEN;MASC;SG;3	
center	המרכז	center	המרכז		PROPN
center	מרכז	center	מרכז		N;MASC;SG
center	סנטר	center	סנטר		PROPN
jak	כמו	jak	כמו	ADV	ADP
jak	אוהב	jak	אהב	ADV	V;MASC;SG;V.PTCP;ACT
jak	כאילו	jak	כאילו	ADV	CONJ
też	גם	też	גם	PART	ADV
też	וגם	też	וגם	PART	
też	גם	też	גם	PART	ADV
też	מדי	też	מדי	PART	ADV
miejsce	ספוט	miejsce	ספוט	N;NOM;NEUT;SG	PROPN
miejsce	המקום	miejsce	המקום	N;NOM;NEUT;SG	
polski	פוליש	polski	פוליש	ADJ;NOM;MASC;SG	PROPN
polski	לק	polski	לק	ADJ;NOM;MASC;SG	
polski	פולני	polski	פולני	ADJ;NOM;MASC;SG	PROPN
polski	הברקה	polski	הברקה	ADJ;NOM;MASC;SG	N;FEM;SG
polski	פולין	polski	פולין	ADJ;NOM;MASC;SG	PROPN
zewnętrzne	החיצון	zewnętrzny	החיצון	ADJ;NOM;NEUT;SG	N;MASC;SG
zewnętrzne	החיצוניות	zewnętrzny	החיצוניות	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
zewnętrzne	חיצוניים	zewnętrzny	חיצוני	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
zewnętrzne	חיצוניות	zewnętrzny	חיצוני	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
zewnętrzne	חיצונית	zewnętrzny	חיצוני	ADJ;NOM;NEUT;SG	ADV
także	גם	także	גם	PART	ADV
także	וגם	także	וגם	PART	
cet	בלווייתן	cet	בלווייתן		PROPN
team	צוות	team	צוות		N;FEM;SG
team	קבוצה	team	קבוצה		N;FEM;SG
który	אשר	który	אשר	DET;NOM;MASC;SG	CONJ
który	איזה	który	איזה	DET;NOM;MASC;SG	
jednak	אולם	jednak	אולם	PART	CONJ
również	גם	również	גם	PART	ADV
również	וגם	również	וגם	PART	
jej	שלה	on	של	PRO;GEN;FEM;SG;3	
jej	שלה	on	של	PRO;GEN;FEM;SG;3	
jej	בה	on	ב	PRO;GEN;FEM;SG;3	
jej	לה	on	ל	PRO;GEN;FEM;SG;3	
jej	עליה	on	על	PRO;GEN;FEM;SG;3	
jej	אותה	on	None	PRO;GEN;FEM;SG;3	PRO;ACC;FEM;SG;3
lat	שנה	rok	שנה	N;GEN;MASC;PL	N;FEM;SG
brak	חוסר	brak	חוסר	V;IND;PRS;FIN	N;MASC;SG
brak	היעדר	brak	היעדר	V;IND;PRS;FIN	
brak	היעדרות	brak	היעדרות	V;IND;PRS;FIN	N;FEM;SG
brak	נעדר	brak	נעדר	V;IND;PRS;FIN	
brak	חסרה	brak	חסר	V;IND;PRS;FIN	N;FEM;SG
brak	חסרים	brak	חסר	V;IND;PRS;FIN	ADJ;MASC;PL
brak	געגועים	brak	געגוע	V;IND;PRS;FIN	N;MASC;PL
brak	חסר	brak	חסר	V;IND;PRS;FIN	ADJ;MASC;SG
podczas	במהלך	podczas	במהלך	ADP	ADV
podczas	בזמן	podczas	בזמן	ADP	PROPN
które	אשר	który	אשר	DET;ACC;MASC;SG	CONJ
które	איזה	który	איזה	DET;ACC;MASC;SG	
września	ספטמבר	wrzesień	ספטמבר		PROPN
ich	שלהם	on	של	PRO;GEN;MASC;PL;3	
ich	אותם	on	None	PRO;GEN;MASC;PL;3	PRO;ACC;MASC;PL;3
miejscowość	טאון	miejscowość	טאון	N;NOM;FEM;SG	PROPN
miejscowość	העיר	miejscowość	העיר	N;NOM;FEM;SG	V;MASC;SG;3;PST;ACT
miejscowość	העיר	miejscowość	העיר	N;NOM;FEM;SG	V;MASC;SG;3;PST;ACT
świata	העולם	świat	העולם	N;GEN;MASC;SG	
wieku	הגיל	wiek	הגיל	N;GEN;MASC;SG	ADV
wieku	המאה	wiek	המאה	N;GEN;MASC;SG	
stycznia	ינואר	styczeń	ינואר	N;GEN;MASC;SG	PROPN
stycznia	בינואר	styczeń	בינואר	N;GEN;MASC;SG	
tylko	בלבד	tylko	בלבד	PART	ADV
tylko	רק	tylko	רק	PART	ADV
tylko	פשוט	tylko	פשוט	PART	
tylko	רק	tylko	רק	PART	ADV
października	באוקטובר	październik	באוקטובר	N;GEN;MASC;SG	PROPN
października	אוקטובר	październik	אוקטובר	N;GEN;MASC;SG	PROPN
maja	במאי	mieć	במאי		N;MASC;SG
maja	מאי	mieć	מאי		PROPN
maja	מאיה	mieć	מאיה		PROPN
miasta	טאון	miasto	טאון	N;GEN;NEUT;SG	PROPN
miasta	העיר	miasto	העיר	N;GEN;NEUT;SG	V;MASC;SG;3;PST;ACT
miasta	העיר	miasto	העיר	N;GEN;NEUT;SG	V;MASC;SG;3;PST;ACT
miasta	ערים	miasto	עיר	N;GEN;NEUT;SG	N;FEM;PL
miasta	עיירות	miasto	עיירה	N;GEN;NEUT;SG	N;FEM;PL
miasta	ערים	miasto	עיר	N;GEN;NEUT;SG	N;FEM;PL
miasta	הערים	miasto	הערים	N;GEN;NEUT;SG	V;MASC;SG;3;PST;ACT
zobacz	ראי	zobaczyć	ראי	V;PFV;IMP;SG;2;FIN;ACT	
zobacz	רואה	zobaczyć	ראה	V;PFV;IMP;SG;2;FIN;ACT	V;MASC;SG;V.PTCP;ACT
zobacz	ראה	zobaczyć	ראה	V;PFV;IMP;SG;2;FIN;ACT	V;MASC;SG;3;PST;ACT
zobacz	צפי	zobaczyć	None	V;PFV;IMP;SG;2;FIN;ACT	
zobacz	צפייה	zobaczyć	צפייה	V;PFV;IMP;SG;2;FIN;ACT	N;FEM;SG
zobacz	צפה	zobaczyć	צפה	V;PFV;IMP;SG;2;FIN;ACT	PROPN
zobacz	תצוגה	zobaczyć	תצוגה	V;PFV;IMP;SG;2;FIN;ACT	N;FEM;SG
zobacz	הצג	zobaczyć	הצג	V;PFV;IMP;SG;2;FIN;ACT	
gmina	עירייה	gmina	עירייה		N;FEM;SG
gmina	עיריית	gmina	עירייה		N;PSSD;FEM;SG
polsce	פולין	polska	פולין	ADV	PROPN
już	כבר	już	כבר	PART	ADV
grudnia	בדצמבר	grudzień	בדצמבר		PROPN
grudnia	דצמבר	grudzień	דצמבר		PROPN
marca	מרץ	marza	מרץ		PROPN
marca	צעדה	marza	צעדה		N;FEM;SG
marca	במרץ	marza	במרץ		PROPN
marca	מארק	marza	מארק		PROPN
może	במאי	móc	במאי	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
może	מיי	móc	מיי	V;IPFV;IND;SG;3;PRS;FIN;ACT	
może	מאי	móc	מאי	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
może	אולי	móc	אולי	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
sierpnia	אוגוסט	sierpień	אוגוסט	N;GEN;MASC;SG	PROPN
wieś	הכפר	wieś	הכפר	N;NOM;FEM;SG	
