kategória	kategorii	kategória	kategorie	N;NOM;FEM;SG	N;ACC;FEM;SG;POS
roku	rok	rok	rok	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
roku	ročník	rok	ročník	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
ako	jako	ako	jako	ADV	CONJ
ako	like	ako	like	ADV	N;MASC;SG;POS
bol	bol	byť	bol	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	PROPN;ANIM;NOM;MASC;SG;POS
bol	byla	byť	být	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;POS;PST;V.PTCP;ACT
obce	obcích	obec	obec	N;NOM;FEM;PL	N;DAT;FEM;PL;POS
obce	obcí	obec	obec	N;NOM;FEM;PL	N;INS;FEM;SG;POS
obce	obcí	obec	obec	N;NOM;FEM;PL	N;INS;FEM;SG;POS
obce	vesnic	obec	vesnice	N;NOM;FEM;PL	N;GEN;FEM;PL;POS
obce	vesnice	obec	vesnice	N;NOM;FEM;PL	N;NOM;FEM;SG;POS
mba	mba	mba	mba		N;INAN;NOM;MASC;SG;POS
obyvateľov	obyvatelé	obyvateľ	obyvatel	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
obyvateľov	obyvatel	obyvateľ	obyvatel	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;SG;POS
obyvateľov	obyvatelé	obyvateľ	obyvatel	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
jeho	její	jeho	jeho	DET;NOM;NEUT;SG;3	DET;NOM;FEM;SG;3
ktorá	kterou	ktorý	který	DET;NOM;FEM;SG	DET;ACC;FEM;SG
ktorá	což	ktorý	což	DET;NOM;FEM;SG	PRO;NOM
ktorá	které	ktorý	který	DET;NOM;FEM;SG	DET;NOM;NEUT;PL
bod	point	bod	point	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;POS
pri	pri	pri	pri	ADP;ESS	PROPN;FEM;POS
bola	byla	byť	být	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;POS;PST;V.PTCP;ACT
ktoré	kterou	ktorý	který	DET;NOM;NEUT;SG	DET;ACC;FEM;SG
ktoré	což	ktorý	což	DET;NOM;NEUT;SG	PRO;NOM
ktoré	které	ktorý	který	DET;NOM;NEUT;SG	DET;NOM;NEUT;PL
ktorý	kterou	ktorý	který	DET;ANIM;NOM;MASC;SG	DET;ACC;FEM;SG
ktorý	což	ktorý	což	DET;ANIM;NOM;MASC;SG	PRO;NOM
ktorý	které	ktorý	který	DET;ANIM;NOM;MASC;SG	DET;NOM;NEUT;PL
externé	externích	externý	externí	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;PL;POS
iné	ostatní	iný	ostatní	DET;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;PL;POS
iné	jiná	iný	jiný	DET;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
iné	jiné	iný	jiný	DET;NOM;NEUT;SG	ADJ;NOM;NEUT;SG;POS
iné	jiný	iný	jiný	DET;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;SG;POS
iné	ostatní	iný	ostatní	DET;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;PL;POS
iné	jiní	iný	jiný	DET;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;PL;POS
iné	jiné	iný	jiný	DET;NOM;NEUT;SG	ADJ;NOM;NEUT;SG;POS
podľa	pod	podľa	pod	ADP;GEN	ADP;ACC
miesto	lokace	miesto	lokace	N;NOM;NEUT;SG	N;NOM;FEM;PL;POS
miesto	stránky	miesto	stránka	N;NOM;NEUT;SG	N;NOM;FEM;PL;POS
bolo	byla	byť	být	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;POS;PST;V.PTCP;ACT
obcí	obce	obec	obec	N;GEN;FEM;PL	N;NOM;FEM;PL;POS
obcí	obcích	obec	obec	N;GEN;FEM;PL	N;DAT;FEM;PL;POS
obcí	obcí	obec	obec	N;GEN;FEM;PL	N;INS;FEM;SG;POS
obcí	obce	obec	obec	N;GEN;FEM;PL	N;NOM;FEM;PL;POS
obcí	obcí	obec	obec	N;GEN;FEM;PL	N;INS;FEM;SG;POS
obci	obec	obec	obec	N;DAT;FEM;SG	N;NOM;FEM;SG;POS
jej	jeho	ona	jeho	PRO;DAT;FEM;SG;3	DET;3
jej	její	ona	jeho	PRO;DAT;FEM;SG;3	DET;NOM;FEM;SG;3
jej	její	ona	jeho	PRO;DAT;FEM;SG;3	DET;NOM;FEM;SG;3
jej	ji	ona	on	PRO;DAT;FEM;SG;3	PRO;ACC;FEM;SG;3
ich	jejich	on	jeho	PRO;NOM;MASC;PL;3	DET;3
ich	ich	on	ich	PRO;NOM;MASC;PL;3	PROPN;MASC;SG;POS
medzi	mezi	medzi	mezi	ADP;INS	ADP;ACC
projekty	projektů	projekt	projekt	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL;POS
team	mužstvo	team	mužstvo	PROPN;ANIM;NOM;MASC;SG	N;NOM;NEUT;SG;POS
team	tým	team	tým	PROPN;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
team	team	team	team	PROPN;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
byť	bytí	byť	bytí	V;IPFV;POS;NFIN	N;NOM;NEUT;SG;POS
francúzska	francouzské	francúzsky	francouzský	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG;POS
francúzska	francouzsky	francúzsky	francouzsky	N;NOM;FEM;SG	ADV;POS
francúzska	francouzská	francúzsky	francouzský	N;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
