seattle	سياتل	settlli	سِيَاتِل	N;NOM;MASC;SG	
planeti	كواكب	planet	كَاكِب	N;DAT;FEM;SG	N;NOM;INDF;PL
planeti	الكواكب	planet	كَاكِب	N;DAT;FEM;SG	N;NOM;DEF;PL
terra	تيرا	terar	تيرا	N;NOM;MASC;SG	
umjetna	اصطناعية	umjetan	اِصطِنَاعِيّ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
umjetna	اصطناعي	umjetan	اِصطِنَاعِيّ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
umjetna	الاصطناعي	umjetan	اِصطِنَاعِيّ	ADJ;NOM;DEF;FEM;SG	N;NOM;DEF;SG
tesla	تيسلا	tesliti	تيسلا	N;NOM;MASC;SG	
tesla	تسلا	tesliti	تسلا	N;NOM;MASC;SG	
metro	مترو	metro	مترو	N;NOM;MASC;SG	
metro	ميترو	metro	ميترو	N;NOM;MASC;SG	
kamenje	الاحجار	kamenje	حَجَر	N;NOM;NEUT;SG	
kamenje	احجار	kamenje	إِحجَار	N;NOM;NEUT;SG	
kamenje	الصخور	kamenje	صُخُور	N;NOM;NEUT;SG	N;NOM;DEF;PL
kamenje	صخور	kamenje	صُخُور	N;NOM;NEUT;SG	N;NOM;INDF;PL
vodoravno	افقيا	vodoravno	أَفقِيّ	ADV	ADJ;ACC;INDF;MASC;SG
vodoravno	افقي	vodoravno	أُفقِيّ	ADV	N;NOM;INDF;SG
vodoravno	افقيا	vodoravno	أَفقِيّ	ADV	ADJ;ACC;INDF;MASC;SG
vodoravno	افقية	vodoravno	افقية	ADV	ADJ;NOM;INDF;FEM;SG
golf	جولف	golf	جُولف	N;NOM;MASC;SG	
golf	غولف	golf	غولف	N;NOM;MASC;SG	
većinski	الاغلبية	većinski	أَغلَبِيَّة	ADV	N;NOM;DEF;SG
većinski	اغلبية	većinski	أَغلَبِيَّة	ADV	N;NOM;INDF;SG
većinski	الغالبية	većinski	غَالِبِيَّة	ADV	N;NOM;DEF;SG
optički	بصرية	optički	بَصَرِيّ	ADV	ADJ;NOM;INDF;FEM;SG
optički	بصري	optički	بَصَرِيّ	ADV	
napoleona	نابليون	napoleon	نَابِلِيّ	N;ANIM;ACC;MASC;SG	N;NOM;INDF;PL
napoleona	نابوليون	napoleon	نَابُولِيُون	N;ANIM;ACC;MASC;SG	
ovaca	الخراف	ovac	خِرَاف	N;GEN;MASC;SG	N;NOM;DEF;PL
ovaca	الخروف	ovac	خَرف	N;GEN;MASC;SG	N;NOM;DEF;SG
