צפייה	гледам	צפייה	гледам	N;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
זכרים	мъжки	זכר	мъжки	N;MASC;PL	ADJ;INDF;PL
מלאים	пълна	מלא	пълен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
מלאים	пълен	מלא	пълен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
מלאים	пълно	מלא	пълен	ADJ;MASC;PL	ADV
מחכה	чакаме	חיכה	чакам	V;MASC;SG;V.PTCP;ACT	V;IPFV;IND;PL;1;PRS;FIN;ACT
מחכה	изчакване	חיכה	изчакване	V;MASC;SG;V.PTCP;ACT	N;INDF;NEUT;SG
מחכה	чакане	חיכה	чакане	V;MASC;SG;V.PTCP;ACT	N;INDF;NEUT;SG
מחכה	чакам	חיכה	чакам	V;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
שלחו	изпращане	שלח	изпращане	V;PL;3;PST	N;INDF;NEUT;SG
שלחו	изпрати	שלח	изпратя	V;PL;3;PST	V;PFV;IND;SG;3;PST;FIN;ACT
שלחו	изпратете	שלח	изпратя	V;PL;3;PST	V;PFV;IMP;PL;2;FIN
אשם	виновни	אשם	виновен		ADJ;INDF;PL
אשם	виновна	אשם	виновен		ADJ;INDF;FEM;SG
אשם	виновен	אשם	виновен		ADJ;INDF;MASC;SG
מדויקים	точен	מדויק	точен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
מדויקים	точна	מדויק	точен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
עלילות	заговори	עלילות	заговоря-(се)	N;FEM;PL	V;PFV;IND;SG;3;PST;FIN;ACT
המכילים	съдържащ	המכיל	съдържам-(се)	N;MASC;PL	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
המכילים	съдържащи	המכיל	съдържам-(се)	N;MASC;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
המכילים	съдържащо	המכיל	съдържам-(се)	N;MASC;PL	ADV
המכילים	съдържаща	המכיל	съдържам-(се)	N;MASC;PL	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
גישות	отношението	גישה	отношение	N;FEM;PL	N;DEF;NEUT;SG
ארמסטרונג	армстронг	ארמסטרונג	армстронг	PROPN	PROPN;INDF;MASC;SG
ספרטה	спарта	ספרטה	спарт	PROPN	PROPN;INDF;FEM;SG
מבוגר	възрастни	מבוגר	възрастен	ADJ;MASC;SG	ADJ;INDF;PL
עבה	дебела	עבה	дебел		ADJ;INDF;FEM;SG
עבה	плътна	עבה	плътна		ADJ;INDF;FEM;SG
עבה	дебело	עבה	дебело		ADV
עבה	дебел	עבה	дебел		ADJ;INDF;MASC;SG
ביצה	блато	ביצה	блато	PROPN	N;INDF;NEUT;SG
ביצה	блатото	ביצה	блато	PROPN	N;DEF;NEUT;SG
ביצה	яйцето	ביצה	яйце	PROPN	N;DEF;NEUT;SG
ביצה	яйца	ביצה	яйце	PROPN	N;INDF;NEUT;PL
ביצה	яйце	ביצה	яйце	PROPN	N;INDF;NEUT;SG
קולורדו	колорадо	קולורדו	колорадо	PROPN	N;INDF;FEM;SG
נצר	потомък	נצר	потомък	PROPN	N;INDF;MASC;SG
הלחם	хляб	הלחם	хляб		N;INDF;MASC;SG
הלחם	хляба	הלחם	хляб		N;DEF;MASC;SG
איסלנד	исландия	איסלנד	исландия	PROPN	PROPN;INDF;FEM;SG
בובי	боби	בובי	боба	PROPN	N;INDF;MASC;SG
סליחה	съжалявам	סליחה	съжалявам-(се)	PROPN	V;IPFV;IND;SG;1;PRS;FIN;ACT
סליחה	сори	סליחה	сора	PROPN	INTJ
אריסטו	аристотел	אריסטו	аристотел	PROPN	N;INDF;MASC;SG
פורמלי	формално	פורמאלי	формално	ADJ;MASC;SG	ADV
פורמלי	официално	פורמאלי	официално	ADJ;MASC;SG	ADV
הערכת	преценка	הערכה	преценка	N;PSSD;FEM;SG	N;INDF;FEM;SG
הערכת	оценяване	הערכה	оценяване	N;PSSD;FEM;SG	N;INDF;NEUT;SG
הערכת	оценка	הערכה	оценка	N;PSSD;FEM;SG	N;INDF;FEM;SG
בכר	бехар	בכר	бехар	PROPN	N;INDF;MASC;SG
בכר	бакр	בכר	бакр	PROPN	N;INDF;MASC;SG
הגיל	възраст	הגיל	възраст	ADV	N;INDF;FEM;SG
טק	тис	טק	тис		N;INDF;MASC;SG
טק	тех	טק	аз		PROPN;INDF;MASC;SG
