med	med	med	med	ADP	
som	jak	som	jak	CONJ	ADV
som	like	som	lik	CONJ	
som	które	som	który	CONJ	DET;ACC;MASC;SG
som	która	som	który	CONJ	DET;NOM;FEM;SG
som	który	som	który	CONJ	DET;NOM;MASC;SG
runt	okolice	runt	okolica	ADV	N;ACC;FEM;SG
runt	dookoła	runt	dookoła	ADV	
runt	okrągła	runt	okrągnąć	ADV	ADJ;NOM;FEM;SG
runt	okrągły	runt	okrągnąć	ADV	V;PFV;MASC;IND;SG;PST;FIN;ACT
runt	okrągł	runt	okrągnąć	ADV	V;PFV;MASC;IND;SG;PST;FIN;ACT
runt	runda	runt	runda	ADV	N;NOM;FEM;SG
månaden	miesięcznie	månad	miesięcznie	N;NOM;DEF;MASC+FEM;SG	ADV
månaden	miesięczne	månad	miesięczny	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
månaden	miesięczny	månad	miesięczny	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG
månaden	miesiąca	månad	miesiąc	N;NOM;DEF;MASC+FEM;SG	N;ACC;MASC;SG
månaden	miesiac	månad	miesiac	N;NOM;DEF;MASC+FEM;SG	V;IPFV;IND;SG;PST;FIN;ACT
nederbörd	opady	nederbörd	opad	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;PL
nederbörd	opady	nederbörd	opad	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;PL
ligger	kłamstwo	ligga	kłamstwo	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
ligger	kłamstwa	ligga	kłamstwo	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
ligger	zlokalizowany	ligga	zlokalizować	V;IND;PRS;FIN;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
ligger	położony	ligga	położyć	V;IND;PRS;FIN;ACT	
ligger	zlokalizowane	ligga	zlokalizować	V;IND;PRS;FIN;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
ingår	włączone	ingå	włączyć	V;IND;PRS;FIN;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
ingår	uwzględnione	ingå	uwzględnić	V;IND;PRS;FIN;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
ett	jeden	en	jeden	NUM;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
ett	jedna	en	jeden	NUM;NOM;INDF;NEUT;SG	ADJ;NOM;FEM;SG
över	ponad	över	ponad	ADP	PART
över	over	över	over	ADP	
över	odbiór	över	odbiór	ADP	N;NOM;MASC;SG
familjen	rodziny	familj	rodzina	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;PL
familjen	rodzinne	familj	rodzinny	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
familjen	rodzinnie	familj	rodzinnie	N;NOM;DEF;MASC+FEM;SG	ADV
för	na	för	na	ADP	INTJ
för	za	för	za	ADP	PART
inga	inga	ingen	ingy	PRO;INDF;PL	PROPN;NOM;FEM;SG
delen	częściowo	del	częściowo	N;NOM;DEF;MASC+FEM;SG	ADV
släktet	rodzaju	släkte	rodzaj	N;NOM;DEF;NEUT;SG	N;GEN;MASC;SG
life	zycie	life	zyt	N;NOM;INDF;MASC+FEM;SG	V;IPFV;IND;SG;1;FIN;ACT
life	life	life	lifa	N;NOM;INDF;MASC+FEM;SG	
life	życia	life	życie	N;NOM;INDF;MASC+FEM;SG	N;GEN;NEUT;SG
listade	wymienionych	lisa	wymienić	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
listade	wymienione	lisa	wymienić	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
landet	kraje	land	kraj	N;NOM;DEF;NEUT;SG	N;NOM;MASC;PL
landet	kraju	land	kraj	N;NOM;DEF;NEUT;SG	N;GEN;MASC;SG
meter	metr	meter	metr	N;NOM;INDF;MASC+FEM;PL	
meter	metry	meter	metr	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;SG
meter	metrach	meter	metr	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
meter	metrów	meter	metr	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
meter	metry	meter	metr	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;SG
meter	metrów	meter	metr	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
meter	metr	meter	metr	N;NOM;INDF;MASC+FEM;PL	
meter	metrów	meter	metr	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
meter	licznik	meter	licznik	N;NOM;INDF;MASC+FEM;PL	N;NOM;MASC;SG
meter	miernik	meter	miernik	N;NOM;INDF;MASC+FEM;PL	N;NOM;MASC;SG
meter	jardów	meter	jard	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
huvudstaden	kapitolu	huvudstad	kapitol	N;NOM;DEF;MASC+FEM;SG	N;GEN;MASC;SG
huvudstaden	kapitał	huvudstad	kapitał	N;NOM;DEF;MASC+FEM;SG	N;ACC;MASC;SG
huvudstaden	kapitału	huvudstad	kapitał	N;NOM;DEF;MASC+FEM;SG	N;GEN;MASC;SG
huvudstaden	stolicy	huvudstad	stolica	N;NOM;DEF;MASC+FEM;SG	
huvudstaden	capital	huvudstad	capital	N;NOM;DEF;MASC+FEM;SG	
havet	morza	hav	morze	N;NOM;DEF;NEUT;SG	N;GEN;NEUT;SG
havet	oceanu	hav	ocean	N;NOM;DEF;NEUT;SG	N;GEN;MASC;SG
invånare	mieszkańców	invånare	mieszkaniec	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;PL
invånare	rezydentów	invånare	rezydent	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;PL
invånare	mieszkańców	invånare	mieszkaniec	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;PL
invånare	obywateli	invånare	obywatel	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
invånare	obywatelami	invånare	obywatel	N;NOM;INDF;MASC+FEM;PL	N;INS;MASC;PL
januari	styczeń	januari	styczenie	N;NOM;INDF;MASC+FEM;SG	
januari	stycznia	januari	styczeń	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
januari	styczniu	januari	styczeń	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
millimeter	milimetrach	millimet	milimetr	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
millimeter	milimetrów	millimet	milimetr	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
millimeter	milimetrów	millimet	milimetr	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
genomsnitt	średnio	genomsnitt	średnio	N;NOM;INDF;NEUT;SG	
genomsnitt	średnie	genomsnitt	średnie	N;NOM;INDF;NEUT;SG	
genomsnitt	średni	genomsnitt	średnia	N;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
genomsnitt	przeciętny	genomsnitt	przeciętny	N;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
genomsnittlig	średnio	genomsnittlig	średnio	ADJ;NOM;INDF;MASC+FEM;SG	
genomsnittlig	średnie	genomsnittlig	średnie	ADJ;NOM;INDF;MASC+FEM;SG	
genomsnittlig	średnia	genomsnittlig	średnia	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG
var	var	var	var	PRO;INDF;MASC+FEM;SG	
var	była	var	być	PRO;INDF;MASC+FEM;SG	V;IPFV;FEM;IND;SG;PST;FIN;ACT
var	był	var	być	PRO;INDF;MASC+FEM;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
var	było	var	być	PRO;INDF;MASC+FEM;SG	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
var	były	var	być	PRO;INDF;MASC+FEM;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
var	byli	var	być	PRO;INDF;MASC+FEM;SG	V;IPFV;MASC;IND;PL;PST;FIN;ACT
var	gdzie	var	gdzie	PRO;INDF;MASC+FEM;SG	ADV
juli	lipca	juli	lipiec	N;NOM;INDF;MASC+FEM;SG	
juli	lipiec	juli	lipiec	N;NOM;INDF;MASC+FEM;SG	
juli	juli	juli	julić	N;NOM;INDF;MASC+FEM;SG	
han	hana	han	han	PRO;NOM;DEF;MASC+FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
han	han	han	han	PRO;NOM;DEF;MASC+FEM;SG	PROPN;NOM;MASC;SG
per	per	per	per	ADP	
vattendrag	rzek	vattendrag	rzeka	N;NOM;INDF;NEUT;SG	
vattendrag	rzeki	vattendrag	rzeka	N;NOM;INDF;NEUT;SG	
vattendrag	rivers	vattendrag	rivers	N;NOM;INDF;NEUT;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
från	from	från	from	ADP	
kanada	kanada	kanad	kanada	PROPN;NOM	
kanada	kanady	kanad	kanada	PROPN;NOM	
provinsen	prowincji	provins	prowincja	N;NOM;DEF;MASC+FEM;SG	N;GEN;FEM;SG
högsta	najwyższa	hög	wysoki	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;FEM;SG
högsta	najwyższy	hög	wysoki	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
högsta	maksimum	hög	maksimum	ADJ;NOM;DEF;RL	
högsta	maksymalnie	hög	maksymalnie	ADJ;NOM;DEF;RL	ADV
högsta	maksymalny	hög	maksymalny	ADJ;NOM;DEF;RL	ADJ;NOM;MASC;SG
högsta	maksymalna	hög	maksymalny	ADJ;NOM;DEF;RL	ADJ;NOM;FEM;SG
högsta	najwyższa	hög	wysoki	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;FEM;SG
högsta	najwyższy	hög	wysoki	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
högsta	najwyższe	hög	wysoki	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;NEUT;SG
augusti	sierpnia	augusti	sierpień	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
augusti	augusta	augusti	augusta	N;NOM;INDF;MASC+FEM;SG	
augusti	sierpień	augusti	sierpienie	N;NOM;INDF;MASC+FEM;SG	
kan	mógł	kunna	móc	V;IND;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
kan	można	kunna	można	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
kan	can	kunna	can	V;IND;PRS;FIN;ACT	
länkar	linków	länka	link	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
länkar	łącza	länka	łączyć	N;NOM;INDF;MASC+FEM;PL	
länkar	odnośniki	länka	odnośnik	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;PL
externa	zewnętrzne	ext	zewnętrzny	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;NEUT;SG
även	nawet	även	nawet	ADV	PART
även	także	även	także	ADV	PART
även	też	även	też	ADV	PART
även	również	även	również	ADV	PART
februari	luty	februari	luty	N;NOM;INDF;MASC+FEM;SG	
februari	lutego	februari	luty	N;NOM;INDF;MASC+FEM;SG	
lake	jeziora	lake	jezioro	N;NOM;INDF;NEUT;SG	N;ACC;NEUT;SG
lake	lake	lake	raka	N;NOM;INDF;NEUT;SG	V;IPFV;IND;SG;PRS;FIN;ACT
sjö	jeziora	sjö	jezioro	N;NOM;INDF;MASC+FEM;SG	N;ACC;NEUT;SG
sjö	lake	sjö	raka	N;NOM;INDF;MASC+FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
sjö	morza	sjö	morze	N;NOM;INDF;MASC+FEM;SG	N;GEN;NEUT;SG
sig	sig	sig	się	PRO;ACC;DEF	
kommun	gmina	kommun	gmina	N;NOM;INDF;MASC+FEM;SG	
två	dwie	två	dwa	NUM;NOM	NUM;ACC;FEM;PL
två	dwóch	två	dwa	NUM;NOM	NUM;ACC;MASC;PL
två	dwa	två	dwa	NUM;NOM	NUM;ACC;MASC;PL
lac	lac	lac	lac	V;IMP;FIN;ACT	
terrängen	tereny	terräng	teren	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;PL
terrängen	terenu	terräng	teren	N;NOM;DEF;MASC+FEM;SG	N;GEN;MASC;SG
long	długi	long	długi	N;NOM;INDF;MASC+FEM;SG	
long	długa	long	długi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
long	długo	long	długo	N;NOM;INDF;MASC+FEM;SG	ADV
long	długie	long	długi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
long	long	long	long	N;NOM;INDF;MASC+FEM;SG	
juni	juni	juni	junić	N;NOM;INDF;MASC+FEM;SG	
juni	czerwca	juni	czerwiec	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
