और	ja	और	ja		CONJ
से	alkaen	से	alkaen		ADV
से	from	से	from		
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	N;NOM;SG
एक	one	एक	oni	NUM	
श्रेणी	luokan	श्रेणी	luokka	N;NOM;FEM;SG;3	N;GEN;SG
श्रेणी	sarjat	श्रेणी	sarja	N;NOM;FEM;SG;3	N;NOM;PL
श्रेणी	luokat	श्रेणी	luokka	N;NOM;FEM;SG;3	N;NOM;PL
भी	edes	भी	edes	PART	ADV
भी	jopa	भी	jopa	PART	ADV
भी	lisäksi	भी	lisäksi	PART	ADV
भी	myöskin	भी	myöskin	PART	ADV
भी	myös	भी	myös	PART	ADV
भी	liian	भी	liian	PART	ADV
भी	too	भी	too	PART	
यह	tämän	यह	tämä	PRO;NOM;SG;3	PRO;GEN;SG
यह	tätä	यह	tämä	PRO;NOM;SG;3	PRO;PRT;SG
यह	tästä	यह	tämä	PRO;NOM;SG;3	PRO;IN+ABL;SG
यह	tämä	यह	tämä	PRO;NOM;SG;3	PRO;NOM;SG
किया	tehty	कर	tehdä	V;PFV;MASC;SG;V.PTCP;ACT	V;NOM;SG;V.PTCP;PASS
किया	done	कर	done	V;PFV;MASC;SG;V.PTCP;ACT	
इस	tämän	यह	tämä	DET;ACC;SG;3	PRO;GEN;SG
इस	tätä	यह	tämä	DET;ACC;SG;3	PRO;PRT;SG
इस	tästä	यह	tämä	DET;ACC;SG;3	PRO;IN+ABL;SG
इस	tämä	यह	tämä	DET;ACC;SG;3	PRO;NOM;SG
कि	tuo	कि	tuo		PRO;NOM;SG
कि	että	कि	että		CONJ
भारत	intian	भारत	inti	PROPN;NOM;MASC;SG;3	N;GEN;SG
भारत	intia	भारत	inti	PROPN;NOM;MASC;SG;3	N;NOM;SG
भारत	intiaan	भारत	inti	PROPN;NOM;MASC;SG;3	N;IN+ALL;SG
जो	joen	जो	joki	PRO;NOM;SG;3	N;GEN;SG
जो	joe	जो	joe	PRO;NOM;SG;3	PROPN;NOM;SG
जो	kuka	जो	kuka	PRO;NOM;SG;3	PRO;NOM;SG
जो	ketä	जो	kettä	PRO;NOM;SG;3	PRO;PRT;SG
जो	who	जो	who	PRO;NOM;SG;3	N;NOM;SG
जो	joka	जो	joka	PRO;NOM;SG;3	PRO;NOM;SG
ही	hee	ही	hen	PART	INTJ
रूप	muodosta	रूप	muoto	N;NOM;MASC;SG;3	V;IMP;SG;2;FIN;ACT
रूप	muodossa	रूप	muoto	N;NOM;MASC;SG;3	N;IN+ESS;SG
रूप	ulkonäön	रूप	ulkonä	N;NOM;MASC;SG;3	N;GEN;SG
कर	veroja	कर	vero	V;ACT	N;PRT;PL
कर	verotus	कर	verotus	V;ACT	N;NOM;SG
कर	vero	कर	vero	V;ACT	N;NOM;SG
कर	verot	कर	vero	V;ACT	N;NOM;PL
कर	veroja	कर	vero	V;ACT	N;PRT;PL
कर	verot	कर	vero	V;ACT	N;NOM;PL
नहीं	ei	नहीं	ei	PART;NEG	V;SG;3;NEG;FIN;ACT
साथ	with	साथ	with	ADV;NOM;MASC;SG;3	N;NOM;SG
पूर्व	itä	पूर्व	itä	ADV;NOM;MASC;SG;3	N;NOM;SG
पूर्व	itään	पूर्व	itä	ADV;NOM;MASC;SG;3	N;IN+ALL;SG
पूर्व	itäinen	पूर्व	itäinen	ADV;NOM;MASC;SG;3	ADJ;NOM;SG
पूर्व	entinen	पूर्व	entinen	ADV;NOM;MASC;SG;3	ADJ;NOM;SG
पूर्व	entiset	पूर्व	entinen	ADV;NOM;MASC;SG;3	ADJ;NOM;PL
होता	olisi	हो	olla	V;IPFV;MASC;SG;V.PTCP;ACT	V;COND;SG;3;FIN;ACT
बाद	myöhempi	बाद	myöhä	ADV;NOM;MASC;SG;3	ADJ;NOM;CMPR;SG
बाद	after	बाद	after	ADV;NOM;MASC;SG;3	
तक	kunnes	तक	kunnes	CONJ	CONJ
तक	till	तक	till	CONJ	N;NOM;SG
तक	kunnes	तक	kunnes	CONJ	CONJ
तक	tak	तक	tak	CONJ	INTJ
अपने	omista	अपना	oma	PRO;NOM;MASC	ADJ;IN+ABL;PL
अपने	oman	अपना	oma	PRO;NOM;MASC	ADJ;GEN;SG
अपने	oma	अपना	oma	PRO;NOM;MASC	ADJ;NOM;SG
अपने	omat	अपना	oma	PRO;NOM;MASC	ADJ;NOM;PL
अपने	sinun	अपना	sinä	PRO;NOM;MASC	PRO;GEN;SG;2
जिले	alueet	जिला	alue	N;NOM;MASC;SG;3	N;NOM;PL
जिले	piirit	जिला	piiri	N;NOM;MASC;SG;3	N;NOM;PL
था	oli	था	olla	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
था	oli	था	olla	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
राज्य	valtioiden	राज्य	valtio	N;NOM;MASC;SG;3	N;GEN;PL
राज्य	valtiot	राज्य	valtio	N;NOM;MASC;SG;3	N;NOM;PL
राज्य	osavaltiot	राज्य	osa#valtio	N;NOM;MASC;SG;3	N;NOM;PL
राज्य	valtion	राज्य	valtio	N;NOM;MASC;SG;3	N;GEN;SG
बाहरी	ulompi	बाहरी	ulompi	ADJ;NOM	N;NOM;SG
बाहरी	ulkoisen	बाहरी	ulkoinen	ADJ;NOM	ADJ;GEN;SG
बाहरी	ulkona	बाहरी	ulkona	ADJ;NOM	ADV
कुछ	osa	कुछ	osa	DET	N;NOM;SG
कुछ	joitakin	कुछ	jokin	DET	PRO;PRT;PL
कुछ	jotkut	कुछ	joku	DET	PRO;NOM;PL
कुछ	jotakin	कुछ	jokin	DET	PRO;PRT;SG
कुछ	jotain	कुछ	jokin	DET	PRO;PRT;SG
गाँव	kylän	गाँव	kylä	N;NOM;MASC;PL;3	N;GEN;SG
गाँव	kylä	गाँव	kylä	N;NOM;MASC;PL;3	N;NOM;SG
गाँव	kylässä	गाँव	kylä	N;NOM;MASC;PL;3	N;IN+ESS;SG
गाँव	kyl	गाँव	kyllä	N;NOM;MASC;PL;3	ADV
सरकार	hallituksen	सरकार	hallitus	N;NOM;FEM;SG;3	N;GEN;SG
कड़ियाँ	linkkejä	कड़ी	linkki	N;NOM;FEM;PL;3	N;PRT;PL
कड़ियाँ	linkkien	कड़ी	linkki	N;NOM;FEM;PL;3	N;GEN;PL
प्रदेश	alueen	प्रदेश	alue	N;NOM;MASC;SG;3	N;GEN;SG
इसके	sen	यह	se	PRO;MASC;SG;3	PRO;GEN;SG
