tlenu	oksijen	tlen	oksij	N;GEN;MASC;SG	
franciszkanów	fransiskan	franciszkan	fransiskan	N;ACC;MASC;PL	
konto	hesap	konto	hesap	N;NOM;NEUT;SG	
pat	çıkmaz	pat	çık		V;IPFV;IND;SG;3;NEG
castro	castro	castro	castro	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
zalecenia	tavsiye	zalecenie	tavsiye	N;NOM;NEUT;PL	
zalecenia	öneri	zalecenie	öneri	N;NOM;NEUT;PL	N;NOM;SG;3
zalecenia	tavsiyeleri	zalecenie	tavsiye	N;NOM;NEUT;PL	N;ACC;PL;3
roberts	roberts	roberts	roberts	PROPN;NOM;MASC;SG	
róża	gül	róża	gül		PROPN;NOM;SG;3
róża	rosa	róża	rosa		PROPN;NOM;SG;3
armaty	toplar	armata	top	N;ACC;FEM;SG	
armaty	cannon	armata	cannon	N;ACC;FEM;SG	
armaty	top	armata	top	N;ACC;FEM;SG	
armaty	toplar	armata	top	N;ACC;FEM;SG	
jung	jung	junga	jung	PROPN;NOM;MASC;SG	
dowody	kanıt	dowód	kanıt	N;NOM;MASC;PL	
dowody	kanıtı	dowód	kanıt	N;NOM;MASC;PL	
dowody	delil	dowód	delil	N;NOM;MASC;PL	
dowody	burhan	dowód	burhan	N;NOM;MASC;PL	
dowody	kanıt	dowód	kanıt	N;NOM;MASC;PL	
dowody	delil	dowód	delil	N;NOM;MASC;PL	
zachowany	tutulan	zachować	tut	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
zachowany	korunmuş	zachować	korun	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;POS;PST;V.PTCP
zachowany	muhafaza	zachować	muhafaza	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	
ósemka	sekiz	ósemka	sekiz	N;NOM;FEM;SG	NUM
ósemka	eight	ósemka	eight	N;NOM;FEM;SG	
ósemka	sekizi	ósemka	sekiz	N;NOM;FEM;SG	
obsługiwane	desteklenen	obsługiwać	destekle	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
obsługiwane	destekli	obsługiwać	destekli	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
kwitnie	bloom	kwitnie	bloo	V;IPFV;IND;SG;3;PRS;FIN;ACT	
basista	basçı	basisty	basçı	N;NOM;MASC;SG	
notowania	alıntılar	notować	alıntı	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;PL;3
notowania	alıntı	notować	al	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	
notowania	tırnak	notować	tırnak	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	
impreza	parti	impreza	parti	N;NOM;FEM;SG	
impreza	party	impreza	party	N;NOM;FEM;SG	
uszkodzony	hasarlı	uszkodzić	hasarlı	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	
uszkodzony	hasar	uszkodzić	hasar	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	
uszkodzony	bozuk	uszkodzić	bozuk	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	
uszkodzony	bozulmuş	uszkodzić	boz	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
uszkodzony	arızalı	uszkodzić	arızalı	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	
administratorem	admin	administrator	admin	N;INS;MASC;SG	
administratorem	yöneticisi	administrator	yönetici	N;INS;MASC;SG	N;NOM;SG;3
administratorem	yönetici	administrator	yönetici	N;INS;MASC;SG	
administratorem	yönetici	administrator	yönetici	N;INS;MASC;SG	
kierunki	tarif	kierunek	tarif	N;NOM;MASC;PL	
trofeum	kupa	trofeum	kupa	N;ACC;MASC;SG	
trofeum	ganimet	trofeum	ganimet	N;ACC;MASC;SG	N;NOM;SG;3
legia	lejyonu	legia	lejyon		N;ACC;SG;3
legia	legia	legia	legia		PROPN;NOM;SG;3
gabinet	kabin	gabinet	kabin	N;NOM;MASC;SG	
zniszczenie	yıkım	zniszczyć	yık	N;PFV;NOM;NEUT;SG;POS;V.MSDR	
zniszczenie	yıkım	zniszczyć	yık	N;PFV;NOM;NEUT;SG;POS;V.MSDR	
zniszczenie	imha	zniszczyć	imha	N;PFV;NOM;NEUT;SG;POS;V.MSDR	
