yaralar	as	yara	o	N;NOM;PL;3	DET
trent	trent	trent	trent		PROPN
dakar	dakar	dakar	dakar	PROPN;NOM;SG;3	PROPN
yumruk	ponche	yumruk	ponche		N
yumruk	unha	yumruk	un		DET
delice	tolas	delice	tola		N
delice	manicomio	delice	manicomio		N
delice	tolo	delice	tolo		N
delice	enfermo	delice	enfermo		N
delice	tolear	delice	tolear		V
bravo	bravo	bravo	bravo		ADJ
zulüm	opresión	zulüm	opresión		N
zulüm	crueldade	zulüm	crueldade		N
zulüm	inxustiza	zulüm	inxustiza		N
zulüm	inxustizas	zulüm	inxustiza		N
esrarengiz	misterioso	esrarengiz	misterioso		ADJ
birkaçı	varios	birkaçı	varios	PRO;NOM;PL;3	DET
birkaçı	varias	birkaçı	varios	PRO;NOM;PL;3	DET
barack	barack	barack	barack		PROPN
aşıklar	amantes	aşık	amante	ADJ;NOM;PL;3	N
şişe	botellas	şişe	botella		N
şişe	botella	şişe	botella		N
koşan	correr	koş	correr		V
koşan	correndo	koş	correr		V
koşan	a	koş	o		DET
herşey	todo	herşey	todo		DET
herşey	o	herşey	o		DET
banyo	baño	banyo	baño		N
banyo	cuarto	banyo	cuarto		ADJ
banyo	baño	banyo	baño		N
metaller	metais	metal	metal	ADJ;NOM;PL;3	N
fit	para	fit	para		ADP
fit	encaixan	fit	encaixar		V
fit	ataque	fit	ataque		N
fit	encaixa	fit	encaixa		V
fit	ben	fit	ben		ADV
fit	axustan	fit	axustar		V
fit	de	fit	de		ADP
duygular	os	duygu	o	N;NOM;PL;3	DET
peugeot	peugeot	peugeot	peugeot	N;NOM;SG;3	PROPN
görüyor	xigante	gör	xigante	V;PROG;IND;SG;3;POS;INFM;PRS	ADJ
dogru	ben	dogru	ben		ADV
dogru	verdade	dogru	verdade		N
dogru	certo	dogru	certo		DET
hile	truco	hile	truco		N
hile	trucos	hile	truco		N
bırak	lanzamento	bırak	lanzamento	V;PFV;IMP;SG;2;POS;PRS	N
teddy	peluche	teddy	peluche		N
öfkeli	enfadado	öfkeli	enfadar		V
öfkeli	anoxados	öfkeli	anoxar		V
