tine	کانٹے	tine	کانٹہ		N;NOM;MASC;SG;3
thyroid	سپری	thyroid	سپری	ADJ	
muzzy	غبی	muzzy	غبی	N	
muzzy	مٹّھا	muzzy	مٹّھ	N	PROPN;NOM;MASC;SG;3
muzzy	بہکاہوا.	muzzy	بہکاہوا.	N	
allegory	رمز.	allegory	رمز.		PROPN;NOM;MASC;SG;3
allegory	ڈراما	allegory	ڈراما		PROPN;NOM;MASC;SG;3
allegory	علامت	allegory	علامت		N;NOM;MASC;SG;3
allegory	نظم	allegory	نظم		N;NOM;MASC;SG;3
allegory	رمز.	allegory	رمز.		PROPN;NOM;MASC;SG;3
allegory	ڈراما	allegory	ڈراما		PROPN;NOM;MASC;SG;3
allegory	مجاز	allegory	مجاز		N;NOM;MASC;SG;3
allegory	علامت	allegory	علامت		N;NOM;MASC;SG;3
allegory	نظم	allegory	نظم		N;NOM;MASC;SG;3
arbiter	پارکھ	arbiter	پارکھ		PROPN;NOM;MASC;SG;3
arbiter	حکم	arbiter	حکم		N;NOM;MASC;SG;3
grumpy	جھلّا	grumpy	جھلّا		PROPN;NOM;MASC;SG;3
grumpy	چِڑچڑا	grumpy	چِڑچڑا		PROPN;NOM;MASC;SG;3
ballista	منجنیق	ballista	منجنیق		N;NOM;MASC;SG;3
zest	لیموں	zest	لیموں		N;ACC;MASC;PL;3
zest	چاشنی	zest	چاشنی		N;NOM;MASC;SG;3
zest	چٹپٹاپن	zest	چٹپٹاپن		PROPN;NOM;MASC;SG;3
zest	مزہ	zest	مزہ		N;NOM;MASC;SG;3
inconstant	متغیر.	inconstant	متغیر.		ADJ
positivism	اثباتیت	positivism	اثباتیت		ADJ;NOM
inflight	خدمت	inflight	خدمت		N;NOM;FEM;SG;3
impressionism	ارتسامیت.	impressionism	ارتسامیت.		N;NOM;MASC;SG;3
impressionism	تأثریت	impressionism	تأثریت		N;NOM;MASC;SG;3
gasser	بکواسی	gasser	بکواسی		PROPN;NOM;MASC;SG;3
callow	خام.	callow	خام.		PROPN;NOM;MASC;SG;3
tribulation	بپتا.	tribulation	بپتا.		PROPN;NOM;MASC;SG;3
lofty	ارفع.	lofty	ارفع.		PROPN;NOM;MASC;SG;3
lofty	سرکشیدہ	lofty	سرکشیدہ		ADJ;NOM
lofty	برگزیدہ.	lofty	برگزیدہ.		PROPN;NOM;MASC;SG;3
lofty	باوقار.	lofty	باوقار.		ADP
lofty	برتر	lofty	برتر		N;NOM;MASC;SG;3
lofty	دراز	lofty	عرصہ		ADJ
lofty	مغرور	lofty	مغرور		PROPN;NOM;MASC;SG;3
lofty	اعلیٰ	lofty	اعلیٰ		ADJ
thump	اچھلنا	thump	اچھل		V;MASC;SG;NFIN;ACT
thump	پیٹنا	thump	پیٹنا		V;MASC;SG;ACT
thump	پھڑکنا	thump	پھڑک		V;SG;NFIN;ACT
thump	مکّا	thump	مک		PROPN;NOM;MASC;SG;3
dihedral	دوسطحی	dihedral	دوسطحی	V	ADJ
tyro	نوسیکھ	tyro	نوسیکھ		PROPN;NOM;MASC;SG;3
reticulum	شریانوں	reticulum	شریان		N;NOM;MASC;PL;3
heretic	بدعتی	heretic	بدعتی		ADJ
heretic	ملحد.	heretic	ملحد.		PROPN;NOM;MASC;SG;3
gastric	شکمی	gastric	شکمی		PROPN;NOM;MASC;SG;3
pesto	لہسن	pesto	لہسن		N;NOM;MASC;SG;3
insidious	عیّار	insidious	عیّار		PROPN;NOM;MASC;SG;3
insidious	مکّار.	insidious	مکّار.		PROPN;NOM;MASC;SG;3
stride	لانگنا.	stride	لانگنا.		PROPN;NOM;MASC;SG;3
choppy	متلاطم	choppy	متلاطم	V	ADJ
detrital	ریزیدہ	detrital	ریزیدہ		PROPN;NOM;MASC;SG;3
pinion	تکلا	pinion	تکلا		PROPN;NOM;MASC;SG;3
pinion	شہپر	pinion	شہپر		PROPN;NOM;MASC;SG;3
volatile	عبوری.	volatile	عبوری.		PROPN;NOM;MASC;SG;3
volatile	عارضی	volatile	عارضی		ADJ
volatile	اڑنہار	volatile	اڑنہار		PROPN;NOM;MASC;SG;3
derrière	چوتڑ	derrière	چوتڑ		N;NOM;MASC;SG;3
derrière	سرین	derrière	سرین		PROPN;NOM;MASC;SG;3
artisan	کاریگر	artisan	کاریگر	N	PROPN;NOM;MASC;SG;3
artisan	فنکار.	artisan	فنکار.	N	PROPN;NOM;MASC;SG;3
artisan	مستری	artisan	مستری	N	PROPN;NOM;MASC;SG;3
cosmological	سماوی	cosmological	سماوی	V	
cosmological	آفاقی	cosmological	آفاقی	V	ADJ
