και	si	και	sine	CONJ	
που	care	που	care	PRO;ACC;NEUT;SG;3	PRO;3
κατηγορία	categoria	κατηγορία	categorie	N;NOM;FEM;SG	N;DEF;FEM;SG
κατηγορία	categorii	κατηγορία	categorie	N;NOM;FEM;SG	N;INDF;FEM;PL
κατηγορία	categorie	κατηγορία	categorie	N;NOM;FEM;SG	N;INDF;FEM;SG
τους	ei	μου	el	PRO;GEN;MASC;PL;3	PRO;MASC;PL;3
ένα	una	ένας	unul	NUM;NOM;NEUT;SG	PRO;FEM;SG;3
ένα	unul	ένας	unul	NUM;NOM;NEUT;SG	PRO;MASC;SG;3
ένα	unu	ένας	unu	NUM;NOM;NEUT;SG	NUM;MASC;SG
ότι	asta	ότι	acesta	CONJ	PRO;FEM;SG;3
ότι	aia	ότι	acela	CONJ	PRO;FEM;SG;3
μια	una	ένας	unul	NUM;NOM;FEM;SG	PRO;FEM;SG;3
μια	unul	ένας	unul	NUM;NOM;FEM;SG	PRO;MASC;SG;3
μια	unu	ένας	unu	NUM;NOM;FEM;SG	NUM;MASC;SG
θα	will	θα	will	PART	PROPN
θα	va	θα	vrea	PART	V;SG;3
μετά	dupa	μετά	dupa	ADV	N;DEF;FEM;SG
μετά	după	μετά	după	ADV	ADP;ACC
όπως	like	όπως	like	ADV	
είχε	avea	έχω	avea	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
δύο	doua	δύο	doi	NUM;NOM;MASC;PL	NUM;FEM;SG
αυτό	asta	αυτός	acesta	PRO;NOM;NEUT;SG;3	PRO;FEM;SG;3
αυτό	aceasta	αυτός	acesta	PRO;NOM;NEUT;SG;3	PRO;FEM;SG;3
αυτό	că	αυτός	că	PRO;NOM;NEUT;SG;3	CONJ;POS
αυτό	asta	αυτός	acesta	PRO;NOM;NEUT;SG;3	PRO;FEM;SG;3
αυτό	aia	αυτός	acela	PRO;NOM;NEUT;SG;3	PRO;FEM;SG;3
αυτή	ea	αυτός	el	PRO;NOM;FEM;SG;3	PRO;FEM;SG;3
όταν	cand	όταν	cand	CONJ	
όταν	când	όταν	când	CONJ	ADV
μία	una	ένας	unul	NUM;NOM;FEM;SG	PRO;FEM;SG;3
μία	unul	ένας	unul	NUM;NOM;FEM;SG	PRO;MASC;SG;3
μία	unu	ένας	unu	NUM;NOM;FEM;SG	NUM;MASC;SG
μπορεί	pot	μπορώ	putea	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
μπορεί	can	μπορώ	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	
ομάδα	echipa	ομάδα	echipă	N;ACC;FEM;SG	N;DEF;FEM;SG
ομάδα	squad	ομάδα	squad	N;ACC;FEM;SG	ADJ
ομάδα	grupă	ομάδα	grupă	N;ACC;FEM;SG	N;INDF;FEM;SG
ομάδα	grupa	ομάδα	grupă	N;ACC;FEM;SG	N;DEF;FEM;SG
ομάδα	grupul	ομάδα	grup	N;ACC;FEM;SG	N;DEF;MASC;SG
ομάδα	grupă	ομάδα	grupă	N;ACC;FEM;SG	N;INDF;FEM;SG
ομάδα	echipă	ομάδα	echipă	N;ACC;FEM;SG	N;INDF;FEM;SG
ομάδα	echipa	ομάδα	echipă	N;ACC;FEM;SG	N;DEF;FEM;SG
θέση	pozitie	θέση	pozitie	N;ACC;FEM;SG	N;INDF;FEM;SG
θέση	poziția	θέση	poziție	N;ACC;FEM;SG	N;DEF;FEM;SG
θέση	poziţia	θέση	pozigie	N;ACC;FEM;SG	N;DEF;FEM;SG
θέση	poziţie	θέση	poziţie	N;ACC;FEM;SG	N;INDF;FEM;SG
θέση	poziție	θέση	poziție	N;ACC;FEM;SG	N;INDF;FEM;SG
μεταξύ	intre	μεταξύ	intra	ADP	V;SBJV;3;PRS;FIN
χρόνια	cronică	χρόνος	cronică	N;NOM;NEUT;PL	N;INDF;FEM;SG
χρόνια	cronic	χρόνος	cronic	N;NOM;NEUT;PL	ADJ;INDF;MASC;SG
χρόνια	cronice	χρόνος	cronic	N;NOM;NEUT;PL	ADJ;INDF;FEM;PL
χρόνια	anii	χρόνος	an	N;NOM;NEUT;PL	N;DEF;MASC;PL
πρώτη	primii	πρώτος	prim	NUM;NOM;FEM;SG	NUM;DEF;MASC;PL
πρώτη	prima	πρώτος	prim	NUM;NOM;FEM;SG	NUM;DEF;FEM;SG
πρώτη	primul	πρώτος	prim	NUM;NOM;FEM;SG	NUM;DEF;MASC;SG
ένας	una	ένας	unul	DET;NOM;INDF;MASC;SG	PRO;FEM;SG;3
ένας	unul	ένας	unul	DET;NOM;INDF;MASC;SG	PRO;MASC;SG;3
ένας	unu	ένας	unu	DET;NOM;INDF;MASC;SG	NUM;MASC;SG
πόλη	oraşul	πόλη	orac	N;NOM;FEM;SG	N;DEF;MASC;SG
πόλη	oraşul	πόλη	orac	N;NOM;FEM;SG	N;DEF;MASC;SG
