right	jobbra	righta	jobbra		ADV
tudi	szintén	tudi	szintén	PART	
tudi	egyben	tudi	egyben	PART	ADV
tudi	úgyszintén	tudi	úgyszintén	PART	
leta	évek	leto	év	N;GEN;NEUT;SG	N;NOM;PL
leta	év	leto	év	N;GEN;NEUT;SG	N;NOM;SG
kot	like	kot	lik	CONJ	
kot	tetszik	kot	tetszik	CONJ	V;INDF;IND;SG;3;PRS;FIN;ACT
team	team	teama	team	N;NOM;MASC;SG	
med	során	med	sor	ADP;INS	N;ON+ESS;SG
glej	lásd	gledati	lásd	V;IPFV;IMP;SG;2;FIN	
glej	óra	gledati	óra	V;IPFV;IMP;SG;2;FIN	N;NOM;SG
glej	vigyázz	gledati	vigyázz	V;IPFV;IMP;SG;2;FIN	V;DEF;IND;SG;1;PRS;FIN;ACT
lahko	lehetne	lahko	lesz	ADV	V;INDF;SG;3;PRS;FIN;ACT
lahko	tud	lahko	tud	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
lahko	can	lahko	can	ADV	
lahko	lehet	lahko	lesz	ADV	V;INDF;POT;SG;3;PRS;FIN;ACT
nova	újdonság	nov	újdonság	ADJ;NOM;FEM;SG	N;NOM;SG
nova	nova	nov	nova	ADJ;NOM;FEM;SG	
mehika	mexikó	mehika	mexikó	PROPN;NOM;FEM;SG	
socorro	socorro	socorra	socor	N;NOM;MASC;SG	NUM;NOM;SG
ter	ter	ter	ter	CONJ	
več	more	več	more	DET	
več	további	več	további	DET	N;NOM;SG
več	tobb	več	tobb	DET	
zunanje	külső	zunanji	külső	ADJ;NOM;FEM;PL	
pod	alatt	pod	alatt		ADP
pod	alá	pod	alá		ADP
del	részben	del	részben	N;NOM;MASC;SG	ADV
del	del	del	del	N;NOM;MASC;SG	
kjer	hol	kjer	hol	CONJ	ADV
kjer	ahol	kjer	ahol	CONJ	ADV
jih	ők	on	ők	PRO;ACC;MASC;PL;3	PRO;NOM;PL;3
mesto	városban	mesto	város	N;NOM;NEUT;SG	N;IN+ESS;SG
mesto	town	mesto	town	N;NOM;NEUT;SG	
mesto	city	mesto	city	N;NOM;NEUT;SG	
mesto	városi	mesto	városi	N;NOM;NEUT;SG	ADJ;NOM;SG
september	szeptemberben	september	szeptember	N;NOM;MASC;SG	N;IN+ESS;SG
september	szeptemberi	september	szeptemberi	N;NOM;MASC;SG	ADJ;NOM;SG
