stan	stane	stan	stát	N;INDF;MASC+FEM;SG	V;IND;SG;3;POS;PRS;FIN;ACT
mil	mile	mil	mile	N;INDF;MASC+FEM;SG	ADV
mil	míle	mil	míla	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL;POS
mil	miles	mil	miles	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
mil	kilometry	mil	kilometr	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL;POS
mil	míle	mil	míla	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL;POS
installeret	nainstalován	installere	nainstalovaný	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
varmt	horko	varm	horko	ADJ;INDF;NEUT;SG	N;NOM;NEUT;SG;POS
varmt	sexy	varm	sex	ADJ;INDF;NEUT;SG	N;NOM;FEM;PL;POS
varmt	hot	varm	hota	ADJ;INDF;NEUT;SG	PROPN;NOM;MASC;SG;POS
varmt	teplo	varm	teplo	ADJ;INDF;NEUT;SG	N;NOM;NEUT;SG;POS
passere	přihrávka	passere	přihrávka	V;NFIN;ACT	N;NOM;FEM;SG;POS
passere	průsmyk	passere	průsmyk	V;NFIN;ACT	N;INAN;NOM;MASC;SG;POS
passere	pass	passere	pass	V;NFIN;ACT	N;INAN;NOM;MASC;SG;POS
colorado	colorada	colorado	colorada		PROPN;NOM;FEM;SG;POS
colorado	colorado	colorado	colorado		PROPN;NOM;MASC;SG;POS
fungerende	fungování	fungerende	fungování	V;PRS;V.PTCP	N;NOM;NEUT;SG;POS
fungerende	fungující	fungerende	fungující	V;PRS;V.PTCP	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
væske	tekutiny	væske	tekutina	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL;POS
væske	tekutý	væske	tekutý	N;INDF;MASC+FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
væske	tekuté	væske	tekutý	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL;POS
konklusion	závěry	konklusion	závěr	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL;POS
mursten	cihly	mursten	cihla	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL;POS
mursten	cihel	mursten	cihla	N;DEF;MASC+FEM;SG	N;GEN;FEM;PL;POS
forfatningen	ústavy	forfatning	ústava	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL;POS
monica	monika	monica	monika		N;NOM;FEM;SG;POS
monica	monica	monica	monica		PROPN;NOM;FEM;SG;POS
udkommet	zveřejněné	udkomme	zveřejněný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;POS
udkommet	zveřejněno	udkomme	zveřejněný	V;INDF;SG;PST;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
udkommet	zveřejněna	udkomme	zveřejněný	V;INDF;SG;PST;V.PTCP	ADJ;POS;V.PTCP;PASS
udkommet	vydané	udkomme	vydaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS
inkluderede	zahrnut	inkludere	zahrnutý	V;PL;PST;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
inkluderede	zahrnuty	inkludere	zahrnutý	V;PL;PST;V.PTCP	ADJ;INAN;PL;POS;V.PTCP;PASS
inkluderede	včetně	inkludere	včetně	V;PL;PST;V.PTCP	ADP;GEN
inkluderede	zahrnuto	inkludere	zahrnutý	V;PL;PST;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
