نافذة	fönstret	نَافِذ	fönstr	N;NOM;INDF;SG	N;NOM;DEF;NEUT;SG
العنب	vindruvor	عُنب	vindruva	N;NOM;DEF;SG	N;NOM;INDF;MASC+FEM;PL
العنب	druvor	عُنب	druva	N;NOM;DEF;SG	N;NOM;INDF;MASC+FEM;PL
تحسن	förbättrade	تَحَسُّن	förbättrad	N;NOM;INDF;SG	ADJ;NOM;PL;PST;V.PTCP
تحسن	förbättrat	تَحَسُّن	förbättrad	N;NOM;INDF;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
تحسن	förbättrad	تَحَسُّن	förbättrad	N;NOM;INDF;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
تحسن	förbättringar	تَحَسُّن	förbättring	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;PL
اصل	ursprung	أَصل	ursprung		N;NOM;INDF;NEUT;SG
الصدمة	chock	صَدمَة	chock	N;NOM;DEF;SG	N;NOM;INDF;MASC+FEM;SG
الصدمة	stöt	صَدمَة	stöta	N;NOM;DEF;SG	N;NOM;INDF;MASC+FEM;SG
الصدمة	trauma	صَدمَة	trauma	N;NOM;DEF;SG	N;NOM;INDF;NEUT;SG
الصدمة	trauman	صَدمَة	trauma	N;NOM;DEF;SG	N;NOM;INDF;NEUT;PL
المسافرين	passagerare	مُسَافِر	passagerare	N;NOM;DEF;PL	N;NOM;INDF;MASC+FEM;PL
المسافرين	resenärer	مُسَافِر	resenär	N;NOM;DEF;PL	N;NOM;INDF;MASC+FEM;PL
المسافرين	resande	مُسَافِر	resa	N;NOM;DEF;PL	N;NOM;INDF;NEUT;SG
المسافرين	resenärer	مُسَافِر	resenär	N;NOM;DEF;PL	N;NOM;INDF;MASC+FEM;PL
ابرز	betonade	أَبرَز	betona	ADJ;NOM;INDF;MASC;SG	V;NOM;PL;PST;V.PTCP;ACT
ابرز	markerade	أَبرَز	markera	ADJ;NOM;INDF;MASC;SG	V;NOM;PL;PST;V.PTCP
ابرز	markerad	أَبرَز	markerad	ADJ;NOM;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
ابرز	markerat	أَبرَز	markera	ADJ;NOM;INDF;MASC;SG	ADV
ابرز	höjdpunkt	أَبرَز	höjdpunkt	ADJ;NOM;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
ابرز	markera	أَبرَز	markera	ADJ;NOM;INDF;MASC;SG	V;IMP;FIN;ACT
ابرز	belysa	أَبرَز	belysa	ADJ;NOM;INDF;MASC;SG	V;IMP;FIN;ACT
ابرز	framhäva	أَبرَز	framhäva	ADJ;NOM;INDF;MASC;SG	V;IMP;FIN;ACT
ابرز	slingor	أَبرَز	slinga	ADJ;NOM;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
ابرز	höjdpunkter	أَبرَز	höjdpunkt	ADJ;NOM;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
ابرز	belyser	أَبرَز	belysa	ADJ;NOM;INDF;MASC;SG	V;IND;PRS;FIN;ACT
سرقة	stölder	سَرِقَة	stöld	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;PL
سرقة	stjäla	سَرِقَة	stjäla	N;NOM;INDF;SG	V;IMP;FIN;ACT
سرقة	stjäl	سَرِقَة	stjäl	N;NOM;INDF;SG	V;IMP;FIN;ACT
كانو	cano	كانو	cano	V;PFV;MASC;PL;3;ACT	PROPN;NOM
بلو	blu	بِلُو	blu		PROPN;NOM
بلو	blå	بِلُو	blå		ADJ;NOM;PL
بلو	blue	بِلُو	blue		N;NOM;INDF;MASC+FEM;SG
بلو	blåa	بِلُو	blåa		ADJ;NOM;PL
بلو	blått	بِلُو	blå		N;NOM;INDF;NEUT;SG
الروحية	andliga	رُوحِيَّة	andlig	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;PL
الروحية	själslig	رُوحِيَّة	själslig	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
الروحية	andlig	رُوحِيَّة	andlig	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
الروحية	andligt	رُوحِيَّة	andlig	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
هرم	pyramid	هرم	pyramid		N;NOM;INDF;MASC+FEM;SG
الرومانسية	romans	رُومَانسِيَّة	romans	N;NOM;DEF;SG	N;NOM;INDF;MASC+FEM;SG
الرومانسية	romantik	رُومَانسِيَّة	romantik	N;NOM;DEF;SG	N;NOM;INDF;MASC+FEM;SG
الغوص	dykning	غَوص	dykning	N;NOM;DEF;SG	N;NOM;INDF;MASC+FEM;SG
الغوص	dykt	غَوص	dyk	N;NOM;DEF;SG	V;V.CVB;ACT
الغوص	dyker	غَوص	dyka	N;NOM;DEF;SG	V;IND;PRS;FIN;ACT
الغوص	dyka	غَوص	dyk	N;NOM;DEF;SG	V;IMP;FIN;ACT
الغوص	dyka	غَوص	dyk	N;NOM;DEF;SG	V;IMP;FIN;ACT
الغوص	dyk	غَوص	dyk	N;NOM;DEF;SG	N;NOM;INDF;NEUT;SG
ذرية	avkomman	ذُرِّيَّة	avkomma	ADJ;NOM;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
ذرية	avkomma	ذُرِّيَّة	avkomma	ADJ;NOM;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ذرية	avkommor	ذُرِّيَّة	avkomma	ADJ;NOM;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;PL
ذرية	atomic	ذُرِّيَّة	atomic	ADJ;NOM;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
البني	brun	بَنِّيّ	brun	N;NOM;DEF;SG	N;NOM;INDF;MASC+FEM;SG
البني	bruna	بَنِّيّ	brun	N;NOM;DEF;SG	ADJ;NOM;PL
البني	brunt	بَنِّيّ	brunt	N;NOM;DEF;SG	ADJ;NOM;INDF;NEUT;SG
البني	brown	بَنِّيّ	brown	N;NOM;DEF;SG	PROPN;NOM
سامسونج	samsung	سامسونج	samsung		N;NOM;INDF;MASC+FEM;SG
مدفع	kanonen	مُدفَع	kano	N;NOM;INDF;SG	N;NOM;DEF;MASC+FEM;SG
مدفع	kanoner	مُدفَع	kanon	N;NOM;INDF;SG	N;NOM;INDF;MASC+FEM;PL
شحن	laddar	شَحن	ladda	N;NOM;INDF;SG	V;IND;PRS;FIN;ACT
شحن	sjöfarten	شَحن	sjöfart	N;NOM;INDF;SG	N;NOM;DEF;MASC+FEM;SG
يان	jan	يان	jan		PROPN;NOM
يان	yan	يان	yan		PROPN;NOM
الرمل	sand	رَمل	sand	N;NOM;DEF;SG	N;NOM;INDF;MASC+FEM;SG
مانع	sinnet	مَانِع	sinne	N;NOM;INDF;SG	N;NOM;DEF;NEUT;SG
القاعة	hall	قَاعَة	hall	N;NOM;DEF;SG	N;NOM;INDF;MASC+FEM;SG
الحركية	kinetiska	حَرَكِيّ	kinetisk	N;NOM;DEF;SG	ADJ;NOM;PL
