que	že	que	že	PRO;MASC;SG	CONJ
uma	one	um	ona	NUM	
com	kom	com	kto	ADP	N;INAN;NOM;MASC;SG
com	com	com	co	ADP	INTJ
para	za	para	za	ADP	
por	za	por	za	ADP	
foi	bola	foi	byť	ADV	V;IPFV;FEM;SG;POS;PST;V.PTCP
foi	bol	foi	byť	ADV	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
foi	bolo	foi	byť	ADV	V;IPFV;NEUT;SG;POS;PST;V.PTCP
como	jak	como	jak	ADV	INTJ
como	jako	como	jako	ADV	
como	like	como	lika	ADV	N;ANIM;VOC;MASC;SG
não	neni	não	neni	INTJ	
não	nie	não	nie	INTJ	PART
dos	dos	dos	dos	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
mais	viacej	mais	viaci	ADV	NUM;NOM;NEUT;SG
mais	ďalšie	mais	ďalší	ADV	ADJ;NOM;NEUT;SG
mais	viac	mais	viac	ADV	NUM;NOM;NEUT;SG
sua	jej	seu	ona	DET;FEM;SG	PRO;DAT;FEM;SG;3
sua	its	seu	its	DET;FEM;SG	
sua	ids	seu	ids	DET;FEM;SG	
utc	utc	utc	utc	N;MASC;SG	
são	sú	ser	byť	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN
seu	jej	seu	ona	DET;MASC;SG	PRO;DAT;FEM;SG;3
seu	its	seu	its	DET;MASC;SG	
seu	ids	seu	ids	DET;MASC;SG	
min	min	min	min	N;MASC;PL	
das	das	das	das	N;MASC;SG	V;PFV;IMP;SG;2;POS;FIN
também	aj	também	aj	ADV	PART
também	tiež	também	tiež	ADV	PART
também	taky	também	tak	ADV	N;INAN;NOM;MASC;SG
também	too	também	too	ADV	INTJ
ser	bytia	ser	byť	V;NFIN	N;NOM;NEUT;SG
ser	bytosť	ser	bytosť	V;NFIN	N;NOM;FEM;SG
ser	ser	ser	ser	V;NFIN	INTJ
ele	mu	ele	on	PRO;NOM;MASC;SG;3	PRO;ANIM;DAT;MASC;SG;3
ele	neho	ele	on	PRO;NOM;MASC;SG;3	PRO;ANIM;GEN;MASC;SG;3
ele	ho	ele	on	PRO;NOM;MASC;SG;3	PRO;ANIM;ACC;MASC;SG;3
discussão	diskutovať	discussão	diskutovať	N;FEM;SG	V;IPFV;POS;NFIN
discussão	diskusie	discussão	diskusie	N;FEM;SG	N;NOM;FEM;PL
era	bola	ser	byť	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
era	bol	ser	byť	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
era	bolo	ser	byť	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
sobre	približne	sobre	približne	ADP	ADV
até	do	até	do	ADV	ADP;GEN
até	kým	até	kým	ADV	CONJ
até	dokiaľ	até	dokiaľ	ADV	CONJ
cidade	city	cidade	cit	N;FEM;SG	N;INAN;NOM;MASC;PL
cidade	mestské	cidade	mestský	N;FEM;SG	ADJ;NOM;NEUT;SG
quando	keď	quando	keď	ADV	CONJ
quando	ked	quando	ked	ADV	PART
foram	boli	ser	byť	V;IND;PL;3;PST;FIN	V;IPFV;MASC;PL;POS;PST;V.PTCP
mesmo	rovnaká	mesmo	rovnaký	ADV	ADJ;NOM;FEM;SG
mesmo	rovnaké	mesmo	rovnaký	ADV	ADJ;NOM;NEUT;SG
mesmo	rovnaký	mesmo	rovnaký	ADV	ADJ;ANIM;NOM;MASC;SG
grande	veľkých	grande	veľký	ADJ;MASC;SG	ADJ;ANIM;GEN;MASC;PL
grande	veľkí	grande	veľký	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;PL
grande	velke	grande	velka	ADJ;MASC;SG	N;NOM;FEM;SG
grande	velka	grande	velka	ADJ;MASC;SG	N;NOM;FEM;SG
grande	big	grande	big	ADJ;MASC;SG	
grande	skvele	grande	skvele	ADJ;MASC;SG	ADV
grande	super	grande	super	ADJ;MASC;SG	INTJ
grande	grande	grande	grande	ADJ;MASC;SG	
brasil	brazílie	brasil	brazília	N;MASC;SG	N;NOM;FEM;PL
rio	rio	rio	rio	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
rio	riu	rio	ria	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
rio	ria	rio	ria	N;MASC;SG	
rio	river	rio	river	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
rio	riečna	rio	riečno	N;MASC;SG	ADJ;NOM;FEM;SG
rio	rieky	rio	rieka	N;MASC;SG	N;NOM;FEM;PL
depois	neskor	depois	neskor	ADV	PROPN;ANIM;NOM;MASC;SG
depois	po	depois	po	ADV	ADP;ESS
estado	štátne	estado	štátny	N;MASC;SG	ADJ;NOM;NEUT;SG
estado	štátna	estado	štátny	N;MASC;SG	ADJ;NOM;FEM;SG
estado	podmienky	estado	podmienka	N;MASC;SG	N;NOM;FEM;PL
primeiro	prvý	primeiro	prvý	ADV	ADJ;ANIM;NOM;MASC;SG
primeiro	prvy	primeiro	prva	ADV	ADJ;INAN;NOM;MASC;SG
primeiro	prva	primeiro	prvý	ADV	N;NOM;FEM;SG
primeiro	prvé	primeiro	prvý	ADV	ADJ;NOM;NEUT;SG
primeiro	prvá	primeiro	prvý	ADV	ADJ;NOM;FEM;SG
pode	májové	poder	májový	V;IND;SG;3;PRS;FIN	ADJ;NOM;NEUT;SG
pode	mája	poder	máj	V;IND;SG;3;PRS;FIN	N;INAN;GEN;MASC;SG
pode	máj	poder	mať	V;IND;SG;3;PRS;FIN	INTJ
pode	môžu	poder	môcť	V;IND;SG;3;PRS;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN
pode	mozu	poder	moz	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
pode	can	poder	can	V;IND;SG;3;PRS;FIN	
pode	moze	poder	moz	V;IND;SG;3;PRS;FIN	
durante	pocas	durante	pocas	ADP	N;NOM;MASC;SG
primeira	najprv	primeiro	najprv	ADJ;FEM;SG	ADV
primeira	prva	primeiro	prvý	ADJ;FEM;SG	N;NOM;FEM;SG
externas	externý	externo	externý	N;FEM;PL	ADJ;ANIM;NOM;MASC;SG
externas	vonkajšie	externo	vonkajší	N;FEM;PL	ADJ;NOM;NEUT;SG
externas	vonkajší	externo	vonkajší	N;FEM;PL	ADJ;INAN;NOM;MASC;SG
