של	shel	של	shel	PART;GEN	N;NOM;SG
את	sinä	את	sinä	PART;ACC	PRO;NOM;SG;2
על	noin	על	noin	ADP	ADV
עם	mukaan	עם	mukaan	ADP	ADV
עם	mukana	עם	mukana	ADP	ADV
עם	with	עם	with	ADP	N;NOM;SG
עם	kanssa	עם	kanssa	ADP	ADV
גם	too	גם	too	ADV	
זה	että	זה	että	PRO;MASC;SG;3	CONJ
היה	oliko	היה	olla	V;MASC;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
שיחה	soita	שיחה	soittaa	N;FEM;SG	V;IMP;SG;2;FIN;ACT
לאחר	jälkeen	לאחר	jälkeen	ADP	ADV
לאחר	after	לאחר	after	ADP	
בין	papua	בין	papu	ADP	N;PRT;SG
בין	bean	בין	bea	ADP	
בין	inter	בין	inter	ADP	PROPN;NOM;SG
בין	väliin	בין	väliin	ADP	ADV
בין	välillä	בין	välillä	ADP	ADV
בין	välissä	בין	välissä	ADP	ADV
כל	kaikille	כול	kaikki	DET;PSSD	PRO;AT+ALL;PL
כל	kaikki	כול	kaikki	DET;PSSD	PRO;NOM;SG
ישראל	israelin	ישראל	israeli	PROPN	N;GEN;SG
ישראל	israel	ישראל	israel	PROPN	N;NOM;SG
ישראל	israelista	ישראל	israelinen	PROPN	N;IN+ABL;SG
ישראל	israelissa	ישראל	israeli	PROPN	N;IN+ESS;SG
עד	till	עד	till	ADP	N;NOM;SG
עד	kunnes	עד	kunnes	ADP	CONJ
עד	kunnes	עד	kunnes	ADP	CONJ
יש	jee	יש	jee	V	INTJ
שם	nimi	שם	nimi	ADV	N;NOM;SG
שם	nimeä	שם	nimi	ADV	N;PRT;SG
בית	beit	בית	beit	N;MASC;SG	PROPN;NOM;SG
בית	kotona	בית	kotona	N;MASC;SG	ADV
הם	ne	הוא	se	PRO;MASC;PL;3	PRO;NOM;PL
הייתה	oliko	היה	olla	V;FEM;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
אשר	asher	אשר	asher	CONJ	PROPN;NOM;SG
אשר	escher	אשר	escher	CONJ	N;NOM;SG
אשר	usher	אשר	usher	CONJ	PROPN;NOM;SG
אשר	jonka	אשר	joka	CONJ	PRO;GEN;SG
אשר	joka	אשר	joka	CONJ	PRO;NOM;SG
אשר	jota	אשר	joka	CONJ	PRO;PRT;SG
אשר	johon	אשר	joka	CONJ	PRO;IN+ALL;SG
אשר	jotka	אשר	joka	CONJ	PRO;NOM;PL
אשר	vahvistaa	אשר	vahvistaa	CONJ	V;IND;SG;PRS;FIN;ACT
