से	از	से	از		ADP
है	های	है	ها	V;IND;SG;3;PRS;FIN;ACT	N;PL
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	N;SG
एक	یگانه	एक	یگانه	NUM	N;SG
भी	حتی	भी	حتی	PART	ADV
भी	حتى	भी	حتى	PART	
भी	وحتی	भी	وحتی	PART	CONJ
भी	همچنین	भी	همچنین	PART	CONJ
भी	همچنین	भी	همچنین	PART	CONJ
यह	این	यह	این	PRO;NOM;SG;3	DET
हैं	هستند	है	هست	V;IND;PL;3;PRS;FIN;ACT	V;PL;3;PRS
हैं	are	है	are	V;IND;PL;3;PRS;FIN;ACT	
कि	که	कि	که		CONJ
भारत	هند	भारत	هند	PROPN;NOM;MASC;SG;3	N;SG
भारत	هندوستان	भारत	هندوستان	PROPN;NOM;MASC;SG;3	N;SG
जो	جو	जो	جو	PRO;NOM;SG;3	N;SG
जो	که	जो	که	PRO;NOM;SG;3	CONJ
कर	مالیات	कर	مالیه	V;ACT	N;PL
कर	مالیاتی	कर	مالی	V;ACT	N;PL
कर	مالیات	कर	مالیه	V;ACT	N;PL
कर	مالیاتی	कर	مالی	V;ACT	N;PL
साथ	با	साथ	با	ADV;NOM;MASC;SG;3	ADP
पूर्व	شرق	पूर्व	شرق	ADV;NOM;MASC;SG;3	N;SG
पूर्व	شرقی	पूर्व	شرقی	ADV;NOM;MASC;SG;3	N;SG
पूर्व	سابق	पूर्व	سابق	ADV;NOM;MASC;SG;3	ADJ
पूर्व	پیشین	पूर्व	پیشین	ADV;NOM;MASC;SG;3	N;SG
बाद	دیرتر	बाद	دیر	ADV;NOM;MASC;SG;3	ADJ;CMPR
बाद	بعدها	बाद	بعد	ADV;NOM;MASC;SG;3	ADV
बाद	بعدا	बाद	بعداً	ADV;NOM;MASC;SG;3	
बाद	بعداً	बाद	بعداً	ADV;NOM;MASC;SG;3	ADV
तक	تا	तक	تا	CONJ	ADP
तक	تا	तक	تا	CONJ	ADP
तक	تاک	तक	تاک	CONJ	N;SG
तक	tak	तक	tak	CONJ	N;SG
जिले	نواحی	जिला	ناحیه	N;NOM;MASC;SG;3	N;PL
जिले	مناطق	जिला	منطقه	N;NOM;MASC;SG;3	N;PL
था	had	था	had	V;MASC;IND;SG;PST;FIN;ACT	
था	بود	था	بود#باش	V;MASC;IND;SG;PST;FIN;ACT	V;SG;3;PST
कुछ	بعضیها	कुछ	بعضی	DET	N;PL
कुछ	برخی	कुछ	برخی	DET	PRO
गाँव	روستای	गाँव	روستا	N;NOM;MASC;PL;3	N;SG
गाँव	دهکده	गाँव	دهکده	N;NOM;MASC;PL;3	N;SG
गाँव	ویلیج	गाँव	ویلیج	N;NOM;MASC;PL;3	N;SG
गाँव	روستا	गाँव	روستا	N;NOM;MASC;PL;3	N;SG
इसके	its	यह	its	PRO;MASC;SG;3	
अन्य	دیگر	अन्य	دیگر	N;NOM;MASC;SG;3	ADV
अन्य	دیگران	अन्य	دیگری	N;NOM;MASC;SG;3	PRO
अन्य	دیگر	अन्य	دیگر	N;NOM;MASC;SG;3	ADV
जा	jaa	जा	jaa	V;ACT	
वर्ष	سالهای	वर्ष	سال	N;NOM;MASC;SG;3	N;PL
वर्ष	سالها	वर्ष	سال	N;NOM;MASC;SG;3	N;PL
समय	time	समय	time	N;NOM;MASC;SG;3	
वे	اونا	वह	آن	PRO;NOM;SG;3	N;PL
वे	اونها	वह	اون	PRO;NOM;SG;3	N;PL
वे	آنها	वह	آن	PRO;NOM;SG;3	PRO;PL
वे	ایشان	वह	ایشان	PRO;NOM;SG;3	PRO;PL;3
प्रकार	مهربان	प्रकार	مهربان	N;NOM;MASC;SG;3	ADJ
प्रकार	انواع	प्रकार	نوع	N;NOM;MASC;SG;3	N;PL
भारतीय	سرخپوست	भारतीय	سرخپوست	PROPN;NOM;SG;3	N;SG
भारतीय	هندی	भारतीय	هندی	PROPN;NOM;SG;3	N;SG
किसी	یکی	कोई	یک	PRO;ACC;SG;3	NUM
किसी	کسی	कोई	کس	PRO;ACC;SG;3	N;SG
तहसील	تهسیل	तहसील	تهسیل	PROPN;NOM;FEM;SG;3	N;SG
क्षेत्र	نواحی	क्षेत्र	ناحیه	N;NOM;MASC;SG;3	N;PL
क्षेत्र	مناطق	क्षेत्र	منطقه	N;NOM;MASC;SG;3	N;PL
अधिक	دیگر	अधिक	دیگر	DET	ADV
अधिक	بیشتر	अधिक	بیش	DET	ADJ;CMPR
कई	بسیار	कई	بسیار	DET	ADV
कई	چندین	कई	چندین	DET	ADJ
मण्डल	منطقه	मण्डल	منطقه	PROPN;NOM;MASC;SG;3	N;SG
मण्डल	زون	मण्डल	زون	PROPN;NOM;MASC;SG;3	N;SG
कारण	دلایل	कारण	دلیل	N;NOM;MASC;SG;3	N;PL
कारण	علل	कारण	علت	N;NOM;MASC;SG;3	N;PL
होने	بودن	हो	بودن	V;MASC;NFIN;ACT	N;SG
जैसे	شبیه	जैसे	شبیه	CONJ	ADJ
जैसे	لایک	जैसे	لایک	CONJ	N;SG
जैसे	مثل	जैसे	مثل	CONJ	ADV
जैसे	like	जैसे	like	CONJ	
जैसे	مانند	जैसे	مانند	CONJ	ADV
करता	درماندگان	कर	درمانده	V;IPFV;MASC;SG;V.PTCP;ACT	N;PL
उनके	آنها	वह	آن	PRO;MASC;SG;3;FORM	PRO;PL
उनके	آنان	वह	آن	PRO;MASC;SG;3;FORM	PRO;PL
हिन्दी	هندی	हिन्दी	هندی	PROPN;NOM;FEM;SG;3	N;SG
बहुत	خیلی	बहुत	خیلی	DET	ADV
बहुत	بسیار	बहुत	بسیار	DET	ADV
पहले	پیش	पहले	پیش	ADV;NOM;MASC;SG;3	ADP
पहले	اول	पहले	اول	ADV;NOM;MASC;SG;3	ADJ
पहले	ابتدا	पहले	ابتدا	ADV;NOM;MASC;SG;3	N;SG
पहले	نخستین	पहले	نخستین	ADV;NOM;MASC;SG;3	ADJ;RL
दो	دوتا	दो	دوتا	NUM	N;SG
जब	وقتی	जब	وقتی	PRO;NOM	CONJ
जब	چون	जब	چون	PRO;NOM	CONJ
उन्होंने	اونا	वह	آن	PRO;SG;3;FORM	N;PL
उन्होंने	اونها	वह	اون	PRO;SG;3;FORM	N;PL
उन्होंने	آنها	वह	آن	PRO;SG;3;FORM	PRO;PL
उन्होंने	ایشان	वह	ایشان	PRO;SG;3;FORM	PRO;PL;3
उन्होंने	مصریان	वह	مصری	PRO;SG;3;FORM	N;PL
जन्म	متولد	जन्म	متولد	N;NOM;MASC;SG;3	ADJ
जन्म	b	जन्म	b	N;NOM;MASC;SG;3	INTJ
कोई	koi	कोई	koi	PRO;NOM;SG;3	N;SG
कोई	هر	कोई	هر	PRO;NOM;SG;3	DET
कोई	هیچ	कोई	هیچ	PRO;NOM;SG;3	ADV;NEG
इन	مهمانسرا	यह	مهمانسرا	DET;ACC;PL;3	N;SG
इन	مهمانخانه	यह	مهمانخانه	DET;ACC;PL;3	N;SG
इन	مسافرخانه	यह	مسافرخانه	DET;ACC;PL;3	N;SG
ये	این	यह	این	PRO;NOM;PL;3	DET
ये	اینها	यह	این	PRO;NOM;PL;3	PRO;PL
ये	اینا	यह	اینا	PRO;NOM;PL;3	
कम	کم	कम	کم	DET	ADJ
कम	low	कम	low	DET	N;SG
कम	کمتری	कम	کم	DET	ADJ;CMPR
कम	کمتر	कम	کم	DET	ADJ;CMPR
कम	کمتر	कम	کم	DET	ADJ;CMPR
कम	less	कम	less	DET	N;SG
लोग	مردم	लोग	مردم	N;NOM;MASC;PL;3	N;SG
आदि	غیره	आदि	غیره	PART	N;SG
आदि	دیگر	आदि	دیگر	PART	ADV
आदि	بیشتر	आदि	بیش	PART	ADJ;CMPR
आदि	عدی	आदि	None	PART	N;SG
प्राचीन	کهن	प्राचीन	کهن	ADJ;NOM	N;SG
प्राचीन	باستانی	प्राचीन	باستانی	ADJ;NOM	N;SG
प्राचीन	باستان	प्राचीन	باستان	ADJ;NOM	N;SG
देखें	see	देख	see	V;SBJV;PL;FIN;ACT	
देखें	دیدن	देख	دیدن	V;SBJV;PL;FIN;ACT	N;SG
देखें	نما	देख	نما	V;SBJV;PL;FIN;ACT	
देखें	نمای	देख	None	V;SBJV;PL;FIN;ACT	N;SG
उत्तर	پاسخگویی	उत्तर	پاسخگویی	PROPN;NOM;MASC;SG;3	N;SG
उत्तर	جواب	उत्तर	جواب	PROPN;NOM;MASC;SG;3	N;SG
उत्तर	پاسخ	उत्तर	پاسخ	PROPN;NOM;MASC;SG;3	N;SG
उत्तर	شمالی	उत्तर	شمالی	PROPN;NOM;MASC;SG;3	N;SG
उत्तर	نورث	उत्तर	نورث	PROPN;NOM;MASC;SG;3	N;SG
उत्तर	شمال	उत्तर	شمال	PROPN;NOM;MASC;SG;3	N;SG
उत्तर	جوابها	उत्तर	جواب	PROPN;NOM;MASC;SG;3	N;PL
भाषा	زبانهای	भाषा	زبان	N;NOM;FEM;SG;3	N;PL
भाषा	زبانها	भाषा	زبان	N;NOM;FEM;SG;3	N;PL
लिये	برای	ले	برای	V;PFV;MASC;SG;V.PTCP;ACT	ADP
