של	shel	של	shel	PART;GEN	
את	ti	את	ti	PART;ACC	PRO;NOM;SG;2
קטגוריה	kategorije	קטגוריה	kategorija	N;FEM;SG	N;NOM;FEM;PL
גם	previse	גם	previs	ADV	N;NOM;MASC;SG
זה	ovo	זה	ovaj	PRO;MASC;SG;3	DET;NOM;NEUT;SG
זה	to	זה	taj	PRO;MASC;SG;3	DET;NOM;NEUT;SG
היה	bio	היה	biti	V;MASC;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
היה	bila	היה	biti	V;MASC;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP;ACT
לאחר	poslije	לאחר	poslije	ADP	ADV
בין	grah	בין	grah	ADP	N;NOM;MASC;SG
בין	graha	בין	grah	ADP	N;GEN;MASC;SG
בין	bean	בין	bean	ADP	N;NOM;MASC;SG
בין	inter	בין	inter	ADP	N;NOM;MASC;SG
בין	izmedju	בין	izmedje	ADP	N;NOM;MASC;SG
כל	sve	כול	sve	DET;PSSD	PRO;NOM;NEUT;SG
כל	svi	כול	sav	DET;PSSD	DET;NOM;DEF;MASC;PL
כל	bilo	כול	biti	DET;PSSD	V;NEUT;SG;PST;V.PTCP;ACT
ישראל	izraela	ישראל	izraeta	PROPN	N;GEN;MASC;SG
ישראל	izrael	ישראל	izrael	PROPN	PROPN;NOM;MASC;SG
עד	dok	עד	dok	ADP	CONJ
שם	naziv	שם	naziv	ADV	N;NOM;MASC;SG
שם	ime	שם	ime	ADV	N;NOM;NEUT;SG
בית	beit	בית	beit	N;MASC;SG	N;NOM;MASC;PL
בית	doma	בית	doma	N;MASC;SG	ADV
הייתה	bio	היה	biti	V;FEM;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
הייתה	bila	היה	biti	V;FEM;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP;ACT
אשר	asher	אשר	asher	CONJ	ADP
אשר	escher	אשר	escher	CONJ	
אשר	usher	אשר	usher	CONJ	N;NOM;MASC;SG
אשר	koje	אשר	koji	CONJ	DET;NOM;FEM;SG
אשר	koja	אשר	koji	CONJ	DET;NOM;FEM;SG
אשר	koji	אשר	koji	CONJ	DET;NOM;MASC;SG
אשר	potvrdi	אשר	potvrditi	CONJ	V;IND;SG;3;PRS;FIN
כמו	kao	כמו	kao	ADP	CONJ
שמאל	lijevo	שמאל	lijevo	N;MASC;SG	ADV
חיצוניים	vanjski	חיצוני	vanjski	ADJ;MASC;PL	ADJ;NOM;DEF;MASC;SG
חיצוניים	vanjska	חיצוני	vanjski	ADJ;MASC;PL	ADJ;NOM;DEF;FEM;SG
הברית	savez	הברית	savez	PROPN	N;NOM;MASC;SG
הברית	saveza	הברית	savez	PROPN	N;GEN;MASC;SG
בו	mu	ב	on	ADP	PRO;DAT;MASC;SG;3
בו	njega	ב	on	ADP	PRO;ACC;MASC;SG;3
בו	njemu	ב	on	ADP	PRO;DAT;MASC;SG;3
בו	ga	ב	on	ADP	PRO;ACC;MASC;SG;3
בו	bu	ב	biti	ADP	INTJ
בו	boo	ב	boo	ADP	N;NOM;MASC;SG
היו	bile	היה	biti	V;PL;3;POS;PST	V;FEM;PL;PST;V.PTCP;ACT
היו	bili	היה	biti	V;PL;3;POS;PST	V;MASC;PL;PST;V.PTCP;ACT
כאשר	kada	כאשר	kada	CONJ	ADV
כאשר	kad	כאשר	kad	CONJ	ADV
אותו	mu	None	on	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
אותו	njemu	None	on	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
בן	ben	בן	ben	PROPN	PROPN;NOM;MASC;SG
בן	sinko	בן	sinko	PROPN	N;NOM;MASC;SG
בן	sine	בן	sina	PROPN	INTJ
בן	sin	בן	sin	PROPN	N;NOM;MASC;SG
שלו	njegovo	של	njegov		DET;NOM;NEUT;SG;3
שלו	njegov	של	njegov		DET;NOM;MASC;SG;3
שלו	njegova	של	njegov		DET;NOM;FEM;SG;3
שני	drugi	שני	drugi	NUM;MASC;PL	ADJ;NOM;MASC;SG
שני	drugo	שני	drugi	NUM;MASC;PL	ADJ;NOM;NEUT;SG
שני	druga	שני	drugi	NUM;MASC;PL	ADJ;NOM;FEM;SG
שני	ponedjeljak	שני	ponedjeljak	NUM;MASC;PL	N;NOM;MASC;SG
לו	lew	ל	lew		PROPN;NOM;MASC;SG
לו	lou	ל	lou		PROPN;NOM;MASC;SG
מה	što	מה	što	ADV	PRO;NOM;NEUT
מה	sta	מה	sta	ADV	
מה	šta	מה	šta	ADV	PRO;NOM;NEUT
העולם	world	העולם	world		ADP
העולם	svijeta	העולם	svijet		N;GEN;MASC;SG
העולם	svijet	העולם	svijet		N;NOM;MASC;SG
העיר	town	העיר	town	V;MASC;SG;3;PST;ACT	ADP
העיר	grad	העיר	grad	V;MASC;SG;3;PST;ACT	N;NOM;MASC;SG
העיר	grad	העיר	grad	V;MASC;SG;3;PST;ACT	N;NOM;MASC;SG
העיר	gradom	העיר	grad	V;MASC;SG;3;PST;ACT	N;INS;MASC;SG
במהלך	tijekom	במהלך	tijekom	ADV	ADP;GEN
כן	da	כן	da	ADV	CONJ
שנים	godine	שנה	godina	N;FEM;PL	N;GEN;FEM;SG
שנים	godina	שנה	godina	N;FEM;PL	N;NOM;FEM;SG
אף	nosa	אף	nos	CONJ	N;GEN;MASC;SG
אף	nos	אף	nos	CONJ	N;NOM;MASC;SG
רבים	mnoge	רב	mnogi	V;MASC;PL;V.PTCP;ACT	ADJ;NOM;DEF;FEM;PL
רבים	mnogi	רב	mnogi	V;MASC;PL;V.PTCP;ACT	ADJ;NOM;DEF;MASC;PL
רבים	množina	רב	množina	V;MASC;PL;V.PTCP;ACT	N;NOM;FEM;SG
בה	joj	ב	on		PRO;DAT;FEM;SG;3
בה	nju	ב	on		PRO;ACC;FEM;SG;3
אין	nijedan	None	nijedan	ADV;NEG	ADJ;NOM;INDF;MASC;SG
אין	nijedna	None	nijedan	ADV;NEG	ADJ;NOM;DEF;FEM;SG
אביב	proljeća	אביב	proljeće	N;MASC;SG	N;NOM;NEUT;PL
במאי	may	במאי	may	N;MASC;SG	PROPN;NOM;MASC;SG
במאי	direktore	במאי	direktor	N;MASC;SG	N;ACC;MASC;PL
שנה	godinama	שנה	godina	N;FEM;SG	N;INS;FEM;PL
נולד	rođeni	נולד	rođen	V;MASC;SG;3;PST;MID	ADJ;NOM;DEF;MASC;PL;V.PTCP
נולד	rođen	נולד	roditi	V;MASC;SG;3;PST;MID	ADJ;NOM;INDF;MASC;SG;V.PTCP;PASS
נולד	rođena	נולד	roditi	V;MASC;SG;3;PST;MID	ADJ;NOM;DEF;FEM;SG;V.PTCP;PASS
חלק	glatka	חלק	glatak	N;MASC;SG	ADJ;NOM;DEF;FEM;SG
חלק	glatko	חלק	glatko	N;MASC;SG	ADV
לפני	prije	לפני	prije	ADP	ADV
ביולי	srpnja	ביולי	srpanj	PROPN	N;GEN;MASC;SG
ביולי	juli	ביולי	jutlo	PROPN	N;NOM;MASC;SG
ביולי	srpanj	ביולי	srpanj	PROPN	N;NOM;MASC;SG
ביולי	jula	ביולי	julo	PROPN	N;NOM;FEM;SG
שוליים	fringe	שול	fring	N;MASC;PL	ADP
באוקטובר	listopada	באוקטובר	listopad	PROPN	N;GEN;MASC;SG
באוקטובר	listopad	באוקטובר	listopad	PROPN	N;NOM;MASC;SG
באוקטובר	oktobar	באוקטובר	oktobar	PROPN	N;NOM;MASC;SG
אותה	joj	None	on	PRO;ACC;FEM;SG;3	PRO;DAT;FEM;SG;3
החל	počinje	None	počinjati	ADP	V;IND;SG;3;PRS;FIN
הרב	herb	הרב	herb		ADP
בינואר	siječanj	בינואר	siječanj		N;NOM;MASC;SG
בינואר	siječnja	בינואר	siječanj		N;GEN;MASC;SG
במרץ	ožujka	במרץ	ožujak	PROPN	N;GEN;MASC;SG
במרץ	ožujak	במרץ	ožujak	PROPN	N;NOM;MASC;SG
במרץ	marš	במרץ	marš	PROPN	N;NOM;MASC;SG
חיים	life	חיים	life	PROPN	ADP
חיים	zivot	חיים	zivot	PROPN	N;NOM;MASC;SG
חיים	život	חיים	život	PROPN	N;NOM;MASC;SG
חיים	chaim	חיים	chaim	PROPN	N;NOM;MASC;SG
חיים	haim	חיים	haim	PROPN	PROPN;NOM;MASC;SG
המאה	vijek	המאה	vijek		N;NOM;MASC;SG
המאה	stoljeće	המאה	stoljeće		N;NOM;NEUT;SG
המאה	stoljeća	המאה	stoljeće		N;NOM;NEUT;PL
בנובמבר	studenog	בנובמבר	studeni	ADV	N;GEN;MASC;SG
בנובמבר	studeni	בנובמבר	studeni	ADV	N;NOM;MASC;SG
בדצמבר	prosinac	בדצמבר	prosinac	PROPN	N;NOM;MASC;SG
בדצמבר	prosinca	בדצמבר	prosinac	PROPN	N;GEN;MASC;SG
בדצמבר	prosincu	בדצמבר	prosinac	PROPN	N;DAT;MASC;SG
לי	lee	ל	lee		PROPN;NOM;MASC;SG
תל	tel	תל	tel	N;MASC;SG	PROPN;NOM;MASC;SG
בבית	doma	בבית	doma		ADV
בבית	kući	בבית	kuća		N;DAT;FEM;SG
בבית	dom	בבית	dom		N;NOM;MASC;SG
ערך	vrijednosti	ערך	vrijednost	N;MASC;SG	N;NOM;FEM;PL
בפברואר	veljače	בפברואר	veljača	ADV	N;GEN;FEM;SG
אלו	ovi	אלו	ovaj	PRO;PL;3	DET;NOM;MASC;PL
אלו	ove	אלו	ovaj	PRO;PL;3	DET;GEN;FEM;SG
אחר	drugi	אחר	drugi	ADP	ADJ;NOM;MASC;SG
אחר	drugo	אחר	drugi	ADP	ADJ;NOM;NEUT;SG
אחר	druga	אחר	drugi	ADP	ADJ;NOM;FEM;SG
בני	beni	בני	bena	PROPN	N;NOM;MASC;SG
בני	benny	בני	benny	PROPN	N;NOM;MASC;SG
בני	sinko	בני	sinko	PROPN	N;NOM;MASC;SG
בני	sine	בני	sina	PROPN	INTJ
בני	sin	בני	sin	PROPN	N;NOM;MASC;SG
שונים	drukčije	שונה	drukčije	ADJ;MASC;PL	ADV
שונים	drugačiji	שונה	drugačiji	ADJ;MASC;PL	ADJ;NOM;DEF;MASC;SG
שונים	drugačija	שונה	drugačiji	ADJ;MASC;PL	ADJ;NOM;DEF;FEM;SG
שונים	drugačije	שונה	drugačije	ADJ;MASC;PL	ADV
רב	rav	רב	rav		N;NOM;MASC;SG
אדם	osobe	אדם	osoba	N;MASC;SG	N;NOM;FEM;PL
אדם	adame	אדם	adama	N;MASC;SG	V;IND;SG;3;PRS;FIN
