през	through	през	through	ADP	N
като	gustar	като	gustar	CONJ	V;NFIN
като	like	като	like	CONJ	N
след	despues	след	despue	ADP	
след	after	след	after	ADP	N
след	después	след	después	ADP	ADV
български	búlgaro	български	búlgaro	ADJ;INDF;MASC;SG	N;MASC;SG
български	búlgaros	български	búlgaros	ADJ;INDF;MASC;SG	N;MASC;PL
българия	bulgaria	българия	bulgaria	PROPN;INDF;FEM;SG	ADJ;FEM;SG
която	cuáles	който	cuál	PRO;NOM;FEM;SG	PRO;PL
която	cuál	който	cuál	PRO;NOM;FEM;SG	PRO;SG
което	cuáles	който	cuál	PRO;NOM;NEUT;SG	PRO;PL
което	cuál	който	cuál	PRO;NOM;NEUT;SG	PRO;SG
външни	externa	външен	externo	ADJ;INDF;PL	ADJ;FEM;SG
външни	externo	външен	externo	ADJ;INDF;PL	ADJ;MASC;SG
външни	exterior	външен	exterior	ADJ;INDF;PL	ADJ;SG
много	very	много	ver	ADV;INDF;PL	N
много	muchas	много	mucho	ADV;INDF;PL	PRO;FEM;PL
много	muchos	много	mucho	ADV;INDF;PL	PRO;MASC;PL
също	tambien	също	tambien	ADV	
век	century	век	century	N;INDF;MASC;SG	PROPN
село	poblado	село	poblado	N;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
един	una	един	uno	NUM;INDF;MASC;SG	DET;INDF;FEM;SG
един	one	един	one	NUM;INDF;MASC;SG	N
един	uno	един	uno	NUM;INDF;MASC;SG	PRO;MASC;SG
около	alrededor	около	alrededor	ADP	ADV
около	around	около	around	ADP	N
софия	sofia	софия	sofia	PROPN;INDF;FEM;SG	N;FEM;SG
софия	sofía	софия	sofer	PROPN;INDF;FEM;SG	N;FEM;SG
софия	sophia	софия	sophia	PROPN;INDF;FEM;SG	N;FEM;SG
софия	sofía	софия	sofer	PROPN;INDF;FEM;SG	N;FEM;SG
други	otras	друг	otro	ADJ;INDF;PL	PRO;FEM;PL
други	otro	друг	otro	ADJ;INDF;PL	PRO;MASC;SG
други	otros	друг	otro	ADJ;INDF;PL	PRO;MASC;PL
други	otras	друг	otro	ADJ;INDF;PL	PRO;FEM;PL
други	otros	друг	otro	ADJ;INDF;PL	PRO;MASC;PL
още	todavia	още	todavia	ADV	INTJ
още	still	още	still	ADV	N
още	more	още	more	ADV	
само	just	само	justo	ADV	N
под	debajo	под	debajo	ADP	ADV
под	under	под	under	ADP	PROPN
когато	cuándo	когато	cuándo	ADV	PRO
когато	when	когато	when	ADV	N
когато	cuando	когато	cuando	ADV	CONJ
вид	escribe	вид	escribir	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
вид	escriba	вид	escribir	N;INDF;MASC;SG	V;IMP;SG;3;FIN
вид	especies	вид	especie	N;INDF;MASC;SG	N;FEM;PL
една	edna	един	edna	NUM;INDF;FEM;SG	N;FEM;SG
една	una	един	uno	NUM;INDF;FEM;SG	DET;INDF;FEM;SG
една	one	един	one	NUM;INDF;FEM;SG	N
една	uno	един	uno	NUM;INDF;FEM;SG	PRO;MASC;SG
всички	todas	всеки	todo	PRO;NOM;PL	PRO;FEM;PL
всички	all	всеки	all	PRO;NOM;PL	N
всички	todo	всеки	todo	PRO;NOM;PL	PRO;MASC;SG
всички	todos	всеки	todo	PRO;NOM;PL	PRO;MASC;PL
всички	todos	всеки	todo	PRO;NOM;PL	PRO;MASC;PL
семейство	familiar	семейство	familiar	N;INDF;NEUT;SG	ADJ;SG
семейство	familiares	семейство	familiar	N;INDF;NEUT;SG	N;MASC;PL
македония	macedonio	македония	macedonio	PROPN;INDF;FEM;SG	N;MASC;SG
македония	macedonia	македония	macedonio	PROPN;INDF;FEM;SG	ADJ;FEM;SG
сащ	eeuu	сащ	eeuu	PROPN;INDF;MASC;PL	PROPN
сащ	usa	сащ	usar	PROPN;INDF;MASC;PL	V;IND;SG;3;PRS;FIN
