der	the	der	the	DET;NOM;DEF;MASC;SG	
die	the	der	the	DET;NOM;DEF;FEM;SG	
und	và	und	và	CONJ	CONJ
von	khỏi	von	khỏi	ADP	V
den	the	der	the	DET;ACC;DEF;MASC;SG	
das	này	der	này	PRO;NOM;NEUT;SG	PROPN
das	the	der	the	PRO;NOM;NEUT;SG	
das	thế	der	thế	PRO;NOM;NEUT;SG	PROPN
das	rằng	der	rằng	PRO;NOM;NEUT;SG	CONJ
das	điều	der	điều	PRO;NOM;NEUT;SG	N
das	mà	der	mà	PRO;NOM;NEUT;SG	CONJ
das	vn	der	vn	PRO;NOM;NEUT;SG	N
das	das	der	das	PRO;NOM;NEUT;SG	N
des	des	der	des	DET;GEN;DEF;NEUT;SG	N
mit	mit	mit	mit	ADP	N
für	cho	für	cho	ADP	V
ein	xả	ein	xả	ADV	V
ein	một	ein	một	ADV	NUM
ein	one	ein	one	ADV	
ein	ein	ein	ein	ADV	N
als	als	als	als	ADP	
dem	the	der	the	PRO;DAT;NEUT;SG	
eine	xả	ein	xả	DET;NOM;INDF;FEM;SG	V
eine	một	ein	một	DET;NOM;INDF;FEM;SG	NUM
eine	one	ein	one	DET;NOM;INDF;FEM;SG	
wurde	aw	werden	aw	V;IND;SG;3;PST;FIN;PASS	
wurde	bị	werden	bị	V;IND;SG;3;PST;FIN;PASS	V
auch	chính	auch	chính	ADV	PART
auch	cũng	auch	cũng	ADV	
auch	quá	auch	quá	ADV	
auch	khoáng	auch	khoáng	ADV	N
auch	too	auch	too	ADV	
nicht	không	nicht	không	PART;NEG	;NEG
nicht	ko	nicht	ko	PART;NEG	
nach	theo	nach	theo	ADP	V
nach	sau	nach	sau	ADP	N
war	aw	sein	aw	V;IND;SG;3;PST;FIN	
war	bị	sein	bị	V;IND;SG;3;PST;FIN	V
bei	bei	bei	bei	ADP	N
aus	aus	aus	aus	ADP	
aus	khỏi	aus	khỏi	ADP	V
aus	ra	aus	ra	ADP	V
aus	tứ	aus	tứ	ADP	N
sie	các	sie	các	PRO;NOM;FEM;SG;3	DET
sie	cac	sie	cac	PRO;NOM;FEM;SG;3	
sie	bạn	sie	bạn	PRO;NOM;FEM;SG;3	N
sie	anh	sie	anh	PRO;NOM;FEM;SG;3	N
sie	cô	sie	cô	PRO;NOM;FEM;SG;3	N
sie	cổ	sie	cổ	PRO;NOM;FEM;SG;3	N
sie	quất	sie	quất	PRO;NOM;FEM;SG;3	N
sie	những	sie	những	PRO;NOM;FEM;SG;3	DET
sie	chúng	sie	chúng	PRO;NOM;FEM;SG;3	PROPN
sie	họ	sie	họ	PRO;NOM;FEM;SG;3	PROPN
bis	bis	bis	bis	ADP	
ich	ich	ich	ich	PRO;NOM;SG;1	
einer	xả	ein	xả	PRO;NOM;INDF;MASC;SG	V
einer	một	ein	một	PRO;NOM;INDF;MASC;SG	NUM
einer	one	ein	one	PRO;NOM;INDF;MASC;SG	
werden	will	werden	will	V;NFIN;PASS	
werden	sẽ	werden	sẽ	V;NFIN;PASS	
werden	muốn	werden	muốn	V;NFIN;PASS	V
sind	re	sein	re	V;IND;PL;3;PRS;FIN	
sind	đang	sein	đang	V;IND;PL;3;PRS;FIN	
sind	là	sein	là	V;IND;PL;3;PRS;FIN	CONJ
oder	oder	oder	oder	CONJ	V
wird	will	werden	will	V;IND;SG;3;PRS;FIN;PASS	
wird	sẽ	werden	sẽ	V;IND;SG;3;PRS;FIN;PASS	
wird	muốn	werden	muốn	V;IND;SG;3;PRS;FIN;PASS	V
durch	qua	durch	qua	ADP	V
score	điểm	scoren	điểm	PROPN	N
zur	zur	zur	zur		N
einen	xả	ein	xả	PRO;ACC;INDF;MASC;SG	V
einen	một	ein	một	PRO;ACC;INDF;MASC;SG	NUM
einen	one	ein	one	PRO;ACC;INDF;MASC;SG	
dass	thế	dass	thế	CONJ	PROPN
dass	rằng	dass	rằng	CONJ	CONJ
dass	điều	dass	điều	CONJ	N
dass	mà	dass	mà	CONJ	CONJ
dass	vn	dass	vn	CONJ	N
über	khoảng	über	khoảng	ADP	ADJ
über	về	über	về	ADP	V
über	ban	über	ban	ADP	
über	qua	über	qua	ADP	V
über	via	über	via	ADP	
über	qua	über	qua	ADP	V
über	hết	über	hết	ADP	V
über	over	über	over	ADP	
über	trên	über	trên	ADP	
wie	bao	wie	bao	ADP	
wie	như	wie	như	ADP	CONJ
wie	thích	wie	thích	ADP	V
wie	like	wie	like	ADP	V
nur	chỉ	nur	chỉ	ADV	
