til	untuk	til	untuk	ADV	ADP
den	the	den	the	PRO;ACC;MASC+FEM;SG;3	PROPN
med	dengan	med	dengan	ADV	ADP
der	ada	der	ada	ADV	V;SG
var	euy	være	euy	V;IND;PST;FIN;ACT	PROPN
var	was	være	was	V;IND;PST;FIN;ACT	PROPN
var	were	være	were	V;IND;PST;FIN;ACT	PROPN
blev	euy	blive	euy	V;IND;PST;FIN;ACT	PROPN
blev	was	blive	was	V;IND;PST;FIN;ACT	PROPN
han	han	han	han	PRO;NOM;MASC+FEM;SG;3	PROPN
fra	dari	fra	dari	ADV	ADP
har	got	have	got	V;IND;PRS;FIN;ACT	PROPN
har	telah	have	telah	V;IND;PRS;FIN;ACT	ADV
har	has	have	has	V;IND;PRS;FIN;ACT	PROPN
har	telah	have	telah	V;IND;PRS;FIN;ACT	ADV
ved	tau	vide	tau	V;IND;PRS;FIN;ACT	
ikke	not	ikke	not	ADV	PROPN
ikke	bukan	ikke	bukan	ADV	PART;NEG
ikke	tidak	ikke	tidak	ADV	PART;NEG
men	tapi	men	tapi	CONJ	CONJ
men	tetapi	men	tetapi	CONJ	CONJ
også	too	også	too	ADV	PROPN
efter	sesudah	efter	sesudah	ADV	CONJ
efter	after	efter	after	ADV	PROPN
efter	setelah	efter	setelah	ADV	ADP
sig	katakan	sig	katakan	PRO;ACC;3;REFL	V;SG;ACT
sig	say	sig	say	PRO;ACC;3;REFL	PROPN
sig	katakanlah	sig	katakan	PRO;ACC;3;REFL	V;SG;ACT
kan	may	kunne	may	V;IND;PRS;FIN;ACT	PROPN
kan	mei	kunne	mei	V;IND;PRS;FIN;ACT	PROPN;SG
kan	dapat	kunne	dapat	V;IND;PRS;FIN;ACT	ADV;SG;ACT
kan	can	kunne	can	V;IND;PRS;FIN;ACT	PROPN
kan	bisa	kunne	bisa	V;IND;PRS;FIN;ACT	ADV
score	score	score	score	V;NFIN;ACT	PROPN
score	skor	score	skor	V;NFIN;ACT	N;SG
score	skor	score	skor	V;NFIN;ACT	N;SG
hvor	mana	hvor	mana	ADV	ADP;SG
under	dibawah	under	dibawah	ADV	ADP;SG;PASS
under	under	under	under	ADV	PROPN
under	dibawah	under	dibawah	ADV	ADP;SG;PASS
hans	hans	hans	hans	DET;3	PROPN
hans	his	hans	his	DET;3	PROPN
hans	nya	hans	nya	DET;3	PRO
over	over	over	over	ADV	PROPN
over	diatas	over	diatas	ADV	ADP;SG;PASS
første	pertama	første	pertama	ADJ	NUM
første	duluan	første	duluan	ADJ	
første	dulu	første	dulu	ADJ	N
første	first	første	first	ADJ	PROPN
henvisninger	rujukan	henvisning	rujukan	N;INDF;MASC+FEM;PL	N;SG
henvisninger	referensi	henvisning	referensi	N;INDF;MASC+FEM;PL	N;SG
henvisninger	rujukan	henvisning	rujukan	N;INDF;MASC+FEM;PL	N;SG
dansk	denmark	dansk	denmark	ADJ;INDF;SG	PROPN
mod	menentang	mod	mententang	N;INDF;NEUT;SG	V;SG;ACT
mod	melawan	mod	menlawan	N;INDF;NEUT;SG	ADP;SG;ACT
mod	against	mod	against	N;INDF;NEUT;SG	PROPN
mod	terhadap	mod	terhadap	N;INDF;NEUT;SG	ADP
hun	she	hun	she	PRO;NOM;MASC+FEM;SG;3	PROPN
