varys	варис	varys	варис	PROPN	N;INDF;MASC;SG
estivesen	те	estar	аз	V	PRO;NOM;PL;3
estivesen	бяха	estar	съм	V	V;IPFV;IND;PL;3;PST;FIN;ACT
corría	тичане	corría	тичане	V	N;INDF;NEUT;SG
corría	бягане	corría	бягане	V	N;INDF;NEUT;SG
corría	бе	corría	съм	V	V;IPFV;IND;SG;3;PST;FIN;ACT
estanse	са	estanse	съм	PROPN	V;IPFV;IND;PL;3;PRS;FIN;ACT
loitan	борба	loitar	борба	V	N;INDF;FEM;SG
loitan	са	loitar	съм	V	V;IPFV;IND;PL;3;PRS;FIN;ACT
loitan	борба	loitar	борба	V	N;INDF;FEM;SG
loitan	битка	loitar	битка	V	N;INDF;FEM;SG
loitan	бой	loitar	бой	V	N;INDF;MASC;SG
escoitan	слушане	escoitar	слушане	V	N;INDF;NEUT;SG
dinámica	динамична	dinámica	динамичен	N	ADJ;INDF;FEM;SG
dinámica	динамични	dinámica	динамичен	N	ADJ;INDF;PL
dinámica	динамично	dinámica	динамично	N	ADV
dinámica	динамичен	dinámica	динамичен	N	ADJ;INDF;MASC;SG
populares	популярно	popular	популярен	ADJ	ADV
aumenta	уил	aumentar	ухл	V	PROPN;INDF;MASC;SG
aumenta	увеличаване	aumentar	увеличаване	V	N;INDF;NEUT;SG
aumenta	увеличение	aumentar	увеличение	V	N;INDF;NEUT;SG
aumenta	повишаване	aumentar	повишаване	V	N;INDF;NEUT;SG
similar	подобно	similar	подобно	ADJ	ADV
saibas	си	saber	съм	V	V;IPFV;IND;SG;2;PRS;FIN;ACT
saibas	ти	saber	аз	V	PRO;NOM;SG;2
saibas	ви	saber	аз	V	PRO;ACC;SG;2
ken	кен	ker	кен	PROPN	PROPN;INDF;MASC;SG
falsos	невярно	falso	неверен	ADJ	ADV
falsos	фалшиво	falso	фалшиво	ADJ	ADV
sexades	си	sexade	съм	V	V;IPFV;IND;SG;2;PRS;FIN;ACT
sexades	ти	sexade	аз	V	PRO;NOM;SG;2
sexades	ви	sexade	аз	V	PRO;ACC;SG;2
pensaban	мисъл	pensabar	мисъл	V	N;INDF;FEM;SG
pensaban	те	pensabar	аз	V	PRO;NOM;PL;3
pódense	могат	pódense	мога	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
pódense	can	pódense	can	N	PROPN;INDF;MASC;SG
coñecida	позната	coñecer	познат	V	ADJ;INDF;FEM;SG
coñecida	известни	coñecer	известен	V	ADJ;INDF;PL
coñecida	познат	coñecer	познат	V	N;INDF;MASC;SG
coñecida	известна	coñecer	известен	V	ADJ;INDF;FEM;SG
coñecida	известен	coñecer	известен	V	ADJ;INDF;MASC;SG
emocionante	вълнуващо	emocionante	вълнувам-(се)	N	ADV
emocionante	вълнуващи	emocionante	вълнувам-(се)	N	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
emocionante	вълнуваща	emocionante	вълнувам-(се)	N	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
emocionante	вълнуващо	emocionante	вълнувам-(се)	N	ADV
necesitan	необходимост	necesitar	необходимост	V	N;INDF;FEM;SG
necesitan	нужда	necesitar	нужда	V	N;INDF;FEM;SG
necesitan	потребност	necesitar	потребност	V	N;INDF;FEM;SG
necesitan	те	necesitar	аз	V	PRO;NOM;PL;3
senon	но	senon	но	PART	CONJ
individual	индивидуално	individual	индивидуално	ADJ	ADV
individual	индивид	individual	индивид	ADJ	N;INDF;MASC;SG
específico	специфично	específico	специфично	ADJ	ADV
fiel	вярна	fiel	верен	N	ADJ;INDF;FEM;SG
fiel	верен	fiel	верен	N	ADJ;INDF;MASC;SG
fiel	верните	fiel	верен	N	ADJ;DEF;PL
fiel	верни	fiel	верен	N	ADJ;INDF;PL
trece	тринадесет	trecer	тринадесет	N	NUM;INDF;PL
trece	тринайсет	trecer	тринайсет	N	NUM;INDF;PL
trece	thirteen	trecer	thirteen	N	PROPN;INDF;MASC;SG
paran	те	parar	аз	V	PRO;NOM;PL;3
pensara	мисъл	pensar	мисъл	V	N;INDF;FEM;SG
enfermos	болно	enfermo	болен	N	ADV
enfermos	болен	enfermo	болен	N	ADJ;INDF;MASC;SG
enfermos	болни	enfermo	болен	N	ADJ;INDF;PL
enfermos	болна	enfermo	болен	N	ADJ;INDF;FEM;SG
compartimos	споделяне	compartir	споделяне	V	N;INDF;NEUT;SG
compartimos	дял	compartir	дял	V	N;INDF;MASC;SG
arder	горене	arder	горене	V	N;INDF;NEUT;SG
arder	гори	arder	гора	V	N;INDF;FEM;PL
arder	парене	arder	парене	V	N;INDF;NEUT;SG
arder	горяща	arder	горящ	V	N;INDF;FEM;SG
arder	изгаряне	arder	изгаряне	V	N;INDF;NEUT;SG
arder	гори	arder	гора	V	N;INDF;FEM;PL
arder	изгаряне	arder	изгаряне	V	N;INDF;NEUT;SG
oriental	източно	oriental	източно	ADJ	ADV
oriental	изток	oriental	изток	ADJ	N;INDF;MASC;SG
oriental	източен	oriental	източа-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
roubei	открадна	roubar	открадна	PROPN	V;PFV;IND;SG;3;PST;FIN;ACT
suma	sum	suma	sum	N	PROPN;INDF;MASC;SG
suma	сум	suma	сум	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
mentais	психично	mental	психичен	N	ADV
mentais	душевно	mental	душевен	N	ADV
mentais	психични	mental	психичен	N	ADJ;INDF;PL
mentais	психичното	mental	психичен	N	ADJ;DEF;NEUT;SG
america	америка	americar	америка	PROPN	PROPN;INDF;FEM;SG
bancos	бенкс	banco	бенкс	N	PROPN;INDF;MASC;SG
bancos	банкс	banco	банкс	N	PROPN;INDF;MASC;SG
pensaron	мисъл	pensar	мисъл	V	N;INDF;FEM;SG
pensaron	те	pensar	аз	V	PRO;NOM;PL;3
troques	вместо	trocar	вместо	V	ADP
chamábase	неговият	chamábase	мой	V	DET;DEF;MASC;SG;3
chamábase	неговата	chamábase	мой	V	DET;DEF;FEM;SG;3
chamábase	му	chamábase	мой	V	PRO;DAT;MASC;SG;3
chamábase	неговия	chamábase	мой	V	DET;DEF;MASC;SG;3
chamábase	името	chamábase	име	V	N;DEF;NEUT;SG
chamábase	наименование	chamábase	наименование	V	N;INDF;NEUT;SG
chamábase	име	chamábase	име	V	N;INDF;NEUT;SG
chamábase	бе	chamábase	съм	V	V;IPFV;IND;SG;3;PST;FIN;ACT
murray	мъри	murray	мъря-(се)	PROPN	PROPN;INDF;MASC;SG
espido	голи	espido	гол	N	ADJ;INDF;PL
técnicos	технически	técnico	технически	N	ADV
técnicos	техническа	técnico	технически	N	ADJ;INDF;FEM;SG
técnicos	техническо	técnico	технически	N	ADV
deixalos	нека	deixalo	нека	N	PART
deixalos	ги	deixalo	аз	N	PRO;ACC;PL;3
deixalos	тях	deixalo	аз	N	PRO;ACC;PL;3
vanme	те	vanme	аз	V	PRO;NOM;PL;3
conclusión	че	conclusión	че	N	CONJ
chegarán	уил	chegar	ухл	V	PROPN;INDF;MASC;SG
chegarán	те	chegar	аз	V	PRO;NOM;PL;3
quedaron	те	quedar	аз	V	PRO;NOM;PL;3
facelos	ги	facelo	аз	DET	PRO;ACC;PL;3
facelos	тях	facelo	аз	DET	PRO;ACC;PL;3
facelos	направи	facelo	направя-(се)	DET	V;PFV;IMP;SG;2;FIN
violación	изнасилена	violación	изнасиля	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
escribiume	написал	escribiume	напиша	PROPN	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
escribiume	написа	escribiume	напиша	PROPN	V;PFV;IND;SG;3;PST;FIN;ACT
gustoume	като	gustoume	като	V	CONJ
gustoume	like	gustoume	like	V	PROPN;INDF;MASC;SG
potente	мощно	potente	мощен	ADJ	ADV
hanoi	ханой	hanol	ханой	PROPN	N;INDF;MASC;SG
islam	ислям	islam	ислем	PROPN	N;INDF;MASC;SG
islam	исляма	islam	ислям	PROPN	N;DEF;MASC;SG
profeta	пророк	profeta	пророк	V	N;INDF;MASC;SG
profeta	пророка	profeta	пророка	V	N;DEF;MASC;SG
profeta	пророкът	profeta	пророк	V	N;DEF;MASC;SG
chámanlle	повикване	chámanlle	повикване	PROPN	N;INDF;NEUT;SG
