मकर	capricorn
एंडी	andy
परतों	layers
अटल	adamant
अटल	irrevocable
पेंगुइन	penguin
ग्राफ	graph
कुरान	quran
कुरान	koran
शेफ़ील्ड	sheffield
सुर	sur
दुष्ट	rogue
दुष्ट	evil
दुष्ट	wicked
वैभव	grandeur
कपिल	kapila
निष्पक्ष	impartial
निष्पक्ष	equitable
निष्पक्ष	neutral
पंत	pant
संयोजित	combined
वर्जित	forbidden
बराबरी	equals
बैकअप	backups
बैकअप	backup
अमीनो	amino
प्रविष्टि	entry
प्रविष्टि	listing
निमंत्रण	invitations
निमंत्रण	invitation
पाटिल	patil
नकदी	cash
ज्यामितीय	geometric
अरुणा	aruna
उस्ताद	ustad
निराशा	disappointment
दरवाजा	door
शॉपिंग	shopping
फिल्मांकन	filming
स्तंभों	pillars
अम्बेडकर	ambedkar
सितारों	stars
धोखाधड़ी	fraud
धोखाधड़ी	scammed
प्रिंट	print
गली	street
गिरफ्तारी	arrest
आणविक	molecular
बैंगलोर	bangalore
वेदांत	vedanta
दबाने	suppress
दबाने	pressing
हिल्स	hills
मैट	matt
मैट	matte
बंदर	monkey
जरुरी	necessary
सोनिया	sonia
रोमानिया	romania
वायुमंडलीय	atmospheric
ग्रोवर	grover
मेघालय	meghalaya
जोड़ना	adding
रास	raas
रास	ras
रास	weasel
घात	ambush
इवान	ivan
नेल्सन	nelson
मोह	moh
सतही	superficial
अक्षम	disabled
अक्षम	destitute
सीनेट	senate
प्रशस्ति	commendation
पारदर्शी	transparent
पारदर्शी	translucent
रेशे	fibres
रेशे	silk
रेशे	fibers
खिड़की	window
विरोधियों	rivals
विरोधियों	opponents
लुइस	luis
क्लैप्टन	clapton
आतंक	terror
आतंक	terrorism
नर्तकी	ballerina
नर्तकी	dancer
डगलस	douglas
चालुक्य	chalukya
एलेक्स	alex
पढ़े	read
मोटर्स	motors
मेनन	menon
पियानो	piano
नियोजित	planned
अप्रत्याशित	unexpected
यूनिवर्सल	universal
विधवा	widowed
विधवा	widow
असफलता	failure
फॉर्म	form
पंखों	wings
गोदावरी	godavari
मुद्रास्फीति	inflation
गज	yards
दुर्बल	weak
पेशवा	peshwa
स्थूल	fat
रामचन्द्र	ramachandra
अभूतपूर्व	phenomenal
ग्रीवा	cervix
दोषों	defects
कमजोरी	weakness
वैचारिक	ideological
सर्जन	surgeon
क्षारीय	alkali
क्षारीय	alkaline
क्षारीय	align
टीके	vaccines
गोलार्ध	hemisphere
अल्जीरिया	algeria
रोमांचक	exciting
रोमांचक	thrilling
बढ़त	escalation
हीमोग्लोबिन	hemoglobin
गोबर	dung
डालना	pour
उत्पादकता	productivity
कागज़	paper
सांप	snake
सांप	snakes
गंतव्य	destination
गंतव्य	destinations
अम्मा	amma
संभाल	handle
गन	gun
उल्टी	vomit
उल्टी	vomiting
रेलगाड़ी	train
ट्रेडमार्क	trademark
सावित्री	savitri
यादृच्छिक	random
क्रिस्टोफर	christopher
सचमुच	literally
सचमुच	really
किरन	kiran
मॉरिसन	morrison
रतन	rattan
रतन	ratan
घाटियों	valleys
साँप	snake
लड़ा	fought
चिप	chip
सचिवालय	secretariat
इंसुलिन	insulin
सींग	horn
डूब	sinking
डूब	drowning
जन्मजात	congenital
पिरामिड	pyramid
खोजा	discovered
खोजा	searched
जोली	jolie
शेयरधारकों	shareholders
तदनुसार	accordingly
ऑयल	oil
गेंदों	balls
अमित	amit
पिच	pitch
झरना	waterfall
झरना	falls
झरना	waterfalls
अनुमोदित	approved
अनुमोदित	reviewed
सीमांत	marginal
सीमांत	border
गुणांक	coefficient
जीभ	tongue
स्विट्जरलैंड	switzerland
लॉग	logs
लॉग	log
अजीत	ajit
पागल	crazy
सिलिकॉन	silicon
बेंजामिन	benjamin
मानदंड	criterion
समझाया	explained
होनेवाली	fleeting
सॉसेज	sausage
सहानुभूति	compassion
सहानुभूति	sympathy
सहानुभूति	empathy
लूट	loot
न्यायपालिका	judiciary
विनियमित	regulate
एंडरसन	anderson
मुकुट	crown
यादगार	memorable
करों	taxes
भुजा	arm
गिल	gill
कक्षाओं	classrooms
मजबूती	strength
भण्डार	stock
ड्रग	drug
बॉम्बे	bombay
कॉलेजों	colleges
कंपनियाँ	companies
मिशिगन	michigan
डकोटा	dakota
भूवैज्ञानिक	geologist
जोश	zeal
जोश	josh
असुर	asura
सेंटीमीटर	centimeters
सेंटीमीटर	centimetre
सीने	chest
घर्षण	friction
पीट	pete
पीट	piet
बॉबी	bobby
भित्ति	mural
नरसंहार	massacre
नरसंहार	genocide
विचारकों	thinkers
बिशप	bishop
दुर्भाग्य	misfortune
दुर्भाग्य	unfortunately
संतृप्त	saturation
संतृप्त	saturated
लैस	lacy
पड़ोस	neighborhood
पड़ोस	neighborhoods
न्यास	foundation
फोरम	forum
एथेंस	athens
पूँछ	tail
धीमा	slow
चिन	chin
राज्याभिषेक	coronation
लड़का	boy
मनोनीत	nominate
मनोनीत	nominated
बॉडी	body
संकोच	hesitate
पीतल	brass
महानतम	greatest
मुक्केबाजी	boxing
गुजर	passing
उभरा	emerged
उभरा	bulging
बढ़ाना	exacerbate
बोतल	bottle
पिस्टन	piston
तुम्हारा	yours
सस्ता	cheap
चेन	chen
चेन	chain
आर्द्रता	humidity
ऑक्सीकरण	oxidation
समन्वित	coordinated
संचिका	files
संचिका	file
स्पष्टीकरण	explanation
स्पष्टीकरण	explanations
स्पष्टीकरण	clarification
निराश	disappointed
निराश	disgusted
निराश	frustrated
यूट्यूब	youtube
मारुति	maruti
श्रुति	revelation
यथार्थवादी	realistic
शक्तियाँ	powers
सान	san
आंकड़ा	data
ग़ज़ल	ghazal
शुक्ला	shukla
कारखाना	factory
इब्न	ibn
किम	kim
फलक	board
फलक	boards
फलक	pane
फलक	panel
स्वर्गीय	heavenly
पते	addresses
मैसाचुसेट्स	massachusetts
ध्वन्यात्मक	phonetic
निपुण	master
ताजिकिस्तान	tajikistan
मिसाल	parable
निलंबित	suspended
डार्विन	darwin
बंदूक	gun
कलश	pot
कलश	pinnacle
जुडी	judy
कंपन	vibrations
कंपन	vibrate
कंपन	vibration
एयरवेज	airways
संतुष्टि	satisfaction
संवेग	momentum
बाघों	tiger
बाघों	tigers
वंशावली	genealogy
रहीम	rahim
निमोनिया	pneumonia
बचाया	rescued
एस्टेट	estate
गुरुवार	thursday
वॉल्ट	walt
वॉल्ट	vault
विस्थापित	displaced
अयोग्य	unfit
जटिलताओं	complications
उत्पीड़न	harassment
उत्पीड़न	assault
कोकेन	cocaine
आमिर	amir
आमिर	aamir
दयाल	dayal
पापों	sins
उमर	umar
उमर	omar
मिलर	miller
ललिता	lalita
रज़ा	raza
कोणीय	angular
जोन	joan
शाखाएं	branches
जानबूझकर	intentional
मानकीकरण	standardization
नशे	drunk
पुकारा	called
झंडा	flag
ग्लास	glass
घेर	surround
आंत	intestine
आंत	gut
फ़ुट	feet
क्रियान्वयन	implementation
निष्कासन	relegate
सिगार	cigar
यूक्रेन	ukraine
रुपया	rupee
वाइल्ड	wilde
निसान	nissan
पाद	fart
दैत्य	giant
दैत्य	monster
प्रक्रम	process
गवाह	witnesses
गवाह	witness
क्रिश्चियन	christian
पत्रकारों	journalists
पत्रकारों	reporters
मजाक	joke
बेकर	baker
बेकर	becker
कांड	scandal
गर्व	proud
क्लोरीन	chlorine
संगीतकारों	musicians
मिठाई	sweet
मिठाई	dessert
मिठाई	sweets
चांद	moon
बदलना	changing
बदलना	replacement
सड़कें	roads
सड़कें	streets
वृंदावन	vrindavan
प्रीमियम	premiums
प्रीमियम	premium
घेरा	perimeter
घेरा	siege
घेरा	circle
एक्सेस	access
वेबसाईट	websites
सब्जियों	vegetables
यूएसए	usa
हाथियों	elephants
स्क्रिप्ट	scripts
स्क्रिप्ट	script
घूमती	revolving
गर्भगृह	cella
डिजाइनर	designer
अग्र	front
विपक्षी	antagonist
बहिष्कार	boycott
टमाटर	tomato
टमाटर	tomatoes
खरीदारी	purchase
खरीदारी	shopping
फेयर	fair
प्रतीकात्मक	symbolic
शंकु	cone
वृद्ध	old
वृद्ध	older
सिक्का	coin
पर्दे	curtains
घोटाले	scandal
रनों	runs
लाभांश	dividend
ब्रह्मपुत्र	brahmaputra
दबा	suppresses
राजी	persuade
उत्कीर्ण	engraving
आटा	flour
आटा	dough
सभ्यताओं	civilizations
निर्णयों	judgements
जासूस	detective
जासूस	spy
जासूस	detectives
नमस्कार	hello
निर्मल	serene
निर्मल	translucent
कार्यक्षेत्र	scope
मोटरसाइकिल	motorcycles
मोटरसाइकिल	motorcycle
पुनरावृत्ति	replay
गल्फ	gulf
अंटार्कटिक	antarctica
अंटार्कटिक	antarctic
खतरों	dangers
डैनी	danny
बेड़े	fleet
द्वारका	dwarka
किशोरावस्था	teenager
किशोरावस्था	adolescence
पंद्रह	fifteen
महंगा	expensive
प्रबंधित	managed
मनोरंजक	fun
मनोरंजक	entertaining
सजाया	decorated
एडम	adam
अनगिनत	infinite
अनगिनत	myriad
अनगिनत	countless
सुन्नी	sunni
आदर्शों	ideals
डिवाइस	device
डिवाइस	devices
लियोन	leon
हीन	minor
ऑब्जेक्ट	object
ऑब्जेक्ट	objects
पेंटिंग	painting
सूचियाँ	lists
एमटीवी	mtv
एवरेस्ट	everest
आतंकवादियों	militants
आतंकवादियों	terrorists
बकरी	goat
ऋषिकेश	rishikesh
स्विफ्ट	swift
कुर्सी	chair
सांचे	mould
सिंधी	sindhi
क्षितिज	horizon
दोहरा	double
दोहरा	dual
रैली	rally
रैली	jamboree
दीपावली	diwali
कलन	calculus
संविदा	pact
संविदा	contract
शोधकर्ता	researcher
नेटस्केप	netscape
रॉबिन	robin
बैंगनी	purple
बैंगनी	violets
बैंगनी	eggplant
बैंगनी	violet
व्यू	doorman
प्रक्षेपास्त्र	rocket
प्रक्षेपास्त्र	missile
बीजिंग	beijing
स्वैच्छिक	voluntary
फोटोग्राफी	photography
प्रौढ़	adult
कैलिफ़ोर्निया	california
धड़	torso
कैलगरी	calgary
प्रतिभूति	securities
साउंडट्रैक	soundtrack
महलों	palaces
वार्तालाप	conversation
वार्तालाप	conversations
टीले	dunes
बुद्धिमान	intelligent
बुद्धिमान	astute
उभरते	emerging
फोकस	focus
वन्यजीव	wildlife
वर्चस्व	dominated
जावेद	javed
रुझान	trend
रुझान	trends
रुझान	trending
वेशभूषा	costume
वेशभूषा	costumes
भागीदार	participants
भागीदार	participant
स्पेंसर	spencer
अस्पतालों	hospitals
विक्रेताओं	sellers
वान	van
पुस्तिका	booklet
नाभि	navel
तुर्कमेनिस्तान	turkmenistan
देखिए	see
आधुनिकता	modernity
