아나톨리아	анадолија
스탠더드	стандард
스탠더드	стандардна
스탠더드	стандардни
스탠더드	стандарден
스탠더드	стандардно
스토어	продавници
스토어	продавница
포트리스	тврдина
탐험	истражуваме
탐험	истражуваат
탐험	истражуваше
탐험	истражувач
탐험	експедицијата
탐험	експедиција
탐험	истражуваме
탐험	истражи
탐험	истражува
탐험	експлоатација
탐험	истражувачи
대처	тачер
덕이	даг
클라리넷	кларинет
제레미	џереми
강아지	кученца
버터	путер
캐피탈	капитол
캐피탈	престолнина
캐피탈	капитал
예언자	пророк
예언자	пророци
제곱	квадратен
제곱	плоштад
제곱	квадрат
마트	mart
마트	маркет
면책	имунитет
앨리슨	алисон
앨리슨	елисон
앨리슨	алисон
쇼팽	шопен
애너하임	анахајм
자동화	автоматизира
자동화	автоматизираат
자동화	автоматизацијата
매력적인	шармантна
매력적인	шармантно
매력적인	шармантен
샤프	остро
샤프	шарп
샤프	остра
샤프	остар
샤프	остри
채워	наполни
채워	пополнување
채워	пополни
백조자리	cygnus
백조자리	cygni
양곤	јангон
마나	мана
폴로	polo
폴로	поло
포츠머스	портсмут
기차	воз
기차	возови
강좌	терени
강좌	курсеви
쿠키	колачиња
쿠키	колач
쿠키	колачиња
쿠키	куки
쿠키	колаче
이오니아	јонскиот
이오니아	јонското
복잡도	комплексност
복잡도	комплексноста
발명	измислуваат
발명	измисли
발명	изумот
발명	изум
발명	пронајдок
발명	пронајдоци
발명	изуми
발명	измислување
발명	измислил
발명	измислени
발명	измислено
발명	измислена
발명	пронаоѓач
보좌관	помошници
편견	предрасуди
편견	пристрасност
편견	предрасуди
편견	предрасуда
조지타운	џорџтаун
버퍼	тампон
버퍼	амортизери
증인	сведоци
증인	очевидци
증인	сведоците
증인	сведок
모니카	моника
클라인	klein
클라인	клајн
평화로운	мирна
평화로운	мирно
평화로운	мирни
평화로운	мирен
끝없는	бескраен
끝없는	бесконечно
끝없는	бескрајно
끝없는	бескрајна
이웃집	сосетка
이웃집	комшија
이웃집	сосед
더러운	гаден
더러운	гнасен
더러운	гнасни
더러운	валкан
더러운	нечиста
더러운	валкан
더러운	валкани
더러운	нечист
더러운	валкана
스프링필드	спрингфилд
부서	оддел
노드	јазол
노드	јазли
박해	прогонување
박해	прогон
박해	угнетување
바흐	бах
발전기	генератори
발전기	генератор
트라이앵글	триаголник
욕구	желба
욕구	желби
선포	прогласи
선포	прогласена
선포	прогласен
선포	прогласи
바벨	babel
타지키스탄	таџикистан
스웨덴어	шведскиот
스웨덴어	шведска
스웨덴어	шведски
잠비아	замбија
길거리	улични
길거리	улица
길거리	уличен
길거리	улици
글로리아	глориа
글로리아	глорија
흡혈귀	вампир
레이아웃	распореди
스케치	скици
스케치	цртежот
자극	стимул
자극	стимулација
자극	стимулирање
자극	иритација
역사학	историографија
갑옷	оклоп
갑옷	оклоп
평행	паралелно
평행	паралела
평행	паралелен
평행	паралелни
평행	паралелна
슈트	одело
슈트	костум
현명한	мудар
현명한	мудри
현명한	мудро
현명한	мудра
시온	зион
아스타나	астана
수잔	сузан
장례	погреб
장례	погреб
장례	погребот
프라이부르크	фрајбург
그리스인	грци
그리스인	грците
열기	отворено
열기	отворени
열기	отворена
열기	отворен
열기	опен
열기	отвори
열기	отвора
셔틀	шатл
셔틀	шатлот
순교자	маченици
순교자	маченик
피스	спокој
피스	мир
정밀	прецизност
같음	еднаквите
샌드위치	сендвич
샌드위치	сендвичи
모의	скица
모의	исмејуваат
센타우루스자리	кентаур
에이전시	агенција
바리	бари
아토스	атос
디렉터리	именик
디렉터리	папка
디렉터리	папка
떨어지지	паѓање
떨어지지	пад
떨어지지	падот
떨어지지	есен
떨어지지	падне
리어	лир
열정	ентузијазам
열정	ентузијаст
열정	ентузијасти
열정	ентузијастички
열정	страствен
열정	страсна
열정	страст
열정	страсти
열정	страстите
이동식	подвижни
이동식	преносливи
예배	богослужба
수백만	милионски
수백만	милиони
글로브	глобус
기린	жирафа
기린	кирин
기린	жирафи
수년	години
아이패드	ipad
파산	банкрот
파산	банкрот
버펄로	бафало
무작위로	случајно
무작위로	случаен
무작위로	случајно
무작위로	случајни
무작위로	рандом
무작위로	случајна
배경색	подлога
배경색	заднина
배경색	позадина
이겨	тепале
우울	депресивен
우울	депресивни
우울	депресивно
우울	депресивна
우울	депресивно
우울	депресивна
우울	меланхолија
낙하산	падобран
낙하산	падобранот
홀로코스트	холокаустот
홀로코스트	холокауст
클론	клонови
클론	клон
디스커버리	откритие
디스커버리	откривање
테크	tech
테크	техничар
테크	тех
샐리	сали
샐리	sally
샐리	сели
절약	спасување
절약	зачувување
절약	штедење
절약	зачувувањето
알마티	алмати
곱셈	множење
곱셈	множат
투르	тури
투르	екскурзии
교정	калибрација
교정	исправка
교정	корекција
교정	белезици
앙투안	антоан
리히텐슈타인	лихтенштајн
변동이	варијација
장례식	погреб
장례식	погребот
장례식	погреби
오데사	одеса
사모아	самоански
사모아	самоа
레이먼드	рајмонд
레이먼드	рејмонд
