மற்றும்	ja
ஒரு	yks
ஒரு	yksi
ஒரு	yhden
ஒரு	one
இந்த	tämän
இந்த	tätä
இந்த	tästä
இந்த	tämä
இந்த	nämä
இந்த	näitä
ஆம்	kyllä
இது	tämän
இது	tätä
இது	tästä
இது	tämä
மக்கள்	kansoja
மக்கள்	kansojen
மக்கள்	kansat
மக்கள்	ihmiset
மக்கள்	ihmisiä
மக்கள்	henkilöt
என்ற	johdettu
ஆண்டு	vuoden
ஆண்டு	vuosi
ஆண்டு	vuonna
என்று	tuo
என்று	että
தமிழ்	tamil
இந்திய	intian
இந்திய	intialainen
இந்திய	intiaani
இந்திய	intialaista
இருந்து	alkaen
இருந்து	from
பல	monet
பல	monia
பல	monta
பல	moni
பல	useita
பல	useat
முதல்	alkaen
முதல்	from
முதல்	ensin
முதல்	ensimmäinen
முதல்	eka
முதல்	ensiksi
மேலும்	lisää
மேலும்	enemmän
தொகை	summa
தொகை	määrä
சில	harvat
சில	muutaman
சில	harva
சில	muutama
சில	osa
சில	joitakin
சில	jotkut
உள்ளது	saatavissa
உள்ளது	käytettävissä
உள்ளது	tarjolla
உள்ளது	saatavilla
உள்ளது	saatavana
உள்ளது	olemassa
அவர்	hänet
அவர்	hänen
இருக்கும்	olemassa
இருக்கும்	nykyiset
வெளி	ulkoisen
வெளி	ulkoinen
வெளி	ulkoiset
வெளி	ulkopuolinen
வெளி	tila
வெளி	avaruus
வெளி	tilaa
வெளி	space
அமைந்துள்ளது	sijaitsee
மூலம்	lähde
மூலம்	alkuperäinen
மூலம்	alkuperäiset
கொண்ட	sisälsi
வரை	piirrä
வரை	tasapeli
வரை	piirtää
வரை	kunnes
பின்னர்	sitten
பின்னர்	myöhemmin
பின்னர்	myöhempi
ஆனால்	mutta
வேண்டும்	tarve
வேண்டும்	tarvitaan
வேண்டும்	tarpeen
வேண்டும்	tarvita
வேண்டும்	tarvetta
வேண்டும்	haluu
வேண்டும்	pitäisi
வேண்டும்	pitäis
வேண்டும்	pitäisikö
கொண்டு	tuotiin
கொண்டு	toi
கொண்டு	tuoda
கொண்டு	tuo
கொண்டு	mukaan
கொண்டு	mukana
கொண்டு	with
கொண்டு	kanssa
பட்டியல்	soittolista
பட்டியல்	lista
பட்டியல்	luettelo
பட்டியல்	listan
பட்டியல்	listaa
பட்டியல்	luetteloon
அமைந்துள்ள	sijaitsee
அதன்	sen
பெண்கள்	tyttöjä
பெண்கள்	girls
பெண்கள்	tytöt
பெண்கள்	naisten
பெண்கள்	naiset
பெண்கள்	naisia
கொண்டுள்ளது	on
கொண்டுள்ளது	sisältää
போது	aikana
போது	kun
போது	milloin
இணைப்புகள்	yhteyksien
இணைப்புகள்	yhteyksiä
இணைப்புகள்	yhteydet
இணைப்புகள்	liitännät
இணைப்புகள்	liitteet
இணைப்புகள்	liitteitä
இணைப்புகள்	linkit
இணைப்புகள்	yhteydet
இணைப்புகள்	linkkejä
இணைப்புகள்	linkkien
இரண்டு	kaksi
இரண்டு	kaks
தகவல்	info
தகவல்	tiedot
தகவல்	tietoja
தகவல்	tiedot
தகவல்	tiedotus
தகவல்	tietoa
தகவல்	tietoja
தகவல்	tiedottaminen
தகவல்	viesti
தகவல்	viestiä
தகவல்	viestin
மாவட்ட	piiri
மாவட்ட	piirikunta
மொத்த	yhteensä
வளர்ச்சி	kehittäminen
வளர்ச்சி	kehitystä
வளர்ச்சி	kehitys
வளர்ச்சி	kasvu
வளர்ச்சி	kasvuun
வளர்ச்சி	kasvua
மாவட்டம்	piiri
மாவட்டம்	piirikunta
அந்த	tuo
அந்த	että
மிகவும்	hyvin
மிகவும்	erittäin
திட்டம்	projektia
திட்டம்	projekti
திட்டம்	projektin
திட்டம்	hanke
திட்டம்	hankkeen
திட்டம்	suunnitella
திட்டம்	suunnitelma
திட்டம்	suunnitelman
தேசிய	kansallinen
தேசிய	kansalliset
தேசிய	kansallisten
கலந்து	osallistuu
கலந்து	osallistun
இலங்கை	ceylon
இங்கு	täällä
இங்கு	tässä
கி	kyi
அமெரிக்க	amerikkalainen
அமெரிக்க	amerikan
அமெரிக்க	amerikkalaiset
அமெரிக்க	american
அடிப்படை	perusta
அடிப்படை	tukikohta
அடிப்படை	pohja
அடிப்படை	perusta
அடிப்படை	perus
பெயர்	nimi
பெயர்	nimeä
பெயர்	etiketti
மூன்று	kolme
ஆண்கள்	miehiä
ஆண்கள்	miesten
ஆண்கள்	miehet
ஒன்று	kerätä
ஒன்று	kerää
ஒன்று	joko
