から	จาก
日本	japan
日本	ญี่ปุ่น
日本	นิปปอน
この	นี้
この	นี่
この	ดิส
まで	จนถึง
まで	จน
まで	จนกว่า
まで	จนถึง
まで	จนกว่า
また	ยัง
もの	สิ่งของ
大学	มหาวิทยาลัย
大学	มหาวิทยาลัย
大学	วิทยาลัย
大学	มหาวิทยาลัย
大学	วิทยาลัย
大学	มหาวิทยาลัย
テレビ	โทรทัศน์
テレビ	ทีวี
東京	โตเกียว
より	กว่า
削除	ลบ
削除	ลบ
現在	ปัจจุบัน
現在	ปัจจุบัน
学校	โรงเรียน
学校	โรงเรียน
これ	นี้
これ	นี่
これ	ดิส
世界	เวิลด์
世界	world
世界	โลก
アメリカ	อเมริกา
でも	แต่
について	เรื่อง
について	ประมาณ
作品	ทำงาน
時代	ศักราช
時代	ยุค
映画	หนัง
映画	ภาพยนต์
映画	ภาพยนตร์
映画	ภาพยนตร์
映画	ฟิล์ม
映画	หนัง
映画	ภาพยนต์
映画	ภาพยนตร์
使用	ใช้
出演	ลักษณะ
出演	เฝือก
出演	โยน
時間	ชั่วโมง
時間	ชั่วโมง
時間	เวลา
開始	เริ่ม
開始	เริ่ม
シリーズ	ซีรี่ส์
シリーズ	อนุกรม
のみ	เท่านั้น
のみ	เฉพาะ
記事	บทความ
記事	ข่าว
記事	เรื่อง
記事	บทความ
活動	กิจกรรม
選手	นักกีฬา
しかし	แต่
研究	ศึกษา
研究	ค้นคว้า
研究	วิจัย
会話	สนทนา
大阪	osaka
チーム	ทีม
チーム	ทีม
チーム	team
国際	international
国際	นานาชาติ
国際	สากล
一部	บาง
一部	บ้าง
結果	ผล
結果	ผลลัพธ์
結果	ผล
結果	ผลลัพธ์
アルバム	อัลบั้ม
アルバム	อัลบั้ม
バス	รถเมล์
バス	แบส
バス	แบ
バス	แบต
バス	เบส
ゲーム	เกม
ゲーム	เกมส์
ゲーム	เกม
ゲーム	เกมส์
問題	ปัญหา
問題	ปัญหา
リーグ	สันนิบาต
リーグ	ลีก
リーグ	ลีก
利用	แลก
開発	พัฒนาการ
開発	พัฒนา
事業	ธุรกิจ
事業	กิจการ
音楽	มิวสิค
音楽	เพลง
音楽	ดนตรี
転送	โอน
情報	ข้อมูล
情報	ข้อมูล
公式	นมผง
公式	สูตร
公式	ทางการ
公式	official
地域	ภูมิภาค
地域	แคว้น
地域	ภูมิภาค
変更	เปลี่ยนแปลง
変更	แก้ไข
変更	เปลี่ยนแปลง
変更	เปลี่ยน
サイト	ไซต์
記録	บันทึก
記録	สถิติ
関係	สัมพันธ์
クラブ	คลับ
クラブ	สโมสร
クラブ	club
クラブ	ชมรม
クラブ	คลับ
クラブ	สโมสร
クラブ	ดอกจิก
クラブ	จิก
中央	เซ็นทรัล
中央	กึ่งกลาง
中央	กลาง
中央	ศูนย์
中央	ศูนย์กลาง
中央	กึ่งกลาง
中央	ศูนย์
中央	ศูนย์กลาง
同じ	เดียวกัน
設立	ตำหนัก
設立	สถาปนา
考え	คิด
プロ	pro
プロ	โปร
発表	ประกาศ
発表	ประกาศ
小学校	ประถม
小学校	มูลฐาน
編集	แก้ไข
編集	แก้ไข
編集	แก้ไข
シーズン	ฤดูกาล
シーズン	ฤดูกาล
ファイル	แฟ้ม
ファイル	แฟ้ม
フランス	ฝรั่งเศส
都市	เมือง
都市	ซิตี้
都市	city
都市	เมือง
都市	นคร
会社	มั่นคง
会社	บริษัท
会社	company
会社	องค์กร
会社	บริษัท
世紀	ศตวรรษ
世紀	ศตวรรษ
ノート	หมายเหตุ
ノート	บันทึก
ノート	โน้ต
ノート	หมายเหตุ
ノート	บันทึก
ノート	โน้ต
社会	สังคม
社会	สังคม
ドイツ	เยอรมนี
シングル	single
シングル	โสด
センター	กึ่งกลาง
センター	กลาง
センター	ศูนย์
センター	ศูนย์กลาง
センター	กึ่งกลาง
センター	ศูนย์
センター	ศูนย์กลาง
終了	เลิก
終了	เสร็จ
終了	จบ
終了	end
終了	ยุติ
終了	ทางออก
中心	กึ่งกลาง
中心	กลาง
中心	ศูนย์
中心	ศูนย์กลาง
中心	กึ่งกลาง
中心	ศูนย์
中心	ศูนย์กลาง
内容	เนื้อหา
内容	เนื้อหา
文化	วัฒนธรรม
イギリス	อังกฤษ
ドラマ	ดราม่า
ドラマ	ละคร
ドラマ	ละคร
中国	จีน
撮影	ภาพถ่าย
野球	เบสบอล
指定	ระบุ
位置	จุดยืน
位置	ตำแหน่ง
人物	บุคคล
文庫	bunko
公開	สาธารณชน
公開	public
公開	สาธารณะ
北海道	ฮอกไกโด
最終	last
最終	สุดท้าย
最終	ล่าสุด
確認	ยืนยัน
一般	ทั่วไป
一般	แม่ทัพ
歴史	ประวัติศาสตร์
歴史	ประวัติการ
歴史	ประวัติ
計画	วางแผน
計画	วางแผน
計画	แพ็คเกจ
計画	วางแผน
計画	แผน
計画	แผน
経済	เศรษฐกิจ
ページ	เพจ
ページ	หน้า
ページ	เพจ
ページ	หน้าที่
ページ	หน้า
教授	ศาสตราจารย์
記念	kinen
ラジオ	วิทยุ
グループ	กลุ่ม
グループ	กลุ่ม
英語	อังกฤษ
女性	หญิง
女性	หญิง
女性	หญิง
女性	สตรี
地区	เขต
地区	อำเภอ
獲得	earn
獲得	ขวนขวาย
得点	สกอร์
得点	แต้ม
得点	คะแนน
コメント	หมายเหตุ
コメント	หมายเหตุ
コメント	คอมเมนท์
漫画	การ์ตูน
他の	อื่นๆ
就任	สันนิษฐาน
就任	สมมติฐาน
就任	สมมุติฐาน
販売	ขาย
攻撃	โจมตี
サッカー	ฟุตบอล
リー	ลี
リー	lee
協会	สมาคม
フジ	fuji
フジ	ฟูจิ
戦争	สงคราม
製作	ผลิต
部分	ภาค
部分	ส่วน
部分	part
高校	มัธยม
番号	จำนวน
番号	หมายเลข
最初	ก่อน
最初	แรก
受賞	รางวัล
受賞	รางวัล
場所	ตำแหน่งที่ตั้ง
場所	ตำแหน่ง
技術	วิทยาการ
技術	เทคโนโลยี
リンク	ลิงก์
リンク	ลิงค์
リンク	ลิงก์
道路	ถนน
道路	ถนน
道路	road
特定	เจาะจง
特定	ระบุ
システム	ระบบ
システム	ระบบ
モデル	รุ่น
モデル	โมเดล
モデル	รุ่น
列車	รถไฟ
列車	รถไฟ
建設	ก่อสร้าง
とき	เมื่อไร
とき	เมื่อ
とき	ตอน
最後	last
最後	สุดท้าย
最後	ล่าสุด
科学	วิทยาศาสตร์
理由	เหตุผล
理由	เหตุ
理由	เหตุผล
理由	สาเหตุ
そして	และ
そして	แล้ว
一つ	เดียว
一つ	หนึ่ง
大正	taisho
最高	best
ブロック	บล็อก
ブロック	บล็อก
ブロック	บล็อค
車両	พาหนะ
車両	พาหนะ
自動車	รถยนต์
自動車	รถ
自動車	รถยนต์
人口	ประชากร
営業	ธุรกิจ
営業	กิจการ
新聞	หนังสือพิมพ์
政府	ราชการ
政府	รัฐบาล
構成	โครงสร้าง
最大	สูงสุด
小説	นิยาย
小説	นวนิยาย
小説	นิยาย
小説	นวนิยาย
それぞれ	แต่ละ
機関	อวัยวะ
機関	สถาบัน
機関	สถาบัน
参照	อ้างอิง
参照	อ้างอิง
メンバー	member
メンバー	สมาชิก
メンバー	สมาชิก
画像	ภาพ
画像	รูปภาพ
画像	รูป
画像	ภาพ
画像	ภาพ
画像	รูปภาพ
画像	อิมเมจ
状態	สภาพ
状態	รัฐ
状態	เงื่อนไข
状態	สภาพ
名称	ชื่อ
名称	ชื่อ
ダム	เขื่อน
ホーム	บ้าน
ホーム	home
ホーム	บาน
投稿	โพสต์
投稿	โพส
投稿	โพสต์
