организъм	אורגניזם
отпадъци	פסולת
отпадъци	לבזבז
отпадъци	בזבוז
централа	סנטרל
централа	מרכזית
централа	מרכז
централа	מרכזי
централа	מטה
централа	המפקדה
централа	מפקדה
сватба	חתונה
сватба	נישואים
сватба	נישואין
сватба	חתונה
сватба	החתונה
литра	ליטר
литра	ליטרים
резерв	מילואים
резерв	במילואים
резерв	מילואים
лицата	פרצופים
лицата	פנים
радванска	רדוונסקה
отделяне	נתק
отделяне	הפרדה
видях	מסור
видях	ראיתי
видях	המסור
видях	ראה
конен	רכיבה
полезно	שימושית
полезно	מועיל
полезно	שימושיות
полезно	שימושיים
полезно	שימושי
полезно	עוזר
полезно	מסייע
полезно	מועיל
полезно	מועילה
извършена	ביצעו
извършена	ביצעתי
извършена	בוצעו
извършена	ביצע
способен	מסוגל
способен	מסוגלות
гледам	צפייה
гледам	צופה
гледам	צופים
гледам	מתבונן
стивънс	סטיבנס
диапазон	טווח
напоследък	לאחרונה
напоследък	לאחרונה
алан	אלן
мара	מארה
превзет	יומרני
убеди	לשכנע
убеди	שכנע
документация	התיעוד
документация	תיעוד
последици	השלכות
последици	השפעות
последици	אפקטים
последици	השלכות
последици	תוצאה
последици	השלכה
пътека	נתיב
пътека	שביל
пътека	הנתיב
пътека	הליכון
пътека	שובל
учителите	מורים
шерлок	שרלוק
осман	אוסמן
изстрелване	משגר
изстрелване	השקה
изстрелване	שיגור
орфей	אורפיאוס
колела	גלגלים
колела	גלגלי
федерална	הפדרלי
федерална	פדרלית
федерална	פדרלי
правомощия	פאוורס
правомощия	כוחות
правомощия	סמכויות
правомощия	הכוחות
правомощия	רשות
правомощия	סמכות
правомощия	הרשות
вълк	וולף
вълк	זאב
слаб	סקיני
слаб	רזות
слаб	רזה
слаб	חלש
слаб	חלשים
слаб	חלשה
слаб	דקים
слаб	דק
слаб	רזה
способни	מסוגל
способни	מסוגלות
падуа	פדואה
уейн	ויין
уейн	ווין
уейн	וויין
съществувало	התקיים
съществувало	קיים
разновидност	מגוון
разновидност	גיוון
нашия	שלנו
брут	ברוטוס
хърбърт	הרברט
екшън	פעולה
екшън	עשייה
екшън	אקשן
отдих	פנאי
отдих	בילוי
отдих	פנאי
отдих	הפנאי
отдих	רוגע
отдих	רגיעה
духовен	רוחנית
духовен	רוחני
духовен	רוחניות
фишер	פישר
фишер	פישר
гръб	אחורה
гръб	בחזרה
гръб	חזרה
гръб	לאחור
гръб	מגבה
гнездото	קן
гнездото	הקן
предприемачи	יזמים
предприемачи	מפתחים
предприемачи	קבלנים
предприемачи	קבלן
моцарт	מוצרט
моцарт	מוצארט
въстания	התקוממויות
яйцата	ביצים
яйцата	אגס
реконструкция	שיקום
реконструкция	שחזור
тухли	לבנים
финалите	גמר
затворници	שבויים
затворници	אסירים
затворници	חסרונות
затворници	אסירים
правителствата	ממשלות
инфо	מידע
записана	הוקלט
записана	הקליט
записана	מוקלט
математици	מתמטיקאי
математици	מתמטיקאים
елин	אלין
детройт	דטרויט
ушите	אזניים
ушите	אוזניים
ушите	האוזניים
продуктите	מוצרים
министрите	שרים
министрите	השרים
хънт	האנט
дарява	תורמת
дарява	תורם
херодот	הרודוטוס
проведено	שנערך
проведено	ביצעו
проведено	ביצעתי
проведено	בוצעו
проведено	ביצע
единични	רווקים
нормална	נורמלי
нормална	נורמליות
нормална	נורמאלי
нормална	רגיל
нормална	נורמלית
рая	עדן
политбюро	הפוליטביורו
съотношение	פרופורציה
съотношение	יחס
съчетание	צירוף
съчетание	שילוב
духовно	רוחנית
духовно	רוחני
духовно	רוחניות
духовно	רוחנית
частно	פרטית
частно	פרטי
частно	טוראי
частно	לפרטי
разрешава	מאפשר
разрешава	מאפשרת
разрешава	מתיר
стипендия	מלגה
блато	ביצה
блато	ביצות
блато	מארש
блато	בוג
илюстрации	האיורים
хабсбург	הבסבורג
гризачи	מכרסם
гризачи	מכרסמים
гризачи	מכרסמים
практикува	התאמן
укрепления	ביצורים
нарушава	מפר
дворецът	הארמון
дворецът	ארמון
дъска	הלוח
дъска	קרש
дъска	לוח
дъска	פלאנק
дъска	קרש
томи	טומי
излъчването	משדר
излъчването	שידור
блата	בביצות
блата	בוגס
блата	ביצות
проектиране	עיצוב
мърфи	מרפי
мърфи	מורפי
бесарабия	בסרביה
корен	שורש
корен	רוט
кей	קיי
експозиция	חשיפה
алпийски	אלפיני
модерен	מודרנית
модерен	מודרני
модерен	מודרניות
модерен	אופנתי
остра	חריפה
остра	שארפ
остра	חד
остра	חדה
остра	חדות
включването	התאגדות
балет	בלט
трайно	עמיד
трайно	לצמיתות
трайно	מתמשך
последователност	סדרה
последователност	רצף
последователност	עקביות
тънки	דקים
тънки	דק
тънки	רזה
мъртъв	מת
мъртъв	מתים
мъртъв	מתה
петата	עקב
заряд	חיוב
подправки	תיבול
подправки	תבלינים
подправки	תבלין
подправки	תבלינים
подправки	ספייס
подправки	תבלין
разтвор	פיתרון
разтвор	פתרון
разтвор	הפתרון
ума	אכפת
дамаск	דמשק
установена	מבוסס
установена	הוקם
установена	הוקמה
черво	המעי
черво	מעי
черво	מעי
черво	הגס
черво	קולון
хумор	הומור
хумор	הומור
интензивно	אינטנסיבי
интензивно	נמרץ
интензивно	אינטנסיבי
интензивно	בעוצמה
радослав	רדוסלאב
популация	אוכלוסיית
популация	אוכלוסייה
популация	אוכלוסיה
подобрения	שדרוגים
подобрения	שיפור
подобрения	שיפורים
подобрения	שיפור
организиране	לארגן
организиране	ארגן
организиране	ארגן
организиране	מתארגנים
организиране	מארגן
организиране	ארגון
организиране	מארגנים
поеми	שירים
ужасите	זוועות
злото	רשע
злото	הרוע
злото	רוע
силва	סילבה
премахва	מסיר
култ	כת
култ	פולחן
трафик	התנועה
трафик	תנועה
баку	באקו
специфична	ספציפית
специфична	ספציפי
специфична	ספציפיות
специфична	ספציפיים
погребението	לוויה
погребението	הלוויה
рой	רועי
рой	רוי
живите	פרנסה
живите	חי
монахиня	נזירה
спонсор	חסות
спонсор	הספונסר
спонсор	מממן
остатъци	משקעים
остатъци	שארית
остатъци	משקע
остатъци	שאריות
остатъци	שאריות
робство	עבדות
робство	קשירה
остър	שארפ
остър	חד
остър	חדה
остър	חדות
остър	חריפה
династии	השושלות
вестфалия	וסטפאליה
долини	העמקים
детство	ילדות
стаята	חדר
стаята	החדר
стаята	חדרה
битките	קרבות
подобие	דמיון
патрон	פטרון
патрон	מחסנית
таня	טניה
таня	טניה
увеличение	התקרב
увеличение	זום
увеличение	יגבר
