žica	lanka
folk	folk
korisno	hyödyllinen
korisno	hyödyllisiä
korisno	hyödyllistä
mentalno	henkinen
mentalno	henkistä
mentalno	psyykkinen
mentalno	henkisesti
skala	asteikko
skala	vaaka
skala	mittakaavassa
ruševine	pilaa
ruševine	rauniot
donesena	vietiin
donesena	ottaa
donesena	viety
donesena	otettu
stevens	stevens
proglašenja	julistuksen
proglašenja	julistaa
proglašenja	julistetaan
patuljasta	kääpiö
trgovac	kauppias
trgovac	elinkeinonharjoittajan
trgovac	toimija
jennifer	jennifer
preuzimanja	haltuunotto
jonas	jonas
away	pois
svjedok	todistaja
svjedok	silminnäkijä
svjedok	todistajan
svjedok	todistajat
stiče	hankkii
partnera	osakas
partnera	kumppani
partnera	kumppania
troškovi	menot
troškovi	kulut
troškovi	kustannukset
troškovi	kulut
rpm	rpm
višak	ylijäämä
višak	ylimääräinen
prazan	tyhjennä
prazan	tyhjä
mayer	mayer
zabranjena	estetty
zabranjena	kielletty
intelektualaca	älymystön
dimitrije	dmitri
krive	syytä
krive	syyttää
tačna	tarkka
tačna	täsmällinen
tačna	tarkat
tačna	true
tačna	totta
zavise	riippuvat
räikkönen	räikkönen
rick	rick
sive	harmaita
sive	harmaata
sive	harmaa
sive	grey
bilje	yrttejä
kopno	mantereella
kopno	manner
živote	elämät
živote	asuu
neophodan	tarpeellisia
neophodan	tarpeen
neophodan	tarpeellista
neophodan	tarpeelliset
neophodan	tarpeellinen
neophodan	välttämätön
okus	maista
okus	maku
okus	makua
darije	darius
ubila	murhattu
ubila	murhasi
ubila	murhattiin
ubila	tapettu
ubila	tappanut
ubila	tappoi
brine	huolia
opremljena	varustettu
bitan	tärkeä
bitan	tärkeää
bitan	tärkeät
bitan	tärkeitä
prihvati	hyväksy
prihvati	hyväksyä
ruta	reittiä
ruta	reitin
ruta	reitti
bilten	uutiskirje
nina	nina
sima	sima
invazija	hyökkäys
invazija	hyökkäyksen
gosti	vieraat
gosti	vieraita
povukla	vetäytyi
malezija	malesiassa
malezija	malesian
afričkih	afrikkalainen
afričkih	afrikkalaiset
afričkih	afrikka
afričkih	afrikan
kovanica	kolikot
kovanica	kolikoita
droga	huumeet
droga	huumeita
droga	lääkkeet
droga	huumeet
droga	huume
droga	huumeiden
droga	lääke
efikasno	tehokasta
efikasno	tehokas
efikasno	tehokkaat
efikasno	tehokasta
efikasno	tehokas
efikasno	tehokkaat
efikasno	tehokkaasti
istraživača	tutkimusmatkailijoita
kontroli	ohjaus
kontroli	määräysvalta
kontroli	hallitse
kontroli	hallinta
kontroli	valvonta
testovi	testien
testovi	testit
testovi	kokeet
kontinent	mantereen
obnova	uudistaminen
obnova	uusimista
obnova	uusiminen
obnova	jälleenrakennus
obnova	jälleenrakentamiseen
pristalica	kannattaja
pristalica	tukija
pristalica	kannattajia
pristalica	booster
stoney	stoney
pregovori	neuvottelu
pregovori	neuvotteluja
pregovori	neuvottelut
pregovori	neuvottelujen
pregovori	puhuu
pregovori	neuvotteluihin
pregovori	neuvotteluja
pregovori	neuvottelut
rizika	riskejä
rizika	riskit
dnf	dnf
tumačenje	tulkinta
tumačenje	tulkintaa
prijeti	uhkaavat
prijeti	uhkaava
prijeti	uhkaa
prijeti	uhkailee
plaća	palkan
plaća	palkat
plaća	palkka
stranim	ulkomaan
stranim	ulkomaalainen
stranim	ulkomainen
stranim	ulkomaiset
remek	mestariteos
kal	kal
platiti	maksa
platiti	palkka
platiti	maksaa
platiti	maksettava
emma	emman
emma	emma
dobara	tavara
dobara	tavarat
dobara	tavaran
dobara	tavaroiden
dobara	herkut
dobara	herkkuja
ekologija	ekologia
ekologija	ekologinen
izbjeći	välttää
izbjeći	vältä
izbjeći	vältetään
izbjeći	vältettävä
referendum	kansanäänestyksen
referendum	kansanäänestystä
referendum	kansanäänestys
izazvala	aiheutti
izazvala	aiheuttanut
odjednom	yllättäen
odjednom	yhtäkkiä
jin	jin
grofica	kreivitär
made	tehdyt
made	tehty
made	valmistettu
made	made
muzičari	muusikot
odredi	määritetään
odredi	määrittää
vlasnici	omistajia
vlasnici	omistajille
vlasnici	omistajat
angažman	sitoutumisen
angažman	sitoutuminen
angažman	sitoutumista
punom	täyden
punom	täys
punom	täydet
punom	täysi
punom	täynnä
klement	clement
mon	mon
metak	luodin
metak	luoti
rupe	reikiä
rupe	aukkoja
rupe	reiät
rupe	aukot
hemijsku	kynän
hemijsku	kynä
osiguranja	vakuutus
osiguranja	vakuutuksen
osiguranja	vakuutukset
futsal	futsal
ivanov	ivanov
gana	ghana
express	ilmaista
express	express
pozicijama	asemat
divlji	wild
divlji	villiä
divlji	hurja
divlji	villi
polazi	lehtiä
polazi	lähtee
polazi	lehdet
skali	scully
litara	litraa
bratstvo	veljeskunta
bratstvo	veljeskunta
plamen	liekit
plamen	liekin
plamen	liekki
sna	unta
sna	uni
sna	haaveilla
sna	dream
sna	unelma
bafta	bafta
jarac	capricorn
