par	apie
kas	kas
kas	ko
kas	kokie
kas	kas
kas	kurie
bet	bet
saites	ryšius
saites	nuorodos
tas	šio
tas	kad
tās	jie
gan	abi
gan	abu
tikai	tik
tikai	tik
tikai	tiesiog
viņa	jo
viņa	ji
viņa	jai
pilsētas	miestus
pilsētas	miestai
pilsētas	miestai
pilsētas	urban
pilsētas	miesto
kur	kur
vieta	vieta
kara	karas
kara	karo
kara	karui
iela	gatvė
iela	gatvės
jau	jau
miris	miręs
starp	eurus
taču	bet
tomēr	tačiau
kuru	kieno
ļoti	labai
vēl	dar
pagasts	parapija
vairāk	daugiau
daļa	dalies
daļa	dalis
daļa	akcija
daļa	dalintis
tad	tada
tie	jie
šaha	šachmatų
kura	kieno
psrs	tsrs
kurš	kas
kurš	kurie
viņu	jį
pat	pat
jūras	jūrų
jūras	jūrinė
spēles	žaidimų
spēles	žaidimai
team	komanda
sezonas	sezoninio
sezonas	sezonas
visu	viskuo
visu	visko
visu	viską
visu	viskas
ieguva	įsigijo
ieguva	laimėjo
laika	orai
laika	oras
laika	laiko
laika	laikas
padomju	sovietų
padomju	tsrs
padomju	skydai
padomju	lentos
krievu	russo
score	balu
angļu	anglų
vācijas	vokietija
tautas	dažniausi
tautas	liaudis
garums	ilguma
garums	ilgis
garums	ilguma
garums	ilgumos
daudz	daug
daudz	daug
divas	du
komandas	komandos
komandas	komandas
jānis	jānis
pils	pilis
pils	pilies
pils	diss
pils	pilies
vietas	vietose
vietas	vietovės
vietas	vieta
valodas	kalbos
sezonā	sezonas
novads	savivaldybė
piedalījās	dalyvavo
šis	šio
valodā	autentiškas
valodā	autentiški
bieži	bendras
bieži	dažni
šīs	šių
tiesības	privilegijos
valoda	kalbos
valoda	kalba
sugas	rūšis
sugas	rūšių
sugas	rūšys
pasaulē	pasaulyje
ciems	kaimo
ciems	kaime
ciems	jonava
ciems	kaimas
skaits	skaičiuoti
ziemeļu	šiaurės
suga	rūšis
suga	rūšių
suga	rūšys
spēlē	žaisti
spēlē	groti
spēlē	žaidžia
aptuveni	maždaug
mūzikas	muzikos
apriņķis	apskritis
upes	upės
upes	upė
upes	upės
upes	upių
upes	upes
komanda	komanda
izlases	atsitiktinai
izlases	atsitiktinė
amerikāņu	amerikos
lietuvas	lietuvos
lietuvas	lietuvių
jūnijā	birželis
jūnijā	birželio
armijas	armijos
armijas	kariuomenė
armijas	armija
klubs	klubas
cilvēku	žmonijos
cilvēku	žmogaus
cilvēku	žmogus
com	com
līgas	lygos
līgas	lyga
hokeja	ritulio
ezers	ežeras
dzelzceļa	geležinkelis
dzelzceļa	geležinkelių
dzelzceļa	geležinkeliai
iespējams	galimai
iespējams	įmanoma
austrumu	rytų
austrumu	rytų
kultūras	augalai
kultūras	pasėliai
kultūras	derlius
kultūras	kultūrų
rietumu	vakarų
rietumu	vakarai
rietumu	vakarų
dzimums	lytis
dzimums	lytis
tagad	dabar
baznīcas	bažnyčios
baznīcas	bažnyčių
kurzemes	kuršo
auto	sunkvežimis
auto	auto
auto	automatinė
dzīvo	gyventi
dzīvo	gyvenimo
dzīvo	gyvos
dzīvo	gyva
dzīvo	live
dzīvo	gyvi
dzīvo	gyventi
dzīvo	gyvos
livonijas	lyvių
aprīlī	balandis
sporta	sporto
sporta	sportui
sporta	sporto
sporta	sportas
mājaslapa	svetainė
partijas	partijų
zelta	auksinis
zelta	auksinis
zelta	aukso
zelta	gold
zelta	auksas
mājas	namai
mājas	namus
mājas	namai
mājas	varškės
diskusija	diskusijos
diskusija	aptarimas
diskusija	diskusija
viņam	jį
nba	nba
februārī	vasaris
gandrīz	beveik
latm	latm
tāpēc	todėl
krastā	kranto
krastā	krantas
notiek	vyksta
longs	longus
karalis	karalius
nodarbošanās	profesija
nodarbošanās	užsiėmimas
stacijas	stotis
stacijas	stoties
stacijas	stotys
politiķis	politikas
šeit	čia
šeit	cia
universitātes	universitetų
universitātes	universitetai
universitātes	universitetas
darba	darbingo
darba	darbo
republikas	respublikose
būtu	būtų
būtu	turėtų
apgabals	apskritis
apgabals	rajonas
britu	britanijos
britu	britai
britu	britų
pilsētu	urban
pilsētu	miesto
pilsētu	miestai
ezera	ežeras
vārti	vartus
vārti	vartai
vārti	vartai
vārti	vartų
vārti	vartai
kārlis	kārlis
izlase	mėginys
izlase	bandinys
izlase	mėginio
izlase	ėminys
viņi	jie
īpaši	specialių
informācija	informacija
kluba	klubas
rajons	kvadratas
rajons	rajonas
balvu	prizo
balvu	prizas
balvu	prizą
balvu	premija
medaļu	medaliu
lielā	didelių
lielā	dideli
lielā	didelis
lielā	didelės
lielā	dideli
lielā	didysis
lielā	didelis
ielas	gatvės
ielas	gatvėse
katoļu	katalikų
latvija	latvija
līga	lygos
līga	lyga
līga	līga
mūsdienu	moderni
mūsdienu	šiuolaikinio
divi	du
nāves	mirtis
nāves	mirties
aleksandrs	aleksandras
aleksandrs	aleksandr
aleksandrs	aleksandrs
aleksandrs	aleksandras
aleksandrs	aleksandro
aleksandrs	alexander
