تامیل	tamilski
نوسنگی	neolita
کورت	curt
کورت	kurt
خطبه	propovijed
خطبه	propovijedi
نزاع	spor
نزاع	spora
نزاع	razdor
نزاع	sukoba
نزاع	sukob
نزاع	sukobi
نزاع	konflikt
داروین	darwin
غواصی	ronjenje
غواصی	ronjenja
غواصی	ronjenje
غواصی	roniti
غواصی	zaroni
بلوط	chestnut
بلوط	hrast
بلوط	oak
بلوط	hrasta
دستورات	zapovijedi
دستورات	naredbe
دستورات	narudžbe
تقارن	simetriju
اسراییل	izraela
اسراییل	izrael
اسراییل	izraelci
اسراییل	izraelski
اسراییل	izraelska
اشباع	zasićenost
اشباع	zasićenje
اشباع	zasićen
کوئین	quinn
پلاتین	platine
پشتیبان	podrška
پشتیبان	podršku
پشتیبان	potpora
پشتیبان	podrška
پشتیبان	pojačanje
پشتیبان	backup
اسکندریه	aleksandriji
مرکوری	živa
مرکوری	merkur
پخت	kuhanje
پخت	kuha
موری	maury
موری	murray
تضعیف	potkopava
خزانه	riznica
شهروندی	državljanstvo
شهروندی	državljanin
شهروندی	građanin
فین	finn
زانو	koljeno
زانو	koljena
آرنا	arena
آرنا	arene
فلش	blic
فلش	bljesak
ناتمام	nedovršen
ناتمام	nepotpuna
ورنر	werner
تنبیه	kažnjeni
تنبیه	kažnjen
تنبیه	kaznu
تنبیه	kazna
اشتباهات	pogreške
اشتباهات	greške
ویدئوی	videozapis
ویدئوی	video
مناره	minaret
تقلب	varati
تقلب	prevari
تقلب	varanje
تقلب	prijevara
تقلب	prevara
موزامبیک	mozambiku
ایرویز	airways
مغان	magi
حقایق	činjenice
رواندا	ruandi
تامسون	thompson
تامسون	thompsona
تامسون	thomson
مانکن	supermodel
مانکن	lutka
پاور	moc
پاور	moć
پاور	snaga
پاور	napajanje
جنجال	kontroverze
تبت	tibetanski
تبت	tibet
پوش	korica
میتسوبیشی	mitsubishi
نورد	kočije
نورد	kočija
نورد	nord
اهلی	ahli
اهلی	domaći
اهلی	domaće
اهلی	domaća
تیرداد	tiridat
خاکستر	pepeo
خاکستر	ash
خاکستر	pepela
میانجی	posrednik
میانجی	posredovanje
میانجی	posrednici
استریت	street
استریت	ulica
استریت	ulicu
تکاملی	evolucijski
گوجه	rajčica
گوجه	paradajz
زرهی	panzer
زرهی	oklopna
خروس	kurac
خروس	pijetao
کاریکاتور	karikatura
توت	tut
نمادین	simbolično
آگهی	oglašavanje
آگهی	oglašavanja
واکسن	cjepiva
واکسن	cjepivo
واکسن	cjepiva
منفرد	manfred
نیجر	niger
تامی	tomi
تامی	tommy
وارن	warrena
وارن	warren
سیلندر	cilindar
رستاخیز	uskrsnuće
رستاخیز	uskrsnuća
حشره	kukac
حشره	insekata
بیوگرافی	biografije
بیوگرافی	biografija
بیوگرافی	biografiju
بیوگرافی	biografije
امانوئل	emanuel
امانوئل	emanuele
امانوئل	emmanuel
امانوئل	emmanuelle
جبری	algebarska
شورشی	pobunjenik
شورشی	buntovnik
شورشی	pobunjenika
شورشی	pobunjenik
شورشی	pobunjenicima
شورشی	pobunjenici
شکوفایی	cvatu
شکوفایی	bloom
منطبق	identično
منطبق	identične
منطبق	identični
عهدنامه	sporazum
اقتصاددان	ekonomist
کنش	akcija
کنش	postupci
کنش	radnje
کنش	akcije
کنش	djela
پاهای	noge
پاهای	stopala
آرون	aaron
آرون	aron
تنظیمات	prilagodbe
تنظیمات	postavke
آمیخته	mješavina
آمیخته	smjesa
آمیخته	smjesama
لیسبون	lisbon
دانیال	danijel
دانیال	daniela
دانیال	daniel
دانیال	danijela
خوانی	recital
حماس	hamas
دوز	dozu
دوز	doza
فرانکو	franco
تحقیقی	stipendije
تحقیقی	stipendiju
تحقیقی	stipendija
فمینیسم	feminizam
حلب	alepa
سکولار	sekularna
تأخیر	odgoda
تأخیر	odgodi
تأخیر	kašnjenje
تأخیر	odgoditi
تأخیر	odgodi
تأخیر	odgoditi
آشوب	kaos
متکی	oslonio
پارکر	parker
بالقوه	potencijalna
بالقوه	potencijalni
بالقوه	potencijal
بالقوه	potencijalno
ادموند	edmund
زینتی	ukrasne
زینتی	ukrasno
زینتی	ukras
سقط	pobacila
سقط	pobačaj
سقط	abortus
سقط	pobačaj
تاتنهام	tottenham
دیزل	diesel
دیزل	dizel
محفل	okupljanja
محفل	skupština
محفل	skupštine
ناسیونال	nationale
ناسیونال	nacional
تماشای	gledam
تماشای	gledamo
تماشای	gleda
تماشای	gledajući
تماشای	gledanje
دوبلین	dublinu
دوبلین	dublin
الکترونی	elektrona
یاهو	yahoo
