del	del
che	cuáles
che	cuál
che	cual
che	eso
che	que
per	para
con	con
una	una
una	one
una	uno
non	not
non	no
dell	dell
come	how
come	cómo
come	como
come	gustar
come	like
come	como
sono	están
sono	are
sono	son
dal	dal
dal	from
dal	de
dal	desde
più	más
più	mas
più	more
anche	hasta
anche	incluso
anche	aun
anche	igualmente
anche	además
anche	también
anche	tambien
team	equipo
team	team
due	dos
due	two
tra	entre
tra	entre
era	fue
era	estaba
era	era
dalla	from
dalla	de
dalla	desde
suo	sus
suo	su
dopo	despues
dopo	after
dopo	tras
dopo	después
dopo	posteriormente
dopo	después
prima	antes
prima	prima
prima	primera
prima	primeras
prima	primer
prima	primeros
prima	primero
parte	part
parte	parte
stato	status
stato	estatus
stato	estado
stato	situación
stato	state
stato	estado
altri	otras
altri	otro
altri	otros
altri	otras
altri	otros
bar	barra
bar	bar
bar	bares
cest	cest
anni	anni
anni	años
anni	anos
italiano	italiana
italiano	italianos
italiano	italiano
essere	estar
essere	siendo
essere	ser
questo	este
questo	esto
questo	esta
esterni	externa
esterni	externo
esterni	externos
esterni	exterior
esterni	exteriores
esterni	exterior
collegamenti	conexiones
collegamenti	acoplamientos
collegamenti	vínculos
collegamenti	enlaces
collegamenti	links
nell	nell
serie	serie
serie	series
serie	serie
viene	viene
cet	cet
questa	este
questa	esto
questa	esta
film	films
film	peliculas
film	cine
film	películas
film	peliculas
film	cine
film	películas
film	pelicula
film	cine
film	película
film	film
film	pelicula
film	cine
film	movie
film	película
regia	dirigiendo
regia	dirigir
regia	regia
città	pueblo
città	ciudad
città	ciudad
città	ciudades
solo	solo
solo	únicamente
solo	solo
solo	sólo
solo	solamente
solo	solo
solo	simplemente
solo	sólo
solo	just
uno	una
uno	one
uno	uno
loro	sus
loro	su
loro	ellas
loro	ellos
loro	ellos
loro	ellas
primo	primo
primo	primera
primo	primeras
primo	primer
primo	primeros
primo	primero
nome	nombre
nome	name
nome	denominación
dall	dall
san	san
poi	luego
poi	entonces
secondo	segundos
secondo	segunda
secondo	segundas
secondo	segundo
msg	msg
voce	voice
voce	voz
progetti	proyectos
progetti	projects
sia	aie
sia	sia
dove	where
dove	donde
dove	adonde
dove	dónde
quando	cuándo
quando	when
quando	cuando
anno	anno
anno	año
durante	durante
mentre	mientras
voci	entradas
voci	rumores
voci	voces
voci	voices
italia	italia
fino	hasta
tre	tre
tre	tres
molto	very
molto	muy
molto	much
molto	mucho
from	from
from	de
from	desde
può	may
può	mayo
può	pueden
può	puedo
può	lata
può	can
può	puede
hanno	tener
hanno	tengan
hanno	han
hanno	tienen
comune	comunes
comune	frecuente
comune	común
comune	frecuentes
comune	common
stesso	mismo
stesso	misma
stesso	igual
tutti	todos
tutti	todas
tutti	all
tutti	todo
tutti	todos
tutti	todos
stagione	temporada
gruppo	grupo
gruppo	group
gruppo	agrupar
stati	estados
contro	contra
contro	against
dai	dai
calciatore	futbolista
roma	roma
tempo	hora
tempo	tiempo
tempo	time
abitanti	habitantes
chiesa	iglesia
grande	large
grande	grande
grande	grandes
grande	big
grande	grande
grande	gran
grande	grandes
grande	grandioso
grande	genial
grande	estupendo
grande	gran
grande	grande
secolo	siglo
secolo	century
guerra	guerra
guerra	war
guerra	guerra
sempre	always
sempre	siempre
fatto	hecha
fatto	made
fatto	hecho
fatto	hecho
fatto	hecho
volta	volta
erano	eran
erano	estaban
erano	fueron
storia	historia
storia	story
storia	historia
storia	historial
fine	end
fine	fin
fine	final
seguito	seguido
seguito	seguí
seguito	siguió
seguito	seguida
aveva	tenía
aveva	tenido
aveva	tuvo
aveva	había
album	álbum
album	album
album	disco
album	álbumes
già	ya
altre	otras
altre	otro
altre	otros
altre	otras
