عنبر	ward
مماثل	zhodné
مماثل	identické
مماثل	podobnej
مماثل	podobné
مماثل	podobná
مماثل	podobný
مماثل	podobnú
المغني	speváka
المغني	spevák
المغني	singer
المغني	speváčka
كارولينا	karolína
كارولينا	carolina
المحيطات	oceány
المحيطات	oceánov
المحيطات	ocean
المحيطات	oceánu
المحيطات	oceán
ليالي	noci
ليالي	nocí
اتفاقيات	dohovory
اتفاقيات	dohovorov
المحاضرات	prednášky
نيبال	nepále
شريك	partner
شريك	partnera
شريك	partnerské
شريك	partnerka
شريك	spoločník
المفاتيح	kľúče
المفاتيح	klávesy
عنيفة	násilné
عنيفة	násilný
عنيفة	násilne
المحسن	zlepšiť
المحسن	vylepšené
المحسن	zlepšenie
المحسن	zlepšila
المحسن	zlepšené
ابي	ocko
ابي	oci
ابي	otec
مستشفيات	nemocnice
مستشفيات	nemocníc
عانى	trpela
عانى	trpel
عانى	utrpelo
عانى	utrpeli
عانى	utrpel
عانى	trpeli
واليابان	japonska
واليابان	japonsko
واليابان	japonsku
هاي	hai
هاي	hej
هاي	sena
هاي	seno
حلت	vyriešená
حلت	vyriešené
حلت	vyriešil
حلت	vyriešený
السادة	páni
السادة	pánov
نظمت	zinscenovaný
فورت	pevnosť
فورت	fort
رايت	videli
رايت	videla
رايت	videl
رايت	pílu
رايت	videli
رايت	videla
رايت	videl
السوريين	sýrčania
يلتقي	stretáva
يلتقي	splní
يلتقي	stretne
يلتقي	spĺňa
استفتاء	referendum
بروكسل	bruselu
بروكسل	brusel
بروكسل	bruseli
سمات	atribúty
سمات	atribútov
سمات	funkcie
سمات	vlastnosti
سمات	charakteristiky
سمات	prvky
مشروعات	projektmi
مشروعات	projektov
مشروعات	projektom
مشروعات	projekty
البصر	zrak
صوفي	sophie
صوفي	sophia
منغوليا	mongolské
منغوليا	mongolsko
الصليبيين	križiaci
فتحت	otvorila
فتحت	otvorená
فتحت	otvorené
فتحت	otvorený
صحي	zdravý
صحي	zdravá
صحي	zdravo
صحي	zdravé
صحي	zdraví
المشاعر	emócie
المشاعر	emócií
المشاعر	pocity
المشاعر	city
المشاعر	citov
اختراق	narušenie
اختراق	porušenie
اختراق	piercing
فيفا	fifa
يتفق	súhlasí
ركن	rohu
ركن	roh
ركن	kúta
ركن	kút
عصبي	nervózna
عصبي	nervózny
الاستاذ	prof
الاستاذ	profesor
الاستاذ	profesorka
الاستاذ	profesora
شق	rez
شق	trhlina
شق	crack
حدد	upresniť
حدد	uveďte
حدد	zadať
حدد	špecifikovať
حدد	vyberte
حدد	vybrať
حدد	zvoľte
حدد	výber
الكوميديا	komédie
الكوميديا	komédia
الكرامة	dôstojnosti
الكرامة	dôstojnosť
الكرامة	dôstojný
الكتف	plece
الكتف	rameno
الكتف	ramena
معترف	uznaná
معترف	uznaný
معترف	uznávané
معترف	uznávaná
معترف	uznané
القط	kocúr
القط	mačka
القط	cat
بركان	sopka
هامبورغ	hamburgu
هامبورغ	hamburg
جزئي	čiastočný
جزئي	čiastočná
جزئي	čiastkové
جزئي	čiastočné
الفقرات	odsekov
الفقرات	odseky
الفقرات	odsekoch
ربحية	rentabilita
دجلة	tigris
حفيد	vnuka
حفيد	vnuk
الليثيوم	lítia
بنين	beninu
هدم	demoláciu
اغنية	pesnička
اغنية	pieseň
اغنية	skladba
اغنية	song
مصرف	banku
مصرف	banka
مصرف	banky
مصرف	bank
مصرف	banková
قياسي	štandardný
قياسي	štandard
قياسي	norma
قياسي	štandardné
مذكرة	memorandum
الكلاسيكي	klasický
الكلاسيكي	klasická
الكلاسيكي	klasické
تلقائي	automatický
تلقائي	automatická
تلقائي	automatické
تلقائي	automaticky
المنتدى	fórum
المنتدى	fóra
المنتدى	forum
خزان	nádrž
خزان	tank
خزان	zásobník
خزان	zásobníku
خزان	priehrada
صممت	projektované
صممت	navrhnuté
صممت	konštruované
صممت	navrhnutá
صممت	navrhnutý
مجلد	zložka
مجلد	priečinok
وليم	william
وليم	viliam
قبله	pusa
قبله	bozk
قبله	kiss
قبله	pobozkať
السكن	bývania
السكن	ubytovanie
السكن	bývanie
السكن	ubytovania
السكن	ubytovanie
حائز	držiteľa
حائز	držiteľ
حائز	držiak
التنقيب	vykopávok
كيان	subjektu
كيان	subjekt
البعيد	vzdialené
البعيد	vzdialený
البعيد	vzdialená
البعيد	diaľkové
البعيد	vzdialený
البعيد	vzdialené
صعوبات	ťažkosti
صعوبات	ťažkostí
جدل	spor
شون	shawn
اسطنبول	istanbule
باتمان	batman
الفلم	filmom
الفلم	film
الفلم	filmová
يولد	narodená
يولد	narodené
يولد	narodený
حرق	horieť
حرق	spáliť
حرق	pálenie
حرق	horí
حرق	spaľovanie
النيجر	niger
نقش	nápis
نقش	nápisom
فلورنسا	florence
بورت	burt
بورت	prístavu
بورت	prístav
بورت	port
مترجم	prekladateľ
مترجم	tlmočník
جلسات	relácie
جلسات	sedenia
جلسات	tréningy
جلسات	stretnutia
جلسات	zasadania
جلسات	zasadnutia
تام	tam
القراءات	čítania
عال	high
عال	vysoko
عال	vysoká
عال	vysoký
عال	vysoké
عال	nahlas
عال	hlasné
عال	hlasno
مريض	pacientka
مريض	pacienta
مريض	pacientovi
مريض	trpezlivý
مريض	pacientky
مريض	pacient
مريض	chorý
مريض	chorí
مريض	chorá
مريض	choré
بطريق	tučniak
جرعة	dávku
جرعة	dávky
جرعة	dávka
جرعة	dávke
مناورات	manévre
مناورات	manévre
مثيرة	sexi
مثيرة	sexy
مثيرة	vzrušujúce
مثيرة	vzrušujúci
المقيمين	obyvatelia
المقيمين	obyvateľov
المقيمين	obyvateľom
المثالية	idealizmus
الشفاء	liečenie
الشفاء	hojenia
شتاء	zime
شتاء	zimný
شتاء	zimná
شتاء	zima
شتاء	zimné
شرب	pije
شرب	pitie
شرب	piť
شرب	pijú
شرب	nápoj
شرب	piť
شرب	vypiť
اكتساب	získanie
اكتساب	naberá
اكتساب	získavajú
اكتساب	získať
اكتساب	nadobudnúť
اكتساب	nadobúdať
اكتساب	nadobudnutie
اكتساب	získavanie
اكتساب	získanie
اكتساب	akvizície
ليوناردو	leonardo
المتاحف	múzeá
المتاحف	múzea
بورما	barme
بورما	mjanmarsko
سين	sen
النزاعات	konflikty
النزاعات	konfliktov
النزاعات	sporoch
النزاعات	spory
منتظم	pravidelné
منتظم	pravidelná
منتظم	pravidelne
منتظم	pravidelný
الجيولوجية	geologické
رمزي	ramzi
رمزي	symbolický
رمزي	symbolické
استكشاف	skúmanie
استكشاف	preskúmať
استكشاف	skúmať
استكشاف	objavovať
درعا	pancier
درعا	výzbroj
درعا	brnenie
درعا	štít
درعا	štíty
الصانع	výrobca
الصانع	výrobcu
فرس	mare
الذئاب	vlci
الذئاب	vlkov
المواصفات	špecifikácia
المواصفات	špecifikácií
المواصفات	špecifikácie
المواصفات	špecifikácia
المواصفات	špecifikáciu
كيب	kip
زر	tlačidlo
القبلية	kmeňových
القبلية	kmeňové
الطيبة	láskavosť
جوقة	zboru
جوقة	zbore
جوقة	zbor
موانئ	prístavy
موانئ	prístavov
شعور	pocit
شعور	cítenie
العملاق	obor
العملاق	obrovský
العملاق	obrie
ريفية	vidieckeho
ريفية	vidieka
ريفية	vidiecke
الصهيوني	sionisti
ليلا	nočná
ليلا	nočné
ليلا	noc
العجز	postihnutie
العجز	invalidný
العجز	postihnutia
العجز	deficitu
العجز	deficit
الانتقام	pomsta
الانتقام	pomstu
الانتقام	odplata
جرام	gram
بولونيا	bolonského
نيكولا	nicola
الضابط	úradník
الضابط	dôstojník
الضابط	strážnik
الفاكهة	ovocia
الفاكهة	plody
الفاكهة	ovocie
الكود	kód
الكود	kod
حريق	oheň
حريق	horí
حريق	požiar
شواطئ	pláže
الخلط	miešanie
الخلط	zmiešaním
الخلط	zmätenosť
الخلط	nejasnosti
الخلط	zmätok
الخلط	zmätené
الخلط	zmätení
الخلط	zmätený
المقابر	cintorín
تصريح	oprávnenie
تصريح	povolenie
دلالة	význam
دلالة	významnosť
دلالة	dôležitosť
منفصل	rozdelili
منفصل	oddelený
منفصل	oddelená
منفصل	oddelené
منفصل	oddelený
منفصل	samostatné
منفصل	oddelené
منفصل	samostatný
منفصل	samostatná
هود	hood
بديلة	alternatíva
بديلة	alternatívne
بديلة	alternatívna
بديلة	alternatívny
بديلة	náhradné
بديلة	alternatívne
بديلة	alternatívna
بديلة	náhradník
بديلة	alternatívny
ذروة	vyvrcholenie
ذروة	vrchol
الشهادات	osvedčenie
الشهادات	potvrdenie
الشهادات	certifikát
الشهادات	osvedčenia
الشهادات	ohlasy
الشهادات	certifikáty
الشهادات	osvedčenia
الشهادات	potvrdenia
التنبؤ	predpoveď
التنبؤ	predpovede
المشرف	moderátor
المشرف	sprostredkovateľ
المشرف	nadriadený
المشرف	správca
المشرف	admin
المشرف	administrátor
ترميز	kódovanie
ترميز	kódovanie
هيلين	helena
هيلين	helen
يفتح	otvorí
يفتح	otvára
مثبطات	inhibítory
مثبطات	inhibítorov
الحمد	pochváliť
الحمد	pochvalu
الحمد	chváliť
الحمد	chvála
الصيانة	zachovanie
الصيانة	údržba
الصيانة	udržiavanie
الصيانة	údržby
الصيانة	údržbu
الانتقالية	prechodný
الانتقالية	prechodné
الانتقالية	prechodná
التبغ	tabaku
التبغ	tabak
اصدار	edícia
اصدار	vydanie
اصدار	verzia
اصدار	verziu
اصدار	vydávanie
اصدار	vydanie
اصدار	emisia
اصدار	vydať
اصدار	vydávanie
اصدار	vydanie
ليلي	lily
فيشر	fisherová
فيشر	fisher
فيشر	rybár
كول	cole
صغار	mladé
صغار	mlada
صغار	mladí
صغار	young
صغار	mladá
راسل	russell
صديقة	priateľka
شتات	diaspóry
الجمجمة	lebku
الجمجمة	lebky
الجمجمة	lebka
الكبريت	síry
الكبريت	síra
الكبريت	síry
الكبريت	síra
الظل	tiene
الظل	tieň
الظل	tieňom
الظل	tieňa
الظل	tieni
الظل	odtieň
الظل	tieňa
يختار	vyberie
يختار	vyberá
يختار	vyberie
كارتر	carterová
كارتر	carter
نيفادا	nevade
القلم	perom
القلم	pen
القلم	pero
القلم	pera
التقديرات	odhadnúť
التقديرات	odhadom
التقديرات	odhad
التقديرات	odhadov
التقديرات	odhady
تدرج	gradient
تدرج	sklon
تدرج	prechod
تدرج	vložiť
مواصلة	pokračovanie
مواصلة	pokračovania
مواصلة	pokračovať
مواصلة	pokračujte
كاي	kai
كاي	kay
التنين	draka
التنين	dračí
التنين	drak
تغيرت	zmenilo
تغيرت	zmenil
تغيرت	zmenené
تغيرت	zmenená
تغيرت	zmenila
تتويج	vrcholný
النضال	boj
اريد	chcieť
اريد	chceš
اريد	chcu
اريد	chces
اريد	chcem
هول	hala
هول	sála
هول	sieň
هول	hall
مشارك	účastník
مشارك	účastníka
الطقوس	rituály
الطقوس	rituál
الطقوس	rituály
الفطر	huby
الفطر	húb
المعتقدات	viery
المعتقدات	presvedčenie
المعتقدات	presvedčenia
دل	del
جرذ	potkany
جرذ	rat
جرذ	potkan
سكاي	obloha
سكاي	sky
سكاي	nebo
ثمان	eight
ثمان	osem
ثمان	ôsmimi
ثمان	ôsmich
مشاركات	akcie
مشاركات	podiely
مشاركات	zdieľania
باعتبار	vzhľadom
الناجحة	úspešné
الناجحة	úspešní
الناجحة	úspešný
الناجحة	úspešná
السجل	zaznamenávať
السجل	záznam
السجل	zaznamenať
السجل	nahrať
السجل	nahrávanie
السجل	registrovať
السجل	register
السجل	zaregistrovať
السجل	registrácia
السجل	log
السجل	denník
السجل	register
موحدة	jednotná
موحدة	jednotné
موحدة	zjednotení
موحدة	jednotný
موحدة	štandardizované
موحدة	štandardizovaný
موحدة	uniformy
موحدة	uniforma
موحدة	jednotná
موحدة	jednotné
موحدة	jednotný
التحدي	výzvu
التحدي	challenge
التحدي	výzva
التحدي	vyzvať
سونغ	sung
سونغ	pesnička
سونغ	pieseň
سونغ	skladba
سونغ	song
محاضرة	prednáška
محاضرة	prednášky
محاضرة	prednášku
محاضرة	lekcia
النانو	nano
الالكترونية	elektronický
الالكترونية	elektronická
الالكترونية	elektronické
الالكترونية	elektronickej
هوليوود	hollywood
هوليوود	hollywoode
هوليوود	hollywoodu
بوير	boyer
البقرة	krava
الديناصورات	dinosaurov
الديناصورات	dinosaury
الديناصورات	dinosaurus
الديناصورات	dinosaury
شمسي	slnečné
شمسي	solárne
شمسي	solárny
شمسي	slnečná
اربع	štyroch
اربع	štyria
اربع	štyri
اربع	štvorka
الحافة	hrane
الحافة	okraja
الحافة	okraj
الحافة	hrany
خريف	jeseň
فرح	radosti
فرح	radosť
فرح	radost
فرح	farah
صناعات	odvetvia
الخبرات	odbornosť
الخبرات	zážitky
الخبرات	skúsenosti
الخبرات	skúsenosť
الخبرات	prax
الخبرات	skúsenosti
الخبرات	zažiť
الخبرات	zážitok
المدار	orbitu
متسابق	pretekár
التشريح	anatómie
التشريح	pitvu
التشريح	pitva
التشريح	pitvy
تشي	chi
تشي	che
ظاهر	viditeľný
ظاهر	viditeľné
ظاهر	viditeľná
ظاهر	zjavná
ظاهر	zjavné
ظاهر	zjavný
دفعة	povzbudenie
دفعة	propagovať
دفعة	propagácia
دفعة	séria
دفعة	vyplatenie
دفعة	platbu
دفعة	platobné
دفعة	platby
دفعة	platba
النسوية	feminizmus
النسوية	feministka
لوح	rada
لوح	predstavenstvo
لوح	doska
لوح	palube
لوح	board
لوح	tabletu
لوح	tabuľa
لوح	tablety
لوح	tablet
لوح	vlna
لوح	vlnová
لوح	vlnu
عينات	vzorky
عينات	vzoriek
الميل	sklonu
الميل	míľu
الميل	mile
مزايا	výhody
مغلقة	uzavretá
مغلقة	zatvorená
مغلقة	zatvorené
مغلقة	zavreté
مغلقة	uzavreté
منصات	plošiny
منصات	platformy
منصات	platforiem
منصات	podložky
منصات	paliet
منصات	palety
المدرج	dráhy
المدرج	dráha
المليون	miliónov
المليون	milióna
المليون	milión
المليون	milióny
تقليد	tradíciu
تقليد	tradícia
تقليد	tradície
ميكانيكية	mechanické
ميكانيكية	mechanická
ميكانيكية	mechanický
السعة	kapacity
السعة	kapacita
التهديد	ohrozenie
التهديد	hrozba
المسلح	strelec
الموانئ	prístavy
الموانئ	prístavov
عقل	mozgová
عقل	mozog
عقل	mozgu
عقل	myseľ
عقل	rozum
عقل	mysel
عقل	nazor
دنيا	minimálne
دنيا	minimum
دنيا	minimálny
دنيا	minimálna
الطلاق	rozvod
الطلاق	rozviesť
خفيف	ľahký
خفيف	svetlo
خفيف	svetla
الكومنولث	spoločenstva
الكومنولث	spoločenstvo
جلدية	koža
الفائزين	výhercov
الفائزين	víťazi
الفائزين	víťazov
المرجح	vážený
المرجح	vážených
المرجح	vážené
المرجح	vážená
تهديد	ohrozujúce
تهديد	vyhráža
تهديد	ohrozenie
تهديد	hrozba
المعيار	kritérium
المعيار	kritéria
المعيار	štandardný
المعيار	štandard
المعيار	norma
المعيار	štandardné
الهياكل	konštrukcie
الهياكل	stavby
الهياكل	štruktúry
المنفى	exile
تشابه	podobnosť
الرباعي	kvarteto
المصلحة	záujem
المصلحة	úroky
