sottotenente	tenente
attaccati	atacado
promesso	prometeron
promesso	prometín
promesso	prometinlle
promesso	prometéronme
promesso	prometida
promesso	prometíchesme
promesso	prometo
promesso	prometera
doris	doris
ocean	océano
ocean	océanos
seine	sena
crudele	cruel
sposo	noivo
sposo	mozo
marines	marines
maometto	mahoma
sigillo	foca
sigillo	selo
isolata	illado
isolata	illada
luminoso	e
luminoso	brillantes
luminoso	brillante
finanziamenti	financiamento
sofferenza	sufrimento
sofferenza	de
sofferenza	sofre
radiazioni	radiación
temendo	temendo
temendo	á
metallico	de
metallico	metal
making	facer
making	a
making	de
making	facendo
orsi	osos
sing	cantar
sing	canta
sing	cante
gemelle	xemelgos
nascosti	oculto
nascosti	oculta
nascosti	ocultas
nascosti	escondidos
nascosti	escondidas
avvicinamento	enfoque
agenzie	axencias
agenzie	de
cattivi	mala
cattivi	malos
cattivi	mal
cattivi	malas
cattivi	malo
cattivi	mágoa
biondi	loira
scarpa	zapato
bracci	brazos
bracci	armas
prospettive	perspectiva
mortali	mortal
mortali	pecados
ever	nunca
ever	que
ever	algunha
ever	vez
tocco	tacto
tocco	toque
tocco	contacto
tocco	tocar
tocco	toques
accampamento	campo
accampamento	campamento
accampamento	acampamento
accampamento	do
negri	negros
negri	negratas
negri	pretos
driver	condutor
driver	de
driver	o
driver	permiso
tragica	tráxico
tragica	tráxica
letture	lendo
letture	ler
letture	lectura
letture	a
distrutte	destruídos
distrutte	destruíron
distrutte	destruído
distrutte	con
distrutte	destruírono
distrutte	destruír
messaggero	mensaxeiro
riparo	refuxio
infezioni	infeccións
infezioni	infección
sovente	a
sovente	miúdo
sovente	moito
sovente	veces
sovente	acotío
stormo	rabaño
restante	restante
restante	para
ingredienti	ingrediente
ingredienti	ingredientes
liquidi	líquido
liquidi	líquida
rubino	ruby
dormire	sono
dormire	durmir
dormire	durme
dormire	durmindo
dormire	durmir
dormire	somníferos
frontiere	fronteiras
gesta	actos
jenkins	jenkins
kingston	kingston
segretaria	de
segretaria	secretaria
segretaria	secretario
segretaria	estado
daniels	daniels
migliorato	mellorou
creative	creativo
creative	creativos
creative	creativa
creative	creativas
prossimi	próxima
prossimi	ao
prossimi	seguinte
prossimi	lado
prossimi	próximo
prossimi	o
divertente	ben
divertente	divertido
divertente	divertida
divertente	gracioso
divertente	divertido
divertente	raro
nation	nación
nation	país
completi	total
completi	completa
completi	completar
completi	completo
won	non
won	vai
won	vou
maschere	máscara
maschere	máscaras
ricevuta	recibín
ricevuta	recibiron
ricevuta	recibimos
ricevuta	recibiu
affascinante	fascinante
affascinante	engaiolante
affascinante	encantadora
affascinante	que
affascinante	encantador
affascinante	encantado
affascinante	querida
pericolose	perigoso
pericolose	perigosos
pericolose	perigosa
pericolose	perigosas
buddy	amigo
buddy	colega
buddy	compañeiro
copertine	cobre
palle	pelotas
palle	collóns
palle	ovos
palle	as
elettricità	electricidade
elettricità	a
dawson	dawson
sugar	azucre
gonna	saia
recettori	receptor
recettori	receptores
arancio	laranxa
promozioni	promoción
promozioni	ascenso
release	liberación
release	lanzamento
release	en
release	liberdade
release	a
alcol	alcol
alcol	alcohol
vende	vende
sensori	sensor
proibito	prohibido
proibito	prohibidas
tessile	téxtil
scalinata	escaleiras
dimostrata	a
dimostrata	demostrou
cameriera	criada
durato	durou
pallido	pálida
pallido	pálido
intenti	intención
soffre	sofre
magistrati	xuíces
magistrati	os
producendo	producindo
danesi	danés
danesi	daneses
legion	lexión
goodbye	deica
goodbye	bico
goodbye	adeus
mosso	mudeime
mosso	a
mosso	mudouse
mosso	se
isolati	illado
isolati	illada
corteo	desfile
corteo	procesión
freddie	freddie
maiale	porco
rifugiati	de
rifugiati	refuxiados
trust	en
trust	confianza
trust	confiar
trust	confío
analogia	analoxía
fossato	gabia
convinta	de
convinta	convencido
studentessa	estudante
studentessa	estudantes
studentessa	alumno
progressi	progreso
