novak	novak
starosti	soucis
starosti	inquiétudes
starosti	inquiétude
dorazil	arrivés
dorazil	arrivé
fin	nageoire
fin	fin
léčbě	traitez
léčbě	traiter
poskytnout	fournir
poskytnout	fournissent
masivní	massifs
masivní	massif
masivní	massive
masivní	massives
zachránil	secouru
zachránil	sauvés
zachránil	secourus
zachránil	sauvée
zachránil	sauvé
zachránil	enregistré
zachránil	enregistrée
zachránil	sauvés
zachránil	sauvé
zachránil	sauvegardé
zachránil	enregistrés
guvernér	gouverneure
guvernér	gouverneur
autorství	paternité
předpokládat	présumer
předpokládat	supposer
předpokládat	supposez
předpokládat	présume
předpokládat	présumer
demokracii	démocratie
řetězce	chaines
řetězce	chaînes
řetězce	chaînes
řetězce	cordes
posádku	équipage
posádku	équipages
china	menton
china	chin
china	tchin
úvahu	considération
vložit	insert
vložit	insérer
vložit	insertion
vložit	insérez
vložit	coller
vložit	colle
vložit	pâte
věděl	saviez
věděl	savait
věděl	savais
věděl	savaient
konečný	finie
konečný	finies
konečný	définitif
konečný	finale
konečný	final
konečný	définitive
dagmar	dagmar
vědců	scientifiques
karta	tabulation
karta	onglets
karta	tab
karta	onglet
johan	johan
cooper	cooper
stráže	gardes
stráže	gardiens
afghánistánu	afghanistan
robot	robots
robot	robot
robot	robotique
via	via
výchozí	défaut
kilometr	kilomètre
kilometr	kilomètre
evropu	europe
provizorní	provisoire
provizorní	provisoires
psycholog	psychologues
psycholog	psychologue
převzetí	rachat
nález	trouver
nález	découverte
nález	découvertes
nález	discovery
tanku	réservoir
tanku	tank
tanku	citerne
tanku	cuve
likvidaci	élimination
likvidaci	liquidation
gen	gènes
gen	gène
gen	gene
gen	gen
protest	protestation
protest	protestations
protest	contestation
protest	protester
protest	manifestation
kvete	fleurit
kvete	floraison
pasivní	passif
pasivní	passive
pasivní	passives
pasivní	passifs
pasivní	passivité
fotky	photos
fotky	photographies
fotky	images
fotky	photos
výrobci	producteurs
výrobci	constructeur
výrobci	manufacturier
výrobci	fabricant
výrobci	constructeurs
výrobci	fabricants
graf	graphique
graf	graphe
graf	graphique
graf	diagramme
graf	graf
jedenáct	onze
jedenáct	eleven
kůži	peau
léčba	traitement
léčba	soins
léčba	traitements
prefektura	préfecture
sokolov	sokolov
issn	issn
western	occidentale
western	occidental
western	ouest
western	western
playoff	playoff
playoff	playoffs
playoff	éliminatoires
playoff	playoffs
playoff	éliminatoires
