die	на
van	прізвище
van	від
het	got
het	має
wat	що
wat	яка
wat	чим
wat	той
word	стануть
word	стати
word	стають
was	був
was	була
was	було
was	були
vir	для
nie	не
nie	not
dit	цей
dit	ця
deur	вивіз
deur	двері
ook	також
tot	доки
tot	till
tot	поки
dat	той
hulle	їх
hulle	їм
hulle	комплектів
suid	південна
suid	південь
suid	південний
uit	назовні
uit	вийшов
uit	out
jaar	рік
eerste	перше
eerste	перша
eerste	перший
maar	але
kan	можна
hierdie	цей
hierdie	ця
ander	інший
ander	інша
ander	інші
ander	інше
ander	інших
soos	подобається
soos	зразок
soos	like
afrika	африка
afrika	африканська
afrika	африканський
afrika	африканські
afrika	африканських
oor	приблизно
oor	інфо
oor	про
oor	щодо
oor	слуху
oor	вухо
oor	залишилося
oor	залишилось
oor	лишилось
een	одна
een	one
een	одне
een	один
gebruik	користування
gebruik	використання
gebruik	використати
gebruik	використовувати
gebruik	користування
gebruik	використання
afrikaanse	африканська
afrikaanse	африканський
afrikaanse	африканські
afrikaanse	африканських
groot	великий
groot	чудово
meer	озеро
meer	озера
meer	більше
onder	нижче
onder	знизу
onder	внизу
onder	знизу
twee	два
twee	дві
twee	двоє
twee	двох
twee	двійка
kerk	церква
kerk	костел
duimnael	мініатюра
duimnael	ескіз
duimnael	мініатюр
duimnael	мініатюри
tussen	поміж
tussen	між
gemeente	прихожан
gemeente	згромадження
gemeente	зборів
gemeente	збори
baie	дуже
baie	багато
baie	багатьох
begin	запустити
begin	розпочати
begin	старт
begin	запускати
begin	початок
begin	почати
hul	своїх
hul	їхньому
hul	свої
hul	їхнє
waar	звідки
waar	де
waar	where
waar	куди
waar	істина
waar	правда
dié	цей
dié	ця
eeu	ст
eeu	століття
eeu	century
haar	her
haar	нею
haar	її
haar	їй
eksterne	зовнішнє
eksterne	зовнішні
eksterne	зовнішній
eksterne	зовнішня
sien	дивлюся
sien	бачити
sien	подивитися
sien	див
sien	бачите
sien	бачу
sien	переглянути
nuwe	нові
nuwe	нове
nuwe	нова
nuwe	новий
nuwe	створити
leë	порожнім
leë	порожнє
leë	порожня
leë	порожні
leë	порожній
leë	бланк
leë	порожній
hom	нього
hom	постане
hom	йому
hom	ним
hom	його
voor	front
voor	спереду
voor	передні
voor	фронт
voor	передній
voor	перед
voor	before
stad	місто
land	країни
land	країна
land	кантрі
skakels	лінки
skakels	посилання
skakels	посиланнями
skakels	посилань
later	згодом
later	пізніше
later	потому
nog	ногайська
nog	більше
net	лише
net	тільки
net	просто
net	щойно
tydens	підчас
sou	would
naam	назва
deel	акція
deel	поширити
deel	поділитися
deel	поширення
deel	поділитись
deel	частина
drie	три
drie	втрьох
drie	трійка
egter	однак
grootste	greatest
pous	папи
pous	папа
sal	воля
sal	буде
sal	будуть
kon	зміг
kon	могла
kon	змогли
kon	вдалось
kon	міг
ons	наше
ons	наша
ons	наші
ons	наш
mense	народ
mense	людей
mense	люди
bestaan	існують
bestaan	існує
bestaan	існує
svg	svg
nasionale	національна
nasionale	націонал
nasionale	національне
nasionale	національний
nasionale	національні
maak	make
maak	зробити
kom	come
kom	приходь
kom	приходьте
noord	північна
noord	норт
noord	північний
noord	північ
jpg	jpg
gebied	територія
gebied	область
gebied	ділянка
gebied	площа
gebied	місцевість
vanaf	від
laat	запізнюється
laat	пізно
laat	запізно
saam	разом
style	стилів
style	стилі
terwyl	поки
veral	особливо
moet	мусить
moet	має
moet	повинен
