sur	sur
log	kirjaudu
log	loki
log	tukki
pagarināts	laajennettu
pagarināts	jatkettu
pagarināts	pidentää
pagarināts	pitkittynyt
baltica	baltica
gultas	sänky
gultas	vuode
gultas	sängyn
mazdēls	pojanpoika
mazdēls	lapsenlapsi
karaļi	kuninkaat
karaļi	kuninkaita
hamburgā	hampurin
olivers	oliver
atnesa	tuotiin
atnesa	toi
lieldienu	pääsiäinen
forums	foorumin
forums	foorumi
forums	forum
organismi	organismit
organismi	organismien
vienpadsmit	eleven
vienpadsmit	yksitoista
papildina	täydennettävä
papildina	täydennetään
papildina	täydennys
papildina	täydentävät
papildina	täydentää
ceļotājs	matkustaja
ceļotājs	matkaaja
ceļotājs	matkustaja
ceļotājs	matkaaja
simti	sata
simti	hundred
simti	sadat
simti	satoja
skaidro	selittää
skaidro	selitetään
zorro	zorro
sociālais	sosiaaliset
sociālais	sosiaalisen
sociālais	sosiaalinen
sociālais	yhteiskunnallinen
darīts	tehty
darīts	done
faila	tiedostoa
faila	tiedosto
faila	tiedoston
faila	kansio
abū	yas
minoritātes	vähemmistöt
minoritātes	vähemmistöjen
minoritātes	vähemmistöjä
modas	maud
likteni	kohtalon
likteni	kohtalo
likteni	destiny
likteni	kohtalon
likteni	kohtalo
likteni	kohtaloa
dieviete	jumalatar
barošanas	ruokinta
pārveidot	muuntaa
pārveidot	muokata
pārveidot	muokkaa
pārveidot	muunnos
briesmas	vaaroja
briesmas	vaarat
briesmas	vaara
briesmas	vaaraa
patiesi	todella
barjeru	este
barjeru	esteen
aizstāvēt	puolusta
aizstāvēt	puolustaa
aizstāvēt	puolustaa
aizstāvēt	puolustaminen
atvaļināts	eläkkeelle
atvaļināts	eläkkeellä
džeina	jane
džeina	janea
džeina	jayne
mēreni	kohtuullisen
novērotas	todetut
novērotas	havaittu
novērotas	havaitut
sociālistu	sosialistinen
sociālistu	sosialistit
piecdesmit	viisikymmentä
piecdesmit	fifty
piekļūt	käyttöoikeus
piekļūt	pääsy
piekļūt	saatavuus
atcelta	peruutettu
atcelta	perui
atcelta	peruttu
atcelta	peruutettu
atcelta	peruttu
barbara	barbara
politiķi	poliitikkoja
politiķi	poliitikot
stratēģijas	strategiat
stratēģijas	strategioita
