оперативной	pagpapatakbo
начальное	pangunahing
начальное	pangunahin
растворяется	natutunaw
заметили	mapansin
заметили	napansin
вмешательства	panghihimasok
вмешательства	pamamagitan
корона	korona
корона	corona
политиков	pulitiko
посла	ambassador
регулярного	regular
нова	nova
разногласия	pagkakaiba
производственного	produktibo
риа	ria
традиционный	tradisyunal
традиционный	tradisyonal
генералов	generals
фонтан	fountain
фонтан	balong
ресторан	restawran
ресторан	kainan
ресторан	restaurant
присутствовали	pumasok
присутствовали	pinapasukan
присутствовали	dumalo
углы	angulo
углы	angles
отчет	iulat
отчет	ulat
экспорт	exports
экспорт	export
экспорт	naglilipat
антония	antonia
целое	integer
целое	buumbilang
целое	whole
целое	buo
целое	buong
вещь	bagay
учебников	textbook
подтверждено	kumpirmado
подтверждено	nakumpirma
лёгкий	magaan
шведская	swedish
шведская	suweko
враг	kaaway
изменилось	nagbago
изменилось	binago
изменилось	pinalitan
наследник	tagapagmana
коммунистическая	komunista
широкая	malawak
широкая	malapad
мюзикл	musikal
мюзикл	musical
резерв	taglay
резерв	reserve
резерв	reserba
репрессий	repression
прозвища	palayaw
поняли	naintindihan
интересный	interesting
интересный	interesante
реальные	real
теннис	tennis
ключи	keys
ключи	susi
сделанные	ginawa
восприятия	perceptions
татарский	tatar
духовное	espirituwal
духовное	spiritual
славу	fame
славу	glory
славу	luwalhati
славу	kaluwalhatian
таиланд	thailand
таиланд	philippines
финансирование	financing
финансирование	pagpopondo
финансирование	pananalapi
младшая	bunso
глазго	glasgow
соперников	karibal
пакистан	pakistan
робин	robin
робин	robyn
угроза	banta
мтс	mts
председатели	upuan
председатели	silya
мозель	moselle
подростков	kabataan
подростков	tinedyer
подростков	teenager
демо	demo
демо	pagpapakita
военнопленных	pows
трагедия	tragic
трагедия	trahedya
заседание	sesyon
заседание	session
заседание	miting
заседание	pulong
заседание	pagkakakilala
заседание	pagpupulong
ушла	gone
ушла	mawala
луки	luca
луки	luka
таиланда	thailand
таиланда	philippines
таиланда	thai
пройдя	pagpasa
пройдя	passing
пройдя	ipinapasa
советники	tagapayo
советники	councillors
отправили	naipadala
отправили	ipinadala
отправили	naipadala
отправили	ipinadala
отправили	nagpadala
аэропорты	airports
гитлер	hitler
оплаты	pagbabayad
оплаты	kabayaran
оплаты	bayad
организмов	organismo
организмов	organism
присоединиться	sumali
присоединиться	sasali
присоединиться	sali
хьюстон	houston
счастье	ligaya
счастье	saya
счастье	kaligayahan
загрузки	download
холл	hall
культ	kargo
культ	kulto
лесных	kagubatan
лесных	gubat
поколений	henerasyon
македония	masedonya
утверждено	inaprubahan
утверждено	naaprubahan
волос	hair
волос	buhok
создатели	gumagawa
покрытия	cover
покрытия	pabalat
покрытия	takpan
ферма	bukid
произносится	binibigkas
грозный	grozny
условие	kalagayan
условие	kondisyon
условие	kundisyon
объединять	pagsamahin
португальский	portuguese
португальский	portuges
низкий	mababang
низкий	mababa
низкий	low
древесины	kahoy
древесины	wood
уменьшить	bawasan
уменьшить	bumaba
уменьшить	bawasan
уменьшить	paliitin
геолог	geologist
мобильных	cellphone
получены	natanggap
азота	nitrogen
усовершенствования	pagpapabuti
усовершенствования	pagpapahusay
мозг	brain
мозг	utak
мозг	utak
поднял	binuhay
поднял	itataas
поднял	itinaas
поднял	nakataas
поднял	nakuha
бред	brad
