dhe	og
një	et
një	en
një	én
nga	fra
për	til
për	for
edhe	selv
tij	hans
nuk	ikke
nuk	not
nuk	ej
ishte	var
ishte	blev
janë	er
shumë	meget
por	men
pas	efter
pas	følger
këtë	dette
këtë	denne
parë	set
parë	ses
tyre	deres
tyre	them
tyre	dem
mund	kunne
mund	ku
mund	kan
mund	can
gjatë	lang
gjatë	lange
gjatë	længe
disa	nogle
lidhje	link
lidhje	links
lidhje	relation
lidhje	relationer
lidhje	forholdet
lidhje	forhold
lidhje	forbindelse
lidhje	tilslutning
lidhje	tilknytning
lidhje	link
lidhje	linket
kjo	dette
kjo	denne
kur	da
kur	når
kur	hvornår
mbi	over
mbi	derover
mbi	slut
mbi	ovenfor
mbi	over
mbi	ovenover
mbi	ovenstående
deri	till
deri	indtil
jashtme	udvendige
jashtme	udvendig
jashtme	udvendigt
saj	dens
saj	dets
saj	its
saj	hende
saj	hendes
kishte	havde
kishte	haft
ajo	hun
vetëm	alene
vetëm	kun
vetëm	bare
ata	them
ata	dem
ata	de
tjera	andre
tjera	andet
pjesë	reservedele
pjesë	dele
pjesë	del
atë	ham
shqiptare	albanske
shqiptare	albansk
shqiptare	albanere
madhe	big
madhe	store
madhe	stor
madhe	stort
rreth	om
rreth	omkring
rreth	omkring
para	money
para	penge
para	kontant
para	cash
para	kontanter
para	inden
para	før
ishin	var
per	om
per	omkring
per	til
per	for
këto	disse
banorë	indbyggerne
banorë	indbyggere
banorë	beboere
banorë	fastboende
banorë	bosiddende
banorë	residenter
banorë	indbyggere
banorë	beboere
komuna	kommuner
komuna	kommunerne
komuna	kommune
komuna	kommunen
komuna	kommun
cila	hvilket
cila	hvilken
cila	hvilke
nje	et
nje	en
nje	én
kundër	imødegå
kundër	tælleren
kundër	imod
kundër	mod
madh	enorm
madh	umådeligt
madh	umådelig
madh	enorme
lista	liste
lista	list
lista	lister
lista	fortegnelser
qenë	blevet
qenë	været
kantoni	canton
gjithashtu	også
ndërsa	mens
cilat	hvilket
cilat	hvilken
cilat	hvilke
ndryshme	forskellige
ndryshme	forskelligt
ndryshme	anderledes
ndryshme	forskellig
ndryshme	divergerende
ndryshme	afvigende
etj	etc
etj	mv
etj	osv
duhet	behov
duhet	må
duhet	skal
sipërfaqe	overflader
sipërfaqe	flader
sipërfaqe	overflade
sipërfaqe	overfladen
ato	them
ato	dem
ato	de
përgjithshëm	generelt
përgjithshëm	generel
përgjithshëm	generelle
përgjithshëm	almindelig
tjetër	andre
tjetër	andet
tjetër	næste
njohur	bekendt
njohur	velkendt
njohur	genkendte
njohur	erkendt
njohur	genkendt
njohur	anerkendt
njohur	genkendte
njohur	erkendt
njohur	genkendt
njohur	anerkendt
njohur	vidst
njohur	kendte
njohur	kendt
shqiptar	albanske
shqiptar	albansk
shqiptar	albanere
style	stil
style	style
dytë	sekund
dytë	andet
dytë	anden
mirë	god
mirë	gode
mirë	godt
fundit	sidste
fundit	sidst
fundit	senest
fundit	seneste
pasi	efter
shiko	se
shiko	kig
shiko	se
nën	nedenfor
nën	under
nën	nedenunder
nën	sub
nën	under
jpg	jpg
herë	fold
herë	tidspunkter
herë	gange
herë	tiderne
herë	tider
herë	times
viti	aars
viti	året
viti	år
sot	idag
çdo	hver
lartë	høj
lartë	højt
lartë	høje
popullsi	befolkningen
popullsi	indbyggertal
popullsi	befolkning
popullsi	indbyggere
kosovës	kosovo
komunë	kommune
komunë	kommunen
komunë	kommun
jetë	liv
jetë	livet
jetë	livstid
jetë	life
president	præsidenten
president	formand
president	præsident
bërë	færdig
bërë	udfærdiget
bërë	done
bërë	udført
bërë	gjort
mes	midten
mes	midterste
mes	mellemste
mes	mid
mes	mellem
mes	imellem
vonë	sen
vonë	forsinket
vonë	sent
vend	landet
vend	land
vend	lande
vend	mødested
vend	stedet
vend	place
vend	sted
vend	plads
shqipëri	albanien
pak	små
pak	lille
pak	lidt
francë	frankrig
francë	france
fshat	landdistrikter
fshat	landskab
fshat	village
fshat	landsbyen
fshat	landsby
zyrtare	officielt
zyrtare	embedsmand
zyrtare	tjenestemand
zyrtare	officiel
kryetari	højtaler
kryetari	højttaler
kryetari	taler
kryetari	formand
kryetari	bestyrelsesformand
vendosur	beliggende
vendosur	lokaliseret
vendosur	placeret
pasur	havde
pasur	haft
pasur	rig
pasur	rich
pasur	rigt
pasur	rige
sepse	fordi
sepse	årsag
sepse	årsagen
kishin	havde
kishin	haft
vitet	år
tre	trillinger
tre	tre
tre	three
fund	nederdel
fund	slutning
fund	slutter
fund	slutning
fund	afslutning
fund	slut
fund	ende
fund	ophør
marrë	indtaget
marrë	udtaget
marrë	taget
tjerë	andre
harta	kort
harta	landkort
harta	kort
harta	landkort
mbreti	konge
mbreti	kongens
mbreti	kong
mbreti	kongen
mbreti	king
midis	mellem
midis	imellem
kosovë	kosovo
vjet	år
përbëhet	består
pastaj	derefter
pastaj	så
shtetit	stat
shtetit	state
shtetit	delstat
shtetit	tilstand
