дедушка	avó
священная	sagrado
священная	sagrados
способные	capaz
шкала	escala
макдональд	macdonald
макдональд	mcdonald
пробы	mostras
хозяйка	a
хозяйка	señora
хозяйка	patroa
клиники	clínica
свиней	porcos
свиней	os
цифровые	dixital
цифровые	dixitais
китайцы	os
китайцы	chineses
китайцы	chinés
китайцы	chinesas
китайцы	chinesa
благодарен	agradecido
адвокаты	avogados
учительница	profesor
учительница	mestra
учительница	mestre
спрос	demanda
спрос	pido
спрос	custar
тестирование	probas
тестирование	probando
объясните	explicar
объясните	explicarllo
красивая	fermoso
красивая	bonita
красивая	fermosa
красивая	precioso
красивая	fermosas
красивая	moi
красивая	bastante
красивая	bonita
красивая	ben
лодке	barco
лодке	bote
лодке	chalana
критический	crítica
мощь	poder
мощь	o
готовить	cociñar
готовить	cociñeira
готовить	cociñeiro
незначительно	lixeiramente
человечество	a
человечество	humanidade
приехали	cheguei
приехали	á
приехали	chegou
приехали	chegamos
приехали	chegaron
приехали	a
приехали	chegar
двойная	o
двойная	dobre
двойная	double
еды	comida
еды	alimentos
еды	alimentaria
напитки	copas
задержан	arrestados
задержан	arrestaron
задержан	deteñan
задержан	o
встретили	coñecín
встретили	a
встретили	coñecemos
захвачены	capturado
захвачены	capturados
захвачены	prisioneiro
временная	temporal
необходимый	necesario
необходимый	necesaria
необходимый	necesarios
необходимый	necesarias
необходимый	preciso
необходимый	é
проголосовали	votou
проголосовали	votaron
планирование	planificación
ллойд	lloyd
опасные	perigoso
опасные	perigosos
опасные	perigosa
опасные	perigosas
молот	martelo
бессмысленно	senso
фантазии	fantasía
круглые	redondo
круглые	redondos
круглые	xira
круглые	arredor
круглые	preto
летать	e
летать	pilotar
летать	voar
летать	voan
летать	voarei
летать	voe
летать	voo
летать	a
летать	voando
летать	voar
порошок	tocador
дыхание	hálito
дыхание	respiro
дыхание	alento
дыхание	respiración
дыхание	folgos
дыхание	tempo
дыхание	respirar
поставок	subministración
напиток	beber
напиток	bebe
напиток	copa
параллельных	paralelo
исследовать	explorar
посланник	mensaxeiro
добавьте	engadir
добавьте	dous
приказы	ordes
приказы	orde
приказы	as
приказы	encargos
оксид	nítrico
магия	maxia
магия	máxico
магия	máxica
опубликовать	posto
опубликовать	poste
опубликовать	correos
опубликовать	correo
опубликовать	de
опубликовать	publicar
спроса	demanda
спроса	pido
спроса	custar
ежегодная	anual
уилл	vai
диктатуры	ditadura
эллен	ellen
больным	enfermo
больным	enfermos
больным	enferma
пожаров	lumes
чая	té
чая	tomar
чая	de
чая	te
игрушки	xoguete
игрушки	xoguetes
молния	lóstrego
дакота	dakota
убедил	de
убедил	convencido
профессионал	profesionais
профессионал	profesional
профессионал	un
разделяет	compartidos
разделяет	compartiron
разделяет	compartido
разделяет	compartida
разделяет	compartimos
разделяет	compartiu
немец	alemán
немец	alemana
немец	alemaña
немец	alemáns
огни	luces
огни	as
огни	luz
огни	apaguen
любимая	favorito
любимая	favoritos
любимая	favorita
любимая	preferido
любимая	amado
любимая	querido
береговая	costa
береговая	marfil
береговая	na
копенгаген	consenso
копенгаген	de
копенгаген	copenhaguen
копенгаген	copenhague
оскара	óscar
шин	canela
тор	tor
бежит	corre
пророк	profeta
браки	casamento
браки	matrimonio
ненависти	odio
ненависти	os
ненависти	o
ненависти	a
радикально	radical
радикально	radicais
читаем	lendo
читаем	ler
читаем	lectura
читаем	a
интеллект	intelixencia
ускорения	aceleración
аудитория	audiencia
аудитория	público
аудитория	auditorio
аудитория	auditorio
привилегии	privilexio
истина	verdade
истина	a
доменико	domenico
ненависть	odio
ненависть	odio
ненависть	os
ненависть	o
ненависть	a
связать	enlace
связать	conectarnos
будущие	futuro
меру	medida
меру	medir
меру	medimos
родителям	pais
родителям	os
механические	mecánica
механические	mecánico
тактика	táctica
подавление	da
подавление	represión
аналогичное	similar
аналогичное	similares
аналогичное	semellantes
аналогичное	semellante
аналогичное	parecido
аналогичное	parecidas
биологические	biolóxicas
биологические	biolóxica
биологические	biolóxico
биологические	biolóxicos
настроение	humor
настроение	ánimo
хоккайдо	hokkaido
температуру	temperatura
температуру	a
вертикально	verticais
вертикально	vertical
заяц	coello
ценный	valioso
финансы	financeira
финансы	finanzas
камбоджи	camboxa
камбоджи	en
базовый	básica
базовый	básicos
базовый	básico
базовый	básicas
базовый	as
стюарта	stuart
стюарта	estuardo
сессия	sesión
вильям	william
босс	xefe
босс	patrón
религиозное	relixioso
религиозное	relixiosa
свинца	conducir
свинца	levar
свинца	a
свинца	até
муссолини	mussolini
понравилась	gustaba
понравилась	lle
понравилась	gustara
понравилась	gustou
понравилась	me
понравилась	gustáballe
ричи	richie
тайм	momento
тайм	tempo
тайм	vez
тайм	hora
ограниченный	limitado
ограниченный	limitada
колена	xeonllo
коров	as
коров	vacas
беспорядков	raciais
беспорядков	disturbios
субъект	suxeito
субъект	tema
субъект	materia
наименее	cando
наименее	menos
наименее	polo
сингапуре	singapur
пообещал	prometeron
пообещал	prometín
пообещал	prometinlle
пообещал	prometéronme
пообещал	prometida
пообещал	prometíchesme
пообещал	prometo
пообещал	prometera
отрицание	negación
господь	señor
господь	deus
господь	lord
свобод	liberdades
свобод	liberdades
полезный	útil
полезный	útiles
полезный	para
полезный	útil
полезный	axuda
преступник	penal
преступник	criminais
преступник	criminal
преступник	crime
телескопа	telescopio
бумага	papel
бумага	xornal
бумага	artigo
точками	puntos
точками	cabos
кредит	tarxetas
кредит	crédito
кредит	roubada
кредит	préstamo
доставить	pásao
доставить	líbranos
доставить	entregar
ярмарка	xusto
ярмарка	feira
флоренция	florence
осторожно	coidado
осторожно	ten
осторожно	con
осторожно	tede
осторожно	prudente
осторожно	conta
осторожно	atento
журналистка	xornalista
фундамент	fundación
фундамент	alicerce
фундамент	alicerces
фундамент	base
фундамент	foundation
фундамент	cimentos
фундамент	transformado
несет	leva
конкретное	específicas
конкретное	específica
конкретное	específico
конкретное	concreto
конкретное	específicos
доверять	en
доверять	confianza
доверять	confiar
доверять	confío
доверять	de
доверять	confianza
доверять	en
сознании	consciencia
сознании	consciente
социализм	socialismo
разместил	no
пятнадцать	quince
сгорел	queimado
сгорел	queimaron
сгорел	queimou
сгорел	queimados
спины	costas
юридическая	xudicial
юридическая	legal
юридическая	legais
мусор	lixo
мусор	parvadas
мусор	lixo
мусор	do
аппаратура	equipamento
подняли	criados
подняли	a
подняли	crecín
подняли	criamos
робертс	roberts
розовый	rosas
розовый	rosa
цивилизация	civilización
микки	mickey
микки	micky
африканский	áfrica
африканский	africana
африканский	africanos
африканский	africano
успешные	éxito
успешные	exitosos
пешком	andar
пешком	camiñar
делегаты	delegados
выжить	sobrevivir
выжить	sobrevivimos
выжить	á
выжить	sobreviven
выжить	sobreviva
выжить	ser
выжить	humano
выжить	supervivintes
цитирую	cita
цитирую	citar
мудрости	a
мудрости	sensatez
мудрости	sabiduría
мудрости	sabedoría
копенгагене	consenso
копенгагене	de
копенгагене	copenhaguen
копенгагене	copenhague
искусственные	artificiais
искусственные	artifical
искусственные	artificial
китайское	os
китайское	chineses
китайское	chinés
китайское	chinesas
китайское	chinesa
сьюзан	susan
живое	vivo
живое	vivir
живое	vivindo
живое	vida
возражаю	obxección
пользователю	usuario
пользователю	de
резня	masacre
географической	geographic
приятно	bonito
приятно	ben
приятно	bonita
приятно	bo
приятно	boa
стива	steve
магазинах	almacéns
магазинах	depósitos
магазинах	provisións
похищение	secuestro
катерина	katherine
черепаха	de
черепаха	tartaruga
сидел	eu
сидел	sentei
сидел	sentouse
сидел	senteime
сидел	sentou
сидел	onda
сидел	sentado
сидел	sentados
типичные	típico
репутации	reputación
репутации	sona
соня	sonia
семейное	familia
семейное	familiar
мун	lúa
мун	moon
двойное	o
двойное	dobre
двойное	double
имам	imán
гарсиа	garcía
отклонить	declive
мюррей	murray
ящик	caixa
ящик	palco
бесплатный	libre
бесплатный	libres
бесплатный	balde
регулярное	regularmente
регулярное	normal
регулярное	típica
регулярное	de
регулярное	taxis
регулярное	regular
монстров	monstros
живущие	vivo
живущие	vivir
живущие	vivindo
живущие	vida
проверил	a
абсолютное	absoluta
абсолютное	absoluto
абсолютное	absolutos
абсолютное	absolutamente
диагностика	diagnóstico
диагностика	diagnose
продемонстрировал	a
продемонстрировал	demostrou
пистолеты	armas
пистолеты	fusís
пистолеты	as
пистолеты	armados
пистолеты	metralladoras
слабый	mal
слабый	esvaecemento
слабый	débil
партнёр	socio
террор	terror
правосудия	justice
правосудия	xustiza
правосудия	a
правосудия	xuíza
правосудия	da
правосудия	aos
правосудия	con
лодку	barco
лодку	bote
лодку	chalana
милосердия	misericordia
милосердия	piedade
милосердия	misericordioso
фундаментальные	fundamental
страдал	sufriron
страдал	sofre
страдал	sufrín
контролирует	controla
принес	trouxen
зимняя	no
зимняя	inverno
зимняя	o
рональд	ronald
развить	desenvolver
развить	desenvolven
пёс	can
земельный	terra
земельный	país
земельный	terras
миры	mundos
гнев	ira
гнев	rabia
гнев	odio
убийц	asasinos
танзании	tanzania
наступательных	ofensivo
наступательных	ofensiva
пятьдесят	50
пятьдесят	cincuenta
ощущения	sensación
ощущения	sentir
ощущения	sentimento
ливане	líbano
родные	familia
родные	familiar
посылает	envía
печь	cociniña
печь	forno
зрение	vista
зрение	ven
зрение	vista
зрение	visión
зрение	seguramente
зрение	ver
зрение	visión
зрение	vista
зрение	vision
растет	de
растет	medrando
растет	medrar
растет	crecemento
растет	crecendo
растет	medra
растет	medra
растет	crece
американец	estadounidense
американец	americanos
американец	americana
американец	americano
парадокс	paradoxo
отрицательные	negativo
мышей	ratos
мышей	démoslles
мэриленд	maryland
колокол	campá
содержащая	que
содержащая	contén
судан	sudán
красиво	fermoso
красиво	bonita
красиво	fermosa
красиво	precioso
красиво	fermosas
активист	activista
трибунала	tribunal
революционеров	revolucionarios
нога	pé
нога	outro
нога	infantaría
нога	o
нога	perna
нога	pernas
нога	unha
нога	pata
исчезла	desapareceu
исчезла	desapareceron
исчезла	desapareceu
плохая	mala
плохая	malos
плохая	mal
плохая	malas
плохая	malo
плохая	mágoa
пятницу	venres
итальянцы	italiano
итальянцы	italiana
итальянцы	italianos
ускорение	aceleración
возвращено	volveu
клинике	clínica
солнечные	solar
солнечные	noso
бактерии	as
бактерии	bacterias
экспериментальных	experimental
экспериментальных	piloto
тёплый	calor
тёплый	quentes
тёплый	quente
тёплый	cálida
тигр	tigre
тигр	tiger
тигр	do
насекомыми	insectos
хозяева	mestres
увидела	vin
увидела	viu
увидела	vimos
увидела	vino
напомнить	que
напомнить	lémbrolle
напомнить	lembrareille
напомнить	lembrar
напомнить	lembrarlle
напомнить	lémbranme
напомнить	lembrarlles
напомнить	recordo
напомнить	lembro
ожидал	esperaba
ожидал	agardas
ожидал	agardaba
ожидал	agárdao
ожидал	a
пассажиры	pasaxeiros
делегат	delegado
измене	a
освобождены	liberado
освобождены	liberados
освобождены	editaron
экспериментальные	experimental
угрожает	ameazando
угрожает	ameazan
знакомый	familiar
знакомый	familiarizados
знакомый	familiares
знакомый	coñeces
сосуды	vasos
сосуды	sanguíneos
сосуды	frota
роджерс	rogers
мирные	pacífica
гарольд	harold
получаем	a
полет	a
полет	voando
полет	voar
полет	voo
красота	beleza
красота	a
подача	ton
проверьте	cheque
проверьте	comprobalo
стабильность	estabilidade
подводного	auga
подводного	baixo
подводного	a
циклы	ciclos
циклы	ciclo
препятствия	obstáculos
полушарии	hemisferio
товар	produto
товар	mercadoría
юристов	avogados
зеленый	verde
зеленый	verdes
зеленый	green
объектив	lentes
объектив	lente
мода	moda
мода	a
чистые	puro
чистые	pura
чистые	puros
чистые	limpa
чистые	limpo
чистые	limpar
талантливый	con
талантливый	talento
талантливый	talentosa
стоун	de
стоун	pedra
стоун	a
библия	biblia
библия	biblias
жених	noivo
жених	mozo
перерыв	romper
перерыв	o
зерно	gran
кори	corey
страхование	seguro
страхование	seguros
близнецы	xemelgos
нападений	ataca
нападений	ataques
вуд	madeira
дикие	salvaxe
дикие	salvaxes
гарантии	garantía
гарантии	garantir
позволяя	permitíndonos
обнаружение	detectar
обнаружение	descubrimento
самоубийства	suicidio
самоубийства	suicidarse
самолеты	avións
самолеты	avións
самолеты	os
проголосовать	votamos
проголосовать	voto
проголосовать	votan
проголосовать	votar
проголосовать	votos
проголосовать	voten
лекция	charla
анонимных	anónimos
переезд	movéndose
переезд	aquí
переезд	de
немногие	poucos
немногие	poucas
немногие	uns
немногие	algunhas
немногие	algúns
немногие	unhas
продемонстрировать	demostrar
продемонстрировать	amosan
продемонстрировать	demostraron
казармы	barracas
ноты	notas
послания	mensaxes
страсть	paixón
тихо	silencio
тихо	silencio
тихо	calado
тайлер	tyler
готово	listos
готово	lista
готово	preparados
готово	listo
готово	preparado
переписку	conversación
переписку	conversa
переписку	sobre
ограниченное	limitado
ограниченное	limitada
бомбардировщик	bomber
бал	bola
бал	bóla
бал	pelota
бал	balón
металлы	metais
меньшее	menor
сиэтл	seattle
черепахи	de
черепахи	tartaruga
черепахи	tartarugas
страшно	medo
страшно	medo
страшно	asustada
страшно	asustados
бабочки	bolboretas
мебель	mobles
огюст	auguste
делегатов	delegados
слабость	debilidade
удовольствие	pracer
удовольствие	encantado
удовольствие	gusto
удовольствие	placer
ландшафт	paisaxe
финансовая	financeira
урожай	colleita
урожай	cultivos
жалко	mágoa
запустить	correr
запустить	corre
психологический	psicolóxica
психологический	psicolóxicas
элли	ellie
любить	amor
любить	o
любить	agarimosa
определен	decidido
определен	con
дюймов	cm
астронавтов	astronautas
лестнице	escaleiras
лестнице	as
лестнице	escaleira
лестнице	escaleiras
луну	lúa
луну	moon
возврат	a
возврат	volvo
возврат	regresar
возврат	volva
возврат	cambio
возврат	volver
возврат	retorno
печально	triste
печально	tristes
бейкер	baker
анджело	angelo
знала	sabía
знала	que
знала	sabían
знала	o
заинтересованных	me
заинтересованных	interesaba
заинтересованных	interesábame
заинтересованных	interesados
заинтересованных	interesado
заинтересованных	interese
заинтересованных	interesa
заинтересованных	interesada
клавиши	chaves
клавиши	as
виртуальный	virtual
глубокая	no
глубокая	fondo
глубокая	profundo
глубокая	profundidade
глубокая	de
расстройство	trastorno
расстройство	desorde
атомная	atómicos
атомная	núcleo
атомная	atómica
немногим	poucos
немногим	poucas
немногим	uns
немногим	algunhas
немногим	algúns
немногим	unhas
парижский	parís
перемены	cambiar
перемены	mudar
перемены	cambio
бандиты	bandidos
молитва	oracións
молитва	oración
предположим	que
предположим	supoño
шериф	alguacil
шериф	shérif
шериф	gobernador
комитеты	comités
устаревшие	obsoleto
адвокатов	avogados
сельскохозяйственная	agrícolas
сельскохозяйственная	agrícola
биржа	intercambio
идеально	perfecto
идеально	perfecta
идеально	perfectos
идеально	perfectamente
идеально	pasar
волшебный	máxicos
волшебный	máxico
бунт	antidisturbios
бунт	rebelión
бунт	rebeldes
предлагать	suxerir
предлагать	que
предлагать	suxiro
предлагать	propoñen
предлагать	suxiren
достигнуть	lograr
энни	annie
снаряжение	equipamento
домик	cabana
формальные	formal
колёса	rodas
колёса	raís
обувь	zapato
обувь	zapatos
обувь	os
обувь	botas
обувь	tenis
напоминаю	que
напоминаю	lémbrolle
напоминаю	lembrareille
напоминаю	lembrar
напоминаю	lembrarlle
напоминаю	lémbranme
напоминаю	lembrarlles
аккаунт	relato
аккаунт	contas
аккаунт	conta
барабан	drum
революционная	revolucionario
революционная	revolucionaria
разрушить	destrúen
разрушить	os
разрушить	destruír
разрушить	destruílo
разрушить	seguros
разрушить	destrúe
разрушить	a
охраняемых	protexido
разговоры	falando
разговоры	de
разговоры	falar
разговоры	a
разговоры	falo
разговоры	con
разговоры	conversas
разговоры	conversacións
разговоры	falar
разговоры	charla
разговоры	con
заменять	substituír
холмы	outeiros
пианино	piano
защищены	protexido
роз	rose
интересное	interesante
интересное	interesantes
алабама	alabama
четверг	xoves
рыболовство	pescar
рыболовство	pesca
технологические	tecnolóxica
потребление	consumo
передовые	avanzado
передовые	avanzada
просмотров	opinións
прочесть	lin
прочесть	ler
прочесть	leo
прочесть	le
сенате	senado
сенате	do
энергетика	enerxía
энергетика	consumo
энергетика	enerxético
энергетика	enerxética
останавливается	paradas
останавливается	frea
останавливается	detén
останавливается	deixa
останавливается	se
замечательно	marabillosas
замечательно	marabilloso
замечательно	marabillosa
заключенных	presos
заключенных	os
заключенных	prisioneiros
локальные	local
локальные	locais
локальные	o
локальные	de
кнопка	botón
убита	a
убита	mataron
убита	matou
убита	asasinado
убита	mortos
органические	orgánico
формальный	formal
серьезные	serio
серьезные	seria
серьезные	en
серьезные	grave
серьезные	grave
серьезные	graves
этика	de
этика	ética
соломона	solomon
пропустить	skip
пропустить	mo
визуально	visuais
визуально	dificultades
хаос	un
хаос	caos
вечной	eterna
предыдущая	anteriores
фрукты	froita
страдания	sufrimento
страдания	de
страдания	sofre
приговорил	condenados
приговорил	a
приговорил	condenado
узких	estreito
резолюция	resolución
прогулки	camiñando
прогулки	pola
прогулки	andar
прогулки	andando
прогулки	subindo
прогулки	camiñaba
прогулки	camiñar
прогулки	polas
прогулки	camiña
ликвидировать	eliminar
беседа	entrevista
беседа	unha
беседа	entrevisto
беседа	conversación
беседа	conversa
беседа	sobre
иакова	xacob
типичная	típico
оранжевый	laranxa
парни	rapaces
парни	nenos
парни	os
парни	mozos
парни	tipos
парни	mozos
парни	rapaces
парни	tíos
парни	homes
годовщины	aniversario
провал	fracasar
провал	fallan
провал	non
провал	por
провал	cardíacos
провал	imaxinación
провал	fracaso
провал	fracasado
чистое	puro
чистое	pura
чистое	puros
хочешь	quero
хочешь	queremos
хочешь	quere
хочешь	queren
хочешь	queres
концы	termina
концы	remata
концы	fin
концы	listo
ховард	howard
тесты	exames
тесты	probas
тесты	tests
палестину	palestina
эйнштейна	einstein
пальцы	dos
пальцы	pés
пальцы	punta
пальцы	os
пальцы	dedos
намерение	intención
привет	ola
привет	ola
привет	ei
привет	eh
привет	oe
красавица	fermoso
красавица	bonita
красавица	fermosa
красавица	precioso
красавица	fermosas
эксперта	experta
эксперта	experto
полюс	polo
полюс	poste
комбинация	combinación
комбинация	de
мягкие	suave
пытаюсь	tentando
пытаюсь	intentando
свидетели	testemuñas
стоя	de
стоя	pé
стоя	estar
стоя	estaba
стоя	parados
фут	pé
фут	outro
фут	infantaría
фут	o
вождей	xefes
ира	ira
грязи	lama
ничья	unha
ничья	os
ничья	gravata
ничья	átenos
ничья	garavata
ничья	debuxar
ничья	que
ничья	os
ничья	absorber
ничья	sur
ничья	debuxaría
доступные	dispoñibles
доступные	dispoñible
доступные	dispor
доступные	dispoñíbel
доступные	haxa
доступные	dispoñíbeis
палец	polgar
палец	dedo
палец	o
триумф	triunfo
алжире	alxeria
наименьшее	cando
наименьшее	menos
наименьшее	polo
держится	suxeitando
держится	a
держится	aguante
роботы	robots
гусь	oca
гусь	branca
палубе	cuberta
ядерная	nuclear
ядерная	nucleares
передовых	avanzado
передовых	avanzada
дюйма	cm
равновесие	equilibrio
равновесие	balance
равновесие	o
поймать	coller
поймать	pescar
поймать	collendo
заполнить	cubrir
заполнить	encher
кения	kenia
признанных	recoñeceu
экономисты	economistas
