the	the
and	dan
was	euy
was	was
for	untuk
that	that
that	itu
that	bahwa
that	yang
with	dengan
from	dari
this	ini
utc	utc
his	his
his	nya
not	not
not	bukan
not	tidak
are	adalah
are	are
talk	bicaralah
talk	talk
talk	bicara
also	juga
has	telah
has	has
has	memiliki
were	were
but	tapi
but	tetapi
have	telah
have	memiliki
have	miliki
one	satu
one	one
new	new
new	baru
first	pertama
first	duluan
first	dulu
first	first
page	page
page	halaman
you	you
you	anda
you	kau
you	kamu
they	mereka
article	pasal
article	artikel
who	siapa
who	who
all	all
all	aii
all	semua
there	ada
made	made
made	dibuat
its	menta
its	its
people	rakyat
people	orang
people	people
may	may
may	mei
after	sesudah
after	after
after	setelah
other	lain
other	lainnya
should	harus
should	haruskah
two	dua
two	two
score	score
score	skor
her	nya
her	her
can	dapat
can	can
can	bisa
would	akan
more	selengkapnya
more	lebih
more	lainnya
more	lagi
she	she
about	tentang
about	ttg
about	perihal
about	sekitar
when	kapan
when	saat
when	apabila
when	ketika
time	kali
time	waktu
time	waktunya
time	time
team	tim
team	team
american	american
american	amerika
such	such
discussion	diskusi
links	taut
links	pranala
links	link
links	tautan
links	links
only	only
only	saja
only	hanya
some	some
some	beberapa
see	lihat
united	bersatu
years	tahun
into	into
school	sekolah
world	world
world	dunia
university	universitas
university	university
during	selama
out	keluar
out	out
state	negara
state	keadaan
state	state
states	negara
national	gimn
national	national
national	nasional
wikipedia	wikipedia
year	tahun
year	year
most	kebanyakan
most	paling
city	city
city	kota
used	digunakan
used	terpakai
used	used
used	dipakai
then	lalu
then	maka
then	kemudian
than	daripada
than	than
county	kabupaten
county	county
county	daerah
county	powiat
external	eksternal
where	mana
where	dimana
will	will
will	akan
what	what
what	apa
delete	hapus
delete	delete
any	setiap
any	sembarang
any	any
january	januari
march	march
march	maret
august	august
august	agustus
july	juli
being	being
being	menjadi
film	film
him	nya
him	him
many	banyak
south	selatan
south	south
september	september
like	suka
like	sukai
like	seperti
like	like
between	antara
between	diantara
october	oktober
three	tiga
three	three
june	juni
well	nah
well	yah
use	menggunakan
use	gunakan
use	pakai
use	penggunaan
war	perang
war	peperangan
war	war
under	under
under	dibawah
them	mereka
april	april
born	born
born	lahir
born	terlahir
born	dilahirkan
december	desember
december	december
link	pranala
link	link
link	tautan
link	taut
while	sambil
while	sementara
while	selagi
later	kemudian
later	nanti
part	part
part	bagian
november	november
november	nopember
players	pemain
list	daftar
list	list
please	harap
please	tolong
please	silakan
please	silahkan
following	sbb
following	mengikuti
february	februari
february	pebruari
known	dikenal
known	diketahui
second	detik
second	kedua
second	second
name	nama
group	group
group	kelompokkan
group	grup
group	kelompok
history	history
history	riwayat
history	sejarah
series	deret
series	series
series	seri
just	cuma
just	hanya
north	utara
north	north
work	pekerjaan
work	kerja
work	bekerja
before	sebelum
before	sebelumnya
before	before
since	semenjak
since	since
since	sejak
season	season
season	musim
season	musimnya
both	berdua
both	keduanya
high	high
high	tinggi
through	through
through	melalui
district	distrik
district	kecamatan
district	raionul
district	kabupaten
district	daerah
now	sekarang
now	now
now	kini
comments	komentar
because	karena
football	sepakbola
football	football
music	music
music	musik
diff	diff
century	abad
century	century
league	league
league	liga
edits	sunting
edits	penyuntingan
edits	suntingan
debate	perdebatan
debate	debat
title	gelar
title	jabatan
title	judul
articles	artikel
john	john
john	yohanes
same	same
including	termasuk
english	inggris
english	indonesian
english	english
album	album
number	angka
number	nomor
number	bilangan
number	nomer
against	menentang
against	melawan
against	against
against	terhadap
family	keluarga
family	family
family	famili
user	pemakai
user	pengguna
based	based
based	didasarkan
based	berbasis
based	berdasarkan
area	daerah
area	wilayah
area	luas
area	kawasan
area	area
york	york
life	kehidupan
life	life
life	hidup
british	britania
british	british
international	internasional
international	international
international	mancanegara
game	permainan
game	game
above	diatas
club	club
club	klub
your	your
until	hingga
until	sampai
early	early
early	dini
early	awal
best	terbaik
best	best
west	maghrib
west	barat
west	west
house	house
house	rumah
company	perusahaan
company	company
general	umum
general	jendral
general	jenderal
left	kiri
left	tersisa
very	sangat
here	disini
here	here
here	sini
don	don
day	siang
day	hari
day	day
several	beberapa
place	tempatkan
place	place
place	tempat
party	party
party	berpesta
party	partai
party	pesta
party	pihak
college	kuliah
college	college
college	kampus
result	hasil
result	result
keep	keep
four	empat
four	four
even	even
even	genap
even	bahkan
class	angkatan
class	kelas
class	class
government	pemerintah
government	pemerintahan
how	bagaimana
how	how
called	disebut
called	dipanggil
each	setiap
each	tiap
each	each
found	menemukan
found	mendapati
found	nemu
found	ditemukan
center	tengah
center	pusat
center	center
per	per
style	gaya
style	style
style	bergaya
com	com
long	lama
long	panjang
long	long
country	negara
back	kembali
back	balik
back	mundur
back	back
back	belakang
way	way
www	www
modify	modifikasi
modify	ubah
modify	memodifikasi
end	akhiri
end	end
end	akhir
make	buat
make	make
make	jadikan
make	membuat
public	publik
public	public
played	diputar
played	dimainkan
played	dipermainkan
won	won
won	dimenangkan
won	menang
another	another
released	dilepaskan
released	dirilis
added	menambahkan
added	ditambahkan
support	dukungan
support	dukung
support	support
support	mendukung
games	permainan
games	games
games	game
former	mantan
films	films
films	film
church	gereja
church	church
east	east
east	timur
line	line
line	baris
line	garis
major	major
major	mayor
major	jurusan
members	anggota
good	bagus
much	much
much	banyak
image	gambar
image	image
image	citra
show	tunjukkan
show	show
show	tampilkan
show	perlihatkan
show	pertunjukan
still	masih
think	berpikir
think	pikir
think	pikirkan
below	dibawah
town	kotamadya
town	town
town	kota
last	last
last	terakhir
system	sistem
system	system
right	kanan
right	benar
right	right
song	lagu
song	song
non	non
section	daerah
section	bagian
section	seksi
single	single
single	lajang
single	jomblo
single	tunggal
included	disertakan
included	termasuk
included	menyertakan
included	diikutsertakan
align	align
align	ratakan
align	perataan
home	home
home	rumah
home	pulang
home	beranda
women	wanita
women	perempuan
women	women
television	television
television	televisi
seed	biji
seed	benih
seed	seed
seed	bibit
member	anggota
member	member
goals	gol
goals	tujuan
sources	sumber
book	kitab
book	book
book	buku
station	stasiun
station	station
order	pesanan
order	pemesanan
order	order
order	urutan
old	tua
old	lama
old	old
information	information
information	informasi
set	tetapkan
set	set
set	setel
set	atur
own	own
own	sendiri
text	sms
text	teks
band	band
point	poin
point	titik
point	point
local	local
local	lokal
around	seputar
around	sekitar
river	sungai
river	river
top	top
top	puncak
top	teratas
main	utama
language	bahasa
french	prancis
french	perancis
https	https
named	bernama
named	dinamai
named	dinamakan
off	nonaktif
off	off
off	mati
note	note
note	catatan
career	karir
career	karier
career	berkarir
original	asli
original	original
age	usia
age	umur
service	service
service	jasa
service	layanan
service	servis
service	pelayanan
established	didirikan
established	mapan
located	berlokasi
located	bertempat
located	terletak
said	said
said	berkata
said	mengatakan
said	katanya
said	kata
website	website
population	penduduk
population	populasi
air	udara
air	air
german	german
german	jerman
law	hukum
law	law
military	militer
military	kemiliteran
great	besar
great	hebat
great	agung
clubs	klub
clubs	club
clubs	keriting
published	dipublikasikan
published	diterbitkan
published	terbitkan
president	presiden
park	park
park	taman
official	official
official	resmi
case	case
case	kasus
london	london
london	banjarmasin
times	kali
times	times
although	meskipun
although	walaupun
small	small
small	kecil
third	sepertiga
third	ketiga
different	beda
different	berbeda
due	due
get	dapatkan
village	kampung
village	dusun
village	desa
village	village
closed	ditutup
closed	tertutup
closed	tutup
closed	closed
art	seni
art	art
art	kesenian
player	player
player	pemain
player	pemutar
final	final
community	komunitas
community	masyarakat
community	community
again	lagi
army	tentara
army	army
award	penghargaan
award	award
without	tanpa
death	kematian
death	death
death	maut
death	mati
built	membangun
built	dibangun
built	built
men	pria
men	men
large	besar
site	situs
site	site
using	menggunakan
using	using
deletion	penghapusan
white	white
white	putih
five	lima
five	five
central	central
central	tengah
central	pusat
central	sentral
central	upt
road	jalan
road	road
children	anak
free	bebas
free	gratis
free	free
took	took
england	inggris
include	termasuk
include	sertakan
include	cantumkan
include	menyertakan
include	include
association	asosiasi
association	perhimpunan
association	association
down	turun
down	down
down	turunkan
given	diberikan
given	diberi
source	sumber
california	california
man	pria
man	manusia
man	man
version	versi
written	tertulis
written	ditulis
created	tercipta
created	dibuat
media	media
black	hitam
black	black
though	though
though	meskipun
though	walaupun
though	meski
though	walau
php	php
report	lapor
report	laporkan
report	melaporkan
report	laporan
building	building
building	membangun
building	bangunan
building	gedung
take	ambil
take	take
division	divisi
division	pembagian
division	division
comment	comment
comment	komen
comment	komentari
comment	komentar
king	raja
king	king
edit	edit
edit	sunting
stadium	stadion
stadium	stadium
died	meninggal
ship	kapal
ship	ship
research	riset
research	penelitian
record	rekor
record	rekam
record	record
archive	arsipkan
archive	mengarsipkan
archive	arsip
places	tempat
undo	batalkan
undo	undo
cup	gelas
cup	piala
cup	cawan
cup	cangkir
cup	cup
records	catatan
records	rekor
records	records
often	seringkali
often	sering
received	diterima
side	sisi
side	side
side	samping
power	tenaga
power	kekuasaan
power	kekuatan
power	power
power	daya
education	edukasi
education	pendidikan
know	tau
know	ketahuilah
know	kenali
know	ketahui
know	tahu
know	kenal
category	kategori
water	water
water	air
political	politik
species	spesies
species	species
field	bidang
field	lapangan
field	field
field	medan
field	kolom
near	dekat
australia	australia
video	vidio
video	video
need	membutuhkan
need	perlukan
need	perlu
need	kebutuhan
need	need
need	butuh
island	pulau
island	island
form	formulir
form	membentuk
form	form
form	bentuk
find	temukan
find	cari
served	dilayani
served	dihidangkan
served	disajikan
play	mainkan
play	putar
play	bermain
play	main
project	project
project	proyek
project	projek
according	menurut
radio	radio
works	karya
works	bekerja
works	works
proposed	diusulkan
proposed	mengusulkan
every	setiap
every	every
development	pengembangan
development	perkembangan
development	pembangunan
example	contoh
live	live
live	jalani
live	langsung
union	union
union	uni
union	serikat
india	india
next	selanjutnya
next	berikutnya
next	next
special	istimewa
special	spesial
special	special
special	khusus
court	court
court	sidang
court	pengadilan
court	mahkamah
region	daerah
region	wilayah
region	provinsi
region	region
region	kawasan
little	little
little	kecil
little	sedikit
little	beraktifitas
short	short
short	singkat
short	pendek
william	william
province	propinsi
province	provinsi
western	barat
western	western
son	nak
son	putra
son	son
son	anak
france	prancis
france	france
france	perancis
council	majelis
council	dewan
council	council
others	lain
others	lainnya
royal	royal
current	current
current	arus
current	skrg
street	jalanan
street	street
full	full
full	kenyang
full	penuh
red	merah
red	red
too	terlalu
too	too
department	departemen
san	san
help	bantu
help	bantuan
help	membantu
preserved	dipelihara
preserved	diawetkan
preserved	dipertahankan
james	james
james	yakobus
open	buka
open	open
open	terbuka
force	force
force	memaksa
force	angkatan
force	paksa
force	paksakan
position	posisi
position	jabatan
head	head
head	kepala
director	sutradara
director	direktur
father	ayah
father	bapa
father	bapak
track	lacak
track	trek
track	track
http	http
canada	kanada
canada	canada
never	pernah
australian	australian
australian	australia
george	george
jpg	jpg
level	aras
level	level
level	tingkatan
level	tingkat
late	terlambat
late	telat
late	larut
summer	summer
society	society
society	masyarakat
moved	dipindahkan
office	perkantoran
office	kantor
office	kantoran
office	office
period	periode
championship	championship
championship	kejuaraan
round	ronde
round	bulat
round	round
story	cerita
story	story
story	berita
story	kisah
songs	lagu
songs	songs
various	bermacam
various	berbagai
various	beragam
file	berkas
file	file
days	days
days	hari
land	daratan
land	tanah
land	land
business	bisnis
business	business
reason	alasannya
reason	alasan
america	amerika
america	america
million	juta
million	million
million	sejuta
european	eropa
european	european
term	term
term	istilah
six	six
six	enam
post	kiriman
post	posting
post	kirimkan
post	kirim
post	post
why	kenapa
why	mengapa
why	why
produced	dihasilkan
produced	diproduksi
making	making
subject	subyek
subject	subjek
subject	perihal
young	muda
young	young
young	mudanya
total	total
david	daud
david	david
science	ilmu
science	sains
related	berhubungan
related	berkaitan
related	terkait
rock	batuan
rock	batu
rock	rock
archived	diarsipkan
archived	arsip
railway	railway
become	menjadi
students	pelajar
students	santri
students	mahasiswa
students	murid
students	siswa
started	dimulai
started	memulai
news	news
news	berita
described	dijelaskan
described	digambarkan
described	diterangkan
role	peran
role	peranan
election	pemilu
albums	album
present	sajikan
present	hadir
present	present
indian	indian
indian	india
indian	hindia
kingdom	kingdom
kingdom	kerajaan
books	pembukuan
books	buku
important	jga
important	penting
northern	utara
northern	northern
love	rpp
love	love
love	cintai
love	cinta
run	lari
run	menjalankan
run	jalankan
canadian	kanada
canadian	canadian
press	tekan
press	pers
press	press
type	jenis
type	tipe
type	ketik
act	bertindak
act	bertindaklah
act	act
editor	penyunting
editor	redaksi
editor	editor
came	came
schools	sekolah
program	program
issue	masalah
issue	isu
social	social
social	sosial
germany	jerman
production	production
production	produksi
male	jantan
male	male
awards	penghargaan
points	titik
points	poin
points	point
similar	serupa
