din	din
care	cine
care	care
care	care
fost	fost
mai	mai
mai	mai
pentru	pentru
lui	lui
lui	lui
sunt	sunt
sit	situl
sit	site
sit	sit
după	dupa
după	dupa
ale	ale
lea	lea
prin	prin
regiunea	regiunea
regiunea	regiune
mare	mare
mare	mare
mare	mari
mare	big
mare	mare
mare	marea
anul	anul
anul	an
comună	comuna
comună	comun
comună	comuna
comună	frecvente
are	are
externe	extern
externe	externe
externe	externi
externe	externa
externe	exterior
locuitori	locuitori
locuitori	locuitori
locuitori	locuitorii
locuitori	rezidenti
legături	linkuri
legături	legaturi
legături	linkurile
legături	legaturi
legături	legaturi
legături	conexiuni
vezi	vezi
dar	dar
cod	codul
cod	cod
cod	cod
populație	populatia
populație	populatie
populație	populatia
bucurești	bucuresti
bucurești	bucuresti
bucurești	bucuresti
fiind	fiind
românia	romania
românia	romania
jpg	jpg
lista	lista
lista	lista
ucraina	ucraina
nume	nume
nume	nume
nume	numele
nume	denumire
nume	name
ani	ani
ani	ani
ani	anii
avea	avea
avea	avut
între	intre
între	intre
până	pana
până	pana
comuna	comuna
comuna	comuna
comuna	comun
comuna	comuna
comuna	frecvente
poate	poate
poate	poate
două	doua
două	doi
două	doua
rege	regele
rege	king
rege	rege
sub	sub
alte	altele
alte	alte
alte	alti
când	cand
când	cand
regiune	regiunea
regiune	regiune
anii	ani
anii	anii
parte	parte
parte	partea
județul	judetul
județul	comitatul
județul	judetul
centura	centura
centura	curea
centura	centura
centura	centura
dinastia	dinastia
dinastia	dinastie
dinastia	dinastiei
septembrie	septembrie
timp	timp
timp	ora
timp	timpul
despre	despre
unde	unde
majoritatea	majoritatea
majoritatea	majoritate
majoritatea	majoritatea
densitate	densitate
densitate	densitatea
limbă	limba
limbă	limba
limbă	limba
limbă	limba
limbă	limbaj
limbă	limbajul
iunie	june
iunie	iunie
multe	multi
multe	multi
multe	multe
socorro	socorro
prima	primii
prima	prima
prima	primul
octombrie	octombrie
august	august
sat	satul
sat	village
sat	satului
sat	sat
sat	sat
martie	martie
biserica	biserica
biserica	biserica
fișier	fisierul
fișier	fisier
fișier	fisier
fișier	dosar
decembrie	decembrie
toate	toti
toate	toti
toate	toate
toate	tot
ianuarie	ianuarie
latns	latns
latd	latd
longd	longd
adresă	adresa
adresă	adresa
noiembrie	november
noiembrie	noiembrie
cum	cum
imagine	poza
imagine	poza
imagine	imagine
imagine	imaginea
imagine	imagine
statul	stare
statul	stat
statul	state
statul	statul
lor	lor
fie	fie
avut	avea
avut	avut
familia	familie
familia	familia
numele	nume
numele	numele
numele	denumire
numele	name
timpul	timp
timpul	ora
timpul	timpul
nord	north
nord	nordul
nord	nord
nord	nord
principală	principala
principală	main
principală	principale
principală	principala
principală	principal
sud	sud
sud	south
sud	sudul
aprilie	april
aprilie	aprilie
erau	erau
loc	locul
loc	loc
primul	primii
primul	prima
primul	primul
astfel	astfel
iulie	iulie
doar	doar
doar	numai
doar	doar
editura	editor
editura	editura
asteroid	asteroid
februarie	februarie
recensământului	recensamantului
recensământului	recensamantul
recensământului	recensamant
listă	lista
listă	lista
trei	trei
trei	trei
trei	three
asteroizi	asteroizi
limba	limba
limba	limba
limba	limba
limba	limba
limba	limbaj
limba	limbajul
lats	lats
longm	longm
latm	latm
discuție	discutii
discuție	discutie
discuție	discutie
discuție	discutii
discuție	discutie
franța	franta
franța	franta
franța	franta
franța	france
partea	parte
partea	partea
mult	much
mult	mult
fără	fara
fără	fara
departamentul	departamentul
departamentul	departament
foarte	foarte
raionul	culoar
raionul	raionul
data	data
data	data
data	date
data	datele
data	data
departament	departamentul
departament	departament
unul	una
unul	unul
unul	unu
apoi	atunci
apoi	apoi
grup	grupa
grup	grup
grup	grupul
grup	grupa
locul	locul
locul	loc
oraș	oras
oraș	oras
oraș	orasul
oraș	oras
oraș	city
oraș	oras
oraș	oras
oraș	oras
oraș	orasul
oraș	orasul
pot	pot
pot	can
camp	tabara
camp	camp
camp	tabara
camp	lagar
camp	tabara
germania	germania
face	face
satul	satul
satul	village
satul	satului
satul	sat
național	nationala
național	national
național	national
național	nationala
național	national
note	note
perioada	perioada
perioada	perioada
minoritate	minoritar
minoritate	minoritatea
minoritate	minoritate
ucraineană	ucrainean
ucraineană	ucraineana
cadrul	cadrul
general	generalul
general	generale
general	general
război	razboi
război	razboiul
război	razboi
peste	peste
peste	over
română	romanesc
română	roman
română	romani
română	romana
află	invata
află	afla
află	invata
început	inceput
început	inceput
iii	iii
duce	duce
duce	ducele
duce	duke
duce	duce
român	romanesc
român	roman
român	romani
român	romana
provincia	provincie
provincia	provincia
existând	existent
existând	existenta
existând	existand
existând	existente
vedere	vizualizeaza
vedere	vizualizare
vedere	vedere
wikipedia	wikipedia
specie	specii
specie	specie
specie	specia
punct	punct
punct	dot
punct	punctul
punct	punct
stat	stare
stat	stat
stat	state
stat	statul
unite	unita
unite	united
unite	unite
unite	unit
moldova	moldova
file	file
atunci	atunci
atunci	apoi
aceste	acestea
aceste	aceste
aceste	astea
secolul	secolul
secolul	secol
secolul	century
una	una
una	unul
una	unu
aceasta	asta
aceasta	aceasta
life	life
life	viata
life	viata
life	viata
life	viata
life	viata
reședință	resedinta
reședință	resedinta
reședință	resedinta
orașul	city
orașul	oras
orașul	oras
orașul	oras
orașul	orasul
orașul	orasul
tot	toti
tot	toti
tot	toate
tot	tot
tot	inca
tot	inca
tot	tot
chiar	chiar
făcut	facute
făcut	made
făcut	facuta
făcut	facut
cunoscute	cunoscut
cunoscute	cunoscuta
cunoscute	cunoscute
film	film
film	pelicula
film	film
perioadă	perioada
perioadă	perioada
vorbitori	boxe
vorbitori	difuzoare
vorbitori	vorbitori
date	date
date	datele
date	date
date	datele
date	data
trebuie	trebuie
cunoscută	cunoscut
cunoscută	cunoscuta
cunoscută	cunoscute
decât	decat
decât	decat
aici	aici
mari	mare
mari	mari
mari	big
mari	mari
zile	zilele
zile	zile
față	front
față	fata
față	fata
față	fata
