večné	eternal
nic	nic
nástroja	instrumen
nástroja	perkakas
nástroja	alat
konštruktér	konstruktor
tennessee	tennessee
techniku	teknik
raymond	raymond
cicavcov	mamalia
cicavcov	mamalia
cicavcov	mamalia
public	publik
public	public
príznaky	gejalanya
príznaky	gejala
prijatá	diterima
prijatá	diterima
prijatá	mengaku
prijatá	diadopsi
prijatá	adopsi
prijatá	mengadopsi
joan	joan
rozhodnuté	diselesaikan
rozhodnuté	terselesaikan
rozhodnuté	terpecahkan
rozhodnuté	memutuskan
rozhodnuté	diputuskan
patriarcha	patriarkh
dunaji	danube
dunaji	donau
múr	wall
múr	tembok
múr	dinding
manhattan	manhattan
texase	texas
stráže	penjaga
stráže	pengawal
kristus	kristus
kristus	christ
rozsiahly	ekstensif
aristoteles	aristoteles
edwards	edwards
financie	keuangan
financie	finansial
financie	finance
financie	keuangannya
financie	keuangan
plotarea	plotarea
nedeľu	minggu
pomocný	auxiliary
ibm	ibm
kľúč	kunci
kľúč	key
ochorenie	penyakit
ochorenie	penyakit
ochorenie	penyakit
kostolov	gereja
nadal	nadal
jacob	jacob
jacob	yakub
ťažba	ekstraksi
ťažba	pencabutan
ťažba	menambang
ťažba	pertambangan
ťažba	penambangan
ťažba	mencatatkan
ťažba	mencatat
ťažba	pencatatan
lesné	hutan
lesné	forest
centrá	pusat
centrá	pusat
indonézie	indonesia
bytia	being
bytia	menjadi
vlastná	own
vlastná	sendiri
vlastná	suai
vlastná	kustom
vlastná	gubahan
vlastná	custom
vlastná	ubahan
vlastná	khusus
ministrov	menteri
múzeá	museum
múzeá	musium
šírenie	menyebar
šírenie	menyebarkan
šírenie	sosialisasi
šírenie	diseminasi
šírenie	disebarkan
šírenie	menyebar
šírenie	sebarkan
šírenie	sebar
šírenie	penyebaran
obnovená	dilanjutkan
obnovená	diperbaharui
obnovená	diperbarui
obnovená	memulihkan
obnovená	dipulihkan
benz	benz
zeman	zeman
phoenix	phoenix
gilmour	gilmour
rozvíjať	berevolusi
rozvíjať	kembangkan
rozvíjať	mengembangkan
populárny	populer
metre	meter
metre	subway
metre	meter
rak	rak
rak	kanker
obavy	ketakutan
obavy	kekhawatiran
obavy	keprihatinan
obavy	kekhawatiran
obavy	keprihatinan
cit	cit
frekvencia	frekuensinya
frekvencia	frekuensi
minútu	menit
minútu	minute
register	daftarkan
register	register
register	pendaftaran
bosna	bosnia
tvoje	your
tvoje	milikmu
tvoje	yours
maximum	maksimum
maximum	maksimal
maximum	maximum
coa	coa
coa	koa
cas	cas
cas	cass
prijaté	taken
prijaté	dibawa
prijaté	diambil
prijaté	diterima
prijaté	diterima
prijaté	mengaku
prijaté	diadopsi
prijaté	adopsi
prijaté	mengadopsi
dno	bawah
dno	terbawah
dno	bottom
voz	wagon
voz	gerobak
dôstojníkov	pejabat
dôstojníkov	petugas
dôstojníkov	perwira
frederick	friedrich
frederick	frederick
rozdeľuje	split
oheň	fire
oheň	api
oheň	kebakaran
garcía	garcia
garcía	garcía
ložiská	bantalan
zrážky	tabrakan
alberto	alberto
byzantský	bizantium
russell	russel
russell	russell
kopca	menanjak
kopca	bukit
kopca	hill
kritici	kritikus
demokracia	demokrasi
kus	piece
kus	sepotong
možná	mungkin
možná	kemungkinan
možná	dimungkinkan
slávny	famous
slávny	terkenal
turbo	turbo
brazílie	brazil
brazílie	brasil
nezávislých	independen
nezávislých	independent
nezávislých	mandiri
planétu	planet
spoločenský	social
spoločenský	sosial
postupnosť	urutan
arnold	arnold
usporiadané	diatur
reaguje	bereaksi
reaguje	responsif
reaguje	tanggap
harold	harold
studio	studio
bohuslav	bohuslav
podáva	loge
černych	chernykh
kódy	kode
podporovať	dukungan
podporovať	dukung
podporovať	support
podporovať	mendukung
podporovať	anjurkan
podporovať	mendorong
ľudmila	ludmilla
akt	acp
akt	bertindak
akt	bertindaklah
akt	act
sultán	sultan
pápeži	paus
povedomia	kesadaran
povedomia	awareness
modelka	model
občianskeho	sipil
občianskeho	kewarganegaraan
občianskeho	civic
blízkom	middle
blízkom	pertengahan
blízkom	tengah
vlk	wolf
vlk	serigala
volkswagen	volkswagen
sociológ	sosiolog
chemická	kimiawi
chemická	kimia
comba	comba
zur	zur
kongresu	kongres
lászló	lászló
robot	bot
robot	robot
námornej	maritime
námornej	maritim
pevný	solid
pevný	padat
alexandrovič	alexandrovich
zahraničné	asing
zahraničné	foreign
stuttgart	stuttgart
kovy	logam
kovy	metal
kovy	logam
hamburg	hamburg
oslobodenie	pembebasan
oslobodenie	lega
oslobodenie	relief
bydlisko	penduduk
bydlisko	resident
bydlisko	residen
bydlisko	residence
bydlisko	kediaman
bydlisko	domisili
mag	mag
bobby	bobby
napísali	tertulis
napísali	ditulis
napísali	tulis
napísali	menulis
tiger	tiger
tiger	harimau
tiger	macan
nadácie	foundation
nadácie	fondasi
nadácie	yayasan
detaily	perincian
detaily	rincian
detaily	detil
detaily	detail
kolektív	kolektif
automobilový	otomotif
philippe	philippe
ľad	ice
ľad	es
lese	woods
lese	hutan
mostov	bridges
mostov	jembatan
jadrovej	nuklir
rap	rap
odolnosť	perlawanan
odolnosť	pemberontak
odolnosť	ketahanan
odolnosť	resistance
odolnosť	ketahanan
jay	jay
podobnú	serupa
podobnú	mirip
teórií	teori
čou	zhou
záhreb	zagreb
leonardo	leonardo
sľuby	janji
sľuby	menjanjikan
prepojenie	menautkan
prepojenie	menghubungkan
prepojenie	interkoneksi
súčet	sum
súčet	jumlah
umiestnenia	peletakan
umiestnenia	penempatan
umiestnenia	lokasi
umiestnenia	peletakan
umiestnenia	penempatan
umiestnenia	lokasi
formátu	format
záhrade	masya
záhrade	taman
záhrade	garden
záhrade	kebun
záujmov	minat
derby	derby
teréne	medan
robinson	robinson
zubov	gigi
zubov	giginya
bela	bela
sierra	sierra
prusko	prusia
portugalský	portugis
case	case
case	kasus
soľ	garam
soľ	asin
miestni	lokal
miestni	setempat
castle	kastil
castle	istana
castle	castle
castle	benteng
zjednotenie	unifikasi
zjednotenie	penyatuan
zjednotenie	pemersatu
väzba	mengikat
väzba	bind
väzba	ikat
väzba	mengikat
väzba	pengikatan
väzba	binding
väzba	ikatan
väzba	ikatan
väzba	tahanan
väzba	ikatan
väzba	obligasi
väzba	bond
tradícia	tradisi
povesti	rumor
povesti	gosip
abovsko	abaúj
nástupcu	penerus
aktuálny	current
aktuálny	arus
aktuálny	skrg
aktuálny	topikal
katalóg	katalog
katalóg	katalog
nelson	nelson
rastú	tumbuhkan
rastú	kembangkan
rastú	grow
rastú	tumbuh
rastú	bertumbuh
sčítanie	sensus
výklad	interpretasi
výklad	penafsiran
výklad	menafsirkan
výklad	menafsirkannya
pozemné	terestrial
pozemné	tanah
pozemné	ground
ondřejov	ondřejov
pohľady	pemandangan
pohľady	dilihat
pohľady	tayangan
pohľady	tampilan
cestná	jalan
cestná	road
zásah	interferensi
zásah	gangguan
zásah	intervensi
warner	warner
zdravotné	kedokteran
zdravotné	medis
zdravotné	medical
zdravotné	kesehatan
chybu	kekeliruan
chybu	khilaf
chybu	kesalahan
založiť	dasar
založiť	pangkalan
založiť	base
založiť	markas
založiť	basis
jules	jules
prúdov	aliran
prúdov	stream
komédia	komedi
komédia	comedy
watanabe	watanabe
kresťanov	nasrani
kresťanov	kristen
angel	bidadari
angel	malaikat
angel	angel
továrne	pabrik
faktor	factor
faktor	faktor
litva	lithuania
litva	lituania
zavraždený	dibunuh
zavraždený	terbunuh
zavraždený	dibunuh
phil	phil
rob	rampok
rob	rob
rob	merampok
zastúpené	diwakili
spôsobujú	menyebabkan
výkonný	executive
výkonný	eksekutif
ponúkol	ditawarkan
ponúkol	menawarkan
presun	transfer
presun	mentransfer
presun	move
presun	pindah
presun	pindahkan
