enormt	巨大
nathan	ネイサン
rettssak	公判
rettssak	トライアル
rettssak	審判
rettssak	裁判
objektet	オブジェクト
cohen	コーヘン
cohen	コーエン
imperial	インペリアル
springer	スプリンガー
forfølgelse	迫害
mottakelse	レセプション
mottakelse	披露宴
mottakelse	受付
lovgivning	立法
lovgivning	法律
feste	パーティ
feste	パーティー
stranda	ビーチ
stranda	砂浜
kenny	ケニー
fraser	フレーズ
fraser	フレーザー
penn	pen
penn	ペン
lotus	ハス
lotus	ロータス
frekvens	周波数
frekvens	頻度
forsterkninger	援軍
forsterkninger	強化
hang	ハング
presentere	現在
presentere	present
presentere	プレゼント
umiddelbar	インスタント
umiddelbar	瞬間
umiddelbar	即時
isbre	氷河
everton	エバートン
potensielle	ポテンシャル
hopkins	ホプキンス
today	トゥデイ
today	今日
bueskyting	弓術
bueskyting	アーチェリー
ocean	大洋
advarsel	警報
advarsel	警告
advarsel	注意
logisk	論理
unikt	ユニーク
unikt	独特
leiden	ライデン
schneider	シュナイダー
elektroner	電子
geometri	ジオメトリ
geometri	図形
fredelig	穏やか
fredelig	平和
hol	hol
ekspert	エキスパート
vita	ヴィータ
montreal	モントリオール
kabul	カブール
sid	シド
sid	sid
hearts	hearts
hearts	ハーツ
feire	お祝い
feire	祝う
trusler	脅威
trusler	威嚇
trusler	脅迫
helikopter	ヘリコプター
øyeblikkelig	直ちに
øyeblikkelig	インスタント
øyeblikkelig	瞬間
øyeblikkelig	即時
konferanse	カンファレンス
konferanse	会議
magi	magic
magi	魔法
magi	マジック
stigende	ライジング
stigende	rising
stigende	昇順
hopper	ジャンプ
hopper	ホッパー
kreps	ザリガニ
misjon	ミッション
originalen	オリジナル
folkelig	人気
folkelig	ポピュラー
hoteller	ホテル
hoteller	hotels
grenen	支店
grenen	支社
grenen	ブランチ
grenen	支部
telefon	電話機
telefon	電話
telefon	電話機
ving	ウイング
sopp	菌類
sopp	キノコ
sopp	きのこ
sopp	マッシュルーム
sopp	キノコ
sopp	マッシュルーム
avslutningen	卒業
tommer	インチ
tommer	インチ
bing	ビング
performance	パフォーマンス
performance	性能
performance	興行
gradene	階級
fiji	フィジー
åndelig	スピリチュアル
medarbeider	社員
medarbeider	職員
medarbeider	同僚
strømmer	ストリーム
kommisjon	手数料
kommisjon	コミッション
kommisjon	委嘱
école	エコール
dee	ディー
rome	ローマ
misnøye	不満
brått	突然
brått	唐突
goes	goes
avenue	アベニュー
karbon	炭素
domstol	法廷
domstol	コート
domstol	裁判所
minnesmerke	追悼
minnesmerke	記念碑
audi	アウディ
mosambik	モザンビーク
morrison	モリソン
plikt	義務
synonym	同義語
synonym	類義語
jenta	ガール
jenta	少女
jenta	女の子
siv	siv
konsentrerte	濃縮
korstog	十字軍
korstog	十字軍
niger	ニジェール
erstattes	差し替え
overføring	伝送
overføring	移転
overføring	転送
overføring	乗り換え
overføring	譲渡
cromwell	クロムウェル
vor	vor
dante	ダンテ
catalonia	カタルーニャ
catalonia	カタロニア
afghanske	アフガン
afghanske	アフガニスタン
sokker	ソックス
sokker	靴下
sokker	socks
jürgen	ユルゲン
laurent	ローラン
fish	魚類
fish	フィッシュ
landsbyene	村落
dører	ドア
fysiologi	生理学
liberty	リバティ
liberty	自由
templer	寺院
keep	キープ
svakere	弱い
britt	ブリット
homofile	ゲイ
syriske	シリア
visstnok	どうやら
concert	コンサート
sparken	缶詰
utredning	調査
utredning	捜査
ufc	ufc
timothy	ティモシー
gaza	ガザ
butterfly	チョウ
butterfly	バタフライ
progresjon	progression
konsept	概念
konsept	コンセプト
utvidelser	拡張
riddere	ナイツ
riddere	騎士
jose	ホセ
spesialist	スペシャリスト
sykkel	バイク
sykkel	自転車
sykkel	自転車
vgs	vgs
innehaver	ホルダー
journalistikk	ジャーナリズム
journalistikk	報道
arrow	矢印
arrow	アロー
satser	賭け
forsinket	遅延
tank	戦車
tank	タンク
fremtidig	フューチャー
fremtidig	未来
fremtidig	将来
marmor	大理石
marmor	marble
utstedt	発行
nåde	慈悲
nåde	マーシー
nåde	恩寵
nåde	グレース
nåde	グレイス
ich	ich
dortmund	ドルトムント
innvandring	入国
innvandring	移民
vannkraft	水力
bombe	爆弾
pannen	おでこ
skvadron	戦隊
beregning	計算
beregning	算定
dominikanske	ドミニカ
overgi	降伏
kinesere	中国語
kinesere	中国人
dukke	人形
beslutninger	決定
forbehold	予約
sannsynlighet	確率
common	共通
gjenopprette	復元
gjenopprette	回復
narkotika	ドラッグ
narkotika	薬物
dimensjoner	サイズ
dimensjoner	寸法
karibia	カリブ
blokkere	ブロッキング
blokkere	ブロック
platon	プラトン
hoffmann	ホフマン
con	con
computer	コンピューター
computer	コンピュータ
sauer	ヒツジ
sauer	sauer
kavaleri	騎兵
sjel	ソウル
sjel	霊魂
baltimore	ボルチモア
statsborger	市民
modus	モード
idol	アイドル
engel	エンジェル
engel	天使
fiat	フィアット
celle	セル
dinamo	dinamo
ekvator	赤道
trene	電車
trene	列車
trene	トレイン
łódź	ウッチ
łódź	ウッチー
kald	風邪
kald	コールド
kald	冷たい
kald	寒い
underground	地下
underground	地下鉄
polynesia	ポリネシア
johannesburg	ヨハネスブルグ
ground	地面
ground	グラウンド
adolph	アドルフ
kalenderen	カレンダー
nekter	拒否
willem	ウィレム
demonstrasjoner	デモ
gravid	妊娠
xbox	xbox
binder	バインダー
seil	船出
half	半分
half	ハーフ
belte	ベルト
lama	ラーマ
lama	ラマ
lama	ラマ
brenne	焼き
brenne	火傷
brenne	やけど
brenne	burn
helter	ヒーローズ
helter	heroes
fjern	遠い
fjern	削除
fjern	取り除く
mandolin	マンドリン
fader	父親
stevens	スティーヴンス
avgjørelser	決定
severin	セヴェリン
formatet	フォーマット
formatet	書式
felter	フィールド
felter	フィールズ
fbi	fbi
leiligheter	アパート
eksklusiv	独占
mons	モンス
sammenligne	比較
server	サーバ
server	サーバー
skjønn	可愛らしい
skjønn	愛らしい
vegg	ウォール
fossiler	化石
juryen	陪審制
juryen	陪審員
betty	ベティ
belfast	ベルファスト
nottingham	ノッティンガム
angela	アンジェラ
fortiden	過去
mclaren	マクラーレン
virkelighet	リアリティ
virkelighet	現実
richter	リヒター
akt	アクト
akt	act
bevise	証明
toner	音色
crew	クルー
leningrad	レニングラード
claudia	クラウディア
trombone	トロンボーン
enkeltpersoner	個人
munker	僧侶
aarhus	オーフス
booth	ブース
dataene	データ
deling	共有
deling	シェア
førti	四十
henan	河南省
slovensk	スロベニア
radius	半径
radius	radius
begravelse	埋葬
begravelse	葬式
begravelse	葬儀
alternativer	オプション
klassene	クラス
idretter	スポーツ
ronnie	ロニー
musikal	ミュージカル
highway	ハイウェイ
highway	公道
reprise	リプレイ
keiserdømmet	帝国
keiserdømmet	帝政
keiserdømmet	エンパイア
helmut	ヘルムート
kandidaten	候補者
kandidaten	候補
belle	ベル
quebec	ケベック
infanteri	歩兵
toscana	トスカーナ
saab	サーブ
hvaler	クジラ
lucius	ルシウス
lucius	ルキウス
planeter	惑星
relativ	相対
relativ	親戚
fiolinist	ヴァイオリン
sussex	サセックス
horse	ウマ
forskjellene	差異
forskjellene	違い
forskjellene	差分
eugen	オイゲン
returnere	return
returnere	リターン
skinner	スキナー
skinner	シャイニング
messe	ミサ
messe	質量
northumbria	ノーサンブリア
kast	投げる
uranus	天王星
cannes	カンヌ
seksjoner	セクション
thriller	スリラー
varemerke	商標
varemerke	商標
comeback	カムバック
richardson	リチャードソン
mainz	マインツ
nordmann	ノルウェー
definisjoner	定義
drømmer	dreamer
især	特に
især	特に
forlengelse	延長
forlengelse	内線
tull	ナンセンス
tull	でたらめ
studerer	勉強
pittsburgh	ピッツバーグ
fujian	福建省
blomstret	栄え
fleming	フレミング
sannhet	真実
sannhet	真理
smerte	痛み
smerte	疼痛
smerte	ペイン
iblant	時々
iblant	ときどき
gifter	毒物
león	レオン
obligatorisk	必須
mail	郵便
mail	メール
monarki	君主制
innledning	紹介
innledning	導入
poly	ポリ
beregne	計算
pensjonert	退職
pensjonert	引退
perm	パーマ
oman	オマーン
freddy	フレディ
lek	遊ぶ
lek	プレイ
lek	遊び
grevinne	伯爵夫人
sidney	シドニー
signe	signe
kill	キル
kill	kill
rettferdighet	正義
veiene	道路
delingen	共有
delingen	シェア
elsa	エルザ
elsa	エルサ
theodore	テオドール
snu	ターン
snu	曲がる
samoa	サモア
keiserinne	皇后
keiserinne	女帝
vesener	生き物
uoffisielle	非公式
sing	歌う
sing	sing
løv	葉っぱ
bevaring	保存
bevaring	保全
kostnader	費用
kostnader	コスト
kostnader	費用
kostnader	原価
kostnader	コスト
matthias	matthias
gestapo	ゲシュタポ
konklusjon	結論
konklusjon	結論
konklusjon	エンディング
tviler	疑念
grus	砂利
derek	デレック
derek	デレク
skyggen	シャドー
skyggen	シャドウ
argumentet	論証
glatt	スムーズ
glatt	スムース
glatt	滑らか
glatt	スリック
knapp	ボタン
juventus	ユヴェントス
bordeaux	ボルドー
hefte	冊子
taipei	台北市
taipei	台北
rocky	ロッキー
magdalena	マグダレーナ
magdalena	マグダレナ
magdalena	マグダレーナ
innvirkning	インパクト
innvirkning	衝撃
forever	フォーエバー
forklaringer	解説
myke	やわらかい
myke	柔らかい
myke	ソフト
visjon	ヴィジョン
visjon	ビジョン
visjon	vision
monarkiet	君主制
sedan	セダン
devon	デヴォン
innlegget	ポスト
innlegget	投稿
kommunisere	コミュニケーション
gotiske	ゴシック
øvelsene	演習
rival	ライバル
authority	権威
authority	権限
authority	職権
hviterussisk	ベラルーシ
hjørne	コーナー
begrensede	有限
grammatikk	文法
spesifikk	特定
titt	ルック
titt	外観
record	レコード
record	記録
justice	正義
seksuelt	性的
menneskeheten	人類
menneskeheten	人類
testing	テスト
genova	ジェノヴァ
beta	ベータ
ike	アイク
seiere	勝利
seiere	勝利
atten	十八
atten	eighteen
movement	ムーブメント
movement	楽章
movement	運動
forpliktet	コミット
rettferdig	フェア
røyken	スモーク
utgått	期限切れ
utgått	失効
vurderinger	評価
plantet	播種
nicaragua	ニカラグア
wellington	ウェリントン
dell	デル
