din	din
care	cine
care	care
care	care
fost	fost
mai	mai
mai	mai
pentru	pentru
lui	lui
lui	lui
sunt	sunt
sit	situl
sit	site
sit	sit
dupa	dupa
dupa	după
dupa	dupa
dupa	după
ale	ale
lea	lea
prin	prin
regiunea	regiunea
regiunea	regiune
mare	mare
mare	mare
mare	mari
mare	big
mare	mare
mare	marea
anul	anul
anul	an
comuna	comună
comuna	comun
comuna	comuna
comuna	frecvente
comuna	comuna
comuna	comună
comuna	comun
comuna	comuna
comuna	frecvente
are	are
externe	extern
externe	externe
externe	externi
externe	externă
externe	exterior
locuitori	locuitori
locuitori	locuitori
locuitori	locuitorii
locuitori	rezidenți
legaturi	linkuri
legaturi	legaturi
legaturi	linkurile
legaturi	legături
legaturi	legături
legaturi	conexiuni
legaturi	linkuri
legaturi	legaturi
legaturi	linkurile
legaturi	legături
vezi	vezi
dar	dar
cod	codul
cod	cod
cod	cod
populatie	populaţia
populatie	populație
populatie	populația
bucuresti	bucurești
bucuresti	bucuresti
bucuresti	bucureşti
bucuresti	bucurești
bucuresti	bucuresti
bucuresti	bucureşti
bucuresti	bucurești
bucuresti	bucuresti
bucuresti	bucureşti
fiind	fiind
romania	romania
romania	românia
romania	romania
romania	românia
jpg	jpg
lista	lista
lista	listă
lista	lista
lista	listă
ucraina	ucraina
nume	nume
nume	nume
nume	numele
nume	denumire
nume	name
ani	ani
ani	ani
ani	anii
avea	avea
avea	avut
intre	intre
intre	între
intre	intre
intre	între
pana	până
pana	până
pana	pană
poate	poate
poate	poate
doua	doua
doua	doi
doua	două
doua	doua
doua	doi
doua	două
rege	regele
rege	king
rege	rege
sub	sub
alte	altele
alte	alte
alte	alți
cand	cand
cand	când
cand	cand
cand	când
regiune	regiunea
regiune	regiune
anii	ani
anii	anii
parte	parte
parte	partea
judetul	judetul
judetul	comitatul
judetul	județul
judetul	judetul
judetul	comitatul
judetul	județul
centura	centura
centura	curea
centura	centură
centura	centura
centura	curea
centura	centură
centura	centura
dinastia	dinastia
dinastia	dinastie
dinastia	dinastiei
septembrie	septembrie
timp	timp
timp	ora
timp	timpul
despre	despre
unde	unde
majoritatea	majoritatea
majoritatea	majoritate
majoritatea	majoritatea
densitate	densitate
densitate	densitatea
limba	limba
limba	limbă
limba	limba
limba	limbă
limba	limbaj
limba	limbajul
limba	limba
limba	limbă
limba	limba
limba	limbă
limba	limbaj
limba	limbajul
iunie	june
iunie	iunie
multe	multi
multe	mulți
multe	multe
socorro	socorro
prima	primii
prima	prima
prima	primul
prima	premium
prima	primă
octombrie	octombrie
august	august
sat	satul
sat	village
sat	satului
sat	sat
sat	sat
martie	martie
biserica	biserica
biserica	biserică
biserica	biserica
biserica	biserică
fisier	fișierul
fisier	fişier
fisier	fișier
fisier	dosar
fisier	fișierul
fisier	fişier
fisier	fișier
fisier	dosar
decembrie	decembrie
toate	toti
toate	toți
toate	toate
toate	tot
ianuarie	ianuarie
latns	latns
latd	latd
longd	longd
adresa	adresă
adresa	adresa
adresa	adresă
adresa	adresa
noiembrie	november
noiembrie	noiembrie
cum	cum
imagine	poza
imagine	poză
imagine	imagine
imagine	imaginea
imagine	imagine
statul	stare
statul	stat
statul	state
statul	statul
lor	lor
fie	fie
avut	avea
avut	avut
familia	familie
familia	familia
numele	nume
numele	numele
numele	denumire
numele	name
timpul	timp
timpul	ora
timpul	timpul
nord	north
nord	nordul
nord	nord
nord	nord
principala	principala
principala	main
principala	principale
principala	principală
principala	principal
principala	principala
principala	main
principala	principale
principala	principală
principala	principal
sud	sud
sud	south
sud	sudul
aprilie	april
aprilie	aprilie
erau	erau
loc	locul
loc	loc
primul	primii
primul	prima
primul	primul
astfel	astfel
iulie	iulie
doar	doar
doar	numai
doar	doar
editura	editor
editura	editura
asteroid	asteroid
februarie	februarie
recensamantului	recensământului
recensamantului	recensământul
recensamantului	recensământ
trei	trei
trei	trei
trei	three
asteroizi	asteroizi
lats	lats
longm	longm
latm	latm
discutie	discuții
discutie	discutie
discutie	discuţie
discutie	discutii
discutie	discuție
discutie	discuții
discutie	discutie
discutie	discuţie
discutie	discutii
discutie	discuție
discutie	discuții
discutie	discutie
discutie	discuţie
discutie	discutii
discutie	discuție
franta	franţa
franta	franța
franta	franta
franta	france
franta	franţa
franta	franța
franta	franta
franta	france
franta	franţa
franta	franța
franta	franta
franta	france
partea	parte
partea	partea
mult	much
mult	mult
fara	fara
fara	fără
fara	fara
fara	fără
departamentul	departamentul
departamentul	departament
foarte	foarte
raionul	culoar
raionul	raionul
data	data
data	dată
data	date
data	datele
data	data
data	data
data	dată
departament	departamentul
departament	departament
unul	una
unul	unul
unul	unu
apoi	atunci
apoi	apoi
grup	grupa
grup	grup
grup	grupul
grup	grupă
locul	locul
locul	loc
oras	oraș
oras	oras
oras	oraşul
oras	oraş
oras	city
oras	oras
oras	oraș
oras	oraş
oras	oraşul
oras	orașul
oras	oraș
oras	oras
oras	oraşul
oras	oraş
oras	city
oras	oras
oras	oraș
oras	oraş
oras	oraşul
oras	orașul
oras	oraș
oras	oras
oras	oraşul
oras	oraş
oras	city
oras	oras
oras	oraș
oras	oraş
oras	oraşul
oras	orașul
pot	pot
pot	can
camp	tabără
camp	camp
camp	tabăra
camp	lagăr
camp	tabara
camp	câmp
camp	câmpul
camp	field
camp	teren
germania	germania
face	face
satul	satul
satul	village
satul	satului
satul	sat
national	națională
national	national
national	naţional
national	nationala
national	național
national	națională
national	national
national	naţional
national	nationala
national	național
national	națională
national	national
national	naţional
national	nationala
national	național
note	note
perioada	perioadă
perioada	perioada
perioada	perioadă
perioada	perioada
minoritate	minoritar
minoritate	minoritatea
minoritate	minoritate
ucraineana	ucrainean
ucraineana	ucraineană
cadrul	cadrul
general	generalul
general	generale
general	general
razboi	razboi
razboi	războiul
razboi	război
razboi	razboi
razboi	războiul
razboi	război
peste	peste
peste	over
peste	pește
peste	pesti
peste	pești
romana	românesc
romana	român
romana	români
romana	română
romana	romană
