din	from
care	who
care	which
mai	mai
mai	more
pentru	for
lui	lui
lui	his
sunt	are
sit	site
după	after
ale	ale
lea	lea
prin	through
regiunea	region
mare	great
mare	big
mare	sea
anul	year
comună	common
are	has
externe	external
locuitori	inhabitants
locuitori	residents
legături	links
legături	connections
vezi	see
dar	but
cod	code
cod	cod
populație	population
bucurești	bucharest
bucurești	bucurești
fiind	being
românia	romania
jpg	jpg
lista	list
ucraina	ukraine
nume	name
ani	ani
ani	years
avea	had
între	between
până	till
până	until
comuna	municipality
comuna	common
poate	maybe
poate	perhaps
două	two
rege	king
sub	under
alte	other
când	when
regiune	region
anii	years
parte	part
județul	county
centura	seatbelt
centura	belt
dinastia	dynasty
septembrie	september
timp	time
despre	about
unde	where
majoritatea	most
majoritatea	majority
densitate	density
limbă	tongue
limbă	language
iunie	june
multe	many
prima	first
octombrie	october
august	august
sat	village
sat	sat
martie	march
biserica	church
fișier	file
decembrie	december
toate	all
ianuarie	january
latns	latns
latd	latd
longd	longd
adresă	address
noiembrie	november
cum	how
imagine	picture
imagine	image
statul	state
lor	their
avut	had
familia	family
numele	name
timpul	time
nord	north
nord	nord
principală	main
sud	south
aprilie	april
erau	were
loc	place
primul	first
iulie	july
doar	only
doar	just
editura	publisher
asteroid	asteroid
februarie	february
recensământului	census
listă	list
trei	three
asteroizi	asteroids
limba	tongue
limba	language
lats	lats
longm	longm
latm	latm
discuție	discussion
franța	france
partea	part
mult	much
fără	without
departamentul	department
foarte	very
raionul	aisle
data	date
data	data
departament	department
unul	one
apoi	then
grup	group
locul	place
oraș	town
oraș	city
pot	can
camp	camp
germania	germany
face	make
satul	village
național	national
note	notes
perioada	period
minoritate	minority
ucraineană	ukrainian
cadrul	framework
general	general
război	war
română	romanian
află	learn
început	started
început	beginning
iii	iii
duce	duke
duce	duce
român	romanian
provincia	province
existând	existing
vedere	view
wikipedia	wikipedia
specie	species
punct	dot
punct	point
stat	state
unite	united
moldova	moldova
file	tabs
atunci	then
aceste	these
secolul	century
una	one
aceasta	this
life	life
reședință	residence
orașul	city
tot	all
tot	still
chiar	even
făcut	made
cunoscute	known
film	movie
film	film
perioadă	period
vorbitori	speakers
date	dates
date	data
trebuie	must
cunoscută	known
decât	than
aici	here
mari	big
mari	mari
zile	days
față	front
față	face
club	club
componente	components
ulterior	subsequently
est	east
est	est
nou	new
ales	chosen
numai	only
având	having
ioan	john
ion	ion
rusă	russian
isbn	isbn
populația	population
doi	two
același	same
membru	member
dată	date
numit	named
numit	called
descrisă	described
oficial	official
oficial	officially
nici	neither
nici	nor
împotriva	against
deși	although
deși	though
saint	saint
împreună	together
specia	species
vest	west
vest	western
italia	italia
italia	italy
puțin	little
excentricitate	eccentricity
încă	still
descoperit	discovered
descoperit	uncovered
înainte	forward
înainte	before
lemn	wood
noi	new
nicolae	nicholas
nicolae	nicolae
națională	national
subspecii	subspecies
statele	states
roman	roman
roman	novel
drept	straight
mod	mode
mod	mod
american	american
fiecare	every
fiecare	each
prezent	present
casa	house
acestea	these
printre	among
categorie	category
text	text
cluj	cluj
bine	good
bine	okay
http	http
site	site
articole	articles
articole	items
alexandru	alexandru
alexandru	alexander
unele	some
milioane	million
milioane	millions
apă	water
doua	two
iași	iași
ori	ori
țară	country
sate	villages
târziu	late
istoria	history
maria	maria
cunoscut	known
patru	four
republica	republic
cca	approx
râul	river
formată	formed
paris	paris
gheorghe	gheorghe
gheorghe	george
tip	guy
tip	type
premiul	prize
premiul	award
putea	could
persoane	persons
persoane	people
constantin	constantin
constantin	constantine
etc	etc
exemplu	example
descriere	description
george	george
articol	article
născut	born
numărul	number
comitatul	county
harta	map
john	john
jos	down
marea	sea
deoarece	because
localitate	locality
aproape	almost
scris	written
raport	report
echipa	squad
echipa	team
diferite	different
baza	base
special	special
valea	valley
comune	joint
ele	they
stadium	stadium
svg	svg
zona	zone
zona	area
dat	given
slovenia	slovenia
americii	america
satului	village
împărat	emperor
localitatea	locality
resedinta	residence
viața	life
bun	good
cet	cet
format	formed
format	format
primit	received
președinte	president
președinte	chairman
lângă	near
oameni	people
istoric	historic
istoric	historian
istoric	historical
istoric	history
suprafață	surface
suprafață	area
europa	europe
europa	europa
universitatea	university
team	team
copii	kids
copii	children
aproximativ	approximate
aproximativ	approximately
aproximativ	roughly
lucru	thing
lucru	work
cazul	case
români	romanian
români	romanians
folosit	used
orice	any
ibn	ibn
mihai	mihai
mihai	michael
acum	now
recensământul	census
centrul	center
centrul	centre
reprezintă	represents
reprezintă	represent
san	san
teritoriul	territory
van	van
ungaria	hungary
număr	number
cauza	cause
bulgaria	bulgaria
engleză	english
serie	series
sua	usa
vechi	old
reședința	residence
munții	mountains
limbi	languages
fel	kind
apelor	waters
fotbal	soccer
fotbal	football
regele	king
fiul	son
anterior	previously
anterior	previous
nouă	new
nouă	nine
evoluția	evolution
viteză	speed
paul	paul
palomar	palomar
orașe	cities
institutul	institute
satele	villages
lansat	released
lansat	launched
istorice	historical
trecut	past
articolul	article
mulți	many
viață	life
informații	information
titlu	headline
titlu	title
goluri	goals
titlul	title
album	album
york	york
von	von
pagina	page
imperiul	empire
moartea	death
apare	appears
fața	face
armata	army
formă	shape
formă	form
color	color
color	colour
german	german
ștefan	stephen
ștefan	ștefan
ștefan	stefan
rolul	role
mică	small
mică	mica
des	des
des	often
transilvania	transylvania
epocă	vintage
începând	starting
principal	main
principal	principal
forma	shape
forma	form
carol	carol
mici	small
astăzi	today
robert	robert
apărut	appeared
eliberare	release
eliberare	liberation
european	european
mic	small
mic	little
mic	mic
minore	minor
câștigat	won
gen	gender
gen	genre
gen	genus
gen	gen
caracterizată	characterised
caracterizată	characterized
com	com
importante	important
der	der
aur	gold
luat	taken
murit	died
germană	german
kitt	kitt
orbită	orbit
rotație	rotation
pol	pol
pol	pole
lume	world
local	locally
local	local
fapt	fact
anglia	england
politică	policy
politică	politics
spacewatch	spacewatch
devine	devine
revista	magazine
asta	this
asta	that
vasile	vasile
vasile	basil
profesor	professor
profesor	teacher
planetelor	planets
cinci	five
acolo	there
lumea	world
muzică	music
situat	located
situat	situated
david	david
țara	country
vol	vol
etnică	ethnic
centru	center
centru	centre
alt	alt
istorie	history
austria	austria
districtul	district
altitudine	altitude
periheliu	perihelion
regatul	kingdom
conține	contains
activitatea	activity
sultan	sultan
afeliu	aphelion
inițial	initially
inițial	originally
inițial	initial
artă	art
descoperitor	discoverer
numeroase	numerous
body	body
imagini	images
imagini	pictures
rusia	russia
spune	say
domeniul	domain
școala	school
polonia	poland
succes	success
provincie	province
studii	study
studii	studies
inclusiv	including
primar	mayor
primar	primary
francez	frenchman
francez	french
privind	watching
scriitor	writer
jean	jean
sistemul	system
începe	start
ziua	day
sur	sur
single	single
urmat	followed
războiul	war
world	world
xix	xix
internațional	international
franceză	french
pare	seems
william	william
ministru	minister
important	important
familie	family
politic	politically
politic	political
chișinău	chișinău
țări	countries
funcția	function
jpl	jpl
lucrări	works
publicat	published
mircea	mircea
curs	course
probabil	probably
considerat	considered
sistem	system
politice	political
sudul	southern
sudul	south
vreme	weather
autor	author
mediu	environment
mediu	average
mediu	medium
prea	too
dezambiguizare	disambiguation
spania	spain
funcție	function
categoria	category
nivel	level
web	web
top	top
mihail	mikhail
mihail	michael
mihail	mihail
biserică	church
realizat	achieved
realizat	accomplished
cartea	book
filme	films
filme	movies
noua	new
căsătorit	married
png	png
muzeul	museum
city	city
afluent	tributary
construit	built
luptă	battle
luptă	fight
unit	united
luni	months
luni	monday
jucat	played
zone	zones
zone	areas
radio	radio
romano	romano
istorică	historic
istorică	historical
deja	already
monument	monument
europene	european
fac	doing
dreapta	right
moment	moment
componenta	component
cantonul	canton
vârsta	age
km²	km²
toți	all
bază	base
ultima	last
origine	origin
recensământ	census
actor	actor
literatură	literature
anderson	anderson
veche	old
timișoara	timișoara
les	les
participat	participated
guvernul	government
estul	east
total	total
total	totally
japonia	japan
sibiu	sibiu
petru	petru
petru	peter
conte	count
conte	conte
alba	alba
bavaria	bavaria
roma	rome
roma	roma
specii	species
cupa	cup
bătălia	battle
ceva	something
membri	members
calitate	quality
scrie	write
euro	euro
uniunii	union
scurt	short
scurt	brief
mama	mom
mama	mother
creat	created
campionatul	championship
del	del
locuri	places
locuri	seats
uri	uri
mănăstirea	monastery
america	america
produs	produced
produs	product
ultimul	last
condus	driven
președintele	president
andrei	andrey
andrei	andrei
radu	radu
brazilia	brazil
suceava	suceava
james	james
declarat	declared
surse	sources
obicei	habit
compania	company
etnic	ethnic
echipe	teams
sezonul	season
central	central
dan	dan
unii	some
liga	league
liga	liga
rol	role
loire	loire
india	india
construită	built
construită	constructed
uniunea	union
obținut	obtained
obținut	achieved
cărți	cards
cărți	books
opera	opera
rock	rock
zonă	zone
zonă	area
stil	style
pus	put
video	video
teatru	theater
teatru	theatre
ziarul	newspaper
www	www
militară	military
post	post
românesc	romanian
plus	plus
richard	richard
china	china
codul	code
administrația	administration
fiica	daughter
scopul	aim
scopul	purpose
scopul	goal
situată	situated
grupul	group
victor	victor
michael	michael
londra	london
insula	island
poziția	position
poziția	heading
charles	charles
forțele	forces
albumul	album
diverse	various
diverse	miscellaneous
intrat	entered
șase	six
director	director
director	directory
website	website
militar	military
originală	original
state	states
state	state
pop	pop
azi	today
uneori	sometimes
university	university
cultural	cultural
trimis	sent
bar	bar
henric	henry
folosite	used
jumătate	half
capitala	capital
fizice	physical
mexico	mexico
activitate	activity
mesa	mesa
sfântul	saint
științe	sciences
soția	wife
metri	meters
metri	metres
imperiului	empire
centrală	central
vii	vii
singur	alone
singur	single
singur	lonely
public	public
public	publicly
nevoie	need
nevoie	needed
oamenii	humans
oamenii	people
caz	case
televiziune	television
curtea	court
probleme	trouble
probleme	problems
probleme	issues
publice	public
regia	directed
plan	plan
naturale	natural
facultatea	college
facultatea	faculty
pământ	earth
pământ	land
viena	vienna
houten	houten
principale	main
prim	prime
prim	prim
arte	arts
alți	other
seria	series
dezvoltarea	development
dezvoltarea	developing
direct	straight
direct	direct
direct	directly
șef	chief
palatul	palace
termenul	term
altele	other
altele	others
carte	book
auto	auto
africa	africa
religie	religion
minor	minor
conducerea	management
conducerea	leadership
asia	asia
final	end
final	final
adus	brought
para	pear
para	para
următoarea	next
părți	parts
părți	parties
fratele	brother
membrii	members
acord	agreement
ambele	both
teatrul	theater
teatrul	theatre
stânga	left
catolici	catholics
press	press
traducere	translation
ludovic	louis
dumnezeu	god
momentul	moment
drumul	road
evenimente	events
district	district
und	und
luna	luna
luna	moon
luna	month
publică	public
publică	publish
arad	arad
poet	poet
peter	peter
victoria	victoria
fondat	founded
sovietică	soviet
nivelul	level
rus	russian
rus	rus
poartă	gate
poartă	wear
martin	martin
observatorul	observatory
observatorul	observer
europeană	european
adrian	adrian
dumitru	dumitru
https	https
romane	novels
continuat	continued
pas	step
pas	pas
spus	said
spus	told
united	united
păianjeni	spiders
biserici	churches
berlin	berlin
proiectului	project
lumina	light
haute	haute
elemente	items
elemente	elements
piatră	stone
piatră	rock
produse	product
produse	products
romania	romania
thomas	thomas
napoca	napoca
sec	sec
piese	tracks
piese	parts
piața	market
găsit	found
muzica	music
folosită	used
casă	house
casă	home
afaceri	business
vestul	west
legătură	link
grecia	greece
liber	free
înseamnă	means
pagini	pages
national	national
moscova	moscow
comunist	communist
britanic	british
linia	line
medie	average
medie	medium
sovietice	soviet
puterea	strength
puterea	power
puternic	strong
puternic	powerful
oficială	official
legea	law
pierdut	lost
colspan	colspan
afara	outside
afara	out
cariera	career
germani	germans
rezultat	result
structura	structure
rândul	row
nordul	north
nordul	northern
ușor	easy
ușor	slightly
putere	strength
putere	power
anumite	certain
adevărul	truth
xviii	xviii
black	black
ediția	edition
castelul	castle
fiu	son
naturală	natural
consiliului	council
importantă	important
cetatea	fortress
cetatea	citadel
poltava	poltava
suprafața	surface
premii	awards
premii	prizes
puncte	dots
puncte	points
prințul	prince
meteorologie	meteorology
lungime	length
social	socially
social	social
rapid	quick
rapid	fast
generalul	general
femei	women
international	international
descrierea	description
școală	school
original	original
șapte	seven
plante	plants
kiev	kiev
ediție	edition
hidrologie	hydrology
locale	local
bacău	bacău
ocupat	busy
ocupat	occupied
adesea	often
volumul	volume
louis	louis
australia	australia
continuă	continue
referințe	references
online	online
media	media
efectuat	performed
permite	allow
nimic	nothing
consiliul	council
încercat	tried
literară	literary
simplu	simple
imediat	immediately
canada	canada
punctul	point
superioară	superior
wilhelm	william
wilhelm	wilhelm
sociale	social
grigore	grigore
grigore	gregory
științifică	scientific
planet	planet
deasupra	above
joseph	joseph
arheologice	archaeological
case	case
case	houses
art	art
stabilit	established
politician	politician
scurtă	short
scurtă	brief
ortodoxă	orthodox
detalii	details
detalii	detail
trupele	troops
internet	internet
real	real
urss	ussr
cultura	culture
romanul	novel
problema	problem
volume	volumes
americană	american
țările	countries
mesaj	message
hartă	map
internațională	international
ciuda	spite
academia	academy
legate	linked
legate	related
persoană	person
complet	complete
complet	completely
major	major
totală	total
cultură	culture
obiective	objectives
obiective	goals
obiective	targets
actriță	actress
măsură	measure
existat	existed
abu	abu
catolică	catholic
superior	superior
deschis	open
joc	game
parcul	park
stare	status
stare	state
stare	condition
ferdinand	ferdinand
fizică	physics
fizică	physical
man	man
procesul	process
procesul	trial
unități	units
cale	path
cale	cale
rămâne	remains
rămâne	stays
ministerul	ministry
clasa	class
lipsa	lack
proiect	project
formează	dial
fotbalist	footballer
santa	santa
administrativ	administrative
devenind	becoming
pune	put
naștere	birth
calea	path
stadion	stadium
departe	away
semnat	signed
greacă	greek
roșu	red
articolele	articles
lupta	fighting
lupta	fight
neamț	neamț
văzut	seen
văzut	saw
niciodată	never
greco	greco
economice	economic
drosophila	drosophila
otoman	ottoman
împăratul	emperor
divizia	division
metal	metal
monumente	monuments
muhammad	muhammad
dezvoltare	development
cursul	course
construcție	construction
alb	white
bulgari	bulgarians
bulgari	bulgarian
verde	green
urmează	follow
maghiari	hungarians
debit	flow
debit	debit
hunedoara	hunedoara
arată	shows
arată	show
acțiune	action
saxonia	saxony
include	include
include	includes
obține	get
league	league
daniel	daniel
destul	enough
jurnalul	journal
jurnalul	diary
argeș	argeș
turistice	tourist
live	live
publicate	published
situația	situation
maghiară	hungarian
negru	black
omul	man
interes	interest
știință	science
acordat	granted
acordat	tuned
acordat	awarded
alții	others
teoria	theory
karl	karl
rând	row
folosește	use
valoare	value
civil	civil
civil	civilian
armată	military
armată	army
tudor	tudor
modul	mode
modul	module
modul	plugin
regizat	directed
albert	albert
sursă	source
lacul	lake
ocupă	occupy
per	per
italian	italian
schimb	exchange
schimb	swap
singură	alone
singură	single
confesional	confessional
craiova	craiova
culoare	color
culoare	colour
chitară	guitar
muncă	work
model	model
model	template
trece	passes
trece	pass
folosind	using
literare	literary
găsește	find
apropiere	closeness
studio	studio
materiale	material
materiale	materials
dezvoltat	developed
populară	popular
frederic	frederic
frederic	frederick
corpul	body
elena	elena
populare	popular
ideea	idea
autori	authors
diagrama	diagram
cercetare	research
actual	current
companie	company
crimeea	crimea
crimeea	crimean
controlul	control
california	california
minute	minutes
artist	artist
pace	peace
târgu	târgu
galați	galați
societatea	society
comitat	shire
evrei	jews
sens	sense
formula	formula
meci	match
contra	contra
contra	counter
contra	against
buzău	buzău
apariția	emergence
utilizator	user
suedia	sweden
locuitorii	residents
prințesa	princess
comunitatea	community
cap	head
cap	cap
echipă	team
cuvinte	words
colaborare	collaboration
colaborare	collaborative
jocurile	games
literatura	literature
mijlocul	mid
personal	personal
personal	personnel
personal	personally
personal	staff
regizor	director
albă	white
cine	who
star	star
inferioară	lower
inferioară	inferior
marie	marie
muzical	musical
muzical	musically
organizat	organised
organizat	organized
literar	literary
situl	site
publicată	published
antrenor	trainer
antrenor	coach
atac	attack
atac	assault
copil	baby
copil	child
discuri	discs
discuri	records
discuri	disks
port	port
numere	numbers
scrise	written
clubul	club
romi	roma
romi	romi
infanterie	infantry
pierre	pierre
pagină	page
considerată	considered
xvi	xvi
cineva	someone
cineva	somebody
olimpice	olympic
europei	europe
voce	voice
liberă	free
popescu	popescu
greu	heavy
greu	hard
greu	tough
crescut	grown
crescut	raised
rezoluție	resolution
proiectul	project
