और	そして
से	から
एक	一つ
एक	one
एक	一人
एक	ワン
श्रेणी	カテゴリー
श्रेणी	区分
श्रेणी	カテゴリ
श्रेणी	分類
श्रेणी	シリーズ
श्रेणी	カテゴリー
श्रेणी	カテゴリ
श्रेणी	分類
भी	偶数
भी	even
भी	also
भी	また
भी	too
यह	この
यह	これ
किया	did
इस	この
इस	これ
हैं	are
भारत	インド
जो	ジョー
जो	who
रूप	形式
रूप	フォーム
रूप	出演
रूप	外観
कर	租税
कर	税金
कर	税金
नहीं	not
साथ	together
पूर्व	イースト
पूर्व	東部
पूर्व	前者
बाद	後で
बाद	アフター
तक	until
तक	まで
तक	まで
तक	tak
अपने	own
जिले	ディストリクト
था	had
था	was
राज्य	都道府県
राज्य	状態
बाहरी	アウトドア
बाहरी	屋外
बाहरी	外側
बाहरी	アウター
बाहरी	外部
बाहरी	アウトドア
बाहरी	屋外
कुछ	いくつか
कुछ	一部
कुछ	いくらか
गाँव	村落
गाँव	ヴィレッジ
सरकार	政府
कड़ियाँ	チェイン
कड़ियाँ	リンク
प्रदेश	リージョン
प्रदेश	地域
इसके	its
दिया	与えられた
अन्य	その他
अन्य	他の
अन्य	その他
वर्ष	年数
वर्ष	イヤー
समय	タイミング
समय	タイム
समय	時間
नाम	名前
नाम	氏名
नाम	名称
प्रकार	親切
प्रकार	種類
प्रकार	タイプ
प्रकार	種類
किसी	誰か
क्षेत्र	面積
क्षेत्र	領域
क्षेत्र	エリア
क्षेत्र	リージョン
क्षेत्र	地域
अधिक	もっと
कई	多数
मण्डल	ゾーン
मण्डल	zone
आधिकारिक	公式
आधिकारिक	職員
कारण	理由
कारण	理由
कारण	理性
कारण	原因
होने	being
करता	いじめ
पहले	以前
पहले	ago
पहले	ファースト
पहले	最初
अपनी	own
दो	二つ
दो	二人
जिला	地区
जिला	ディストリクト
जब	いつ
जब	とき
जन्म	誕生
कोई	any
इन	宿屋
इन	旅館
लेकिन	でも
लेकिन	しかし
ये	この
ये	これ
ये	これらの
ये	これら
कम	低い
कम	少ない
कम	少ない
लोग	ピープル
आदि	もっと
आदि	シャン
उसके	his
प्राचीन	プリミティブ
प्राचीन	古代
देखें	時計
देखें	腕時計
देखें	見る
देखें	表示
देखें	見る
देखें	ビュー
उत्तर	回答
उत्तर	答え
उत्तर	答弁
उत्तर	ノース
उत्तर	回答
भाषा	言語
भाषा	言語
लिये	for
सभी	all
सभी	すべて
प्राप्त	受け取り
प्राप्त	受信
प्राप्त	受け取る
प्राप्त	受信
इसका	its
प्रयोग	実験
प्रयोग	使い方
प्रयोग	実験
शामिल	含む
शामिल	含める
स्थान	場所
स्थान	スポット
स्थान	会場
स्थान	所在地
स्थान	place
स्थान	場所
स्थान	スポット
स्थान	所在地
स्थान	ロケーション
स्थान	場所
प्रमुख	チーフ
प्रमुख	少佐
प्रमुख	メジャー
प्रमुख	専攻
प्रमुख	メイン
बीच	ビーチ
बीच	砂浜
बीच	センター
बीच	中央
बीच	中心
मुख्य	チーフ
मुख्य	メイン
