die	the
van	dari
van	daripada
het	telah
het	mempunyai
het	has
wat	alahai
wat	ape
wat	bahawa
word	become
met	dgn
met	dengan
was	ws
was	were
vir	untuk
nie	tidak
nie	bukan
nie	tak
dit	ni
deur	pintu
deur	door
ook	juga
tot	till
dat	bahawa
hulle	antaranya
hulle	mereka
suid	selatan
uit	keluar
uit	out
jaar	tahun
eerste	pertama
eerste	first
eerste	dulu
eerste	dahulu
maar	tapi
maar	tetapi
kan	mampukah
kan	boleh
hierdie	ni
ander	lain
soos	like
soos	ibarat
afrika	afrika
afrika	afrika
afrika	african
oor	tentang
oor	perihal
oor	telinga
oor	baki
oor	berbaki
een	satu
een	one
gebruik	penggunaan
gebruik	kegunaan
gebruik	guna
afrikaanse	afrika
afrikaanse	african
groot	hebat
meer	tasik
meer	lake
meer	lebih
meer	lagi
meer	more
onder	dibawah
onder	bawah
onder	bawahnya
twee	dua
kerk	kerk
kerk	gereja
kerk	church
tussen	antara
gemeente	jemaah
gemeente	perhimpunan
gemeente	assembly
baie	sangat
baie	banyak
begin	mulakan
begin	start
begin	mula
hul	their
lêer	ledger
waar	mana
waar	benar
waar	true
dié	ni
eeu	abad
eeu	century
haar	nya
haar	her
eksterne	luaran
sien	lihat
nuwe	new
nuwe	baharu
nuwe	baru
leë	kosong
leë	kosong
hom	him
voor	front
voor	depan
voor	hadapan
voor	sebelum
stad	city
stad	bandaraya
stad	bandar
stad	kota
land	country
land	negara
skakels	pautan
skakels	link
later	later
later	kemudiannya
later	nanti
nog	lebih
nog	lagi
nog	more
net	sahaja
net	hany
net	cuma
net	hanya
naam	nama
deel	share
deel	bahagian
drie	tiga
egter	namun
egter	bagaimanapun
grootste	terbesar
grootste	greatest
pous	paus
pous	pope
sal	will
sal	akan
kon	could
kon	mampukah
ons	our
mense	people
mense	orang
mense	rakyat
mense	orng
bestaan	wujud
bestaan	wujud
svg	svg
nasionale	national
nasionale	kebangsaan
maak	buat
kom	come
kom	jom
noord	utara
noord	north
jpg	jpg
gebied	wilayah
gebied	keluasan
gebied	kawasan
gebied	area
vanaf	dari
vanaf	daripada
laat	terlewat
laat	mendiang
laat	late
laat	lambat
laat	larut
saam	bersama
style	gaya
terwyl	semasa
veral	terutamanya
veral	especially
moet	mesti
weer	lagi
weer	semula
weer	cuaca
werk	kerja
werk	bekerja
werk	job
werk	werk
klein	kecik
klein	kecil
klein	minor
klein	kecil
klein	tiny
oos	timur
hier	disini
hier	sini
tyd	waktu
tyd	masa
tyd	time
geword	become
vlag	bendera
verskeie	pelbagai
verskeie	category
verenigde	bersatu
verenigde	united
mei	may
mei	mei
wes	west
wes	barat
vorm	shape
vorm	bentukkan
vorm	bentuk
staan	berdiri
staan	stand
staan	berdiri
isbn	isbn
genoem	disebut
genoem	disebutkan
dan	barulah
dan	then
dan	kemudiannya
dan	kemudian
bevolking	penduduk
bevolking	populasi
gemaak	diperbuat
gemaak	made
gemaak	bancuh
gebou	bangunan
gebou	membina
jare	tahun
januarie	januari
januarie	manual
junie	jun
junie	june
junie	jun
amerikaanse	american
amerikaanse	amerika
slegs	sahaja
slegs	hany
slegs	cuma
slegs	hanya
nadat	selepas
april	april
lank	tall
lank	panjang
lank	long
gestig	diasaskan
oktober	oktober
oktober	october
julie	julai
sedert	semenjak
sedert	since
sedert	sejak
sedert	dilancarkan
sedert	launching
reeds	sudah
reeds	sudahpun
kaapstad	barcelona
september	september
engels	inggeris
party	parti
desember	disember
maart	mac
maart	march
alle	semua
augustus	ogos
gevolg	diekori
gevolg	diikuti
februarie	februari
nou	sekarang
nou	skrg
nou	now
nou	kini
meeste	most
meeste	paling
meeste	kebanyakan
meeste	terbanyak
gebore	lahir
gebore	dilahirkan
gebore	born
provinsie	wilayah
provinsie	provinsi
provinsie	county
provinsie	kaunti
provinsie	keadaan
provinsie	negara
provinsie	negeri
provinsie	state
universiteit	universiti
beskou	pertimbangkan
lewe	life
lewe	hidup
lewe	kehidupan
lewe	hidupan
vier	empat
vier	four
vier	raikan
vier	meraikan
vier	meraikan
vier	raikan
november	november
franse	perancis
dood	kematian
dood	death
dood	maut
dood	ajal
dood	dead
dood	mati
amptelike	rasmi
amptelike	official
koning	raja
koning	king
der	der
dieselfde	sama
dieselfde	same
wêreld	world
wêreld	dunia
volgende	next
volgende	selanjutnya
volgende	seterusnya
geleë	bertempat
miljoen	juta
miljoen	million
aantal	kuantiti
aantal	ikhtiar
plaaslike	tempatan
regs	kanan
regs	kan
dikwels	sering
dikwels	kerap
internasionale	antarabangsa
eie	menyesuaikan
eie	sendiri
voëls	burung
eers	pertama
eers	first
eers	dulu
eers	dahulu
pretoria	pretoria
steeds	still
steeds	masih
steeds	pegun
groep	berkumpulan
groep	group
groep	kumpulan
stel	set
sluit	tamatkan
sluit	quit
sluit	dekat
sluit	tutup
frankryk	france
frankryk	perancis
naby	berhampiran
naby	near
naby	dekat
naby	berhampiran
naby	berdekatan
hoofstad	modal
hoofstad	capital
verwys	disaman
verwys	refer
water	air
einde	selesaikan
einde	finish
einde	hujung
einde	penghujung
duitsland	jerman
regering	pemerintahan
regering	kerajaan
elke	setiap
kaap	cape
kaap	jubah
dae	hari
wanneer	bila
wanneer	apabila
oorlog	war
oorlog	perang
oorlog	peperangan
laaste	last
politieke	politik
besluit	decision
besluit	keputusannya
besluit	keputusan
besluit	diputuskan
besluit	putuskan
ryk	empire
ryk	kerajaan
ryk	empayar
ryk	kaya
sommige	sesetengahnya
sommige	sesetengah
gewoonlik	kebiasaannya
gewoonlik	biasanya
gewoonlik	kebiasaannya
afrikaans	afrikaans
geskiedenis	sejarah
vis	ikan
plaas	ladang
plaas	pos
plaas	post
wikipedia	wikipedia
wetenskaplike	saintis
wetenskaplike	saintifik
ontwikkel	dikembangkan
ontwikkel	dibangunkan
ontwikkel	bangunkan
ontwikkel	develop
lande	negara
seun	boy
seun	nak
seun	putra
seun	son
algemene	umum
algemene	jeneral
algemene	general
verskillende	berbeza
europa	eropah
stadion	stadium
belangrike	penting
