din	od
care	ko
care	koji
care	kom
care	koja
care	koju
fost	bio
mai	mai
mai	više
pentru	za
lui	njegovo
lui	njegov
lui	njegova
sunt	su
sit	sajtu
sit	sajt
dupa	nakon
dupa	nakon
ale	ale
lea	lea
prin	kroz
regiunea	regija
mare	velikih
mare	velikih
mare	veliki
mare	moru
mare	more
anul	godina
comuna	zajednički
comuna	zajedničkim
comuna	zajedničku
comuna	općina
comuna	zajednički
comuna	zajedničkim
comuna	zajedničku
are	ima
externe	vanjska
externe	vanjski
locuitori	stanovnici
locuitori	stanovništvo
locuitori	stanovnika
locuitori	stanovništvo
legaturi	veza
legaturi	veze
legaturi	veza
vezi	vidi
vezi	jie
vezi	vide
vezi	vidjeti
vezi	see
vezi	vidimo
dar	ali
cod	kod
cod	cod
populatie	populacija
bucuresti	bukurešt
bucuresti	bucuresti
bucuresti	bukurešt
bucuresti	bukurešt
romania	rumunija
romania	rumunija
jpg	jpg
lista	spisak
lista	lista
lista	spisak
lista	lista
ucraina	ukrajina
nume	ime
ani	ani
ani	godina
avea	imao
intre	između
intre	između
pana	do
pana	perje
poate	možda
poate	možda
doua	dva
doua	dva
rege	king
rege	kralj
sub	pod
alte	ostala
alte	ostale
alte	drugim
alte	drugi
cand	kada
cand	kada
regiune	regija
anii	godina
parte	dio
judetul	županija
judetul	okrug
judetul	županija
judetul	okrug
centura	pojas
centura	pojas
dinastia	dinastija
septembrie	septembar
timp	vrijeme
despre	oko
unde	gdje
unde	gde
majoritatea	većina
majoritatea	većina
densitate	gustoća
limba	jezik
limba	jezik
limba	jezik
limba	jezik
iunie	juni
multe	mnoge
multe	mnogi
socorro	socorro
prima	prvo
prima	prvi
prima	premium
octombrie	oktobar
august	august
sat	selo
sat	sjedio
sat	sat
martie	mart
biserica	crkva
biserica	crkva
fisier	dosije
fisier	datoteka
fisier	arhiva
fisier	file
fisier	dosije
fisier	datoteka
fisier	arhiva
fisier	file
decembrie	decembar
toate	all
toate	svi
toate	sve
ianuarie	januar
adresa	adresa
adresa	adresa
noiembrie	novembar
cum	kako
imagine	slika
imagine	imidžu
imagine	imidž
imagine	slika
statul	država
lor	njihov
lor	njihovi
lor	njihovo
lor	njihova
lor	njihove
avut	imao
familia	porodica
familia	porodično
numele	ime
timpul	vrijeme
nord	sjever
nord	nord
principala	glavne
principala	glavna
principala	glavno
principala	glavni
principala	glavne
principala	glavna
principala	glavno
principala	glavni
sud	jug
aprilie	april
erau	bili
loc	mjesto
primul	prvo
primul	prvi
iulie	jula
iulie	juli
doar	samo
doar	samo
editura	izdavač
asteroid	asteroidi
februarie	februar
recensamantului	popis
trei	tri
asteroizi	asteroidi
asteroizi	asteroide
asteroizi	asteroida
lats	lat
discutie	diskusija
discutie	diskusija
discutie	diskusija
franta	francuska
franta	francuska
franta	francuska
partea	dio
mult	mnogo
fara	bez
fara	bez
departamentul	odjel
departamentul	katedri
departamentul	odjeljenje
departamentul	departmenta
foarte	veoma
foarte	vrlo
raionul	prolaza
data	datum
data	podatak
data	datum
departament	odjel
departament	katedri
departament	odjeljenje
departament	departmenta
unul	jedan
unul	jedna
apoi	potom
apoi	onda
apoi	tada
apoi	zatim
grup	grupa
locul	mjesto
oras	grad
oras	grad
oras	grad
oras	grad
oras	grad
oras	grad
pot	može
camp	logor
camp	camp
camp	kamp
camp	kampu
camp	polje
germania	njemačka
face	make
face	načiniti
satul	selo
national	nacionalni
national	nacionalna
national	nacionalni
national	nacionalna
national	nacionalni
national	nacionalna
note	note
note	nota
