ve	and
bir	one
bu	this
bu	that
de	say
ile	with
için	for
en	favorites
daha	more
sonra	then
sonra	after
sonra	later
ilk	first
utc	utc
çok	very
çok	much
yer	venue
yer	place
yer	location
gibi	like
dış	dis
büyük	large
büyük	big
büyük	huge
bağlantılar	connections
bağlantılar	links
bağlantılar	contacts
of	uff
türkiye	turkey
iki	iki
iki	two
center	center
arasında	among
arasında	between
ayrıca	also
istanbul	istanbul
türk	turk
türk	turkish
diğer	other
yeni	new
un	flour
her	every
aynı	same
kulüp	club
bağlı	attached
bağlı	bound
bağlı	tied
bağlı	depends
bağlı	connected
bağlı	linked
iyi	good
iyi	fine
ne	what
ilgili	relevant
ilgili	interested
ilgili	related
son	last
son	end
alan	field
alan	domain
alan	alan
alan	area
dünya	world
dünya	earth
abd	usa
birlikte	together
bulunan	located
eski	old
eski	oldies
and	andean
önemli	highlights
önemli	important
önemli	significant
madde	substance
madde	clause
madde	material
madde	matter
madde	article
sağlık	wellness
sağlık	medical
sağlık	health
genel	generic
genel	general
mart	mart
mart	march
adı	name
film	films
film	movie
film	film
film	movies
haziran	june
mayıs	may
dosya	files
dosya	file
ocak	jan
ocak	january
ocak	stove
ocak	cooker
yıl	year
dan	dan
kasım	november
kasım	qasim
kasım	nov
avrupa	europe
avrupa	europa
avrupa	european
ama	but
karşı	counter
karşı	against
toplam	lifetime
toplam	sum
toplam	total
jpg	jpg
ikinci	second
eylül	september
ağustos	august
içinde	inside
içinde	within
temmuz	july
önce	before
önce	first
tüm	whole
den	den
nisan	april
resim	picture
resim	image
resim	painting
resim	drawing
üniversitesi	university
ye	eat
ekim	october
ekim	oct
şehir	town
şehir	city
şehir	urban
ptt	ptt
zaman	time
bazı	some
üzerine	upon
aralık	december
aralık	dec
aralık	interval
köy	village
yüksek	high
yüksek	higher
birçok	many
şubat	february
şubat	feb
sadece	only
sadece	just
yol	path
yol	route
yol	way
yol	road
fakat	but
grup	band
grup	group
takım	squad
takım	team
kendi	own
şekilde	way
tek	singles
tek	single
bilgi	info
bilgi	information
bilgi	knowledge
kez	times
hakkında	about
latns	latns
longew	longew
latd	latd
