استن	stan
کریستف	christof
کریستف	christoph
رصد	天文台
رصد	觀察
رصد	觀測
سوژه	主題
تنباکو	煙草
منحرف	變態
عاقبت	成果
عاقبت	結果
آلکساندر	alexandre
ارل	earl
گنجشک	麻雀
گنجشک	麻雀
گاردین	守護神
گاردین	守護者
گاردین	守護
گاردین	監護人
زوال	流離失所
زوال	遞減
زوال	衰落
اسلو	奧斯陸
جردن	約旦
فاستر	foster
فاستر	寄養
تراژدی	慘案
تراژدی	悲劇
تراژدی	慘劇
پررنگ	膽小
رؤیای	夢
رؤیای	夢幻
رؤیای	夢境
رؤیای	做夢
رؤیای	夢想
بتهوون	貝多芬
وردی	verdi
فلوئورید	氟化
فلوئورید	氟
کلاوس	klaus
گراند	grand
شاهدخت	王妃
شاهدخت	小公主
شاهدخت	公主
برمه	緬
برمه	緬甸
خر	驢
خر	驢子
ریگ	鑽機
پیشگام	先鋒
پیشگام	先驅
اساسنامه	章程
اساسنامه	法規
اساسنامه	規約
کریگ	craig
فشاری	壓力
فشاری	氣壓
فشاری	壓
غریبه	陌生人
غریبه	陌生人
غریبه	陌生
شهرستانهای	各州
شهرستانهای	各縣
شمشیربازی	擊劍
شمشیربازی	劍術
معلول	殘障
معلول	殘疾
معلول	殘障
معلول	傷殘
هیروشیما	廣島
آپارتمان	公寓
سفت	緊
بتنی	bethany
ولت	伏
ولت	伏特
نیش	蜇
نیش	刺針
نیش	蜇
دیروز	昨天
دیروز	昨日
کیوتو	京都
عیب	斷層
عیب	瑕疵
عیب	缺陷
عیب	缺陷
ریل	鐵路
تعالیم	教義
تعالیم	教導
تعالیم	原則
تعالیم	學說
تعالیم	教義
تعالیم	理論
تعالیم	原理
معابد	廟宇
معابد	寺廟
ماهیگیری	釣魚
ماهیگیری	漁業
ماهیگیری	捕撈
ماهیگیری	捕魚
غیرعادی	異常
غیرعادی	不尋常
پیرس	pierce
هولمز	福爾摩斯
ظلم	壓迫
ظلم	受壓迫
ظلم	被壓迫
ظلم	殘酷
ظلم	不公
تمرینات	培訓
تمرینات	訓練
خرچنگ	蟹
خرچنگ	螃蟹
خرچنگ	龍蝦
خرچنگ	蟹
خرچنگ	螃蟹
کشنده	致命
کشنده	致死
کشنده	致命
کشنده	致命
بوته	布希
مورفی	murphy
گرسنگی	餓死
گرسنگی	挨餓
گرسنگی	餓
گرسنگی	飢餓
پالایش	篩選
پالایش	濾波器
پالایش	過濾
پالایش	過濾器
پالایش	篩選
پالایش	過濾
پالایش	煉油
پالایش	提煉
پالایش	精煉
چاله	水潭
چاله	水坑
شاهکار	特技
شاهکار	傑作
شاهکار	壯舉
شاهکار	feat
نویز	噪聲
نویز	噪音
ادریس	idris
نمانده	幾乎
رسوب	沈積
صافی	safi
داش	dash
ریچل	rachel
شیلا	sheila
عبدی	abdi
جغد	貓頭鷹
جغد	鴞
عمرو	amr
تاثیرات	特效
تاثیرات	效應
تاثیرات	影響
تاثیرات	效果
احتمالات	概率
احتمالات	幾率
احتمالات	概率
احتمالات	可能性
یتیم	孤兒
یتیم	孤兒
دوس	dos
شفا	治癒
شفا	痊癒
شفا	醫治
شفا	治癒
شفا	療傷
شفا	康復
شفا	痊癒
مغازه	shop
مغازه	購物
مغازه	店鋪
مغازه	店
مغازه	商店
چرخشی	旋轉
نشانگان	症候群
کنکور	考試
نهفته	嵌入
نهفته	嵌入式
روانپزشکی	精神科
بلوچی	bellucci
گلکسی	銀河
گلکسی	星系
گلکسی	galaxy
گلکسی	銀河系
پاها	腿
خواهران	姐妹
خواهران	姊妹
اکو	eko
اکو	回聲
اکو	回音
قبله	方向
استبداد	暴政
استبداد	專制
تیتراژ	點數
تیتراژ	信用
تیتراژ	學分
تیتراژ	信貸
وزنه	加權
وزنه	重量
وزنه	重量
وزنه	體重
وزنه	份量
وزنی	加權
اجداد	祖先
اجداد	祖先
پت	寵物
پت	pat
پاپی	罌粟
ثریا	soraya
پایش	掃描
پایش	監測
پایش	監測
فانی	凡人
پهلو	一面
پهلو	側
اکسپرس	快車
اکسپرس	明示
اکسپرس	express
اکسپرس	特快
نخبگان	精英
نخبگان	elite
فینیکس	膠囊
فینیکس	鳳
فینیکس	鳳凰
کرو	烏鴉
ترتیبی	序數
هوتن	hutton
گیلکی	glk
صفا	safa
تاجگذاری	加冕典禮
تاجگذاری	加冕
فسفر	磷
چشمی	眼
چشمی	眼睛
اوا	eva
اوا	ewa
هلسینکی	赫爾辛基
آندورا	安道爾
اجبار	武力
اجبار	蠱惑
اجبار	強制
اجبار	強迫
اجبار	強迫性
اجبار	強制
اجبار	強迫
اجبار	脅迫
اجبار	被迫
اجبار	強迫
معقول	理性
معقول	合理
بارگیری	下載
بارگیری	裝載
بارگیری	下載
مذکر	男性
مذکر	男
دایناسور	恐龍
بقا	存活
بقا	求生
بقا	生存
تورینو	torino
متفرقه	雜項
آدریان	adrian
هیچکدام	無
اویل	油
اویل	石油
اویل	機油
گیبسون	gibson
استثنای	例外
هراس	恐
هراس	恐怖
آوازی	聲樂
مغولی	蒙古
استفن	stefan
رسوایی	醜聞
رسوایی	緋聞
رسوایی	恥辱
