dôchodok	บำนาญ
sobote	sobota
zdôrazňuje	ไฮไลท์
zdôrazňuje	ไฮไลต์
umelá	เทียม
umelá	ประดิษฐ์
majitelia	เจ้าของ
glam	glam
povolenia	สิทธิ์
nadpis	หัวข้อ
pridelené	จัดสรร
holandskej	ดัตช์
morí	ทะเล
porýnie	rhineland
phm	แบม
phm	bam
kúpiť	ซื้อ
kúpiť	เลี้ยง
moslimov	มุสลิม
predĺžená	ยืนยาว
stolica	อุจจาระ
honda	honda
honda	ฮอนด้า
iata	iata
zlá	แย่
zlá	ร้าย
zlá	bad
zlá	เลว
lieky	ยา
lieky	เวชศาสตร์
lieky	ยา
mys	แหลม
mys	เคป
vôľa	พิน
vôľa	จะ
vôľa	วิล
priateľstva	มิตรภาพ
tureckých	ตุรกี
slabá	อ่อนแอ
slabá	อ่อน
pobrežné	ชายฝั่ง
vynikajúce	ค้าง
vynikajúce	อร่อย
vynikajúce	เลิศ
huba	ปาก
huba	ฮับ
huba	เห็ด
zahrnuté	รวม
kreslené	การ์ตูน
ang	อัง
ang	อ่าง
anjelov	เทวดา
ovce	แกะ
ukáže	แสดง
mágia	เวทมนตร์
mágia	มนตร์
odpočinku	พัก
proteíny	โปรตีน
proteíny	โปรตีน
trinásť	thirteen
záležitosť	สำคัญ
rozloženie	แผนผัง
rozloženie	layout
prázdny	ว่างๆ
prázdny	ว่าง
prázdny	ว่าง
carmen	carmen
evolúcie	วิวัฒนาการ
fosílie	ฟอสซิล
fosílie	ซากดึกดำบรรพ์
silnejšie	แน่น
fly	ฟลาย
fly	บิน
lomu	เหมือง
motto	คติพจน์
motto	คำขวัญ
schodisko	บันได
večera	ดินเนอร์
energy	พลังงาน
cíti	รู้สึก
prehliadka	ทัวร์
cash	แคช
cash	เงิน
cash	เงินสด
cash	cash
väzeň	นักโทษ
väzeň	เชลย
pracovisko	workplace
spider	แมงมุม
vývojové	พัฒนาการ
križiaci	crusaders
prorok	ศาสดา
domenico	domenico
lúče	คาน
kópie	สำเนา
sudcov	กรรมการ
srbov	serbs
velvet	กำมะหยี่
teritórium	อาณาเขต
mzdy	ค่าแรง
učitelia	ครู
horúčka	ไข้
dovoľuje	อนุญาต
battista	battista
ssp	ssp
výstavu	นิทรรศการ
výstavu	นิทรรศการ
podobnej	คล้าย
cska	cska
zaznamenaná	บันทึก
osobitné	เจาะจง
osobitné	พิเศษ
vlnu	ฝอย
vlnu	คลื่น
vlnu	เวฟ
vlnu	โบกมือ
vlnu	โบก
padla	เผลอ
vnútro	ภายใน
vnútro	inner
neue	neue
predávať	ขาย
predávať	ขาย
automatická	อัตโนมัติ
automatická	auto
automatická	อัตโนมัติ
zamestnanci	บุคลากร
zamestnanci	ลูกจ้าง
zamestnanci	พนักงาน
zamestnanci	พนักงาน
rýchla	รวดเร็ว
rýchla	ด่วน
rýchla	ไว
rýchla	รวดเร็ว
rýchla	เร็ว
rýchla	ด่วน
rýchla	fast
rýchla	ไว
bukové	บีช
slovné	วาจา
čarodejnice	แม่มด
england	อังกฤษ
načo	ทำไม
rovnomerne	สม่ำเสมอ
vziať	รับ
vziať	เอา
múdrosti	ปัญญา
múdrosti	ภูมิปัญญา
tlačiareň	เครื่องพิมพ์
komunikačné	สื่อสาร
vložiť	แทรก
vložiť	ฝัง
vložiť	วาง
vložiť	แปะ
izraelské	อิสราเอล
kožu	ผิวหนัง
kožu	ผิว
kožu	skin
piktogram	pictogram
zahraničný	ต่างด้าว
chrobákov	แมลง
povstalci	rebels
povstalci	กบฏ
mierové	สงบ
mierové	สันติ
krásny	สวยๆ
krásny	สวย
krásny	สวยงาม
krásny	งดงาม
krásny	หล่อ
videá	วีดีโอ
videá	วิดีโอ
nákup	ซื้อ
nákup	ซื้อ
zasiahli	ตี
zasiahli	ถล่ม
zasiahli	ชน
zasiahli	จีบ
jednotného	single
jednotného	โสด
tekutiny	ของเหลว
philosophie	philosophie
baní	เหมือง
silvia	silvia
uzlov	ปม
uzlov	เงื่อน
uvoľnenie	ปล่อย
okraje	พรมแดน
mojžiš	โมเสส
závislý	ติด
komplexný	ครอบคลุม
komplexný	ปม
komplexný	complex
libra	ปอนด์
pravdivé	ทรู
pravdivé	true
pravdivé	จริง
pravdivé	แท้
plachty	ผ้าปูที่นอน
telá	ร่างกาย
kyjeve	kyiv
sio	sio
psychiater	จิตแพทย์
libanon	เลบานอน
spravodajstvo	ข่าวสาร
spravodajstvo	ข่าว
spravodajstvo	ปัญญา
saudskej	ซาอุดิอาระเบีย
ropa	น้ำมัน
násilne	รุนแรง
ikony	ไอคอน
občana	พลเมือง
mas	mas
mas	ล่าช้า
mas	lag
mas	ชักช้า
step	ขั้น
step	ก้าว
koreň	ราก
koreň	รูท
alias	นามแฝง
kvetov	ดอกไม้
palestíne	palestine
palestíne	ปาเลสไตน์
zrak	สายตา
uši	หู
zaistiť	ปลอดภัย
pláž	ชายหาด
pláž	หาด
širokého	กว้าง
širokého	wide
širokého	กว้าง
marina	ท่าเรือ
camp	ค่าย
variácie	แปรผัน
variácie	แปรผัน
montáž	สมัชชา
montáž	fitting
dohodnúť	ยินยอม
ostré	ชาร์ป
ostré	คม
tvárou	ใบหน้า
tvárou	หน้า
tvárou	หน้าตา
tvárou	face
tuku	อ้วน
tuku	อ้วนๆ
škvrny	คราบ
portugalská	โปรตุเกส
uväznený	กักขัง
poskytovanie	ชีพ
oddelený	แยก
logická	ตรรก
podsvetia	ยมโลก
identifikovať	ระบุ
sus	sus
akútna	เฉียบพลัน
náhodné	มั่ว
náhodné	สุ่ม
oblaky	เมฆ
otvory	รู
chicaga	ชิคาโก
chicaga	chicago
nákupné	ชอปปิ้ง
čeľuste	กราม
čeľuste	ราม
dočasná	ชั่วคราว
vlhkosť	ความชื้น
vlhkosť	ความชื้น
zažil	ประสบ
indické	อินเดีย
diskusií	อภิปราย
tanečník	dancer
betónu	คอนกรีต
streche	หลังคา
streche	ดาดฟ้า
zrazu	ทันใด
mäkké	นิ่ม
mäkké	อ่อน
mäkké	นุ่ม
občiansky	แพ่ง
občiansky	ประชา
občiansky	พลเมือง
občiansky	civic
presná	แม่นยำ
presná	แม่นยำ
rasa	แข่ง
uzavrieť	ปิด
uzavrieť	ใกล้
izba	ห้อง
obrad	พิธีการ
obrad	พิธี
uvažuje	ใคร่ครวญ
pak	ปาก
level	ระดับ
level	เลเวล
potenciálne	ศักยภาพ
ochotný	เต็มใจ
japonci	ญี่ปุ่น
wrc	wrc
poručík	หมวด
alkohol	เหล้า
alkohol	แอลกอฮอล์
hodina	ชั่วโมง
mnísi	พระ
kapitál	พระนคร
kapitál	ทุน
con	con
ticho	เงียบ
ticho	เงียบ
tenké	บาง
tenké	ผอม
tenké	บางๆ
mérite	mérite
luke	ลุค
luke	ลูค
oblak	เมฆ
neanderthalensis	neanderthalensis
policajný	ตำรวจ
baktérií	แบคทีเรีย
peklo	นรก
ham	แฮม
