kampaņā	キャンペーン
galerijas	ギャラリー
galerijas	ギャラリー
alise	アリス
tops	top
tops	上部
tops	トップ
hronoloģija	沿革
hronoloģija	年表
cukuru	砂糖
bojājumi	病変
uzlabojumi	改善
uzlabojumi	改良
bruņas	アーマー
bruņas	装甲
bruņas	装甲
eksports	輸出
eksports	エクスポート
eksports	輸出
eksports	エクスポート
src	src
melodija	ジングル
melodija	メロディ
melodija	メロディー
čīle	チリ
atļaujas	権限
atļaujas	許可
zosu	ガチョウ
zosu	ガチョウ
partneris	パートナー
studio	スタジオ
dūmu	スモーク
pensijā	退職
pensijā	退職
pensijā	引退
pensijā	引退
piesārņojums	汚染
piesārņojums	公害
piesārņojums	汚染
taivānas	中華民国
taivānas	台湾
kombinācijas	組み合わせ
kaza	ヤギ
shēmu	スキーム
voyager	ボイジャー
modelēšanas	モデリング
android	android
android	アンドロイド
jpeg	jpeg
kopsavilkums	概説
kopsavilkums	概略
kopsavilkums	まとめ
kopsavilkums	概要
kopsavilkums	要約
rosbergs	ロズベルグ
sūnu	コケ
traģēdijas	悲劇
kļūdaini	false
kļūdaini	虚偽
hormonu	ホルモン
spīdumu	光沢
iekaisuma	炎症
alma	アルマ
robinsons	ロビンソン
luksemburgā	ルクセンブルク
lidija	リュディア
lidija	リディア
kadrs	フレーム
ierobežots	限定
ierobežots	limited
ierobežots	制限
pas	pas
mika	美香
mika	ミカ
apģērbs	衣類
apģērbs	被服
apģērbs	被服
apģērbs	洋服
proza	散文
internets	インターネット
tieslietas	正義
tieslietas	法律
tieslietas	法学
taisnība	トゥルー
taisnība	true
taisnība	本当
tālumā	アファール
tālumā	アファル
mūki	僧侶
procedūru	プロシージャ
procedūru	手順
procedūru	手続き
pārbūve	再建
datoram	コンピューター
datoram	コンピュータ
nbc	nbc
sals	フロスト
potenciāls	ポテンシャル
billijs	ビリー
alternatīva	オルタナティブ
alternatīva	代替
proyears	proyears
palmas	手のひら
palmas	ヤシ
palmas	パーム
iznīcina	破壊された
bruņurupucis	カメ
stabila	安定
maratons	マラソン
obj	obj
uzturēties	滞在
uzturēties	ステイ
pētījuma	勉強
musulmaņiem	イスラム教
musulmaņiem	ムスリム
volejbola	バレーボール
iejaukšanās	干渉
einšteins	アインシュタイン
garša	味見
garša	味覚
garša	フレーバー
batista	バティスタ
būtība	エッセンス
būtība	本質
kobe	神戸
instruktoru	講師
iegūtā	後天性
ameriku	アメリカ
ideoloģija	イデオロギー
uzsvars	強調
sadales	分布
sadales	流通
sadales	配当
karsts	熱い
karsts	ホット
karsts	暑い
kalējs	鍛冶屋
eksperiments	実験
moto	標語
vesela	全体
nils	ニルス
nils	ニール
brālim	兄弟
brālim	ブラザー
sintēzi	合成
win	win
win	勝利
win	勝ち
win	勝つ
nodevas	手数料
nodevas	義務
nodevas	職務
maķedonija	マケドニア
plain	無地
plain	平野
bavārijā	バイエルン
pilnas	いっぱい
pilnas	フル
morāli	道徳
pilota	パイロット
litru	リットル
litru	リットル
virtuves	キッチン
virtuves	台所
anti	アンチ
mārciņu	ポンド
vebers	ウェバー
hello	こんにちは
hello	ハロー
arhīvā	書庫
arhīvā	アーカイブ
uzsvēra	ハイライト
uzsvēra	下線
uzsvēra	ストレス
arhangeļskas	アルハンゲリスク
zālīte	雑草
zvērestu	宣誓
amatpersona	公式
amatpersona	職員
amatpersona	役員
amatpersona	巡査
manevrs	マヌー
met	マット
fenerbahçe	フェネルバフチェ
pelnu	ash
apraksti	キャプション
stabu	マスト
ari	アリ
alberto	アルベルト
dibinātāja	創始者
dibinātāja	開祖
slēgtas	閉店
gvinejas	ギニア
gvinejas	ギニア
samoa	サモア
algas	給料
algas	俸給
algas	給与
algas	賃金
algas	給与
ilustrācija	イラスト
scalemajor	scalemajor
montāža	マウント
montāža	アセンブリ
montāža	集会
montāža	組み立て
scenārijs	シナリオ
oficiāls	フォーマル
ģipša	漆喰
ģipša	石膏
pārtika	食べ物
pārtika	料理
pārtika	食品
depresijas	うつ病
džūlija	ジュリー
džūlija	ジュリア
džūlija	ユリア
upuris	犠牲
upuris	生贄
jubileju	ジュビリー
plotarea	plotarea
pārsniegt	上回る
brālības	友愛
lūgums	請求
lūgums	リクエスト
pirts	風呂
pirts	入浴
pirts	サウナ
iekšējie	内部
iekšējie	内装
iekšējie	内面
iekšējie	インテリア
iekšējie	内部
dibināšana	フォーメーション
trenēties	練習
žurka	ラット
žurka	ネズミ
astrahaņas	アストラハン
paņēmiens	テクニック
paņēmiens	技法
volejbols	バレーボール
ņūtons	ニュートン
festivālos	祭事
festivālos	祭り
ostām	ポート
veicināšanas	プロモーション
veicināšanas	宣伝
strūklaka	噴水
iebildumu	異議
gvido	グイド
korekcijas	矯正
korekcijas	補正
korekcijas	調整
korekcijas	補正
ārzemēm	海外
motīvs	機能
motīvs	フィーチャー
motīvs	特徴
galapagu	ガラパゴス
čečenijas	チェチェン
zvezda	ズヴェズダ
zilbes	音節
pieauguši	成人
pieauguši	大人
abhāzijas	アブハジア
ātrākais	最速
āfrika	アフリカ
varoņiem	ヒーローズ
varoņiem	heroes
kustas	moves
anime	アニメ
vētru	ストーム
dziedāt	歌う
dziedāt	sing
dziedāt	歌う
sapnis	ドリーム
sapnis	dream
china	中国
china	チャイナ
tokijas	東京
krogs	パブ
pakistāna	パキスタン
fiksēta	固定
fiksēta	固定された
apvienoties	マージ
apvienoties	統合
priekšrocība	利点
priekšrocība	アドバンテージ
mizas	バーク
mizas	樹皮
mizas	ピール
neskaidra	曖昧
ideoloģijas	イデオロギー
ideoloģijas	イデオロギー
metiens	ごみ
izturību	スタミナ
māršala	マーシャル
zaudēt	失う
obligāta	強制
pievērsa	ドリュー
kazahstāna	カザフスタン
palaišana	起動
konsultants	コンサルタント
konsultants	アドバイザー
konsultants	顧問
konsultants	アドバイザー
kartupeļu	じゃがいも
kartupeļu	ジャガイモ
kartupeļu	ポテト
jirgens	ユルゲン
stratēģija	戦略
esperanto	エスペラント
visums	宇宙
freds	フレッド
ibc	ibc
patiesības	真理
patiesības	真実
patiesības	真理
savākt	徴収
savākt	集める
savākt	収集
rehabilitācijas	リハビリテーション
rehabilitācijas	更生
rehabilitācijas	再生
rehabilitācijas	リハビリ
larus	larus
skatīties	時計
skatīties	腕時計
biti	ビット
paplašināšanās	引き伸ばし
paplašināšanās	膨張
autocad	autocad
pārkāpums	侵害
pārkāpums	違反
pastiprināta	強化された
berijs	ベリー
žēlastības	慈悲
žēlastības	マーシー
sadursme	衝突
izplatīties	拡散
izplatīties	スプレッド
ssh	ssh
ābolu	リンゴ
ābolu	りんご
ābolu	アップル
ābolu	林檎
uzņēmēja	ホスト
uzņēmēja	主催
jūtama	フェルト
atver	開く
birža	交換
masters	マスターズ
atoms	原子
prešovas	プレショフ
standarti	基準
standarti	規格
glečers	氷河
dzesēšanas	冷却
vingrošana	体操
atkārtota	繰り返し
laimi	ハピネス
laimi	幸福
laimi	幸せ
plašākas	広い
apb	apb
apb	ohr
kundze	マダム
kundze	マダム
vega	ベガ
itf	itf
boksa	ボクシング
monēta	硬貨
monēta	コイン
mstislavs	ムスチスラフ
bora	ホウ素
kipra	キプロス
holokausta	ホロコースト
likteņa	運命
likteņa	運命
džefs	ジェフ
tieša	ダイレクト
ātrs	クイック
