contactul	контакт
java	јава
java	java
siberia	сибир
inspector	инспектор
cumva	некако
ocean	оушн
ocean	океан
claudia	клаудија
placut	пријатни
placut	пријатно
evans	еванс
wien	wien
wien	вин
edge	раб
edge	edge
edge	острина
declaratie	изјава
declaratie	соопштение
declaratie	декларација
declaratie	прогласување
declaratie	декларацијата
discursul	говорот
discursul	говор
alabama	алабама
folosire	употреба
folosire	користење
intrand	влегување
intrand	влегуваме
intrand	влегува
tabel	табела
tabel	маса
indiei	индија
keith	кит
asigurata	осигурани
emise	издаден
emise	издадена
emise	издадени
emise	издадено
louisiana	луизијана
baschet	кошарка
organ	орган
organ	органи
hotelul	hotel
hotelul	хотел
oarecum	донекаде
tranzitie	транзиција
distante	далечини
distante	далечини
cald	згодна
cald	жешка
cald	жешко
cald	жешки
cald	топла
cald	грее
cald	топло
cald	топли
cald	топол
cald	топла
adanc	deep
adanc	длабок
adanc	длабока
adanc	длабоко
adanc	длабоки
adanc	deep
adanc	длабок
adanc	длабока
adanc	длабоко
adanc	длабоки
salvare	спас
salvare	спасението
salvare	спасение
salvare	спасување
salvare	спас
salvare	спасувачки
vacanta	празнична
vacanta	празнично
vacanta	празник
vacanta	одмор
vacanta	одмор
vacanta	празнична
vacanta	празнично
vacanta	празник
vacanta	одмор
malta	малта
manifestari	манифестации
fotbalul	фудбал
radical	радикално
radical	радикал
radical	радикални
radical	радикален
radical	радикална
asalt	напад
renault	рено
sierra	сиера
specializate	специјализирана
specializate	специјализирани
specializate	специјализирана
specializate	специјализирани
buenos	буенос
dificultati	потешкотии
dificultati	сложеност
dificultati	тешкотија
dificultati	потешкотии
dificultati	тешкотии
raurile	реки
raurile	риверс
raurile	реките
tribuna	трибјун
lapte	млеко
grove	гроув
memoriile	мемоари
memoriile	мемоар
viteze	брзини
vieti	животи
vieti	живота
vieti	животи
vieti	живота
boemia	бохемија
oferind	нудење
oferind	нудејќи
oferind	нудеше
letonia	латвија
islanda	исланд
hanovra	хановер
hanovra	хановер
hanovra	hannover
rahman	рахман
edinburgh	единбург
hlist	hlist
silva	силва
democratic	демократски
democratic	демократски
democratic	демократска
distinge	разликуваат
vrei	сакаат
strategice	стратешко
