honrado	ซื่อสัตย์
levarei	รับ
levarei	เอา
serpe	งู
valen	กำลัง
valen	คือ
valen	มูลค่า
valen	คุ้ม
víchelo	เห็น
víchelo	เขา
víchelo	เจ้า
víchelo	คุณ
víchelo	เธอ
bebo	ดื่ม
dicides	กล่าว
dicides	พูด
dicides	เจ้า
dicides	คุณ
dicides	เธอ
paras	เจ้า
paras	คุณ
paras	เธอ
paras	หยุด
pelota	ลูกบอล
pelota	บอล
chamaches	เจ้า
chamaches	คุณ
chamaches	เธอ
semellas	เจ้า
semellas	คุณ
semellas	เธอ
semellas	มอง
semellas	ดู
debiches	เจ้า
debiches	คุณ
debiches	เธอ
debiches	มี
debiches	ควร
debiches	ต้อง
£	ไตรมาส
£	ล้าน
salta	โดด
salta	กระโดด
rematará	จบ
rematará	end
rematará	ยุติ
rematará	พิน
rematará	จะ
rematará	วิล
desexas	เจ้า
desexas	คุณ
desexas	เธอ
desexas	ต้องการ
desexas	อยาก
morrese	ตาย
serea	ไซเรน
serea	เป่า
prepara	เจ้า
prepara	คุณ
prepara	เธอ
gustouche	ทำ
gustouche	เจ้า
gustouche	คุณ
gustouche	เธอ
gustouche	ชอบ
gustouche	เหมือน
gustouche	แบบ
gustouche	ถูกใจ
gustouche	ไลค์
gustouche	อย่าง
facela	ทำให้
varón	ตัวผู้
varón	บอย
indio	อินเดีย
berce	เปล
traficante	ค้า
traficante	พ่อค้า
benditos	พร
benditos	เป็นสุข
benditos	วิธี
benditos	กำลัง
benditos	คือ
dios	อัลลอฮ์
dios	พระเจ้า
dios	อัลลอฮฺ
celoso	อิจฉา
celoso	หึง
seo	seo
seo	ซอ
punishment	ลงโทษ
mercadorías	commodities
mercadorías	สินค้า
anano	แคระ
anano	มนุษย์
anano	ชาย
anano	คน
anano	แมน
anano	man
gueto	สลัม
drummer	กลอง
mali	มาลี
mali	กลับ
impulso	ชีพจร
dígolles	บอก
dígolles	เจ้า
dígolles	คุณ
dígolles	เธอ
clínicas	คลินิก
clínicas	คลินิก
lombo	กลับ
procedemento	กระบวนการ
custo	ต้นทุน
previr	ป้องกัน
chiste	มุข
chiste	มุก
chiste	ตลก
chiste	อำ
tigre	tiger
tigre	เสือ
tigre	เสือก
crecen	เติบโต
crecen	ปลูก
crecen	รับ
cáncer	มะเร็ง
empezan	เริ่ม
pintar	ทาสี
alimentación	อาหาร
alimentación	เสื้อผ้า
doulle	มอบ
doulle	ให้
loitas	ต่อสู้
loitas	สู้
bunker	บังเกอร์
favorito	ขวัญใจ
favorito	ชอบ
camboxa	กัมพูชา
celas	เซลล์
alfombra	พรม
alfombra	พรม
botarlle	รับ
botarlle	เอา
agardade	รอ
visións	นิมิต
visións	นิมิตร
conceptos	แนวคิด
conceptos	concepts
xenéticas	ยีน
xenéticas	จีน
xenéticas	พันธุกรรม
asociados	ด้วย
asociados	กับ
confuso	งง
confuso	สับสน
confuso	หลง
confuso	แพ้
confuso	เสีย
empregar	ใช้
oposición	ค้าน
mecánica	เชิงกล
agochados	ซ่อน
agochados	ซ่อน
pesados	หนักๆ
pesados	หนัก
buraco	หลุม
buraco	รู
buraco	โพรง
chamámoslle	โทร
elevado	high
elevado	สูง
elevado	ไฮ
direccións	ทิศทาง
odia	เกลียด
facerte	ทำให้
facerte	เจ้า
facerte	คุณ
facerte	เธอ
continúan	และ
continúan	แล้ว
continúan	ต่อ
mundiais	เวิลด์
mundiais	world
mundiais	โลก
tentarei	ลอง
tentarei	รับ
pensabamos	คิด
revistas	นิตยสาร
revistas	นิตยสาร
mentras	ขณะ
bocas	ปาก
lograr	รับ
lograr	ทำให้
distinguir	บอก
lagos	ทะเลสาบ
recentes	ล่าสุด
funcione	ทำงาน
funcione	งาน
pipa	ท่อ
cuando	เมื่อไร
cuando	เมื่อ
cuando	ตอน
cadrado	ตาราง
exilio	เนรเทศ
palma	palm
palma	ฝ่ามือ
palma	ปาล์ม
gráficos	กราฟิก
órganos	อวัยวะ
decatarse	ตระหนัก
decatarse	สังเกต
decatarse	สังเกตุ
comunicarse	สื่อสาร
apple	แอปเปิล
apple	apple
apple	ทรง
exceso	จาก
vermellas	แดง
vermellas	เรด
ocupados	ยุ่งๆ
ocupados	ยุ่ง
avanzada	ก้าวหน้า
darvos	มอบ
darvos	ให้
darvos	เจ้า
darvos	คุณ
darvos	เธอ
darvos	ชอบ
darvos	เหมือน
darvos	แบบ
darvos	ถูกใจ
darvos	ไลค์
darvos	อย่าง
botóns	ปุ่ม
interésame	สนใจ
afirmación	คำแถลง
champaña	แชมเปญ
lanzou	โยน
inda	ยัง
chamaría	จะ
chamaría	โทร
austria	ออสเตรีย
agricultura	การเกษตร
agricultura	เกษตรกรรม
unidas	สามัคคี
unidas	ยูไนเต็ด
unidas	united
plataforma	แพลตฟอร์ม
celebración	ฉลอง
soubera	รู้
soubera	ทราบ
provén	จาก
namorada	ชอบ
namorada	รัก
namorada	ด้วย
namorada	กับ
enfadado	โมโห
enfadado	โกรธ
enfadado	โมโห
enfadado	mad
enfadado	โกรธ
enviado	ส่ง
demasiadas	มากมาย
demasiadas	หลาย
dígoo	แค่
impórtalle	แคร์
impórtalle	สน
impórtalle	สนใจ
impórtalle	เจ้า
impórtalle	คุณ
impórtalle	เธอ
impórtalle	มายด์
impórtalle	จิต
impórtalle	ใจ
impórtalle	mind
impórtalle	รังเกียจ
preocupados	กังวล
preocupados	ห่วง
preocupados	เรื่อง
preocupados	ประมาณ
secundaria	high
secundaria	สูง
secundaria	ไฮ
secundaria	โรงเรียน
primas	วัตถุดิบ
primas	วัสดุ
irlanda	ไอร์แลนด์
seguín	ตาม
seguín	เก็บ
mercou	ซื้อ
universidades	มหาวิทยาลัย
universidades	มหาวิทยาลัย
ridícula	สาระ
podre	เน่า
calcetíns	ถุงเท้า
calcetíns	socks
buscamos	สำหรับ
buscamos	เพื่อ
partidos	ปาร์ตี้
necesarias	จำเป็น
delicado	บอบบาง
ofrecerlle	เสนอ
durmas	นอน
durmas	หลับ
durmas	ตื่น
repito	จบ
repito	โอเวอร์
repito	เหนือ
crían	เชื่อ
crían	ศรัทธา
atoparse	พบ
mensaxeiro	messenger
respiro	พัก
respiro	พัก
combustible	น้ำมัน
crendo	เชื่อ
crendo	ศรัทธา
crendo	คิด
adoitaban	ใช้
mortalidade	ตาย
accidentes	อุบัติเหตุ
seco	แห้ง
seco	แล้ง
seco	แห้งๆ
materias	ดิบ
materias	ดิบๆ
materias	raw
misericordioso	เมตตา
tradicións	ประเพณี
tradicións	ธรรมเนียม
tradicións	ประเพณี
tradicións	ธรรมเนียม
alcohol	เหล้า
alcohol	แอลกอฮอล์
alivio	บรรเทา
túnel	อุโมงค์
duelo	ดวล
mares	ทะเล
mares	ทะเล
artística	ทิศทาง
marxe	ห้อง
ensinou	สอน
cegos	บอด
cegos	ตาบอด
feixe	กอง
focas	ผนึก
globo	บอลลูน
globo	ลูกโป่ง
choraba	ร้องไห้
choraba	ร้องไห้
continuou	และ
continuou	แล้ว
elefante	ช้าง
elefante	ช้าง
golf	กอล์ฟ
creceu	มี
venden	ขาย
camas	ที่นอน
camas	เตียง
dixestes	เจ้า
dixestes	คุณ
dixestes	เธอ
bonecas	ตุ๊กตา
evento	เหตุการณ์
evento	กิจกรรม
