espectador	penonton
lenin	lenin
fibra	serat
fibra	fiber
aficionats	amatiran
aficionats	amatir
bordeus	bordeaux
ètica	etika
geogràfic	geografi
geogràfic	geographic
geogràfic	geografis
mou	move
mou	pindah
mou	pindahkan
mou	bergerak
àrtic	arktik
àrtic	arctic
agafa	ambil
agafa	grab
mirall	mirror
mirall	cermin
mirall	maen
essencials	esensial
essencials	penting
vacances	liburan
vacances	libur
vacances	liburan
precedents	preseden
estratègica	strategis
interval	rentang
interval	kisaran
interval	range
interval	jangkauan
interval	interval
brandenburg	brandenburg
vitamina	vitamin
amenaces	ancaman
ideals	ideal
preocupació	kekhawatiran
preocupació	keprihatinan
rendició	menyerah
alcalá	alcalá
humida	basah
humida	wet
lambert	lambert
reich	reich
arxiduc	archduke
cannes	cannes
recepció	penerimaan
recepció	resepsi
punk	punk
punk	berandalan
vestigis	vestiges
aristòtil	aristoteles
glucosa	glukosa
òxid	oksida
entertainment	hiburan
entertainment	entertainment
transports	transportasi
transports	transpor
transports	angkut
transports	transport
transports	pengangkutan
ocean	samudera
ocean	samudra
ocean	lautan
ocean	laut
ocean	ocean
tons	nada
aterratge	landing
aterratge	pendaratan
aterratge	mendarat
provocat	memprovokasi
inclusió	penyertaan
auto	auto
auto	otomotif
auto	otomatis
cabra	kambing
pressions	tekanan
percussió	perkusi
polonesos	kutub
polonesos	galah
badajoz	badajoz
oise	oise
celta	celta
celta	celtic
preparat	ready
preparat	siap
empleats	karyawan
supressió	penghapusan
supressió	penghilangan
supressió	penghapusan
entén	memahami
birmània	myanmar
declara	menyatakan
benestar	kesejahteraan
benestar	kebugaran
benestar	kesejahteraan
serbi	serbia
eficàcia	kemanjuran
eficàcia	keefektifan
eficàcia	efektivitas
oració	sholat
oració	shalat
oració	doa
oració	salat
oració	sembahyang
raf	raf
vores	pinggir
vores	tepi
vores	pinggiran
vores	batas
vores	perbatasan
vores	tepi
vores	tepian
perímetre	perimeter
plini	plinius
acadèmica	akademik
acadèmica	akademisi
acadèmica	akademis
fruites	buah
mirant	nonton
mirant	menonton
mirant	watching
domenico	domenico
álvaro	álvaro
giorgio	giorgio
tria	pilih
tèrmica	thermal
tèrmica	termal
narració	bercerita
narració	narasi
babilònia	babel
babilònia	babilon
matemàtics	matematikawan
progressista	progresif
adjunt	lampiran
adjunt	deputi
distingit	dibedakan
distingit	terhormat
subministraments	pasokan
subministraments	perlengkapan
subministraments	persediaan
públicament	publik
nick	nick
terol	teruel
patit	menderita
pescadors	nelayan
pescadors	pemancing
associades	dikaitkan
associades	diasosiasikan
associades	terkait
romero	romero
pelatge	bulu
paixà	pasha
angelo	angelo
liverpool	liverpool
ritual	ritual
bernardo	bernardo
varien	bervariasi
inventor	penemu
demetri	demetrius
esborrat	terhapus
esborrat	dihapus
nominada	dinominasikan
nominada	nominasi
centrecampista	gelandang
màgia	sihir
màgia	ajaib
màgia	magic
màgia	sulap
autorització	otorisasi
autorització	otorisasi
gold	emas
gold	gold
cape	cape
cape	tanjung
xàtiva	xàtiva
prohibit	terlarang
prohibit	dilarang
prohibit	terlarang
prohibit	dilarang
alternatives	alternatifnya
alternatives	alternative
alternatives	alternatif
seleccions	seleksi
cims	puncak
comes	koma
agustín	agustín
agustín	agustin
bielorússia	belarus
bielorússia	belarusia
freqüències	frekuensi
coronació	penobatan
maquinària	mesin
roine	rhône
rahman	rahman
rahman	abdurrahman
stuart	stuart
gràfiques	bagan
gary	gary
jimmy	jimmy
compositae	compositae
donacions	donasi
donacions	sumbangan
nana	nana
sebastian	sebastian
emblema	lambang
emblema	emblem
diable	setan
diable	iblis
diable	devil
papua	papua
public	publik
public	public
min	mnt
min	min
pessetes	pesetas
herbes	herbal
habitat	dihuni
íntegrament	sepenuhnya
íntegrament	seluruhnya
batxillerat	babinsa
conveni	konvensi
cicles	siklus
llana	wol
llana	wool
madison	madison
presidencial	kepresidenan
presidencial	presidensial
luxe	kemewahan
luxe	mewah
luxe	luxury
interessat	tertarik
interessat	berminat
interessat	minat
gandia	gandia
potter	potter
oxidació	oksidasi
filtre	filter
filtre	penyaring
filtre	saring
filtre	saringan
wild	wild
wild	liar
nominat	dinominasikan
nominat	nominasi
presidencials	kepresidenan
presidencials	presidensial
introdueix	masukkan
introdueix	enter
alvèrnia	auvergne
assumpció	asumsi
cooperativa	koperasi
crèdit	kredit
crèdit	credit
étienne	étienne
lluitant	berjuang
lluitant	memperjuangkan
lluitant	berjuang
lluitant	berkelahi
lluitant	fighting
lluitant	bertarung
française	française
diario	diario
maons	bata
assoleix	menjangkau
assoleix	mencapai
assoleix	jangkauan
urani	uranium
derivades	derivatif
barry	barry
àguila	elang
àguila	eagle
nassau	nassau
llums	lampu
llums	lights
disposat	rela
disposat	bersedia
massacre	pembantaian
lliurament	pengiriman
lliurament	delivery
lliurament	penayangan
lliurament	pengantaran
stewart	stewart
llotja	pelelangan
llotja	lelang
efectivament	memang
place	tempatkan
place	place
place	tempat
vázquez	vasquez
vázquez	vázquez
funda	sarung
sever	severus
automàtica	auto
automàtica	otomotif
