que	że
del	del
una	jeden
una	jedna
categoría	kategoria
categoría	kategorii
para	na
para	dla
para	za
como	jak
como	jak
como	like
fue	była
fue	był
fue	było
más	more
más	bardziej
más	więcej
sus	ich
sus	jego
sus	twoje
sus	twój
sus	twoja
sus	twojego
sus	twoim
sus	jego
también	także
también	też
también	również
también	tez
también	też
también	too
también	zbyt
entre	wśród
entre	pośród
entre	entre
entre	między
entre	pomiędzy
este	tym
este	wschodnie
este	east
este	wschód
este	wschodni
este	wschodnia
pero	ale
años	lat
años	lata
dos	dos
dos	dwie
dos	dwóch
dos	dwa
son	są
sobre	kopercie
sobre	koperta
sobre	koperty
año	roku
año	rok
desde	from
desde	od
esta	tym
enlaces	linków
enlaces	łącza
enlaces	linki
enlaces	odnośniki
hasta	nawet
externos	zewnętrzne
ciudad	town
ciudad	miasta
ciudad	miejscowość
ciudad	miasto
ciudad	city
ciudad	miejscowość
ciudad	miasta
ciudad	miasto
ciudad	ciudad
ser	bycie
ser	będąc
ser	bycia
parte	przyjęcie
parte	partia
parte	partii
parte	impreza
parte	imprezy
parte	część
parte	częściowo
durante	podczas
sin	bez
sin	grzechu
sin	grzechem
sin	sin
sin	grzech
donde	gdzie
san	san
san	święty
san	święta
san	saint
era	była
era	był
era	było
nacional	krajowa
nacional	krajowe
nacional	national
nacional	narodowy
nacional	krajowy
nacional	krajowych
nacional	nacional
primera	pierwszy
primera	pierwsze
primera	najpierw
primera	pierwsza
team	ekipa
team	team
team	drużyny
team	drużyna
team	zespół
cuando	gdy
cuando	kiedy
nombre	nazwisko
nombre	imię
nombre	nazwa
estados	stany
estados	stanów
utc	utc
siglo	siglo
siglo	wieku
siglo	wiek
después	after
después	po
después	pozniej
después	później
tiene	posiada
tiene	ma
otros	innych
otros	inne
otros	pozostałe
otros	inny
otros	inne
otros	pozostałe
otros	inni
gran	duża
gran	duże
gran	big
gran	wielka
gran	duży
gran	wielki
gran	świetne
gran	świetnie
gran	super
gran	wspaniale
gran	gran
gran	wielka
gran	grand
unidos	zjednoczone
unidos	united
unidos	zjednoczona
unidos	zjednoczeni
unidos	zjednoczonych
puede	można
puede	can
estado	status
estado	statusu
estado	stan
estado	state
estado	państwo
estado	warunek
estado	stan
uno	uno
uno	jeden
uno	jedna
lugar	miejsce
lugar	miejsce
lugar	lokalizacja
lugar	położenie
primer	pierwszy
primer	pierwsze
primer	najpierw
primer	pierwsza
población	populacja
población	populacji
población	ludność
muy	bardzo
había	mial
había	miałem
había	miała
había	miał
nueva	nowości
nueva	nowe
nueva	nowość
nueva	nowy
nueva	nowa
fueron	były
fueron	byli
historia	historia
historia	story
historia	opowieść
historia	zdarzenie
historia	opowiadanie
historia	historia
historia	historii
historia	historię
club	club
club	klub
club	klubie
eran	były
eran	byli
cual	które
cual	która
cual	który
universidad	uniwersytety
universidad	uniwersytetu
universidad	university
universidad	uczelnia
universidad	uniwersytet
universidad	studia
universidad	uczelnia
universidad	college
universidad	kolegium
forma	kształt
forma	kształtu
forma	postać
forma	forma
forma	formularz
forma	formy
forma	formularza
tres	tres
tres	trzy
grupo	grupo
grupo	grupie
grupo	grupy
grupo	grupa
general	generał
general	ogólny
general	ogólnie
general	ogólna
general	ogólne
guerra	wojnę
guerra	wojna
guerra	wojny
guerra	war
aunque	chociaż
aunque	aczkolwiek
aunque	choć
aunque	chociaż
aunque	choć
tras	after
tras	po
familia	rodziny
familia	rodzin
familia	rodzina
familia	rodziny
familia	rodzinne
familia	rodzinka
familia	rodzinnie
además	także
además	też
además	również
además	plus
además	dodatkowo
todo	wszystko
todo	wszystkie
todo	wszystko
todo	all
todo	wszyscy
sur	południowa
sur	południowej
sur	southern
sur	południowe
sur	sur
sur	południe
mayor	major
tiempo	pogoda
tiempo	pogody
tiempo	czasu
tiempo	czas
provincia	województwo
provincia	prowincji
provincia	prowincja
partido	przyjęcie
partido	partia
partido	partii
partido	impreza
partido	imprezy
partido	mecz
partido	dopasowanie
