alberto	alberto
odabir	selectie
odabir	selecteert
odabir	kiest
odabir	kies
odabir	selecteren
odabir	selecteer
bailey	bailey
konvencija	conventie
konvencija	verdrag
napisano	schriftelijke
napisano	geschreven
cameron	cameron
liverpool	liverpool
koncerte	concerten
kraljević	prince
kraljević	prins
sektor	sector
slijetanja	aanlanding
slijetanja	aanvoer
slijetanja	landingen
slijetanja	aanvoer
slijetanja	aanlanding
slijetanja	landing
karsch	karsch
čudo	mirakel
čudo	wonder
čudo	verwondering
čudo	wonder
ontario	ontario
oksid	oxide
mijenjao	verhandelde
mijenjao	geruild
mijenjao	ingeruild
mijenjao	verhandeld
leonard	leonard
carigrad	constantinopel
imanja	landgoederen
gnijezdo	nest
gnijezdo	nestje
grbu	bochel
grbu	hump
japonica	japonica
jacobi	jacobi
motore	motorrijwielen
motore	motorfietsen
korijene	wortels
korijene	roots
bubanj	drum
bubanj	trom
bubanj	trommel
raj	hemel
raj	hemels
raj	heaven
raj	raj
raj	paradijs
raj	paradise
nedovoljno	ontoereikend
nedovoljno	onvoldoende
nedovoljno	ontoereikende
teologiju	theologie
leconte	leconte
mac	mac
niska	laag
niska	low
niska	lage
istraživači	ontdekkingsreizigers
istraživači	verkenners
istraživači	onderzoekers
heckel	heckel
draconarius	draconarius
hvar	hvar
jefferson	jefferson
ibm	ibm
vježbe	oefeningen
vježbe	lichaamsbeweging
vježbe	uitoefening
vježbe	oefening
vježbe	uitoefenen
podiže	verhoogt
organizirati	organiseren
organizirati	ordenen
organizirati	organiseer
organizirati	organiseren
organizirati	organiseer
sjaja	helderheid
owen	owen
mrtav	dood
mrtav	doods
mrtav	dead
prevodi	vertaal
prevodi	vertalen
prevodi	vertalingen
prevodi	vertaalt
napravljeno	made
napravljeno	gemaakt
autoritet	autoriteit
autoritet	gezag
richards	richards
jelo	schotel
jelo	maaltijd
suđenja	proeven
suđenja	beproevingen
rijetke	zeldzame
rijetke	zelden
rijetke	zeldzaam
obavljanje	optreden
obavljanje	uitvoeren
obavljanje	presteren
zima	winter
dell	dell
teolog	theoloog
dizajniran	ontworpen
mart	mart
neutrona	neutronen
pallas	pallas
mlad	jonge
mlad	jong
mlad	young
ponavlja	herhalingen
ponavlja	herhaalt
kritički	kritisch
miro	miro
hansen	hansen
eventualno	mogelijk
hasan	hasan
hasan	hassan
vožnje	ritten
vožnje	attracties
run	rune
rog	rog
rog	horn
rog	hoorn
straneo	straneo
antonija	antonia
antonija	antony
antonija	antonius
prisiljeni	geforceerde
prisiljeni	gedwongen
prisiljeni	afgedwongen
prisiljeni	geforceerd
posude	potten
posude	pannen
frankfurt	frankfurt
zabrana	ban
zabrana	verbod
zabrana	verbieden
oblak	wolk
oblak	cloud
oblak	wolken
projektil	projectiel
projektil	raket
herbert	herbert
vijetnamu	vietnam
slatina	slatina
chang	chang
bibliografija	bibliografie
upale	ontsteking
carla	carla
paolo	paolo
odgovornosti	verantwoordelijkheid
odgovornosti	verantwoordelijkheden
odgovornosti	verantwoordelijkheid
odgovornosti	verantwoordelijkheid
odgovornosti	verantwoording
rođak	relatief
rođak	relatieve
