γερουσιαστές	সিনেটর
ενωμένη	ইউনাইটেড
ενωμένη	ঐক্যবদ্ধ
κινητά	মোবাইলের
κινητά	মোবাইল
λίθιο	লিথিয়াম
διάβασε	পড়ে
διάβασε	পড়ার
διάβασε	পড়ুন
διάβασε	পড়বেন
στάλθηκαν	প্রেরিত
θουκυδίδης	থুসিডাইডিস
ανάρτηση	সাসপেনশন
μετράει	গন্য
ελπίδες	আশা
εξερευνητής	এক্সপ্লোরার
εξερευνητής	অনুসন্ধানকারী
άντον	আন্তন
λισαβόνας	লিসবন
αστικές	শহুরে
αστικές	আরবান
αστικές	নগর
αποσπάσει	বিক্ষিপ্ত
ορατή	দৃশ্যমান
συναισθηματική	আবেগপূর্ণ
συναισθηματική	আবেগী
συναισθηματική	আবেগপ্রবণ
πείνα	দুর্ভিক্ষ
πείνα	ক্ষুধা
πιθανότητας	সম্ভাবনা
ενδιαφέρονται	আগ্রহী
χειρισμό	হ্যান্ডলিং
σεμινάρια	সেমিনারের
μπόμπι	ববি
πρίγκιπες	রাজকুমারী
πρίγκιπες	princes
ομάρ	ওমর
απόφοιτος	স্নাতক
απόφοιτος	গ্র্যাজুয়েট
τζέισον	জ্যাসন
τζέισον	জেসন
καταλανικά	ফিনিশ
καταλανικά	কাতালান
αυτόνομο	স্বশাসিত
αιτιολογία	দিশা
μεθάνιο	মিথেন
ανάμειξη	মেশানো
ισπανούς	স্পেনীয়রা
παράδοξο	প্যারাডক্স
οχτώ	আট
βαλτική	বাল্টিক
αγοράστηκε	কিনলাম
αγοράστηκε	কিনেছেন
αγοράστηκε	কেনা
αγοράστηκε	কিনে
κέιμπριτζ	ক্যামব্রিজ
μεταλλικά	ধাতু
μεταλλικά	মেটাল
μεταλλικά	ধাতব
μεταλλικά	মেটালিক
εστιατόρια	রেস্তোঁরা
εστιατόρια	রেস্তোরা
εστιατόρια	রেস্তোরাঁ
προτείνεται	সুপারিশকৃত
εφαρμόστηκε	প্রয়োগ
εφαρμόστηκε	বাস্তবায়িত
σύντροφος	সহযোগী
σύντροφος	সঙ্গী
σύντροφος	সহযাত্রী
σύντροφος	পার্টনার
σύντροφος	অংশীদার
σύντροφος	সহচর
ακραίες	চরম
τούρκου	টুর্কু
έτοιμο	তৈরী
έτοιμο	তৈরি
έτοιμο	প্রস্তুত
μπερνάρ	বার্নার্ড
ψυχική	আত্মিক
ψυχική	মানসিক
συνθέτουν	রচনা
συνθέτουν	কম্পোজ
ενήλικα	প্রাপ্তবয়স্ক
καταστρέφει	ধ্বংস
γαμπρός	জামাই
γαμπρός	বর
σομαλία	সোমালিয়া
σεμπάστιαν	সেবাস্তিয়ান
σεμπάστιαν	সেবাস্টিয়ান
χορηγός	প্রযোজিত
χορηγός	স্পনসর্ড
χορηγός	স্পনসর
χορηγός	পৃষ্ঠপোষক
χορηγός	sponsor
χορηγός	স্পন্সর
αντιστοιχία	মিল
αντιστοιχία	ম্যাচ
ντόπιοι	স্থানীয়দের
ντόπιοι	স্থানীয়রা
ντόπιοι	স্থানীয়রা
διέλευση	পারাপার
διέλευση	ক্রসিং
διέλευση	অতিক্রম
διέλευση	ট্রানজিট
μερίδιο	শেয়ার
ουγκάντα	উগান্ডা
σχεδιάσει	পরিকল্পিত
πυρετό	জ্বর
αποκαλύψει	উন্মোচন
ζάχαρη	চিনি
ζάχαρη	সুগার
παράγραφο	অনুচ্ছেদ
διευθέτηση	বন্দোবস্ত
χρησιμοποίηση	ব্যবহার
βέρνερ	ভের্নার
αντίστροφη	বিপরীত
ενέπνευσε	অনুপ্রাণিত
δικαστές	বিচারকদের
δικαστές	বিচারক
ράλι	সমাবেশ
τζουζέπε	জুসেপ্পে
μπρούνο	ব্রুনো
δημόσιος	সার্বজনীন
δημόσιος	পাবলিক
δημόσιος	সর্বজনীন
αυτόχθονες	আদিবাসী
άλλως	অন্যথায়
άλλως	অন্যভাবে
ποινικό	অপরাধীর
ποινικό	অপরাধী
ποινικό	ক্রিমিনাল
όγδοη	অষ্টম
δημιουργίες	সৃষ্টি
υποδιαίρεση	মহকুমা
ρέμπραντ	রেমব্রন্ট
πιανίστας	পিয়ানিস্ট
συναδέλφους	সহকর্মীরা
συναδέλφους	সহকর্মীদের
λεφτά	অর্থ
λεφτά	টাকার
λεφτά	টাকা
υπολογισμός	গণনা
υπολογισμός	ক্যালসিয়াম
υπολογισμός	কোবাল্ট
πελάτη	গ্রাহক
πελάτη	ক্লায়েন্ট
έκκληση	আবেদন
