और	og
से	fra
से	from
से	frå
है	hai
एक	one
एक	en
एक	ett
एक	én
श्रेणी	kategori
श्रेणी	kategorien
श्रेणी	serie
श्रेणी	rekke
श्रेणी	kategoriene
श्रेणी	kategorier
भी	even
भी	selv
भी	tilogmed
भी	sjølv
भी	òg
भी	også
भी	óg
भी	too
भी	også
यह	this
यह	dette
यह	denne
यह	detta
किया	did
किया	gjorde
किया	done
किया	gjort
किया	ferdig
इस	this
इस	dette
इस	denne
इस	detta
हैं	finst
हैं	are
हैं	er
कि	det
कि	at
भारत	india
जो	joe
जो	kven
जो	who
जो	hvem
ही	hee
रूप	skjemaet
रूप	skjema
रूप	utseende
कर	moms
कर	skatt
कर	skatt
कर	selvangivelsen
कर	skatter
नहीं	ikke
नहीं	not
नहीं	ikkje
नहीं	niks
नहीं	nope
उत्तराखण्ड	uttarakhand
गया	gikk
गया	dro
गया	gjekk
साथ	langs
साथ	med
साथ	with
साथ	sammen
साथ	together
पूर्व	east
पूर्व	øst
पूर्व	tidligere
होता	ville
बाद	senere
बाद	seinere
बाद	seinare
बाद	etter
बाद	after
बाद	etterpå
बाद	efter
तक	until
तक	inntil
तक	till
तक	tak
अपने	own
अपने	eget
अपने	eie
अपने	egen
अपने	ditt
अपने	din
अपने	dine
जिले	distrikter
था	hadde
था	hatt
था	var
राज्य	stater
राज्य	delstater
राज्य	stat
राज्य	staten
राज्य	delstater
राज्य	state
राज्य	tilstand
राज्य	delstat
बाहरी	outdoor
बाहरी	utendørs
बाहरी	ytre
बाहरी	ekstern
बाहरी	eksternt
बाहरी	eksterne
बाहरी	utendørs
बाहरी	friluft
कुछ	some
कुछ	noen
कुछ	enkelte
कुछ	noe
कुछ	something
कुछ	noko
ईसा	jesus
गाँव	landsby
गाँव	village
गाँव	bygda
सरकार	regjering
कड़ियाँ	kjettinger
कड़ियाँ	kjetting
कड़ियाँ	lenker
कड़ियाँ	koblinger
कड़ियाँ	linker
कड़ियाँ	lenker
प्रदेश	region
इसके	dets
इसके	sine
इसके	sin
इसके	its
दिया	gitt
दिया	gav
दिया	ga
अन्य	andre
अन्य	annet
अन्य	annen
अन्य	andre
जा	jaa
वर्ष	ar
वर्ष	årevis
वर्ष	år
वर्ष	årsmodell
वर्ष	året
वर्ष	år
समय	timing
समय	timingen
समय	tid
समय	klokkeslett
समय	gang
नाम	namn
नाम	navnet
नाम	navn
वे	de
वे	they
प्रकार	snill
प्रकार	kind
प्रकार	skriv
प्रकार	typen
प्रकार	type
प्रकार	typer
भारतीय	indianer
भारतीय	inder
भारतीय	indisk
किसी	nokon
किसी	noen
क्षेत्र	areal
क्षेत्र	område
क्षेत्र	området
क्षेत्र	area
क्षेत्र	region
क्षेत्र	områder
क्षेत्र	områdene
अधिक	fleire
अधिक	fler
अधिक	flere
अधिक	mer
अधिक	meir
अधिक	mere
कई	mangt
कई	many
कई	mangen
कई	mange
मण्डल	sone
मण्डल	zone
आधिकारिक	offisielt
आधिकारिक	offisiell
आधिकारिक	official
आधिकारिक	offisielle
कारण	reasons
कारण	årsaker
कारण	grunner
कारण	årsak
कारण	fornuft
कारण	grunn
कारण	sak
कारण	årsak
कारण	forårsake
कारण	formål
कारण	forårsaker
कारण	saker
कारण	årsaker
होने	being
जैसे	som
जैसे	liker
जैसे	like
करता	bøller
करता	mobber
करता	gjør
उनके	sine
उनके	deres
उनके	them
उनके	dem
सबसे	most
सबसे	meste
सबसे	mest
हिन्दी	hindi
बहुत	svært
बहुत	very
बहुत	meget
बहुत	veldig
पहले	before
पहले	før
पहले	ago
पहले	tidligere
पहले	første
पहले	først
पहले	forst
पहले	first
अपनी	own
अपनी	eget
अपनी	eie
अपनी	egen
दो	to
दो	two
जिला	distriktet
जिला	distrikt
जब	when
जब	når
उन्होंने	de
उन्होंने	they
उन्होंने	egypterne
जन्म	born
जन्म	født
जन्म	fødsel
जन्म	fødselen
कोई	koi
कोई	noen
कोई	any
इन	vertshus
इन	kro
लेकिन	men
ये	this
ये	dette
ये	denne
ये	detta
ये	desse
ये	disse
कम	lavmål
कम	lav
कम	lavt
कम	low
कम	lave
कम	færre
कम	færre
कम	less
कम	mindre
कहा	sakt
कहा	sa
कहा	said
कहा	sagt
लोग	mennesker
लोग	personer
लोग	personar
लोग	folk
आदि	etc
आदि	osv
आदि	fleire
आदि	fler
आदि	flere
आदि	mer
आदि	meir
आदि	mere
आदि	adi
उसके	hans
उसके	sin
उसके	hennes
उसके	henne
प्राचीन	primitive
प्राचीन	primitivt
प्राचीन	primitiv
प्राचीन	eldgammelt
प्राचीन	antikkens
प्राचीन	eldgammel
प्राचीन	oldtidens
प्राचीन	pretor
देखें	watch
देखें	skjønner
देखें	see
देखें	se
देखें	sjå
देखें	visning
देखें	utsikt
देखें	vis
उत्तर	svar
उत्तर	svare
उत्तर	nordover
उत्तर	north
उत्तर	nord
उत्तर	svar
उत्तर	svarene
भाषा	språk
भाषा	språk
लिये	for
सभी	alle
सभी	alt
सभी	all
प्राप्त	fås
प्राप्त	mottok
प्राप्त	mottatte
प्राप्त	mottatt
प्राप्त	motta
प्राप्त	mottar
इसका	dets
इसका	sine
इसका	sin
इसका	its
प्रयोग	eksperiment
प्रयोग	eksperimenter
प्रयोग	bruken
प्रयोग	eksperiment
शामिल	involvert
शामिल	involverte
शामिल	innblandet
