الليثيوم	litiu
بنين	benin
هدم	demolarea
هدم	demolare
هدم	demolări
اغنية	cantec
اغنية	song
اغنية	melodie
اغنية	cântec
مصرف	bancă
مصرف	banca
مصرف	bank
قياسي	standardul
قياسي	standard
مذكرة	memoriu
مذكرة	memo
مذكرة	memorandumul
مذكرة	memorandum
الكلاسيكي	clasică
الكلاسيكي	clasic
الكلاسيكي	clasica
تلقائي	automată
تلقائي	automatic
تلقائي	automate
تلقائي	automat
المنتدى	forum
المنتدى	forumul
خزان	tank
خزان	rezervor
خزان	tanc
خزان	rezervor
صممت	proiectat
صممت	proiectată
صممت	conceput
صممت	proiectate
صممت	concepute
مجلد	dosar
مجلد	dosarul
وليم	william
وليم	wilhelm
قبله	pup
السكن	locuințe
السكن	locuinţe
السكن	cazare
السكن	carcasă
السكن	cazare
حائز	holder
حائز	titular
حائز	titularul
التنقيب	excavare
التنقيب	prospectare
كيان	entitate
كيان	entitatea
البعيد	distant
البعيد	telecomanda
البعيد	distant
البعيد	telecomandă
البعيد	distanță
صعوبات	dificultățile
صعوبات	dificultăți
جدل	controverse
جدل	controversă
جدل	controversa
شون	shawn
اسطنبول	istanbul
باتمان	batman
الفلم	film
يولد	nascut
يولد	născută
يولد	născut
حرق	ard
حرق	arsură
حرق	burn
حرق	arde
حرق	ard
حرق	ardere
حرق	arzând
النيجر	niger
نقش	gravură
نقش	inscripţie
فلورنسا	florenţa
فلورنسا	florența
فلورنسا	florence
فلورنسا	florenta
بورت	burt
بورت	portul
بورت	port
مترجم	translator
مترجم	traducător
مترجم	interpret
مترجم	subtitrate
جلسات	sesiuni
جلسات	sesiunile
تام	tam
القراءات	lecturi
عال	high
عال	înaltă
عال	inalta
عال	tare
مريض	pacienta
مريض	pacientul
مريض	pacientă
مريض	pacient
مريض	bolnav
مريض	bolnava
مريض	bolnavi
مريض	bolnavă
بطريق	pinguin
بطريق	pinguinul
جرعة	doza
جرعة	doză
مناورات	manevre
مناورات	manevre
مثيرة	sexy
مثيرة	sexi
مثيرة	interesant
مثيرة	incitant
المقيمين	locuitori
المقيمين	locuitorii
المقيمين	rezidenți
المثالية	idealismul
الشفاء	vindecare
الشفاء	vindecarea
شتاء	iarnă
شتاء	iarna
شرب	băut
شرب	bea
شرب	băutură
اكتساب	dobândi
اكتساب	achiziția
اكتساب	achiziție
ليوناردو	leonardo
المتاحف	muzeele
المتاحف	muzee
بورما	burma
بورما	birmania
بورما	birmanez
سين	sen
النزاعات	conflictele
النزاعات	conflicte
النزاعات	disputele
النزاعات	litigii
النزاعات	litigiile
النزاعات	dispute
منتظم	regulată
منتظم	regulate
منتظم	regulat
منتظم	obișnuit
الزكاة	zakat
الجيولوجية	geologică
الجيولوجية	geologic
الجيولوجية	geologice
رمزي	ramzi
رمزي	simbolic
رمزي	simbolică
استكشاف	explorarea
استكشاف	explorare
استكشاف	explorează
استكشاف	explora
درعا	armură
درعا	armura
درعا	armuri
درعا	scut
درعا	scutul
درعا	shield
درعا	daraa
الصانع	producator
الصانع	producătorul
الصانع	producător
الصانع	producătorului
فرس	iapă
فرس	iapa
الذئاب	lupii
الذئاب	lupi
المواصفات	specificațiile
المواصفات	specificații
المواصفات	specificație
المواصفات	specificația
المواصفات	specificații
المواصفات	specificarea
كيب	kip
زر	nasture
زر	buton
زر	button
زر	butonul
القبلية	tribal
القبلية	tribale
الطيبة	bunătate
الطيبة	bunătatea
جوقة	cor
جوقة	corul
موانئ	porturile
موانئ	porturi
شعور	senzație
شعور	sentimentul
شعور	sentiment
شعور	simt
العملاق	gigant
العملاق	uriaș
ريفية	rurală
ريفية	rurale
ريفية	rural
الصهيوني	sionist
ليلا	laila
ليلا	noapte
ليلا	noaptea
العجز	handicap
العجز	invaliditate
العجز	incapacitate
العجز	deficitului
العجز	deficitul
العجز	deficit
الانتقام	răzbunarea
الانتقام	razbunare
الانتقام	răzbunare
جرام	gram
بولونيا	bologna
نيكولا	nicola
الضابط	ofițer
الضابط	ofiţer
الضابط	ofiter
الفاكهة	fructul
الفاكهة	fructe
الفاكهة	fructele
الفاكهة	fruct
الكود	codul
الكود	cod
حريق	focul
حريق	incendiu
حريق	foc
شواطئ	plajele
شواطئ	plaje
الخلط	amestecarea
الخلط	amestecare
الخلط	confuzia
الخلط	confuzie
الخلط	confuzii
الخلط	derutat
الخلط	confuzi
الخلط	confuz
الخلط	confuză
الزهراء	zahra
زمان	zaman
المقابر	cimitirul
المقابر	cimitir
تصريح	autorizare
تصريح	permisiune
تصريح	permisiunea
دلالة	semnificatie
دلالة	semnificația
دلالة	semnificație
منفصل	separat
منفصل	separate
منفصل	separat
منفصل	separă
منفصل	separată
منفصل	separate
هود	glugă
هود	gluga
هود	capota
هود	hood
بديلة	alternative
بديلة	alternativă
بديلة	alternativ
بديلة	alternativa
بديلة	supleant
بديلة	alternativ
ذروة	vârf
الشهادات	certificat
الشهادات	certificatul
الشهادات	mărturii
الشهادات	certificatele
الشهادات	certificate
المشرف	moderator
المشرف	supervizorul
المشرف	supraveghetor
المشرف	supervizor
المشرف	responsabilul
المشرف	responsabil
المشرف	administrator
المشرف	administratorul
ترميز	codare
ترميز	codificare
ترميز	codare
ترميز	codificare
هيلين	helen
مثبطات	inhibitori
مثبطات	inhibitorii
الحمد	laudă
الحمد	lauda
الحمد	laude
الصيانة	întreținerea
الصيانة	intretinere
الصيانة	întreținere
الانتقالية	tranzitorie
الانتقالية	tranzitoriu
الانتقالية	tranzitorii
التبغ	tutun
التبغ	tutunul
اصدار	ediția
اصدار	ediţie
اصدار	editie
اصدار	ediție
اصدار	ediţia
اصدار	versiunea
اصدار	versiune
اصدار	emitere
اصدار	emiterea
اصدار	problemă
ليلي	crin
ليلي	lily
فيشر	fisher
كول	cole
صغار	tânără
صغار	tânăr
صغار	tinere
صغار	young
صغار	tineri
راسل	russel
راسل	russell
صديقة	iubită
صديقة	iubita
صديقة	prietenă
صديقة	prietena
شتات	diaspora
الجمجمة	craniu
الجمجمة	skull
الجمجمة	craniul
الكبريت	sulf
الكبريت	sulf
الظل	umbrele
الظل	umbre
الظل	shadow
الظل	umbră
الظل	umbra
الظل	umbră
الظل	umbra
كارتر	carter
نيفادا	nevada
القلم	pen
القلم	stilou
التقديرات	estimează
التقديرات	estimarea
التقديرات	estimare
التقديرات	estimările
التقديرات	estimări
تدرج	gradient
تدرج	inserează
مواصلة	continuarea
مواصلة	continuare
مواصلة	continuați
مواصلة	continuă
مواصلة	continua
كاي	kai
كاي	kay
التنين	balaur
التنين	dragonul
التنين	dragon
تغيرت	schimbat
تغيرت	schimbată
تتويج	încoronarea
القيروان	kairouan
اريد	vrei
اريد	vreau
هول	hall
هول	urlet
هول	howl
مشارك	participantul
مشارك	participant
الطقوس	ritualul
الطقوس	ritual
الطقوس	ritualuri
الطقوس	ritualurile
الفطر	ciupercile
الفطر	ciuperci
المعتقدات	convingerile
المعتقدات	convingeri
دل	del
جرذ	șobolan
جرذ	rat
سكاي	cerul
سكاي	sky
