учебник	教科書
пиза	ピサ
бин	bin
жълта	イエロー
жълта	黄色
унищожен	破壊された
тито	ティト
готовност	意欲
мил	ミル
инструктор	講師
инструктор	インストラクター
таланти	タレント
таланти	タレント
дюселдорф	デュッセルドルフ
дюселдорф	デュッセルドルフ
обичай	風習
обичай	カスタム
сива	灰色
сива	グレイ
сива	グレー
сива	灰色
сива	グレイ
сива	グレー
изкопаеми	化石
отзиви	レビュー
рожден	生年月日
рожден	バースデー
роджърс	ロジャース
роджърс	ロジャース
скрити	隠し
съхраняване	ストレージ
модула	ランダー
телескоп	望遠鏡
назначение	譲渡
назначение	代入
назначение	割り当て
осетия	オセチア
ангели	エンジェルス
ангели	天使
кантон	広東
кантон	カントン
насекомо	昆虫
адреси	アドレス
адреси	url
благородници	貴族
фабрики	工場
малц	麦芽
билборд	看板
нюкасъл	ニューカッスル
доставя	届け
сбор	合計
сбор	総和
иконостас	イコノスタシス
газа	ガザ
мек	やわらかい
мек	柔らかい
мек	ソフト
сигизмунд	ジギスムント
отрасли	セクター
чувствата	気持ち
чувствата	感情
упадък	辞退
упадък	拒否
упадък	却下
упадък	デカダンス
неутрална	中性
неутрална	ニュートラル
родригес	ロドリゲス
слалом	スラローム
лозя	葡萄園
поли	スカート
поли	ポリ
провери	チェック
лиза	リサ
лиза	リザ
чужда	外国
тестване	テスト
авиацията	航空
мичъл	ミッチェル
виното	ワイン
линейни	リニア
линейни	線形
брабам	ブラバム
аргос	アルゴス
графичен	グラフィック
графичен	グラフィック
графичен	グラフィックス
водачите	ドライバ
водачите	ドライバー
ядрено	原子力
вариации	バリエーション
вариации	変奏曲
верди	ヴェルディ
нба	nba
разход	費用
разход	原価
разход	コスト
разход	支出
разход	費用
разход	経費
атома	原子
клипове	クリップ
клипове	動画
искра	スパーク
недостиг	不足
недостиг	不足
земетресението	地震
алба	アルバ
логически	論理
логически	論理
пионер	パイオニア
лео	レオ
лео	leo
заем	ローン
заем	融資
хенриета	アンリエッタ
цру	cia
мартинес	マルティネス
изключва	除外
мой	鉱山
извънредно	残業
извънредно	きわめて
извънредно	極めて
наблюдавани	観測
решетка	グリル
решетка	グリッド
читатели	読者
читатели	リーダー
корупция	汚職
намюр	namur
симптомите	症状
симптомите	徴候
талин	タリン
заводи	植物
заводи	工場
предотвратяване	予防
предотвратяване	防止
антични	アンティーク
равена	ラヴェンナ
политики	ポリシー
политики	施策
политики	方針
мартен	テン
максимален	最大
максимален	maximum
клей	クレイ
клей	粘土
грубо	ラフ
грубо	乱暴
грубо	無礼
