den	என்ற
och	மற்றும்
och	இன்னும்
med	med
med	குல
med	கொண்டு
med	இதனால்
med	உடன்
som	போல்
som	போல
som	விரும்பு
som	விருப்பம்
som	பிடித்திருக்கிறது
som	எந்த
runt	சுற்றிப்
runt	சுற்றி
runt	வட்ட
månaden	மாதந்தோறும்
månaden	மாதாந்திர
månaden	மாத
månaden	மாதம்
månaden	மாசம்
ligger	பொய்கள்
ligger	அமைந்துள்ள
ligger	அமைந்துள்ளது
ligger	அமைந்திருக்கும்
ingår	அடங்கும்
ingår	அடங்கும்
att	அந்த
att	என்று
ett	ஒன்று
ett	ஒன்றை
ett	ஒரு
över	over
över	ஓவர்
familjen	குடும்பத்தினர்
familjen	குடும்பம்
familjen	குடும்பத்தார்
för	இதற்கு
för	க்கு
för	இதற்காக
för	க்காக
inga	எவருமில்லை
inga	எவரும்
inga	ஒன்றுமில்லை
inga	எதுவுமில்லை
inga	ஏதுமில்லை
delen	பாகம்
delen	பகுதி
släktet	பேரினம்
underarter	subspecies
life	வாழ்க்கை
life	உயிர்
life	ஆயுள்
listade	பட்டியலிடப்பட்டுள்ள
landet	நாடு
landet	நாட்டின்
meter	மீட்டர்
meter	மீட்டர்
meter	மீட்டர்
huvudstaden	கேபிடல்
huvudstaden	மூலதனம்
huvudstaden	தலைநகரம்
havet	கடல்
havet	சமுத்திரம்
havet	பெருங்கடல்
havet	கடல்
invånare	குடியிருப்பாளர்கள்
invånare	வசிப்பவர்கள்
invånare	குடிமக்கள்
januari	ஜனவரி
januari	சனவரி
millimeter	மாறுபடுகின்றது
genomsnitt	சராசரி
genomsnittlig	சராசரி
var	var
var	இருந்தது
var	இருந்தன
var	இருந்தனர்
var	இருந்த
var	எங்கே
var	எங்கு
juli	ஜூலை
juli	ஜூலி
han	ஹான்
har	கொண்டுள்ளது
har	has
har	உண்டு
per	per
vattendrag	நதிகள்
vattendrag	ஆறுகள்
från	இருந்து
från	விட்டும்
från	அனுப்புநர்
från	முதல்
kanada	கனடா
provinsen	மாகாணம்
men	ஆனாலும்
men	ஆனா
men	ஆனால்
högsta	உச்ச
högsta	அதிகபட்சம்
högsta	அதிகபட்ச
högsta	உயர்ந்தது
högsta	உயர்ந்த
augusti	ஆகஸ்ட்
augusti	ஆகஸ்டு
kan	முடியும்
länkar	இணைப்புகள்
länkar	இணைப்புக்கள்
externa	வெளி
externa	வெளிப்புற
läge	இடம்
läge	இருப்பிடம்
läge	அமைவிடம்
läge	முறை
läge	முறைமை
läge	வகை
läge	முறையில்
läge	பயன்முறை
även	கம்பன்
även	கூட
även	also
även	அத்துடன்
även	கூட
